game,score,tau,漏判_|A|≤2,误拒_|A|≤2,漏判_|A|≤4,误拒_|A|≤4,漏判_全部,误拒_全部,AUC,上界违例率,平均松弛
gameA,逐阶预算 U^(3),0.7,0.0,0.041773231031543054,0.0,0.27962150301700495,0.0,0.7077126402576716,0.9371462582806421,,
gameA,逐阶预算 U^(3),0.9,0.0,0.024958402662229616,0.0,0.19154858299595143,0.0,0.6603566784321011,0.9133028258380435,1.5259720441921504e-05,0.8911011830591065
gameA,加性预算 ΣM^(13),0.5,0.0,0.2667946257197697,0.0,0.628933910306845,0.0,0.8964830540317126,0.9679380912835124,,
gameA,加性预算 ΣM^(13),0.7,0.0,0.15515771526001704,0.0,0.5394267690619857,0.0,0.8652651110683215,0.9304977078410805,,
gameA,加性预算 ΣM^(13),0.9,0.0,0.07487520798668885,0.0,0.3880313765182186,0.0,0.8202613164901852,0.8961905939572049,0.0,1.241522835854822
gameA,逐阶预算 U^(13),0.5,0.0,0.05950095969289827,0.0,0.29051927616050355,0.0,0.7017171413541745,0.9732836695978858,,
gameA,逐阶预算 U^(13),0.7,0.0,0.041773231031543054,0.0,0.27962150301700495,0.0,0.7139181122761566,0.9371542066305321,,
gameA,逐阶预算 U^(13),0.9,0.0,0.024958402662229616,0.0,0.19154858299595143,0.0,0.667285900055731,0.9133028258380435,1.5259720441921504e-05,0.8953729390466795
gameB,Shapley 和,0.5,1.0,0.0,0.9631464849798699,0.0,0.6440845858994789,0.0,0.991414901679292,,
gameB,Shapley 和,0.7,1.0,0.0,0.9987269255251432,0.0,0.8674423910563541,0.0,0.9859123269950193,,
gameB,Shapley 和,0.9,1.0,0.0,1.0,0.0,0.9768163563344286,0.0,0.9715290867240168,0.9972323972323972,-0.18533484737156802
gameB,单字段和 Σa,0.5,0.025974025974025976,0.041561712846347604,0.006503561474140601,0.10414351484362597,0.0013781816615702658,0.25431117626634775,0.9769910805180099,,
gameB,单字段和 Σa,0.7,0.0,0.02944507361268403,0.002546148949713558,0.1641322106321478,0.0003802570537683474,0.2694840376760857,0.9640647577491084,,
gameB,单字段和 Σa,0.9,0.0,0.05201698513800425,0.0,0.17899813657788008,0.0,0.32307269479180983,0.9577334800521822,0.0903947903947904,0.4522051285535376
gameB,加性预算 ΣM^(1),0.5,0.0,0.09445843828715365,0.0,0.23241784410223845,0.0,0.5907179506963466,0.9778814968933521,,
gameB,加性预算 ΣM^(1),0.7,0.0,0.05889014722536806,0.0,0.24770642201834864,0.0,0.4486121530382596,0.9687248452936519,,
gameB,加性预算 ΣM^(1),0.9,0.0,0.06369426751592357,0.0,0.2365449961635427,0.0,0.41567037698685355,0.9601514420726005,0.0,0.6378812045708001
gameB,逐阶预算 U^(1),0.5,0.0,0.0491183879093199,0.0,0.1643117955230989,0.0,0.49739593379885033,0.9782696011578752,,
gameB,逐阶预算 U^(1),0.7,0.0,0.031710079275198186,0.0,0.20585647857232625,0.0,0.3910144202717346,0.9690332245426637,,
gameB,逐阶预算 U^(1),0.9,0.0,0.05307855626326964,0.0,0.20563411158610106,0.0,0.3847510420961019,0.9600886343801823,0.000875050875050875,0.5777942873091779
gameB,加性预算 ΣM^(2),0.5,0.0,0.10453400503778337,0.0,0.2832195586601048,0.0,0.6891323637205354,0.9777828691785425,,
gameB,加性预算 ΣM^(2),0.7,0.0,0.06568516421291053,0.0,0.2702023375644087,0.0,0.5232974910394266,0.9695974822483396,,
gameB,加性预算 ΣM^(2),0.9,0.0,0.06475583864118896,0.0,0.2501370163323468,0.0,0.45233841784618206,0.9607170402553212,0.0,0.688488896868556
gameB,逐阶预算 U^(2),0.5,0.0,0.0491183879093199,0.0,0.17161454199079218,0.0,0.5439604953512596,0.978620223293803,,
gameB,逐阶预算 U^(2),0.7,0.0,0.031710079275198186,0.0,0.20937539273595576,0.0,0.4185212969909144,0.9693869867621308,,
gameB,逐阶预算 U^(2),0.9,0.0,0.05307855626326964,0.0,0.2078263729036501,0.0,0.39443910036187074,0.9605228896219361,2.035002035002035e-05,0.595549952812223
gameB,加性预算 ΣM^(3),0.5,0.0,0.10831234256926953,0.0,0.30719161771709796,0.0,0.7284441186682613,0.9777470284492796,,
gameB,加性预算 ΣM^(3),0.7,0.0,0.06568516421291053,0.0,0.27585773532738467,0.0,0.5567780834097413,0.9700022396413539,,
gameB,加性预算 ΣM^(3),0.9,0.0,0.06475583864118896,0.0,0.25517921736270965,0.0,0.4660803444642939,0.9608863654673728,0.0,0.7067478408416112
gameB,逐阶预算 U^(3),0.5,0.0,0.0491183879093199,0.0,0.17193205270677886,0.0,0.5533737124339339,0.9786043720030415,,
gameB,逐阶预算 U^(3),0.7,0.0,0.031710079275198186,0.0,0.20937539273595576,0.0,0.4248839987774721,0.9694372363457422,,
gameB,逐阶预算 U^(3),0.9,0.0,0.05307855626326964,0.0,0.2078263729036501,0.0,0.3958132930236819,0.9605228896219361,2.035002035002035e-05,0.5979618888883558
gameB,加性预算 ΣM^(11),0.5,0.0,0.10831234256926953,0.0,0.31306556596285123,0.0,0.7450715635970835,0.9777491427886261,,
gameB,加性预算 ΣM^(11),0.7,0.0,0.06568516421291053,0.0,0.2759834108332286,0.0,0.5704203828734962,0.9700153789217433,,
gameB,加性预算 ΣM^(11),0.9,0.0,0.06475583864118896,0.0,0.25517921736270965,0.0,0.47178324401081034,0.9608863654673728,0.0,0.71228138821781
gameB,逐阶预算 U^(11),0.5,0.0,0.0491183879093199,0.0,0.17193205270677886,0.0,0.5536437637436827,0.9786043720030415,,
gameB,逐阶预算 U^(11),0.7,0.0,0.031710079275198186,0.0,0.20937539273595576,0.0,0.4251618460170598,0.9694372363457422,,
gameB,逐阶预算 U^(11),0.9,0.0,0.05307855626326964,0.0,0.2078263729036501,0.0,0.3959736155008932,0.9605228896219361,2.035002035002035e-05,0.5980449640034028
