k,single,mask,shapley,ig,lrp,gate,random
17,0.7148256301879883,0.7486480474472046,0.8089572191238403,0.8223149180412292,0.8194459676742554,0.7465739250183105,0.748574435710907
18,0.7512117028236389,0.7532813549041748,0.8113845586776733,0.8246150016784668,0.8229639530181885,0.749141275882721,0.7481634616851807
19,0.7534811496734619,0.8287996649742126,0.8256372809410095,0.8252222537994385,0.8249109387397766,0.7498809695243835,0.7552366256713867
20,0.764164924621582,0.831550657749176,0.8262901902198792,0.8287895321846008,0.8268228769302368,0.7686202526092529,0.7574029564857483
21,0.8203099966049194,0.835055410861969,0.8297093510627747,0.832732081413269,0.832699716091156,0.7792748212814331,0.7581096291542053
22,0.8240581750869751,0.8381525874137878,0.8322461247444153,0.8340583443641663,0.8378530740737915,0.7799174785614014,0.7742154598236084
23,0.8268730640411377,0.8394331932067871,0.8370051980018616,0.8354989290237427,0.8388325572013855,0.7803189158439636,0.7872850298881531
24,0.8407010436058044,0.8399439454078674,0.8402166962623596,0.8350358605384827,0.840391218662262,0.7826162576675415,0.7872568368911743
25,0.8415882587432861,0.8437343239784241,0.8415882587432861,0.8400475978851318,0.8413395881652832,0.7861177921295166,0.7883177399635315
26,0.8414690494537354,0.8445618152618408,0.8430097103118896,0.8397789001464844,0.8413805365562439,0.8420353531837463,0.788831353187561
27,0.8424047231674194,0.8450621962547302,0.8429012894630432,0.8412728309631348,0.8412023186683655,0.8429012894630432,0.7887970805168152
28,0.8429816961288452,0.8452416658401489,0.845026969909668,0.8421850204467773,0.8442140221595764,0.8438658714294434,0.8035680055618286
29,0.8452152609825134,0.8454639911651611,0.845952570438385,0.8469630479812622,0.8465691804885864,0.8438963890075684,0.8081385493278503
30,0.8465563058853149,0.8470865488052368,0.8482301831245422,0.8476009964942932,0.8497510552406311,0.8445068597793579,0.8081020712852478
31,0.8464047312736511,0.8485570549964905,0.8514460325241089,0.8501679301261902,0.8501667976379395,0.8445879817008972,0.8112515211105347
32,0.8481625914573669,0.8489431142807007,0.8512783646583557,0.8496867418289185,0.8508160710334778,0.8464317321777344,0.8382459282875061
33,0.8501641154289246,0.8528500199317932,0.8518107533454895,0.8505594730377197,0.8508381843566895,0.8481904864311218,0.8382505774497986
34,0.850077748298645,0.8530056476593018,0.8521233201026917,0.8506268262863159,0.8506268262863159,0.8502137064933777,0.8382475972175598
35,0.8506134748458862,0.8530216813087463,0.8520869016647339,0.8505213856697083,0.850722074508667,0.8496026992797852,0.8388506174087524
36,0.8501882553100586,0.8530316352844238,0.8519552946090698,0.850627064704895,0.850627064704895,0.8495290875434875,0.844572901725769
37,0.850233793258667,0.8530644774436951,0.8520871996879578,0.8513829708099365,0.8514731526374817,0.850233793258667,0.8454481363296509
38,0.8516168594360352,0.8530454635620117,0.852292001247406,0.8516168594360352,0.8516168594360352,0.8504279851913452,0.8462439775466919
39,0.8518180847167969,0.8530555963516235,0.8524787425994873,0.8518266677856445,0.8518180847167969,0.8518180847167969,0.8465886116027832
40,0.8520303964614868,0.8530077934265137,0.8524197340011597,0.8520303964614868,0.8520303964614868,0.851751983165741,0.8470157980918884
41,0.8520006537437439,0.8529653549194336,0.852409839630127,0.851966142654419,0.851966142654419,0.851966142654419,0.8495829701423645
42,0.8519335389137268,0.8528250455856323,0.8524330854415894,0.8519335389137268,0.8519335389137268,0.8519941568374634,0.8502270579338074
43,0.851956307888031,0.8524471521377563,0.8524471521377563,0.8519606590270996,0.8519606590270996,0.852013885974884,0.8508006930351257
44,0.8519790172576904,0.8519790172576904,0.8519790172576904,0.8519790172576904,0.8519790172576904,0.8519790172576904,0.8519790172576904
