target,source,gate
da_as_total_mw_primary_reserve,total_pjm_rmpcp_cr,0.28047582507133484
metered_load_mw,gen_fuel_coal_pct,0.2804229259490967
congestion_price_da,gen_fuel_hydro_mw,0.2800922691822052
congestion_price_da,gen_fuel_gas_mw,0.27962344884872437
total_gen,gen_fuel_oil_pct,0.2785390019416809
metered_load_mw,da_as_mcp_synchronized_reserve,0.2778996527194977
total_lmp_da,gen_fuel_hydro_mw,0.27642762660980225
total_gen,gen_fuel_coal_pct,0.2744843363761902
da_as_total_mw_thirty_minutes_reserve,da_as_mcp_primary_reserve,0.2742993235588074
da_as_total_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.27362823486328125
total_lmp_da,da_as_mcp_synchronized_reserve,0.27249568700790405
da_as_total_mw_primary_reserve,da_as_mcp_synchronized_reserve,0.27200666069984436
da_as_total_mw_thirty_minutes_reserve,gen_fuel_hydro_mw,0.27077561616897583
da_as_total_mw_synchronized_reserve,forecast_load_mw_day_ahead,0.27070584893226624
metered_load_mw,forecast_load_mw_day_ahead,0.27038291096687317
metered_load_mw,total_pjm_rmccp_cr,0.2700673043727875
total_gen,da_as_mcp_synchronized_reserve,0.2695953845977783
da_as_total_mw_primary_reserve,da_as_as_req_mw_primary_reserve,0.26766690611839294
metered_load_mw,gross_inadv_interchange_mw,0.26728054881095886
metered_load_mw,forecast_load_mw_latest_available,0.26617467403411865
da_as_total_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,0.2660679221153259
total_gen,forecast_load_mw_day_ahead,0.26564300060272217
da_as_total_mw_synchronized_reserve,gen_fuel_coal_mw,0.2652474641799927
metered_load_mw,gen_fuel_coal_mw,0.264404296875
da_as_total_mw_primary_reserve,da_as_mcp_primary_reserve,0.2643728256225586
da_as_total_mw_synchronized_reserve,forecast_load_mw_latest_available,0.26333868503570557
da_as_total_mw_primary_reserve,gen_fuel_gas_pct,0.26313281059265137
gross_actual_interchange_mw,gen_fuel_gas_mw,0.26297444105148315
total_gen,forecast_load_mw_latest_available,0.2617296278476715
total_gen,gross_inadv_interchange_mw,0.2606380581855774
total_losses,forecast_load_mw_day_ahead,0.2592814564704895
da_as_total_mw_thirty_minutes_reserve,da_as_mcp_synchronized_reserve,0.2583995461463928
total_gen,gen_fuel_coal_mw,0.2578113079071045
