数据,目标,字段,背景规模,Δ
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.004581570625305176
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.04492831230163574
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.03439044952392578
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.006249189376831055
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.329637348651886
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.329128623008728
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.36443984508514404
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.3076884150505066
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.029672622680664062
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0010804533958435059
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0415571928024292
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.03799033164978027
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.005952060222625732
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.33529990911483765
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.35271501541137695
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.4050180912017822
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.03898000717163086
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0018079280853271484
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.005788564682006836
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.00014078617095947266
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.04398703575134277
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.03878885507583618
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.006317436695098877
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.32715243101119995
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.3599107265472412
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.4092315435409546
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0009921789169311523
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.0005761384963989258
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.00020486116409301758
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.07137435674667358
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.05738025903701782
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.07779467105865479
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-5.817413330078125e-05
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
