数据,目标,τ,δ,规则,关键数,标记数,召回,精确
RTS-GMLC,Y_线路潮流_C35,0.5,0.05,扫描标记（估计）,23,21,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,0.05,扫描—认证标记,23,20,0.8695652173913043,1.0
RTS-GMLC,Y_线路潮流_C35,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695
RTS-GMLC,Y_线路潮流_C35,0.7,0.0,扫描—认证标记,21,21,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,0.7,,单字段规则 V({i})>τ,21,0,0.0,
RTS-GMLC,Y_线路潮流_C35,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695
RTS-GMLC,Y_线路潮流_C35,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0
NEM,Y_机组出力_BW01,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_BW01,0.5,0.0,扫描—认证标记,30,30,1.0,1.0
NEM,Y_机组出力_BW01,0.5,,单字段规则 V({i})>τ,30,0,0.0,
NEM,Y_机组出力_BW01,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_BW01,0.5,0.05,扫描—认证标记,30,18,0.6,1.0
NEM,Y_机组出力_BW01,0.7,0.0,扫描标记（估计）,0,0,,
NEM,Y_机组出力_BW01,0.7,0.0,扫描—认证标记,0,0,,
NEM,Y_机组出力_BW01,0.7,,单字段规则 V({i})>τ,0,0,,
NEM,Y_机组出力_BW01,0.7,0.05,扫描标记（估计）,0,3,,0.0
NEM,Y_机组出力_BW01,0.7,0.05,扫描—认证标记,0,0,,
NEM,Y_机组出力_TUMUT3,0.5,0.0,扫描标记（估计）,22,9,0.3181818181818182,0.7777777777777778
NEM,Y_机组出力_TUMUT3,0.5,0.0,扫描—认证标记,22,6,0.2727272727272727,1.0
NEM,Y_机组出力_TUMUT3,0.5,,单字段规则 V({i})>τ,22,0,0.0,
NEM,Y_机组出力_TUMUT3,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667
NEM,Y_机组出力_TUMUT3,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0
NEM,Y_机组出力_TUMUT3,0.7,0.0,扫描标记（估计）,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,0.0,扫描—认证标记,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,,单字段规则 V({i})>τ,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,0.05,扫描标记（估计）,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,0.05,扫描—认证标记,0,0,,
NEM,Y_机组出力_PPCCGT,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.5,0.0,扫描—认证标记,30,30,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.5,,单字段规则 V({i})>τ,30,2,0.06666666666666667,1.0
NEM,Y_机组出力_PPCCGT,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.5,0.05,扫描—认证标记,30,24,0.8,1.0
NEM,Y_机组出力_PPCCGT,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.7,0.0,扫描—认证标记,10,10,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.7,,单字段规则 V({i})>τ,10,0,0.0,
NEM,Y_机组出力_PPCCGT,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334
NEM,Y_机组出力_PPCCGT,0.7,0.05,扫描—认证标记,10,10,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,0.0,扫描标记（估计）,22,22,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,0.0,扫描—认证标记,22,22,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,,单字段规则 V({i})>τ,22,0,0.0,
PJM-load,Y_metered_load_mw,0.5,0.05,扫描标记（估计）,22,22,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,0.05,扫描—认证标记,22,17,0.7727272727272727,1.0
PJM-load,Y_metered_load_mw,0.7,0.0,扫描标记（估计）,14,11,0.7857142857142857,1.0
PJM-load,Y_metered_load_mw,0.7,0.0,扫描—认证标记,14,11,0.7857142857142857,1.0
PJM-load,Y_metered_load_mw,0.7,,单字段规则 V({i})>τ,14,0,0.0,
PJM-load,Y_metered_load_mw,0.7,0.05,扫描标记（估计）,14,21,1.0,0.6666666666666666
PJM-load,Y_metered_load_mw,0.7,0.05,扫描—认证标记,14,12,0.8571428571428571,1.0
PJM-gen/ic,Y_total_gen,0.5,0.0,扫描标记（估计）,24,24,1.0,1.0
PJM-gen/ic,Y_total_gen,0.5,0.0,扫描—认证标记,24,24,1.0,1.0
PJM-gen/ic,Y_total_gen,0.5,,单字段规则 V({i})>τ,24,2,0.08333333333333333,1.0
PJM-gen/ic,Y_total_gen,0.5,0.05,扫描标记（估计）,24,24,1.0,1.0
PJM-gen/ic,Y_total_gen,0.5,0.05,扫描—认证标记,24,22,0.9166666666666666,1.0
PJM-gen/ic,Y_total_gen,0.7,0.0,扫描标记（估计）,20,10,0.5,1.0
PJM-gen/ic,Y_total_gen,0.7,0.0,扫描—认证标记,20,10,0.5,1.0
PJM-gen/ic,Y_total_gen,0.7,,单字段规则 V({i})>τ,20,2,0.1,1.0
PJM-gen/ic,Y_total_gen,0.7,0.05,扫描标记（估计）,20,15,0.75,1.0
PJM-gen/ic,Y_total_gen,0.7,0.05,扫描—认证标记,20,13,0.65,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.0,扫描标记（估计）,24,24,1.0,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.0,扫描—认证标记,24,23,0.9583333333333334,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,,单字段规则 V({i})>τ,24,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.05,扫描标记（估计）,24,17,0.7083333333333334,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.05,扫描—认证标记,24,17,0.7083333333333334,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.0,扫描标记（估计）,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.0,扫描—认证标记,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,,单字段规则 V({i})>τ,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.05,扫描标记（估计）,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.05,扫描—认证标记,3,0,0.0,
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.0,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.0,扫描—认证标记,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,,单字段规则 V({i})>τ,35,5,0.14285714285714285,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.05,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.05,扫描—认证标记,35,34,0.9714285714285714,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.0,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.0,扫描—认证标记,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,,单字段规则 V({i})>τ,35,3,0.08571428571428572,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.05,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.05,扫描—认证标记,35,32,0.9142857142857143,1.0
