数据,目标,τ,方法,字段数,最优扣留数,扣留数,超出最优,危险组合数
PJM-load,Y_metered_load_mw,0.5,mi,22,9,10,1,237
PJM-load,Y_metered_load_mw,0.5,dcor,22,9,17,8,237
PJM-load,Y_metered_load_mw,0.5,M0,22,9,12,3,237
PJM-load,Y_metered_load_mw,0.5,loco,22,9,21,12,237
PJM-load,Y_metered_load_mw,0.5,perm,22,9,19,10,237
PJM-load,Y_metered_load_mw,0.5,sage,22,9,18,9,237
PJM-load,Y_metered_load_mw,0.5,graph,22,9,11,2,237
PJM-load,Y_metered_load_mw,0.5,M2_est,22,9,11,2,237
PJM-load,Y_metered_load_mw,0.5,M2_cert,22,9,10,1,237
PJM-load,Y_metered_load_mw,0.5,M2,22,9,10,1,237
PJM-load,Y_metered_load_mw,0.7,pearson,22,3,7,4,44
PJM-load,Y_metered_load_mw,0.7,spearman,22,3,7,4,44
PJM-load,Y_metered_load_mw,0.7,mi,22,3,5,2,44
PJM-load,Y_metered_load_mw,0.7,dcor,22,3,7,4,44
PJM-load,Y_metered_load_mw,0.7,M0,22,3,3,0,44
PJM-load,Y_metered_load_mw,0.7,loco,22,3,14,11,44
PJM-load,Y_metered_load_mw,0.7,perm,22,3,5,2,44
PJM-load,Y_metered_load_mw,0.7,sage,22,3,4,1,44
PJM-load,Y_metered_load_mw,0.7,graph,22,3,3,0,44
PJM-load,Y_metered_load_mw,0.7,M2_est,22,3,6,3,44
PJM-load,Y_metered_load_mw,0.7,M2_cert,22,3,3,0,44
PJM-load,Y_metered_load_mw,0.7,M2,22,3,4,1,44
PJM-gen/ic,Y_total_gen,0.5,pearson,24,11,18,7,179
PJM-gen/ic,Y_total_gen,0.5,spearman,24,11,18,7,179
PJM-gen/ic,Y_total_gen,0.5,mi,24,11,12,1,179
PJM-gen/ic,Y_total_gen,0.5,dcor,24,11,18,7,179
PJM-gen/ic,Y_total_gen,0.5,M0,24,11,13,2,179
PJM-gen/ic,Y_total_gen,0.5,loco,24,11,23,12,179
PJM-gen/ic,Y_total_gen,0.5,perm,24,11,18,7,179
PJM-gen/ic,Y_total_gen,0.5,sage,24,11,18,7,179
PJM-gen/ic,Y_total_gen,0.5,graph,24,11,13,2,179
PJM-gen/ic,Y_total_gen,0.5,M2_est,24,11,13,2,179
PJM-gen/ic,Y_total_gen,0.5,M2_cert,24,11,11,0,179
PJM-gen/ic,Y_total_gen,0.5,M2,24,11,11,0,179
PJM-gen/ic,Y_total_gen,0.7,pearson,24,5,8,3,39
PJM-gen/ic,Y_total_gen,0.7,spearman,24,5,8,3,39
PJM-gen/ic,Y_total_gen,0.7,mi,24,5,5,0,39
PJM-gen/ic,Y_total_gen,0.7,dcor,24,5,8,3,39
PJM-gen/ic,Y_total_gen,0.7,M0,24,5,5,0,39
