数据,目标,字段,名次,背景,Δ
RTS-GMLC,机组出力_221_CC_1,节点电价_223,3,调节下调需求,0.959942638874054
RTS-GMLC,机组出力_221_CC_1,节点电价_223,4,调节下调需求 + 阻塞_CA-1,0.9489325284957886
RTS-GMLC,机组出力_221_CC_1,节点电价_223,5,阻塞_C29,0.9364391565322876
RTS-GMLC,机组出力_221_CC_1,节点电价_303,1,阻塞_CA-1,0.930402398109436
RTS-GMLC,机组出力_221_CC_1,节点电价_303,2,∅,0.9245178699493408
RTS-GMLC,机组出力_221_CC_1,节点电价_303,3,调节下调需求,0.9105516672134399
RTS-GMLC,机组出力_221_CC_1,节点电价_303,4,调节下调需求 + 阻塞_CA-1,0.9042430520057678
RTS-GMLC,机组出力_221_CC_1,节点电价_303,5,阻塞_C29 + 阻塞_CA-1,0.8955659866333008
RTS-GMLC,机组出力_221_CC_1,节点电价_309,1,∅,0.8824855089187622
RTS-GMLC,机组出力_221_CC_1,节点电价_309,2,阻塞_CA-1,0.8799670934677124
RTS-GMLC,机组出力_221_CC_1,节点电价_309,3,阻塞_C29 + 阻塞_CA-1,0.8778561949729919
RTS-GMLC,机组出力_221_CC_1,节点电价_309,4,阻塞_C6 + 阻塞_CA-1,0.8728260397911072
RTS-GMLC,机组出力_221_CC_1,节点电价_309,5,阻塞_C29,0.8724212646484375
RTS-GMLC,机组出力_221_CC_1,节点电价_317,1,∅,0.9533858299255371
RTS-GMLC,机组出力_221_CC_1,节点电价_317,2,阻塞_CA-1,0.9518712759017944
RTS-GMLC,机组出力_221_CC_1,节点电价_317,3,调节下调需求,0.9361551403999329
RTS-GMLC,机组出力_221_CC_1,节点电价_317,4,调节下调需求 + 阻塞_CA-1,0.9283155798912048
RTS-GMLC,机组出力_221_CC_1,节点电价_317,5,阻塞_C29 + 阻塞_CA-1,0.9148294925689697
RTS-GMLC,机组出力_221_CC_1,节点电价_318,1,∅,0.9336972236633301
RTS-GMLC,机组出力_221_CC_1,节点电价_318,2,阻塞_CA-1,0.9284700751304626
