数据,目标,读出,V误差,M2偏差,M2误差,M2排序Spearman,崩溃占比,认证前1,认证前3,认证前10,关键召回τ0.5,关键精确τ0.5
PJM 发电/联络线,total_gen,C 三种子拼接+数值修正,0.042551543563604355,-0.023885691538453102,0.04149007052183151,0.9142156862745098,0.006002400960384154,0.7648990750312805,0.8902474045753479,0.924406111240387,0.9411764705882353,1.0
PJM 发电/联络线,net_actual_interchange_mw,C 三种子拼接+数值修正,0.03904207423329353,-0.014095979742705822,0.0167143102735281,0.985294117647059,0.006002400960384154,0.957465410232544,0.9749078750610352,0.9969905018806458,1.0,1.0
PJM 发电/联络线,total_gen,D 单种子+数值修正+5折,0.05006759613752365,-0.04206593707203865,0.04379146918654442,0.8946078431372549,0.006002400960384154,0.7918365001678467,0.8987061381340027,0.9176663756370544,1.0,1.0
PJM 发电/联络线,net_actual_interchange_mw,D 单种子+数值修正+5折,0.0498022697865963,-0.02276185154914856,0.024873731657862663,0.9877450980392157,0.0024009603841536613,0.9421829581260681,0.9726046919822693,0.996599018573761,0.9411764705882353,1.0
PJM 发电/联络线,total_gen,E 三种子预测平均,0.04602011293172836,-0.038183219730854034,0.039934031665325165,0.9166666666666667,0.0,0.7940543293952942,0.8971841931343079,0.919876754283905,1.0,1.0
PJM 发电/联络线,net_actual_interchange_mw,E 三种子预测平均,0.044090136885643005,-0.018633022904396057,0.020807523280382156,0.9779411764705883,0.0,0.9644039273262024,0.9738230109214783,0.996843159198761,0.9411764705882353,1.0
PJM 发电/联络线,total_gen,F 预测平均+交叉拟合,0.05367599055171013,-0.06255123764276505,0.06255123764276505,0.9166666666666667,0.0,0.8411129117012024,0.8991914987564087,0.9124354720115662,0.9411764705882353,1.0
PJM 发电/联络线,net_actual_interchange_mw,F 预测平均+交叉拟合,0.0511576309800148,-0.026366248726844788,0.026477575302124023,0.965686274509804,0.0,0.9197783470153809,0.9651495218276978,0.996843159198761,0.9411764705882353,1.0
PJM 发电/联络线,total_gen,G 全字段主干复用（设置同 E）,0.03741581365466118,-0.041078973561525345,0.04378678649663925,0.948529411764706,0.0,0.7736474275588989,0.8879133462905884,0.9188438653945923,1.0,1.0
PJM 发电/联络线,net_actual_interchange_mw,G 全字段主干复用（设置同 E）,0.03837810829281807,-0.01810484007000923,0.018671203404664993,0.9681372549019608,0.0,0.9684550166130066,0.977395236492157,0.996599018573761,0.8823529411764706,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,A 原口径·三种子拼接,0.024155640974640846,-0.012700416147708893,0.015507492236793041,0.9852173913043477,0.0004302925989672978,0.9914209246635437,0.9957119822502136,0.997202455997467,1.0,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,B 原口径·单种子,0.027861833572387695,-0.014850806444883347,0.017274463549256325,0.9860869565217389,0.0,0.9853902459144592,0.9952780604362488,0.997337281703949,1.0,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,C 三种子拼接+数值修正,0.024103831499814987,-0.012548178434371948,0.015603984706103802,0.9852173913043477,0.0,0.9931504130363464,0.9969446063041687,0.9976251721382141,1.0,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,D 单种子+数值修正+5折,0.02780572511255741,-0.015012734569609165,0.01793518289923668,0.9852173913043477,0.0008605851979345956,0.9861672520637512,0.9944531321525574,0.997337281703949,1.0,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,E 三种子预测平均,0.02416192553937435,-0.012307782657444477,0.01606168784201145,0.9860869565217389,0.0,0.990736186504364,0.9939591288566589,0.9976251721382141,1.0,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,F 预测平均+交叉拟合,0.028870049864053726,-0.015921754762530327,0.020234012976288795,0.983478260869565,0.0,0.988971471786499,0.9944820404052734,0.9969145059585571,1.0,1.0
CAISO 负荷,actual_load__mw__ca_iso_tac,G 全字段主干复用（设置同 E）,0.019135667011141777,-0.012117832899093628,0.015465646982192993,0.9852173913043477,0.0,0.9851287007331848,0.9939591288566589,0.997202455997467,1.0,1.0
