ds,rep,h,K,M_audit均值,估计M_disc均值,C1_估计减audit,C1_同数据认证减独立认证,C1_disc真值max减其在audit上,C2_L除以M_audit,C2_同数据L除以M_disc,C2_同数据召回,C2_召回,C2_见证一致,C5_Kendall,C5_档位一致,C3_τ0.5_跨越背景复现率,C3_τ0.5_关键字段召回,C3_τ0.7_跨越背景复现率,C3_τ0.7_关键字段召回,C4_估计强交互数,C4_audit上I大于0,C4_audit上I大于002,C4_audit强交互召回,C6_α0.05_audit覆盖率,C6_α0.05_紧度,C6_α0.01_audit覆盖率,C6_α0.01_紧度
pjm,2,1,1,0.22649804,0.24185792,0.01535988,-0.004167505,0.00022259864,0.7905115,0.82989657,0.6117886178861789,0.4878048780487805,0.32113821138211385,0.7211992428189823,0.7865853658536586,0.8324022346368715,0.8341968911917098,0.9683168316831683,0.7160493827160493,663.0,0.698340874811463,0.5671191553544495,0.7299107142857143,0.8373983739837398,0.05236062416390372,0.9471544715447154,0.11096450700344163
pjm,2,1,2,0.27073544,0.28488624,0.014150812,0.0048781903,0.03372146,0.6861533,0.745967,0.32723577235772355,0.24390243902439024,0.13414634146341464,0.7268248952250341,0.8109756097560976,0.7963750850918992,0.884393063583815,0.9290041812441334,0.7450980392156863,,,,,0.8617886178861789,0.053537747807558475,0.943089430894309,0.10543498312070118
caiso,0,0,0,0.17911737,0.16983293,-0.009284466,-0.0100057125,-0.0100057125,1.0,1.0,1.0,1.0,1.0,0.8501174185160761,0.8699186991869918,1.0,0.9111111111111111,1.0,1.0,,,,,,,,
caiso,0,0,1,0.25520113,0.2583259,0.0031247926,-0.007888554,-0.004107633,0.9133634,0.93236053,0.7398373983739838,0.6626016260162602,0.31910569105691056,0.841811647331678,0.806910569105691,0.9108095007270964,0.8054298642533937,0.9677938808373591,0.921875,795.0,0.9270440251572327,0.8465408805031447,0.9056865464632455,0.7052845528455285,0.02160349115729332,0.9288617886178862,0.05878109484910965
caiso,0,0,2,0.28333315,0.27736452,-0.005968664,-0.005725356,0.008415563,0.8857163,0.9188997,0.6138211382113821,0.4532520325203252,0.13211382113821138,0.8424796747967479,0.8577235772357723,0.8546146252197154,0.8818681318681318,0.9357122628150666,0.9702970297029703,,,,,0.676829268292683,0.015848759561777115,0.8902439024390244,0.04462796822190285
caiso,0,1,0,0.16911168,0.18149185,0.0123801725,0.0100057125,0.0100057125,1.0,1.0,1.0,1.0,1.0,0.8648616860841876,0.8699186991869918,0.8478260869565217,1.0,0.9473684210526315,0.9473684210526315,,,,,,,,
caiso,0,1,1,0.24154046,0.2743547,0.03281422,0.01298263,0.021761617,0.91326797,0.91525376,0.7276422764227642,0.6727642276422764,0.3516260162601626,0.8319105691056912,0.7886178861788617,0.8217088055797733,0.9578947368421052,0.8877166541070083,0.9596774193548387,740.0,0.8945945945945946,0.8297297297297297,0.919431279620853,0.9166666666666666,0.053071487694978714,0.9735772357723578,0.07725066691637039
caiso,0,1,2,0.26687074,0.2952546,0.028383862,0.018807873,0.040987615,0.8613208,0.87765646,0.5121951219512195,0.43089430894308944,0.10772357723577236,0.8245934959349593,0.8272357723577236,0.7303152855727963,0.9570552147239264,0.8809230051018707,0.8803418803418803,,,,,0.9126016260162602,0.05241372063755989,0.975609756097561,0.07587788254022598
caiso,1,0,0,0.17723845,0.17002997,-0.0072084633,-0.009906369,-0.009906369,1.0,1.0,1.0,1.0,1.0,0.8592606921288343,0.8943089430894309,0.9111111111111111,0.9761904761904762,0.9,0.9473684210526315,,,,,,,,
caiso,1,0,1,0.2483754,0.24500206,-0.0033733258,-0.0024249814,0.0023078027,0.9515085,0.9706744,0.8699186991869918,0.758130081300813,0.40040650406504064,0.8731707317073171,0.8882113821138211,0.9289617486338798,0.7911111111111111,0.9105691056910569,0.8646616541353384,710.0,0.9802816901408451,0.9098591549295775,0.910472972972973,0.75,0.0163582731038332,0.9349593495934959,0.04616887867450714
caiso,1,0,2,0.27195406,0.26619217,-0.0057618516,0.0017156815,0.017267238,0.90151495,0.93097883,0.6361788617886179,0.4796747967479675,0.1524390243902439,0.8642276422764228,0.9004065040650406,0.8822084005221531,0.9439252336448598,0.8973229887467673,0.958974358974359,,,,,0.741869918699187,0.017695169895887375,0.9126016260162602,0.043130602687597275
caiso,1,1,0,0.16733207,0.17957687,0.012244787,0.009906369,0.009906369,1.0,1.0,1.0,1.0,1.0,0.8523604654540936,0.8841463414634146,0.9767441860465116,0.9545454545454546,0.9473684210526315,0.9,,,,,,,,
caiso,1,1,1,0.240973,0.2523591,0.0113861095,0.01042826,0.016732883,0.94135225,0.9552828,0.8353658536585366,0.7317073170731707,0.3983739837398374,0.8762195121951221,0.8617886178861789,0.8628175519630485,0.9351351351351351,0.8964426877470356,0.9590163934426229,589.0,0.9626485568760611,0.8947368421052632,0.9099099099099099,0.8800813008130082,0.03579572215676308,0.991869918699187,0.07050240784883499
caiso,1,1,2,0.26519004,0.27817437,0.012984363,0.01301981,0.031136094,0.8722049,0.89838654,0.5752032520325203,0.37398373983739835,0.0975609756097561,0.8658536585365852,0.8841463414634146,0.7594684093949429,0.95,0.8902109996540989,0.9320388349514563,,,,,0.8841463414634146,0.03803478926420212,0.9735772357723578,0.06595320254564285
caiso,2,0,0,0.17816658,0.1724241,-0.0057424847,-0.007332537,-0.007332537,1.0,1.0,1.0,1.0,1.0,0.8634518559311198,0.8861788617886179,1.0,0.9333333333333333,1.0,1.0,,,,,,,,
caiso,2,0,1,0.25092304,0.24282552,-0.008097543,-0.005678294,-0.0016184767,0.9536298,0.97204685,0.8902439024390244,0.7621951219512195,0.39227642276422764,0.8967479674796746,0.8943089430894309,0.9236180904522613,0.9095238095238095,0.9675925925925926,0.9428571428571428,658.0,0.9893617021276596,0.9316109422492401,0.9496183206106871,0.7215447154471545,0.01222503837198019,0.943089430894309,0.037323370575904846
caiso,2,0,2,0.27617794,0.27129346,-0.004884488,-0.00030949156,0.011932683,0.8979991,0.9313875,0.6239837398373984,0.45121951219512196,0.11991869918699187,0.88739837398374,0.9004065040650406,0.8737165590680611,0.882051282051282,0.9300450978303327,0.8841201716738197,,,,,0.7398373983739838,0.01669732853770256,0.9308943089430894,0.03814256936311722
caiso,2,1,0,0.17083405,0.17922401,0.00838996,0.007332537,0.007332537,1.0,1.0,1.0,1.0,1.0,0.8475785639465562,0.8963414634146342,0.9333333333333333,1.0,0.9444444444444444,1.0,,,,,,,,
caiso,2,1,1,0.2403273,0.25949788,0.01917059,0.015172282,0.017885033,0.9463908,0.96689343,0.8821138211382114,0.7723577235772358,0.3597560975609756,0.8717479674796746,0.8658536585365854,0.8652849740932642,0.9090909090909091,0.923134328358209,0.9848484848484849,761.0,0.9592641261498029,0.8830486202365309,0.9305084745762712,0.9166666666666666,0.03897205740213394,0.9959349593495935,0.07173915952444077
caiso,2,1,2,0.26594526,0.29180375,0.02585853,0.013555731,0.030357067,0.87162715,0.88841575,0.5508130081300813,0.44308943089430897,0.13821138211382114,0.8492629321897617,0.8150406504065041,0.7567094269558613,0.9721448467966574,0.8924205378973105,0.9757281553398058,,,,,0.9207317073170732,0.04770897328853607,0.975609756097561,0.07429524511098862
