i,j,conf,band,method,v_pair,syn,truth
7,17,total_gen,strong,L0,0.7238300844647478,0.630440378518325,0.5961714386940002
7,17,total_gen,strong,ft5,0.10886116971003235,0.06313416911044356,0.5961714386940002
7,17,total_gen,strong,ft5+L0,0.7213870261828985,0.6283676815542006,0.5961714386940002
7,17,total_gen,strong,ft25,0.32458335121059223,0.24167957879693447,0.5961714386940002
7,17,total_gen,strong,ft25+L0,0.7272176410604413,0.6270191585050195,0.5961714386940002
7,17,total_gen,strong,ft50,0.5483099053469558,0.4577366128753657,0.5961714386940002
7,17,total_gen,strong,ft50+L0,0.728731155021652,0.6283873865238688,0.5961714386940002
6,16,total_gen,strong,oracle,0.8085463213804447,0.33751761365989863,0.4065583944320678
6,16,total_gen,strong,L0,0.9038090254672155,0.40680449388767037,0.4065583944320678
6,16,total_gen,strong,ft5,0.8792340976995113,0.4058712109236017,0.4065583944320678
6,16,total_gen,strong,ft5+L0,0.9026751714385851,0.4056706280795853,0.4065583944320678
6,16,total_gen,strong,ft25,0.8884040229194233,0.4066009841177002,0.4065583944320678
6,16,total_gen,strong,ft25+L0,0.9028189973783858,0.40581446111592057,0.4065583944320678
6,16,total_gen,strong,ft50,0.894236650799019,0.4107124190050393,0.4065583944320678
6,16,total_gen,strong,ft50+L0,0.9031564623446615,0.406153358495531,0.4065583944320678
4,38,metered_load_mw,strong,oracle,0.718327811307035,0.29974506276054547,0.3768263459205627
4,38,metered_load_mw,strong,L0,0.8307961208677669,0.32288673129120904,0.3768263459205627
4,38,metered_load_mw,strong,ft5,0.7789994990539919,0.3297018136578366,0.3768263459205627
4,38,metered_load_mw,strong,ft5+L0,0.8343445900752439,0.32660454001320194,0.3768263459205627
4,38,metered_load_mw,strong,ft25,0.789477911033821,0.337558239390635,0.3768263459205627
4,38,metered_load_mw,strong,ft25+L0,0.8420033777864881,0.33206590052244844,0.3768263459205627
4,38,metered_load_mw,strong,ft50,0.8042601956475727,0.3493015783132143,0.3768263459205627
4,38,metered_load_mw,strong,ft50+L0,0.8422464488486118,0.3326833798639751,0.3768263459205627
31,37,da_as_total_mw_synchronized_reserve,strong,oracle,0.8798334375367985,0.36093367779536145,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,L0,0.8917623027446981,0.35816196216565066,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,ft5,0.8836531539624553,0.36484705420631325,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,ft5+L0,0.8917416448186611,0.3577298578835061,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,ft25,0.883594000559008,0.3545954134472601,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,ft25+L0,0.8912400652134673,0.3558682341837578,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,ft50,0.884382382188156,0.36109613525110906,0.3736159801483154
31,37,da_as_total_mw_synchronized_reserve,strong,ft50+L0,0.8913566138616172,0.3580440262046175,0.3736159801483154
32,37,da_as_total_mw_synchronized_reserve,strong,oracle,0.8795734159608156,0.3584081418118438,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,L0,0.8914403978988799,0.3546321888824636,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,ft5,0.8823606925972824,0.3662398216489835,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,ft5+L0,0.8915574003947814,0.3561045302750484,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,ft25,0.8826232772304627,0.35305298270255847,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,ft25+L0,0.8914470377398488,0.35559512712939056,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,ft50,0.8840948219522234,0.36122135880086936,0.3734319806098938
32,37,da_as_total_mw_synchronized_reserve,strong,ft50+L0,0.8917154666490458,0.35789510941793246,0.3734319806098938
33,37,da_as_total_mw_synchronized_reserve,strong,oracle,0.8692330475915527,0.3566492025487801,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,L0,0.8863851231387778,0.3535771354297932,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,ft5,0.8763117004764012,0.3596811603511849,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,ft5+L0,0.8868612519914357,0.35759043579801086,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,ft25,0.8774411171221974,0.3508089393087941,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,ft25+L0,0.8867903965678765,0.3550979240796659,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,ft50,0.8781105184819515,0.3550489814873299,0.3719268441200256
33,37,da_as_total_mw_synchronized_reserve,strong,ft50+L0,0.886804331594181,0.35553931789339255,0.3719268441200256
5,15,total_gen,strong,oracle,0.4529227384011094,-0.050065228370213655,0.3659116625785827
5,15,total_gen,strong,L0,0.872725343842021,0.35199620399866216,0.3659116625785827
5,15,total_gen,strong,ft5,0.47646713819118547,-0.02815713219749183,0.3659116625785827
5,15,total_gen,strong,ft5+L0,0.8718203496030299,0.352963821550061,0.3659116625785827
5,15,total_gen,strong,ft25,0.6080477895311185,0.11089510690895876,0.3659116625785827
5,15,total_gen,strong,ft25+L0,0.87219270706146,0.358034552900791,0.3659116625785827
5,15,total_gen,strong,ft50,0.7768706970874717,0.26716179608184876,0.3659116625785827
5,15,total_gen,strong,ft50+L0,0.8730125275257882,0.36109445201509915,0.3659116625785827
1,38,net_actual_interchange_mw,strong,oracle,0.3774730417479256,0.26142755900516157,0.3180308938026428
1,38,net_actual_interchange_mw,strong,L0,0.4257863709970987,0.30554162776973703,0.3180308938026428
1,38,net_actual_interchange_mw,strong,ft5,0.3934001497924746,0.27388425518131676,0.3180308938026428
1,38,net_actual_interchange_mw,strong,ft5+L0,0.42611903772143267,0.31031457275696084,0.3180308938026428
1,38,net_actual_interchange_mw,strong,ft25,0.4084693708014304,0.3080437669982965,0.3180308938026428
1,38,net_actual_interchange_mw,strong,ft25+L0,0.4246573446060342,0.30612787296408317,0.3180308938026428
1,38,net_actual_interchange_mw,strong,ft50,0.4124893752457862,0.29589095937170884,0.3180308938026428
1,38,net_actual_interchange_mw,strong,ft50+L0,0.4263317891310171,0.3078693884697491,0.3180308938026428
4,19,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5624884764114504,0.31974699091497316,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.6604350214728313,0.3082008188322253,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5992563024736948,0.33643530312067926,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.6637258643865218,0.3201952615958308,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.6157548590616492,0.3348870566308474,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.6627158459633479,0.3131534228294067,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.6271953234500796,0.339397477157235,0.3089662790298462
4,19,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.6586951305639581,0.31443670608889396,0.3089662790298462
4,39,metered_load_mw,strong,oracle,0.6391778139049891,0.32468516211780474,0.3084601759910583
4,39,metered_load_mw,strong,L0,0.7501559238718929,0.24224653429533505,0.3084601759910583
4,39,metered_load_mw,strong,ft5,0.6827442999665527,0.33408863130225963,0.3084601759910583
4,39,metered_load_mw,strong,ft5+L0,0.7625440370374236,0.25480398697538165,0.3084601759910583
4,39,metered_load_mw,strong,ft25,0.7053579487709719,0.36013184782680485,0.3084601759910583
4,39,metered_load_mw,strong,ft25+L0,0.7755832743103095,0.2656457970462698,0.3084601759910583
4,39,metered_load_mw,strong,ft50,0.7260643249091066,0.3480106110875022,0.3084601759910583
4,39,metered_load_mw,strong,ft50+L0,0.7790278372720479,0.2694647682874113,0.3084601759910583
4,20,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.580825630170195,0.3380841446737177,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.6601290988295266,0.30789489618892063,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5979850153710184,0.33516401601800294,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.669936814029293,0.3264062112386019,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.6137588422172875,0.3328910397864857,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.6701545752417452,0.320592152107804,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.6289620162773374,0.34116416998449284,0.307002305984497
4,20,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.6641168429737511,0.3198584184986869,0.307002305984497
4,5,total_gen,strong,oracle,0.7674467863418736,0.2644588195705505,0.3045950531959533
4,5,total_gen,strong,L0,0.8310865788416792,0.2746830598793806,0.3045950531959533
4,5,total_gen,strong,ft5,0.7823210193834431,0.2776967489947658,0.3045950531959533
4,5,total_gen,strong,ft5+L0,0.8302994765170855,0.27263875769083923,0.3045950531959533
4,5,total_gen,strong,ft25,0.7752450252429337,0.278092342620774,0.3045950531959533
4,5,total_gen,strong,ft25+L0,0.8347679010977163,0.27594874836555405,0.3045950531959533
4,5,total_gen,strong,ft50,0.7979686819081615,0.28825978090253856,0.3045950531959533
4,5,total_gen,strong,ft50+L0,0.8317715052801435,0.27351853331831366,0.3045950531959533
0,10,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.1280980865055371,0.06361659236167505,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.42050047840978144,0.3239309624676633,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.15353524696232734,0.07282354028215787,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.4161789243771504,0.302944786214702,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.32084132867129245,0.22828635551441034,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.42322058723266975,0.30889227476167735,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.3760336431786453,0.2756651771758787,0.3043192625045776
0,10,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.4214423646832014,0.30753539878567016,0.3043192625045776
1,9,total_losses,strong,oracle,0.46105519097408243,0.26024514841706103,0.2949931025505066
1,9,total_losses,strong,L0,0.48942181714521027,0.269955667607926,0.2949931025505066
1,9,total_losses,strong,ft5,0.4864356851505869,0.27939769564972483,0.2949931025505066
1,9,total_losses,strong,ft5+L0,0.4843422745148468,0.2657134215198267,0.2949931025505066
1,9,total_losses,strong,ft25,0.48848512187702986,0.2756916654901439,0.2949931025505066
1,9,total_losses,strong,ft25+L0,0.48991571562424463,0.27231984999519865,0.2949931025505066
1,9,total_losses,strong,ft50,0.4879206783016854,0.27181756254269784,0.2949931025505066
1,9,total_losses,strong,ft50+L0,0.4944491908348949,0.2762995200677103,0.2949931025505066
1,11,total_losses,strong,oracle,0.4019895881098392,0.2011795455528178,0.2939937710762024
1,11,total_losses,strong,L0,0.526379421851498,0.3069132723142137,0.2939937710762024
1,11,total_losses,strong,ft5,0.4910561960032833,0.28401820650242127,0.2939937710762024
1,11,total_losses,strong,ft5+L0,0.529508277425141,0.31087942443012084,0.2939937710762024
1,11,total_losses,strong,ft25,0.5200302624118931,0.30723680602500714,0.2939937710762024
1,11,total_losses,strong,ft25+L0,0.5337822938392816,0.31618642821023557,0.2939937710762024
1,11,total_losses,strong,ft50,0.5171837010027367,0.30108058524374914,0.2939937710762024
1,11,total_losses,strong,ft50+L0,0.5283804104751628,0.3102307397079782,0.2939937710762024
1,4,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5357358085689279,0.24218209603077256,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.631069417376239,0.278835214735633,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5632080681775276,0.2568242768913208,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.6438618307766151,0.30033122798592404,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.5835746447361294,0.26708210023262813,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.6404344043526355,0.2908719812186944,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.5935000969026885,0.27928947253594116,0.2939406633377075
1,4,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.6441250167467366,0.29986659227167245,0.2939406633377075
4,40,metered_load_mw,strong,oracle,0.6025760091382559,0.27264353389437934,0.2936915159225464
4,40,metered_load_mw,strong,L0,0.7442802946005991,0.23637090502404123,0.2936915159225464
4,40,metered_load_mw,strong,ft5,0.6468687860339484,0.2982131173696553,0.2936915159225464
4,40,metered_load_mw,strong,ft5+L0,0.7555482478703459,0.247808197808304,0.2936915159225464
4,40,metered_load_mw,strong,ft25,0.6664225805015914,0.31288780805580807,0.2936915159225464
4,40,metered_load_mw,strong,ft25+L0,0.755554397683453,0.2456169204194133,0.2936915159225464
4,40,metered_load_mw,strong,ft50,0.7016968119178368,0.3236430980962325,0.2936915159225464
4,40,metered_load_mw,strong,ft50+L0,0.7527831857187142,0.2432201167340775,0.2936915159225464
4,15,metered_load_mw,strong,oracle,0.6893147667090018,0.3046358396113412,0.2894765138626098
4,15,metered_load_mw,strong,L0,0.7648441141694102,0.2569347245928524,0.2894765138626098
4,15,metered_load_mw,strong,ft5,0.7113865640959747,0.32409679602453745,0.2894765138626098
4,15,metered_load_mw,strong,ft5+L0,0.7782585679406515,0.2705185178786096,0.2894765138626098
4,15,metered_load_mw,strong,ft25,0.7017312079012048,0.3114182990271458,0.2894765138626098
4,15,metered_load_mw,strong,ft25+L0,0.7729773304049512,0.2630398531409115,0.2894765138626098
4,15,metered_load_mw,strong,ft50,0.7327875529810997,0.32396635986918887,0.2894765138626098
4,15,metered_load_mw,strong,ft50+L0,0.7788973206550689,0.26933425167043223,0.2894765138626098
4,14,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5411710019455815,0.2984295164491043,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.6424841013585778,0.2902498987179718,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5525546889289565,0.28973368957594103,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.6536308351300416,0.3101002323393506,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.5828627349407448,0.301994932509943,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.6463725425288337,0.29681011939489255,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.6024989656336741,0.31470111934082956,0.2871468663215637
4,14,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.6405662587155758,0.29630783424051166,0.2871468663215637
3,4,metered_load_mw,strong,oracle,0.6046364886530208,0.29014383686583645,0.2778694033622741
3,4,metered_load_mw,strong,L0,0.7506228912985347,0.2427135017219768,0.2778694033622741
3,4,metered_load_mw,strong,ft5,0.6232128469545857,0.2745571782902926,0.2778694033622741
3,4,metered_load_mw,strong,ft5+L0,0.7393205850322089,0.23158053497016695,0.2778694033622741
3,4,metered_load_mw,strong,ft25,0.6362993565843971,0.29107325564023,0.2778694033622741
3,4,metered_load_mw,strong,ft25+L0,0.7417369561017783,0.23179947883773855,0.2778694033622741
3,4,metered_load_mw,strong,ft50,0.6545530540941094,0.276499340272505,0.2778694033622741
3,4,metered_load_mw,strong,ft50+L0,0.7450005556429289,0.23543748665829223,0.2778694033622741
14,38,net_actual_interchange_mw,strong,oracle,0.29701625824612665,0.2359461755776655,0.2738834619522095
14,38,net_actual_interchange_mw,strong,L0,0.3711792640174749,0.29287468027279007,0.2738834619522095
14,38,net_actual_interchange_mw,strong,ft5,0.3246777114803867,0.251799215307398,0.2738834619522095
14,38,net_actual_interchange_mw,strong,ft5+L0,0.36305096634201406,0.28429423326048997,0.2738834619522095
14,38,net_actual_interchange_mw,strong,ft25,0.3519571075917848,0.2698327592480918,0.2738834619522095
14,38,net_actual_interchange_mw,strong,ft25+L0,0.3561307308085898,0.27562037879125645,0.2738834619522095
14,38,net_actual_interchange_mw,strong,ft50,0.349062875846606,0.27729161129433455,0.2738834619522095
14,38,net_actual_interchange_mw,strong,ft50+L0,0.36730810286871707,0.2853746443941413,0.2738834619522095
1,18,total_losses,strong,oracle,0.4135238325335425,0.21271378997652113,0.2721614241600036
1,18,total_losses,strong,L0,0.46233741885449375,0.24287126931720948,0.2721614241600036
1,18,total_losses,strong,ft5,0.4496148831037313,0.24257689360286927,0.2721614241600036
1,18,total_losses,strong,ft5+L0,0.4568269204193848,0.23819806742436467,0.2721614241600036
1,18,total_losses,strong,ft25,0.45421933651230373,0.24142588012541777,0.2721614241600036
1,18,total_losses,strong,ft25+L0,0.4605748744813035,0.24297900885225754,0.2721614241600036
1,18,total_losses,strong,ft50,0.4533837568929482,0.23728064113396063,0.2721614241600036
1,18,total_losses,strong,ft50+L0,0.4642109141578731,0.24606124339068847,0.2721614241600036
4,16,total_gen,strong,oracle,0.6711352958497097,0.2001065881291636,0.2577068209648132
4,16,total_gen,strong,L0,0.8045898839672757,0.24818636500497704,0.2577068209648132
4,16,total_gen,strong,ft5,0.6850955108873329,0.21173262411142324,0.2577068209648132
4,16,total_gen,strong,ft5+L0,0.8026450613072558,0.24498434248100953,0.2577068209648132
4,16,total_gen,strong,ft25,0.6974592333399936,0.21565619453827045,0.2577068209648132
4,16,total_gen,strong,ft25+L0,0.7987863393805894,0.2399671866484272,0.2577068209648132
4,16,total_gen,strong,ft50,0.7163827298619577,0.23285849806797798,0.2577068209648132
4,16,total_gen,strong,ft50+L0,0.8031833023804826,0.24493033041865275,0.2577068209648132
4,29,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5224619964039714,0.21777757397349295,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.5877451707285329,0.23551096808792693,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5341621458235681,0.2193198226223827,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.5173191533048584,0.17378855051416742,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.5520824805880429,0.22820692997537384,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.5970197812844742,0.24745735815053305,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.5643657226339178,0.23306711233571642,0.2554516792297363
4,29,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.5842754365395729,0.24001701206450876,0.2554516792297363
4,30,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5370565646747869,0.22862266049992896,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.6042056734709749,0.25197147083036886,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5536800282973495,0.224286470330345,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.6111064724381645,0.2615226113394469,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.5680306978204968,0.2294886989265149,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.6113891950193886,0.2615531482324327,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.5822625038362603,0.24104714178868425,0.2552580833435058
4,30,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.6107775443441253,0.2640999424079896,0.2552580833435058
3,31,total_gen,strong,oracle,0.37060360732531605,0.19590749358020287,0.2529433369636535
3,31,total_gen,strong,L0,0.501242885861505,0.25814746868194205,0.2529433369636535
3,31,total_gen,strong,ft5,0.3854354524759964,0.1892829258466172,0.2529433369636535
3,31,total_gen,strong,ft5+L0,0.48779806177956486,0.2382616265759877,0.2529433369636535
3,31,total_gen,strong,ft25,0.39322519949190315,0.1859836591594175,0.2529433369636535
3,31,total_gen,strong,ft25+L0,0.4959716892193964,0.2408832068295258,0.2529433369636535
3,31,total_gen,strong,ft50,0.39764959508369213,0.18368391129196826,0.2529433369636535
3,31,total_gen,strong,ft50+L0,0.49136945263175913,0.2522476373278518,0.2529433369636535
3,32,total_gen,strong,oracle,0.37746998409778354,0.20277387035267036,0.2526693940162658
3,32,total_gen,strong,L0,0.4905511198659094,0.24745570268634642,0.2526693940162658
3,32,total_gen,strong,ft5,0.3879560758118026,0.19180354918242337,0.2526693940162658
3,32,total_gen,strong,ft5+L0,0.4921994095804906,0.24266297437691342,0.2526693940162658
3,32,total_gen,strong,ft25,0.3913646764624419,0.18412313612995623,0.2526693940162658
3,32,total_gen,strong,ft25+L0,0.48744019551568574,0.23235171312581515,0.2526693940162658
3,32,total_gen,strong,ft50,0.3967380667315009,0.18277238293977704,0.2526693940162658
3,32,total_gen,strong,ft50+L0,0.4912877627783159,0.25216594747440857,0.2526693940162658
19,38,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5332153854456241,0.19468757235471934,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.5829604903713246,0.24277378735829525,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5362800060551367,0.2070853434722859,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.5845528406208143,0.2452028425428846,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.55971030019685,0.22251954275366026,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.5855471497373697,0.24545143055324026,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.571312149565979,0.22855184797689254,0.2512210011482239
19,38,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.5870200949707988,0.24626923215961483,0.2512210011482239
1,13,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.48904955035859876,0.19549583782044344,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.5561963128125453,0.2300526184834616,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5092330619218748,0.20284927063566804,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.5581517641786087,0.23194017348580764,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.5313937277835006,0.2149011832799993,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.5566983500340887,0.23138346684407973,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.5317835533531798,0.21757292898643255,0.2469436526298523
1,13,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.5544203261015361,0.22909278920827436,0.2469436526298523
20,38,da_as_total_mw_thirty_minutes_reserve,strong,oracle,0.5253476020107177,0.186819788919813,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,L0,0.5714599341606184,0.23127323114758902,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,ft5,0.5216605730626596,0.19246591047980877,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,ft5+L0,0.5751819392558989,0.23583194117796924,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,ft25,0.5475101888068674,0.2103194313636777,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,ft25+L0,0.578365170310132,0.23826945112600262,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,ft50,0.5578180167695388,0.21505771518045236,0.2440103888511657
20,38,da_as_total_mw_thirty_minutes_reserve,strong,ft50+L0,0.577815681919646,0.2370648191084621,0.2440103888511657
3,33,total_gen,strong,oracle,0.36381903402685123,0.18912292028173805,0.2437062263488769
3,33,total_gen,strong,L0,0.44528806883431016,0.2021926516547472,0.2437062263488769
3,33,total_gen,strong,ft5,0.3840898414162386,0.18793731478685938,0.2437062263488769
3,33,total_gen,strong,ft5+L0,0.44064228957879037,0.1911058543752132,0.2437062263488769
3,33,total_gen,strong,ft25,0.3961162264624858,0.18887468613000014,0.2437062263488769
3,33,total_gen,strong,ft25+L0,0.4463793584803555,0.1912908760904849,0.2437062263488769
3,33,total_gen,strong,ft50,0.40829713471031914,0.19433145091859527,0.2437062263488769
3,33,total_gen,strong,ft50+L0,0.44347289354040176,0.20435107823649445,0.2437062263488769
39,40,total_losses,strong,oracle,0.20211112388518615,-0.032173828739229804,0.2431753277778625
39,40,total_losses,strong,L0,0.4172209950214103,0.19665811130163013,0.2431753277778625
39,40,total_losses,strong,ft5,0.21032611705737037,0.009458556247752492,0.2431753277778625
39,40,total_losses,strong,ft5+L0,0.26171257817166416,0.03713060776557642,0.2431753277778625
