field,conf,M0,M1,M2,M3,W1,W2,W3
dam_load_forecast__mw__pge_tac,dam_as_total_procured__mw__sr__as_caiso,0.04854470491409302,0.08883970975875854,0.11619079113006592,0.12932252883911133,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,"dam_renewable_forecast__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd","actual_renewable_generation__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__pge_tac,dam_as_total_procured__mw__nr__as_caiso,0.20708763599395752,0.23302245140075684,0.253157377243042,0.25861436128616333,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco","rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco,rtpd_eim_transfer__mw__export__pge__malin500"
dam_load_forecast__mw__sce_tac,actual_load__mw__ca_iso_tac,0.8241048455238342,0.8530138731002808,0.8567143082618713,0.8567143082618713,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,"actual_renewable_generation__mw__sp15__wind,rtpd_eim_transfer__mw__export__srp__pvwest","actual_renewable_generation__mw__sp15__wind,rtpd_eim_transfer__mw__export__srp__pvwest"
dam_load_forecast__mw__sce_tac,dam_schedule__mw__generation__caiso_totals,0.8079079389572144,0.8459402322769165,0.8484864234924316,0.8484864234924316,rtpd_eim_transfer__mw__export__srp__pvwest,"actual_renewable_generation__mw__sp15__wind,rtpd_eim_transfer__mw__export__srp__pvwest","actual_renewable_generation__mw__sp15__wind,rtpd_eim_transfer__mw__export__srp__pvwest"
dam_load_forecast__mw__sce_tac,dam_schedule__mw__import__caiso_totals,0.07325834035873413,0.1426137089729309,0.16419315338134766,0.1848779320716858,dam_load_forecast__mw__ca_iso_tac,"dam_load_forecast__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd","dam_load_forecast__mw__ca_iso_tac,dam_renewable_forecast__mw__np15__wind,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__sce_tac,dam_schedule__mw__export__caiso_totals,0.4066886901855469,0.4687143564224243,0.4810764193534851,0.4810764193534851,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,"dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,actual_load__mw__bpat","dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,actual_load__mw__bpat"
dam_load_forecast__mw__sce_tac,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.2454700469970703,0.3715577721595764,0.38606202602386475,0.38606202602386475,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_renewable_generation__mw__sp15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_renewable_generation__mw__sp15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__sce_tac,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.036847054958343506,0.17342346906661987,0.1873440146446228,0.205244779586792,dam_load_forecast__mw__ca_iso_tac,"dam_load_forecast__mw__ca_iso_tac,actual_renewable_generation__mw__zp26__wind","dam_load_forecast__mw__ca_iso_tac,dam_renewable_forecast__mw__sp15__wind,dam_renewable_forecast__mw__zp26__wind"
dam_load_forecast__mw__sce_tac,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.22256940603256226,0.28321731090545654,0.30155497789382935,0.320542573928833,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_renewable_generation__mw__np15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_renewable_generation__mw__np15__wind,actual_renewable_generation__mw__sp15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__sce_tac,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.07003849744796753,0.12509465217590332,0.16446220874786377,0.2017388939857483,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_load__mw__pace,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","dam_renewable_forecast__mw__sp15__solar,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat"
dam_load_forecast__mw__sce_tac,dam_as_total_procured__mw__ru__as_caiso,0.051906704902648926,0.11952006816864014,0.1387142539024353,0.13878655433654785,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_load__mw__pace,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_load__mw__pace,dam_renewable_forecast__mw__sp15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__sce_tac,dam_as_total_procured__mw__rd__as_caiso,0.061753809452056885,0.25649482011795044,0.25846588611602783,0.25992757081985474,dam_load_forecast__mw__ca_iso_tac,"dam_load_forecast__mw__ca_iso_tac,dam_renewable_forecast__mw__zp26__wind","dam_load_forecast__mw__ca_iso_tac,actual_renewable_generation__mw__np15__wind,dam_renewable_forecast__mw__zp26__wind"
dam_load_forecast__mw__sce_tac,dam_as_total_procured__mw__sr__as_caiso,0.09478038549423218,0.14758414030075073,0.1669018268585205,0.17434650659561157,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,"dam_renewable_forecast__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd","actual_renewable_generation__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__sce_tac,dam_as_total_procured__mw__nr__as_caiso,0.1833900809288025,0.21369510889053345,0.23610085248947144,0.24038761854171753,dam_renewable_forecast__mw__np15__solar,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco","rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco,rtpd_eim_transfer__mw__export__pge__malin500"
dam_load_forecast__mw__sdge_tac,actual_load__mw__ca_iso_tac,0.49069130420684814,0.725442111492157,0.725442111492157,0.725442111492157,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__solar
dam_load_forecast__mw__sdge_tac,dam_schedule__mw__generation__caiso_totals,0.45748627185821533,0.6518423557281494,0.6590362787246704,0.6590362787246704,dam_renewable_forecast__mw__sp15__solar,"actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__sp15__solar","actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__sp15__solar"
dam_load_forecast__mw__sdge_tac,dam_schedule__mw__import__caiso_totals,0.25390470027923584,0.27800506353378296,0.2920297384262085,0.2920297384262085,actual_load__mw__pace,"actual_load__mw__pace,actual_load__mw__bpat","actual_load__mw__pace,actual_load__mw__bpat"
dam_load_forecast__mw__sdge_tac,dam_schedule__mw__export__caiso_totals,0.20200693607330322,0.23753297328948975,0.26154518127441406,0.2887154817581177,dam_renewable_forecast__mw__np15__wind,"dam_renewable_forecast__mw__np15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd","dam_renewable_forecast__mw__np15__wind,dam_renewable_forecast__mw__sp15__wind,rtpd_eim_transfer__mw__import__ladwp__sylmar"
dam_load_forecast__mw__sdge_tac,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.617199182510376,0.637538492679596,0.6505697965621948,0.6505697965621948,actual_renewable_generation__mw__sp15__wind,"actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind","actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind"
dam_load_forecast__mw__sdge_tac,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2099660038948059,0.27429676055908203,0.291900634765625,0.30372148752212524,dam_load_forecast__mw__sce_tac,"dam_load_forecast__mw__sce_tac,dam_renewable_forecast__mw__sp15__wind","dam_renewable_forecast__mw__zp26__wind,actual_load__mw__bpat,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__sdge_tac,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.29602038860321045,0.3467820882797241,0.36739474534988403,0.38177114725112915,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,"actual_renewable_generation__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd","actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__np15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__sdge_tac,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.19452226161956787,0.24043816328048706,0.2806193232536316,0.3153667449951172,actual_load__mw__pace,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_load__mw__pace,actual_renewable_generation__mw__zp26__wind,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__sdge_tac,dam_as_total_procured__mw__ru__as_caiso,0.10090351104736328,0.1565704345703125,0.17343437671661377,0.17349481582641602,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_load__mw__bpat,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_load__mw__pace,dam_renewable_forecast__mw__sp15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__sdge_tac,dam_as_total_procured__mw__rd__as_caiso,0.24816888570785522,0.3719421625137329,0.38640910387039185,0.38640910387039185,dam_load_forecast__mw__sce_tac,"dam_load_forecast__mw__sce_tac,dam_renewable_forecast__mw__np15__wind","dam_load_forecast__mw__sce_tac,dam_renewable_forecast__mw__np15__wind"
dam_load_forecast__mw__sdge_tac,dam_as_total_procured__mw__sr__as_caiso,0.06500816345214844,0.10118520259857178,0.11611348390579224,0.13524556159973145,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,"dam_renewable_forecast__mw__sp15__wind,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd","actual_renewable_generation__mw__sp15__wind,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat"
dam_load_forecast__mw__sdge_tac,dam_as_total_procured__mw__nr__as_caiso,0.14052975177764893,0.1706453561782837,0.1818298101425171,0.19112765789031982,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco","actual_renewable_generation__mw__sp15__solar,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco"
dam_load_forecast__mw__ca_iso_tac,actual_load__mw__ca_iso_tac,0.7609627842903137,0.8431870341300964,0.8431870341300964,0.8431870341300964,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__solar
dam_load_forecast__mw__ca_iso_tac,dam_schedule__mw__generation__caiso_totals,0.7317264080047607,0.8171141147613525,0.8218821883201599,0.8218821883201599,rtpd_eim_transfer__mw__export__srp__pvwest,"actual_renewable_generation__mw__sp15__wind,rtpd_eim_transfer__mw__export__srp__pvwest","actual_renewable_generation__mw__sp15__wind,rtpd_eim_transfer__mw__export__srp__pvwest"
dam_load_forecast__mw__ca_iso_tac,dam_schedule__mw__import__caiso_totals,0.162011981010437,0.2313673496246338,0.2313673496246338,0.23447036743164062,dam_load_forecast__mw__sce_tac,dam_load_forecast__mw__sce_tac,"dam_load_forecast__mw__sce_tac,dam_renewable_forecast__mw__np15__wind,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__ca_iso_tac,dam_schedule__mw__export__caiso_totals,0.36645984649658203,0.44187021255493164,0.44810259342193604,0.45046466588974,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,"actual_load__mw__bpat,dam_schedule__mw__load__tac_south","actual_renewable_generation__mw__zp26__wind,actual_load__mw__bpat,dam_schedule__mw__load__tac_south"
dam_load_forecast__mw__ca_iso_tac,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.43100160360336304,0.4989379644393921,0.5082579851150513,0.5082579851150513,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind","actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind"
dam_load_forecast__mw__ca_iso_tac,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.07397204637527466,0.21054846048355103,0.224820077419281,0.2330113649368286,dam_load_forecast__mw__sce_tac,"dam_load_forecast__mw__sce_tac,dam_renewable_forecast__mw__sp15__wind","actual_load__mw__pace,dam_renewable_forecast__mw__zp26__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__ca_iso_tac,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.32621127367019653,0.3906450867652893,0.3959314823150635,0.40249353647232056,dam_renewable_forecast__mw__np15__wind,"actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__np15__wind","actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__np15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__ca_iso_tac,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.10350793600082397,0.15386903285980225,0.19018328189849854,0.23186147212982178,actual_load__mw__pace,"actual_load__mw__pace,rtpd_eim_transfer__mw__export__banc__ranchoseco","actual_renewable_generation__mw__sp15__wind,actual_load__mw__bpat,rtpd_eim_transfer__mw__export__banc__ranchoseco"
dam_load_forecast__mw__ca_iso_tac,dam_as_total_procured__mw__ru__as_caiso,0.06664794683456421,0.12700265645980835,0.15078145265579224,0.15539014339447021,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_load__mw__pace,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__ca_iso_tac,dam_as_total_procured__mw__rd__as_caiso,0.11408859491348267,0.3088296055793762,0.3088296055793762,0.3088296055793762,dam_load_forecast__mw__sce_tac,dam_load_forecast__mw__sce_tac,dam_load_forecast__mw__sce_tac
dam_load_forecast__mw__ca_iso_tac,dam_as_total_procured__mw__sr__as_caiso,0.061816513538360596,0.12430739402770996,0.15111011266708374,0.15970242023468018,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,"dam_renewable_forecast__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd","actual_renewable_generation__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__ca_iso_tac,dam_as_total_procured__mw__nr__as_caiso,0.20996618270874023,0.2357240915298462,0.257568359375,0.26160573959350586,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco","rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco,rtpd_eim_transfer__mw__export__pge__malin500"
actual_load__mw__pace,actual_load__mw__ca_iso_tac,0.5298205018043518,0.5730612277984619,0.5798130035400391,0.5827329158782959,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,"rtpd_eim_transfer__mw__import__nevp__eldorado230,rtpd_eim_transfer__mw__export__srp__pvwest","actual_renewable_generation__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__export__srp__pvwest"
actual_load__mw__pace,dam_schedule__mw__generation__caiso_totals,0.6284662485122681,0.6477672457695007,0.6480870246887207,0.6481385231018066,rtpd_eim_transfer__mw__import__nevp__eldorado230,"actual_renewable_generation__mw__zp26__wind,rtpd_eim_transfer__mw__import__nevp__eldorado230","dam_renewable_forecast__mw__zp26__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__import__nevp__eldorado230"
actual_load__mw__pace,dam_schedule__mw__import__caiso_totals,0.013386845588684082,0.09910231828689575,0.11810386180877686,0.1284767985343933,actual_renewable_generation__mw__zp26__solar,"actual_renewable_generation__mw__np15__solar,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd","dam_renewable_forecast__mw__sp15__wind,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat"
actual_load__mw__pace,dam_schedule__mw__export__caiso_totals,0.5415055155754089,0.5818029046058655,0.5882757902145386,0.5882757902145386,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__import__ladwp__sylmar","rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__import__ladwp__sylmar"
actual_load__mw__pace,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.024761557579040527,0.18797779083251953,0.2122325301170349,0.21866333484649658,dam_renewable_forecast__mw__np15__solar,"actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__zp26__solar","actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__zp26__solar,rtpd_eim_transfer__mw__export__banc__ranchoseco"
actual_load__mw__pace,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.02956557273864746,0.1921953558921814,0.2222244143486023,0.2222244143486023,actual_load__mw__nevp,"actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind","actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind"
actual_load__mw__pace,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.10285520553588867,0.18625164031982422,0.20580178499221802,0.21076273918151855,dam_renewable_forecast__mw__zp26__solar,"dam_renewable_forecast__mw__zp26__solar,rtpd_eim_transfer__mw__export__banc__ranchoseco","dam_renewable_forecast__mw__np15__solar,rtpd_eim_transfer__mw__export__banc__ranchoseco,rtpd_eim_transfer__mw__import__ladwp__sylmar"
actual_load__mw__pace,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.0153731107711792,0.14542603492736816,0.16124314069747925,0.17356747388839722,actual_load__mw__nevp,"actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind","actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind,rtpd_eim_transfer__mw__export__banc__ranchoseco"
actual_load__mw__pace,dam_as_total_procured__mw__ru__as_caiso,0.04553961753845215,0.11114650964736938,0.13125765323638916,0.13632869720458984,dam_schedule__mw__load__tac_south,"dam_renewable_forecast__mw__sp15__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd","dam_renewable_forecast__mw__sp15__wind,dam_renewable_forecast__mw__zp26__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd"
actual_load__mw__pace,dam_as_total_procured__mw__rd__as_caiso,0.10535836219787598,0.21449589729309082,0.22593486309051514,0.2267330288887024,dam_schedule__mw__load__tac_south,"actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind","actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind,dam_renewable_forecast__mw__zp26__wind"
actual_load__mw__pace,dam_as_total_procured__mw__sr__as_caiso,0.06683468818664551,0.09722542762756348,0.12880760431289673,0.14123958349227905,actual_load__mw__bpat,"rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat","actual_renewable_generation__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat"
actual_load__mw__pace,dam_as_total_procured__mw__nr__as_caiso,0.09347862005233765,0.13977575302124023,0.1605534553527832,0.1807553768157959,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd","rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rtpd_eim_transfer__mw__export__banc__ranchoseco"
actual_load__mw__nevp,actual_load__mw__ca_iso_tac,0.6286746263504028,0.6984248161315918,0.7237390279769897,0.7490559220314026,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,"dam_renewable_forecast__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd","actual_renewable_generation__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,rtpd_eim_transfer__mw__export__srp__pvwest"
actual_load__mw__nevp,dam_schedule__mw__generation__caiso_totals,0.6959418058395386,0.7307051420211792,0.7546443343162537,0.7546443343162537,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,"dam_renewable_forecast__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd","dam_renewable_forecast__mw__sp15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd"
actual_load__mw__nevp,dam_schedule__mw__import__caiso_totals,0.03919994831085205,0.09664732217788696,0.15020763874053955,0.1771799921989441,dam_renewable_forecast__mw__np15__solar,"dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat","dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat,rtpd_eim_transfer__mw__import__ladwp__sylmar"
actual_load__mw__nevp,dam_schedule__mw__export__caiso_totals,0.5059494376182556,0.5480914115905762,0.5611254572868347,0.5620018839836121,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,"rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,rtpd_eim_transfer__mw__import__nevp__eldorado230","dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,rtpd_eim_transfer__mw__import__nevp__eldorado230"
actual_load__mw__nevp,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.14010989665985107,0.25812244415283203,0.28390222787857056,0.29062044620513916,actual_load__mw__pace,"actual_load__mw__bpat,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","dam_renewable_forecast__mw__sp15__wind,actual_load__mw__bpat,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
actual_load__mw__nevp,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.04297584295272827,0.2056056261062622,0.2404005527496338,0.24324220418930054,actual_load__mw__pace,"actual_load__mw__pace,dam_renewable_forecast__mw__sp15__wind","actual_load__mw__pace,dam_renewable_forecast__mw__sp15__wind,rtpd_eim_transfer__mw__export__banc__ranchoseco"
