scheme,mode,K,all_parent_mae,all_parent_bias,all_pair_mae,all_syn_mae,all_s1_spearman,all_top30_recall,all_top30_precision,all_top30_f1,tune_parent_mae,tune_parent_bias,tune_pair_mae,tune_syn_mae,tune_s1_spearman,tune_top30_recall,tune_top30_precision,tune_top30_f1,test_parent_mae,test_parent_bias,test_pair_mae,test_syn_mae,test_s1_spearman,test_top30_recall,test_top30_precision,test_top30_f1,extreme_n,extreme_parent_true_mean,extreme_parent_est_mean,extreme_parent_error_mean,extreme_pair_true_mean,extreme_pair_est_mean,extreme_pair_error_mean,extreme_syn_true_mean,extreme_syn_est_mean,extreme_negative_count,extreme_top30_hit,extreme_conf_match,extreme_monotonicity_violation
local234_uniform10,single,25,0.2116190598533567,0.20568219962899315,0.21995520463078813,0.01250492518194939,0.8424703415089253,0.8766066398153632,0.2485100840398556,0.3872408704120266,0.2112226534951149,0.20524107122269025,0.21946712111749606,0.012483931002025432,0.8330423265621573,0.8799324402202341,0.24894886156979698,0.3880978078099215,0.2122138190683958,0.20634405880256404,0.22068751419445579,0.012536424378953555,0.8564081727857984,0.8715523025970072,0.24783984569423229,0.38593336306642667,15,0.5709681749343872,0.291432785987854,-0.2795353889465332,0.2789422790209452,0.24939899444580077,-0.029543284575144456,0.29202589591344197,0.04203379154205322,3,10,5,3
local234_uniform10,single,50,0.21614881678408682,0.21225158257082966,0.22321625072264845,0.01063855349057333,0.8691636751914592,0.9186562726597977,0.25871708517520614,0.4037327183579254,0.21570033232849045,0.21169436289796636,0.22268305622569398,0.01066104706164959,0.8611639939522798,0.9268705281543412,0.2590385269161122,0.4049133029695868,0.21682171280914259,0.21308762247873234,0.22401624379510648,0.010604804640690904,0.8798346856988416,0.9061727762941247,0.2582190016214351,0.40191116775158414,15,0.5709681749343872,0.3739194869995117,-0.19704868793487548,0.2789422790209452,0.2550932248433431,-0.023849054177602132,0.29202589591344197,0.11882626215616862,0,12,9,0
local234_uniform10,hybrid_uniform_pairs,0,0.19133142587555316,0.17924424280462414,0.19860664417108342,0.02190182444955444,0.4221828380256152,0.6840804426828772,0.19045280975606413,0.2979533186297509,0.19083548233529993,0.178761514538102,0.19798705807185465,0.0220392405294997,0.4217831836226745,0.6951528961157559,0.1864348381877831,0.29401660812691616,0.1920755284475023,0.1799685174760682,0.19953625726725285,0.021695648443184373,0.42026525164131656,0.6672532412060981,0.19718106845134764,0.3044064900218527,15,0.5709681749343872,0.19713757038116456,-0.37383060455322265,0.2789422790209452,0.20900265375773108,-0.06993962526321411,0.29202589591344197,-0.011865083376566558,10,4,1,10
local234_uniform10,hybrid_uniform_pairs,1,0.19570635789637542,0.18518116921837924,0.1998730086539525,0.019404813142728742,0.44548661991530925,0.7037274899307612,0.19660761049669898,0.3073481866261511,0.19513444268531388,0.18463951259068112,0.19937117020559408,0.01955253936105467,0.4510393514426402,0.7179334864215483,0.19483025526793588,0.3064871182678814,0.1965644466604119,0.18599385868213889,0.2006259558138969,0.019183168035818935,0.4359078870185986,0.6821381315669627,0.19951887550549013,0.3087355555684301,15,0.5709681749343872,0.21111146211624143,-0.35985671281814574,0.2789422790209452,0.2039268175760905,-0.07501546144485473,0.29202589591344197,0.007184644540150938,8,2,2,8
local234_uniform10,hybrid_uniform_pairs,5,0.2003456494816175,0.19173536546365352,0.20743359279600618,0.016882329662797724,0.654346566842302,0.8633952424852357,0.23695756277689,0.37185897358388886,0.19957818510639289,0.19102358659237798,0.2068061317628403,0.017017964033276062,0.6642186364411627,0.8591857361976788,0.22649632079945575,0.3584887617474176,0.2014971358286166,0.19280330252863623,0.20837502126654978,0.01667882689337743,0.6365690635317084,0.8697925789787138,0.2546114094272095,0.39391378317158426,15,0.5709681749343872,0.2309168855349223,-0.34005128939946494,0.2789422790209452,0.22055049339930216,-0.058391785621643065,0.29202589591344197,0.010366392135620128,6,3,2,6
local234_uniform10,hybrid_uniform_pairs,10,0.20463584972683885,0.19694379190631572,0.21017722899571598,0.013970631960172385,0.695156492675172,0.8875908263513528,0.2515459433573386,0.3919983581725081,0.20406793424113143,0.196426257772826,0.2095692968225275,0.014056386533149973,0.6910210972666669,0.8931376286694626,0.24188150468894673,0.3806693070938209,0.2054879373926019,0.19772028852043544,0.21108935680246024,0.013841967720939735,0.6993300131190371,0.8791611534947897,0.2680831202298231,0.4108772135310894,15,0.5709681749343872,0.24545493125915527,-0.32551324367523193,0.2789422790209452,0.23169225056966142,-0.04725002845128379,0.29202589591344197,0.013762680689493828,5,5,2,5
local234_uniform10,hybrid_uniform_pairs,25,0.2116190598533567,0.20568219962899315,0.2169535150119879,0.012031614208071991,0.7914237283600531,0.8864962043836215,0.24765782641451037,0.38715680082335935,0.2112226534951149,0.20524107122269025,0.21647984507148577,0.012034437611851667,0.7891896983082631,0.8881309347542757,0.24407920657944723,0.3829223674646303,0.2122138190683958,0.20634405880256404,0.21766419877410048,0.012027378036323413,0.7933075331224816,0.884011846470178,0.2533287822086033,0.3938057585868901,15,0.5709681749343872,0.291432785987854,-0.2795353889465332,0.2789422790209452,0.2447756767272949,-0.03416660229365031,0.29202589591344197,0.04665710926055908,2,9,5,2
local234_uniform10,hybrid_uniform_pairs,50,0.21614881678408682,0.21225158257082966,0.22165514508349754,0.010722971182330353,0.8369506213897768,0.9029914676169432,0.2618331410127794,0.4059548373587661,0.21570033232849045,0.21169436289796636,0.2211274769856325,0.010767385566732705,0.8309925421687016,0.8993022369202671,0.26019700101635246,0.4036151769626975,0.21682171280914259,0.21308762247873234,0.22244684647062796,0.010656332835456321,0.8455005520211182,0.9085981227818187,0.2643333249707572,0.409525660373921,15,0.5709681749343872,0.3739194869995117,-0.19704868793487548,0.2789422790209452,0.25284118254979454,-0.026101096471150713,0.29202589591344197,0.12107830444971719,1,12,9,1
triple50_pair40_uniform10,single,0,0.1861455493666347,0.17203742076374964,0.20088735447546668,0.022493219799024602,0.6746696876857596,0.8019627261701813,0.22666281165131538,0.3534330418011296,0.18577082085037294,0.17174803874434766,0.20041831678510486,0.02235073619412323,0.6826544480014534,0.8384390321751236,0.2232815960858601,0.3526502176591928,0.18670778363344398,0.17247160305958706,0.20159108811329404,0.02270699900625768,0.6620012127931257,0.7465283859858093,0.23267685154154794,0.35477725767927926,15,0.5709681749343872,0.18229285081227617,-0.388675324122111,0.2789422790209452,0.19936375617980953,-0.07957852284113566,0.29202589591344197,-0.017070905367533362,14,1,1,14
triple50_pair40_uniform10,single,1,0.19061343412831727,0.1780871444498579,0.2032537946299213,0.01961478583508999,0.6727987412562436,0.8174954493244037,0.2256884249941576,0.35372337502520584,0.19022408751912598,0.17777918214687316,0.2027933139740394,0.019518926593512252,0.6750031516687949,0.8578088288751563,0.22362272353050222,0.3547622522291948,0.19119760105411493,0.17854920418673306,0.20394468948500816,0.019758610892608976,0.6719417198977928,0.7562297719365854,0.22934047833188206,0.35194669802077216,15,0.5709681749343872,0.19713084300359088,-0.3738373319307963,0.2789422790209452,0.20311591625213624,-0.075826362768809,0.29202589591344197,-0.005985073248545332,12,2,2,12
