game,method,budget,phi_MAE,size_part_MAE,field_part_MAE,bound_2eps_mean,bound_margerr_mean,bound_margerr_max,bound_holds_all,actual_max,full_set_err
gameA,exact_L0,0.0,0.0066454295877283786,0.0024256108401806828,0.005736410920913764,0.7582740783691406,0.01258234997938987,0.024474233989065525,True,0.01888350286166236,0.033958550542593
gameA,exact_L0x,0.0,0.005647626345103513,0.0019437755819082733,0.005212381502014748,0.8532862663269043,0.01274079429492459,0.022257075170567197,True,0.017033215652757346,0.027212858200073242
gameA,exact_L1,0.0,0.007048428673302708,0.0032139046135333904,0.005871602119862112,0.5349472761154175,0.013149480930848995,0.024885970740839924,True,0.0213211292741458,0.04499466344714165
gameA,exact_L1x,0.0,0.0060476652109860045,0.0027063551006858595,0.005575228177241413,0.7028687596321106,0.013189609301673724,0.02453258902525739,True,0.019501820735100973,0.03788897022604942
gameA,exact_L1ens,0.0,0.005963557514222002,0.0013531435847870875,0.00591616109932103,0.5857692360877991,0.013284269971369726,0.023291919317138633,True,0.018176674169927045,0.018944010138511658
gameA,exact_L0ensx,0.0,0.008243424309858369,0.0010651921138993211,0.00826073234143843,1.529165267944336,0.021135335709406993,0.03348992801864057,True,0.026336875907982383,0.014912690035998821
gameA,exact_Lmixx,0.0,0.005911422743808247,0.001748493210124255,0.005576704702193291,0.8988692164421082,0.014133039245334652,0.02349210228519526,True,0.01842027408904127,0.024478904902935028
gameA,exact_rffx,0.0,0.010048126584564186,0.0019882211407612283,0.009618927115415265,1.5085411071777344,0.045168456098619136,0.06595110897819027,True,0.03434332589748151,0.027835095301270485
gameA,exact_mono0,0.0,0.013724503232405285,0.005878525838765443,0.011446675326007977,0.8450049757957458,0.0195553222844086,0.050449122255921346,True,0.046453123141361206,0.0822993591427803
gameA,exact_mono1,0.0,0.014203707992755388,0.005667288042050418,0.011587980950544629,0.8676268458366394,0.020142062249128977,0.050957590388252975,True,0.04569008320874058,0.07934202998876572
gameA,exact_mono10,0.0,0.01900071215824663,0.01012950817433543,0.014375524372095258,0.9536936283111572,0.026244117853911564,0.06613070904124776,True,0.05902448922750492,0.14181311428546906
gameA,exact_mono0r,0.0,0.0066454295877283786,0.0024256108401806828,0.005736410920913764,0.7582740783691406,0.01258234997938987,0.024474233989065525,True,0.01888350286166236,0.033958550542593
gameA,exact_mono1r,0.0,0.006948923588145113,0.0021939698084939723,0.006114326000629085,1.3654102087020874,0.01398605443992645,0.028980937496659,True,0.02197607977284138,0.03071557730436325
gameA,exact_mono10r,0.0,0.007974026307080596,0.003957039362614499,0.006245236623472261,1.5385879278182983,0.015437834932112884,0.02834471159634337,True,0.023175118630427607,0.05539855360984802
