src,conf,"wind(mw,pct)","fl(latest,DA)","ss_mw(pri,sync)",top+,top−
L1x,metered_load_mw,+0.086(#1),-0.268(#91),-0.009(#48),"wind_mw×wind_pct+0.09, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.16, fl_latest_available×fl_day_ahead-0.27"
L1x,total_lmp_da,+0.014(#1),-0.121(#89),-0.002(#36),"wind_mw×wind_pct+0.01, coal_mw×as_req_mw_primary+0.00","fl_latest_available×system_energy_price_da-0.12, fl_day_ahead×system_energy_price_da-0.14"
L1ens,total_gen,+0.095(#1),-0.258(#91),-0.009(#43),"wind_mw×wind_pct+0.09, ss_mw_synchronized×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.16, fl_latest_available×fl_day_ahead-0.26"
L1ens,metered_load_mw,+0.086(#1),-0.260(#91),-0.009(#47),"wind_mw×wind_pct+0.09, ss_mw_synchronized×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.15, fl_latest_available×fl_day_ahead-0.26"
L1ens,total_lmp_da,+0.015(#1),-0.122(#89),-0.004(#44),"wind_mw×wind_pct+0.02, ss_mw_synchronized×gas_pct+0.00","fl_latest_available×system_energy_price_da-0.13, fl_day_ahead×system_energy_price_da-0.14"
L0ensx,total_gen,+0.089(#1),-0.267(#91),-0.007(#37),"wind_mw×wind_pct+0.09, ss_mw_primary×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.17, fl_latest_available×fl_day_ahead-0.27"
L0ensx,metered_load_mw,+0.082(#1),-0.274(#91),-0.007(#40),"wind_mw×wind_pct+0.08, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.16, fl_latest_available×fl_day_ahead-0.27"
L0ensx,total_lmp_da,+0.006(#1),-0.127(#88),-0.005(#48),"wind_mw×wind_pct+0.01, fl_day_ahead×as_req_mw_primary+0.01","total_lmp_rt×marginal_loss_price_rt-0.16, fl_day_ahead×system_energy_price_da-0.16"
lin,total_gen,+0.056(#1),-0.365(#91),-0.001(#29),"wind_mw×wind_pct+0.06, ss_mw_primary×gas_pct+0.00","fl_latest_available×coal_mw-0.21, fl_latest_available×fl_day_ahead-0.37"
lin,metered_load_mw,+0.057(#1),-0.380(#91),-0.001(#28),"wind_mw×wind_pct+0.06, ss_mw_synchronized×marginal_loss_price_rt-0.00","fl_latest_available×coal_mw-0.21, fl_latest_available×fl_day_ahead-0.38"
lin,total_lmp_da,+0.010(#1),-0.086(#86),-0.000(#10),"wind_mw×wind_pct+0.01, fl_day_ahead×as_req_mw_primary+0.00","total_lmp_rt×marginal_loss_price_rt-0.10, system_energy_price_da×total_lmp_rt-0.12"
poly2,total_gen,+0.093(#1),-0.306(#91),-0.005(#41),"wind_mw×wind_pct+0.09, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.18, fl_latest_available×fl_day_ahead-0.31"
poly2,metered_load_mw,+0.086(#1),-0.313(#91),-0.005(#44),"wind_mw×wind_pct+0.09, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.18, fl_latest_available×fl_day_ahead-0.31"
poly2,total_lmp_da,+0.014(#1),-0.104(#88),-0.002(#46),"wind_mw×wind_pct+0.01, gas_pct×as_req_mw_primary+0.00","system_energy_price_da×total_lmp_rt-0.12, fl_day_ahead×system_energy_price_da-0.12"
