variant,seed,n_params,r2_full,epochs_run,epochs_budget,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,K0_mae_1-2,K0_mae_3-4,K0_mae_5-8,K0_mae_9-16,K0_mae_17-32,K0_mae_33-44
B0_temp,0,398752,0.7563732266426086,395,400,0.09280659979470894,0.923057802499759,0.06823367837268084,0.9447079227358551,0.049007647735414966,0.9517627187039593,0.0410277403626345,0.9539921850934727,0.06824308019876478,0.12903621143255478,0.16243169208367667,0.19654630869627,0.14039775381485622,0.10915067344903946
B0_temp,1,398752,0.7636516094207764,400,400,0.08676262372590968,0.927746363122814,0.06571741753877117,0.9454006010180777,0.04994545283202592,0.9514944833356437,0.040647135622005164,0.9536560996507587,0.06260571773846943,0.12110418047851478,0.15465562790632248,0.19817265023787817,0.13792085299889248,0.10307182321945826
B1_alpha,0,401397,0.7361305356025696,256,400,0.0955753255944365,0.9290921329004926,0.0720387512657243,0.9437126801491108,0.050537346381624736,0.9513860052286285,0.04356332324987336,0.9504612281571082,0.06923720765113829,0.1324395241263585,0.164920437335968,0.21163964420557022,0.15238087226947147,0.128425632417202
B1_alpha,1,401397,0.7675163745880127,400,400,0.08829965520580811,0.9220757738295545,0.0640178773734977,0.9460685424779082,0.04817559912977283,0.9518347809097529,0.039436804032971194,0.9539966187448565,0.06348749581972757,0.12730051562763178,0.14863107601801553,0.19507274130980173,0.12589943011601765,0.09829040964444478
B2_enc,0,415264,0.7814574837684631,400,400,0.08366296691236964,0.9276852192078066,0.06177507615734881,0.9467314221166708,0.04365044264926522,0.9530414320169857,0.038310361556494484,0.9542286196290408,0.061365228354930856,0.1184917406584972,0.14710933615763983,0.18211781829595566,0.11569237063328425,0.08495655953884125
B2_enc,1,415264,0.7792581915855408,400,400,0.08651470207623418,0.9292268072091954,0.06173279143983337,0.9467590183422835,0.04633272155589863,0.9523405156552303,0.03758446970566879,0.9528526560847482,0.06354520362615583,0.12182269474634758,0.15398467381795247,0.19105866601069768,0.1208922803401947,0.08715752561887105
B2_enc,2,415264,0.7680055499076843,400,400,0.08596857101380724,0.9277384257267154,0.061888516882147686,0.9475893677433741,0.045400855454494904,0.9501926779560328,0.037862758472082765,0.954445832413381,0.06297118033965426,0.12031400915330802,0.14799489825963974,0.18972176810105643,0.12657454659541448,0.09732528130213419
B3_deep,0,122043,0.7681944370269775,364,400,0.090948393464391,0.9303578496297654,0.06836312950010429,0.9456070810370187,0.04911833114026968,0.9517486051365759,0.04131437246821656,0.9542551570308556,0.06704456708828606,0.12788264892804316,0.1572045514980952,0.19040422389904657,0.13248888055483501,0.09717532048622766
B3_deep,1,122043,0.7568581700325012,400,400,0.09284551891729917,0.9223930980666971,0.0650298770914223,0.9459533779790438,0.05037387035623218,0.9516760007681935,0.04042132704340664,0.9526067384428974,0.06878856740395226,0.1284721976098342,0.15911987324555715,0.19627347042163212,0.13821259091297786,0.10868247052033743
B4_train,0,398752,0.7619951367378235,500,500,0.08821517946403443,0.9285624384671775,0.06489343900870147,0.9455133608457212,0.0457501408160237,0.952510397931382,0.03985611248490369,0.9540141635626366,0.06432881931463877,0.12335781671870978,0.15233099808295567,0.19660325845082602,0.13220449139674503,0.10339754621187845
B4_train,1,398752,0.7746930718421936,500,500,0.08593064341095297,0.9284795704054676,0.06237686182137472,0.9459576858517338,0.04651557041455041,0.9520439478344239,0.038772209331569725,0.9538981424258183,0.06300182058413821,0.12248342622740147,0.14181053191423415,0.1875045935312907,0.11706145058075587,0.09041762699683507
B5_sum,0,399520,0.7543885707855225,318,400,0.10483091735547367,0.9276432765873848,0.08476182639397138,0.9342447969130694,0.06573958952112247,0.9418288587423661,0.05647726425059556,0.9486618015020721,0.07949491626024245,0.14367656820477584,0.17100037187337874,0.2143968979517619,0.15136655420064926,0.11196510394414266
B5_sum,1,399520,0.7815382480621338,400,400,0.0987500057078255,0.9299805613367168,0.07907292488867862,0.9371577681857336,0.0624186527834931,0.9432967817272737,0.05004809482902439,0.9502965517713914,0.07482116734981537,0.13733004320126313,0.16208236217498778,0.20940655171871186,0.13373049745957058,0.08676918049653372
B6_all,0,199865,0.8135071396827698,500,500,0.08688462753788065,0.9313200419221278,0.07551158991108085,0.93600778772051,0.05490023598654823,0.9433693563746282,0.04600457871071174,0.9492509654371081,0.06516583136717477,0.12488887984401141,0.14828561544418334,0.19049364626407622,0.10115449527899424,0.05533043344815572
B6_all,1,199865,0.8018880486488342,500,500,0.08795757837555736,0.9301629252890703,0.07181290984658018,0.9383686057958395,0.055556284998072386,0.945094739088477,0.04437809635439095,0.950980876692827,0.06495434616009392,0.12667077636489502,0.1528105765581131,0.1928776015837987,0.11144598424434662,0.06715969741344453
B6_all,2,199865,0.7987334132194519,500,500,0.09037137999752451,0.9219530105277894,0.07361124201272748,0.9373868426404048,0.056226407437760216,0.9438837060099207,0.04510313143887494,0.9507683294383603,0.06806654810905456,0.1284153445217854,0.15513427605231603,0.192593980828921,0.10709963490565617,0.06862119436264039
B6_all@A1,0,167089,0.8174600601196289,500,500,0.08830399797400444,0.9308407322656468,0.07248687909288858,0.9376591352600745,0.052709830745222605,0.9443622401788659,0.04256268266695606,0.9503645180467033,0.06703681566317875,0.12743582810537937,0.1451630691687266,0.18743722438812255,0.095221475760142,0.05010274698336919
B6_all@A1,1,167089,0.8195421099662781,500,500,0.08331246536647406,0.9344765233437019,0.06948242772704655,0.9396617184174596,0.05308673213127301,0.9448141766298371,0.04303439440561833,0.9502044923803421,0.06256995729605355,0.12022796588448378,0.13743166277805965,0.18310147176186245,0.0970575933655103,0.050300629933675144
B6_all@A1,2,167089,0.8268582820892334,500,500,0.0836904529992699,0.9316782246380683,0.0682571395576101,0.9398627509717657,0.05188854641317313,0.9456329945340365,0.04175783076060402,0.9504914588993578,0.062891568561395,0.12127465363114308,0.14156325509150822,0.18344236711661022,0.0937552034854889,0.045097410678863525
B7_layered,0,596718,0.7787166237831116,400,400,0.09480805655976035,0.9184403407003985,0.06656130662979007,0.9461386973154973,0.04676074798135386,0.9516644679121947,0.03959807264421594,0.9538999583847652,0.07124410531918207,0.1336065269051454,0.1551281174023946,0.19656143287817637,0.1247632051507632,0.08837416023015976
B7_layered,1,596718,0.7759459018707275,400,400,0.08944285406326076,0.9239809194550233,0.06544915537543708,0.9465479850790781,0.0476383590683114,0.9513010686029288,0.03948696527485112,0.9533031700454405,0.06667091556390124,0.12503186938090202,0.1527445986866951,0.19701746006806692,0.11724542081356049,0.08993663986523946
D_bypass,0,291525,0.8379626274108887,500,500,0.06612622241179149,0.9678417538641751,0.04849130545574195,0.9784651985881179,0.029975436047955013,0.9879402745319725,0.01998537556975828,0.9934157990823117,0.04922881384690603,0.09715462838992095,0.12094300091266633,0.13171135981877644,0.07691258837779363,0.03467773248751958
D_bypass,1,291525,0.842146098613739,500,500,0.06485153551886327,0.9686018735449146,0.047355752495037116,0.9784682403336417,0.030946151556702436,0.9872856380641674,0.018906073156246275,0.9936965024446345,0.048484161456425985,0.09474739131446068,0.11677700082461039,0.13166696379582088,0.07672087003787359,0.032508758703867595
D_bypass,2,291525,0.8383362889289856,500,500,0.06482139551246227,0.9701160773493014,0.04799655760605323,0.9784033119286853,0.03131359160047296,0.9866970410103908,0.01901557058247213,0.9931882020394149,0.04764044469594955,0.09604779033897778,0.1199356496334076,0.12706088721752168,0.08050978779792786,0.03654852161804835
MLP,0,157452,0.8310090899467468,318,400,0.06035764351512373,0.9671752477676376,0.04396364165945908,0.9809426341815762,0.026860183933765554,0.9896950912116336,0.016102803640962657,0.9957376101898979,0.04420121238629023,0.0880603254892123,0.10739091585079828,0.12879406462113063,0.08091156234343846,0.04013691693544388
MLP,1,157452,0.8389371037483215,400,400,0.060683871044221065,0.9691913259139047,0.041492640228340066,0.981329614504479,0.026346805926204333,0.989896884535485,0.015441306389225315,0.9957846865833397,0.04612121097246806,0.08608813454898503,0.10580712507168452,0.1206922377149264,0.07937629073858261,0.036721991995970406
MLP,2,157452,0.8308025002479553,400,400,0.05741230279913207,0.9716660751661635,0.04363519428597287,0.9809302918265115,0.02707725217449282,0.989325878781782,0.014969813528702344,0.9954849133670792,0.04176074349880218,0.08358936881025632,0.10800189127524694,0.12057849218448004,0.07556883245706558,0.04454749127229054
