i,j,k,conf,v_triple_k25,syn3_k25_mixed,syn3_k25_consistent
11,14,43,total_gen,0.8776549696922302,0.029723763465881348,0.013046324253082275
11,14,43,metered_load_mw,0.880707859992981,0.03359484672546387,0.011184334754943848
11,14,43,total_losses,0.4665987491607666,0.1705336570739746,0.1343297958374024
11,14,43,congestion_price_da,0.1763467788696289,0.0632426142692566,0.010480642318725614
11,14,43,congestion_price_rt,0.0792906284332275,0.0020040869712830006,-0.0035448670387268066
11,14,43,marginal_loss_price_da,0.301377534866333,0.06150597333908081,-0.0062356591224669855
11,14,43,total_lmp_da,0.4903657436370849,0.0883334875106811,0.017887651920318604
11,14,43,da_as_total_mw_primary_reserve,0.0709869265556335,0.017192423343658406,0.008008539676666301
11,14,43,da_as_total_mw_synchronized_reserve,0.1255852580070495,0.02628910541534421,0.01542550325393681
11,14,43,da_as_total_mw_thirty_minutes_reserve,0.270254909992218,0.06206429004669192,0.019565105438232422
1,39,42,net_actual_interchange_mw,0.4721344113349914,0.19121557474136353,0.1666858792304992
1,39,42,gross_actual_interchange_mw,0.3269706964492798,0.04109328985214239,0.021722078323364258
1,39,42,total_gen,0.8770880103111267,0.014878630638122559,-0.0008086562156677246
1,39,42,metered_load_mw,0.8609994649887085,0.028815150260925293,0.0016454458236694336
1,39,42,total_losses,0.4091665744781494,0.10287880897521973,0.033374726772308405
1,39,42,congestion_price_da,0.1997227072715759,0.0285792946815491,0.0320854187011719
1,39,42,congestion_price_rt,0.4915227890014648,0.05995118618011469,0.01466983556747431
1,39,42,marginal_loss_price_da,0.5149901509284973,0.08227962255477911,0.03849583864212042
1,39,42,total_lmp_da,0.6851277351379395,0.09035110473632812,0.028127074241638184
1,39,42,da_as_total_mw_primary_reserve,0.206875205039978,0.04285222291946411,0.006509304046630887
1,39,42,da_as_total_mw_synchronized_reserve,0.1571353077888488,0.034146726131439195,0.003050088882446206
1,39,42,da_as_total_mw_thirty_minutes_reserve,0.4747154116630554,0.05943411588668823,0.005538642406463623
7,11,20,net_actual_interchange_mw,0.1364989876747131,0.03612226247787481,0.044073045253753704
7,11,20,gross_actual_interchange_mw,0.2844642996788025,0.022409558296203613,0.008721232414245605
7,11,20,total_gen,0.9661800861358644,0.0042555928230287865,-0.0009517669677732155
7,11,20,metered_load_mw,0.9767951369285583,0.005513787269592396,-0.002441227436065674
7,11,20,total_losses,0.6969784498214722,0.16422998905181885,0.15658485889434814
7,11,20,congestion_price_da,0.2030302882194519,0.021575927734375,0.016755282878875816
7,11,20,congestion_price_rt,0.1062802076339721,0.018343329429626395,0.0115678906440735
7,11,20,marginal_loss_price_da,0.5171335935592651,0.14232116937637335,0.08871990442276001
7,11,20,total_lmp_da,0.646077036857605,0.11771136522293091,0.02002429962158203
7,11,20,da_as_total_mw_primary_reserve,0.1287427544593811,0.0397517681121827,0.0324842333793641
7,11,20,da_as_total_mw_synchronized_reserve,0.141929805278778,0.03799158334732049,0.0255554318428039
7,11,20,da_as_total_mw_thirty_minutes_reserve,0.3198145627975464,0.054543316364288386,0.010103881359100397
13,32,43,net_actual_interchange_mw,0.3585397005081177,0.06608796119689947,0.05249369144439697
13,32,43,gross_actual_interchange_mw,0.6464886665344238,0.018607020378112793,0.012676239013671875
13,32,43,total_gen,0.4727399945259094,0.14018189907073975,0.12272799015045172
13,32,43,metered_load_mw,0.4448065757751465,0.1562197208404541,0.14023125171661377
13,32,43,total_losses,0.3129268288612366,0.07374542951583868,0.06553751230239868
13,32,43,congestion_price_da,0.1498886942863464,0.04670774936676031,0.03900724649429321
13,32,43,congestion_price_rt,0.0965313911437988,0.0051139593124390065,0.011527955532074002
13,32,43,marginal_loss_price_da,0.1347406506538391,0.04508298635482791,0.051401793956756606
13,32,43,total_lmp_da,0.2553820610046386,0.03174054622650141,0.021841585636138916
13,32,43,da_as_total_mw_primary_reserve,0.4860851764678955,0.006590783596038818,-0.0004889369010924738
13,32,43,da_as_total_mw_synchronized_reserve,0.5382461547851562,0.00805574655532837,0.0017925500869750977
13,32,43,da_as_total_mw_thirty_minutes_reserve,0.3407050967216491,0.04719120264053339,0.0430108904838562
3,20,32,net_actual_interchange_mw,0.3321741819381714,0.07883447408676147,0.0845746994018555
3,20,32,gross_actual_interchange_mw,0.1700466871261596,0.018433511257171603,0.010648488998413114
3,20,32,total_gen,0.9680705666542052,0.011478006839751975,-6.234645843516962e-05
3,20,32,metered_load_mw,0.9785261154174804,0.013175129890441784,-0.00149214267730724
3,20,32,total_losses,0.489999771118164,0.04149973392486572,0.020720481872558594
3,20,32,congestion_price_da,0.1734160780906677,0.010304331779480008,0.00974857807159421
3,20,32,congestion_price_rt,0.1633754968643188,0.03541725873947138,0.0163965225219726
3,20,32,marginal_loss_price_da,0.3968074917793274,0.04598414897918701,0.01002341508865362
3,20,32,total_lmp_da,0.5849612951278687,0.07785427570343018,0.012314915657043457
3,20,32,da_as_total_mw_primary_reserve,0.4949101209640503,0.019803583621978815,0.01346349716186529
3,20,32,da_as_total_mw_synchronized_reserve,0.5422112345695496,0.014331400394439697,0.002155303955078125
3,20,32,da_as_total_mw_thirty_minutes_reserve,0.5477122068405151,0.16968315839767456,0.11296284198760986
1,3,29,net_actual_interchange_mw,0.3785933256149292,0.058955967426300104,0.0288612842559815
1,3,29,gross_actual_interchange_mw,0.1809001564979553,0.0010230541229248047,0.013409137725830106
1,3,29,total_gen,0.8771703243255615,0.01912832260131836,0.0031586289405822754
1,3,29,metered_load_mw,0.8522526025772095,0.02468407154083252,0.0033486485481262207
1,3,29,total_losses,0.2952247262001037,0.04381638765335083,0.023495972156524603
1,3,29,congestion_price_da,0.1489055156707763,0.02808535099029541,0.011548757553100614
1,3,29,congestion_price_rt,0.1568070650100708,0.039820134639740004,0.006986856460571289
1,3,29,marginal_loss_price_da,0.4137917757034302,0.03927075862884527,0.02090835571289068
1,3,29,total_lmp_da,0.7289465069770813,0.0473138689994812,0.015387475490570068
1,3,29,da_as_total_mw_primary_reserve,0.3547245860099792,0.12368530035018918,0.0978447794914245
1,3,29,da_as_total_mw_synchronized_reserve,0.2530145049095154,0.09740978479385379,0.07935464382171639
1,3,29,da_as_total_mw_thirty_minutes_reserve,0.6229411363601685,0.18092280626296997,0.10336720943450928
6,9,16,net_actual_interchange_mw,0.1997608542442321,0.0896409749984741,0.025370717048644992
6,9,16,gross_actual_interchange_mw,0.1681385040283203,0.05021536350250251,0.021799027919769315
6,9,16,total_gen,0.8956314325332642,0.08114808797836304,0.0036984682083129883
6,9,16,metered_load_mw,0.8705765008926392,0.07288599014282227,0.004478573799133301
6,9,16,total_losses,0.5687970519065857,0.2229897379875183,0.1811959147453308
6,9,16,congestion_price_da,0.1368909478187561,0.0174341797828675,0.005111157894134605
6,9,16,congestion_price_rt,0.0722581148147583,0.021699130535125802,-0.0011622309684753002
6,9,16,marginal_loss_price_da,0.3175871968269348,0.09261989593505862,0.0528029203414917
6,9,16,total_lmp_da,0.411282479763031,0.09736084938049322,0.0070027112960815985
6,9,16,da_as_total_mw_primary_reserve,0.1255110502243042,0.058904469013214195,0.004417777061462402
6,9,16,da_as_total_mw_synchronized_reserve,0.1414117217063903,0.02329164743423459,0.02032971382141109
6,9,16,da_as_total_mw_thirty_minutes_reserve,0.3022667169570923,0.1947907805442811,0.03354460000991821
0,2,4,net_actual_interchange_mw,0.3451260924339294,0.04579794406890869,0.0081071257591247
0,2,4,gross_actual_interchange_mw,0.1974958181381225,0.02505314350128171,0.013584434986114502
0,2,4,total_gen,0.8686114549636841,0.055591464042663574,0.04147171974182129
0,2,4,metered_load_mw,0.8443521857261658,0.040353596210479736,0.023337721824645996
0,2,4,total_losses,0.6210200786590576,0.025688886642456055,0.00295865535736084
0,2,4,congestion_price_da,0.14811372756958,0.0364130139350891,0.007895231246948187
0,2,4,congestion_price_rt,0.0789561867713928,0.024608016014099093,0.016816735267639195
0,2,4,marginal_loss_price_da,0.3798159956932068,0.08319294452667236,0.026503562927246094
0,2,4,total_lmp_da,0.5145244598388672,0.09732228517532349,0.028239846229553278
0,2,4,da_as_total_mw_primary_reserve,0.3362979888916015,0.04839259386062622,0.027464091777801514
0,2,4,da_as_total_mw_synchronized_reserve,0.2172362804412841,0.0635157227516174,0.0357140898704528
0,2,4,da_as_total_mw_thirty_minutes_reserve,0.6040310263633728,0.18189138174057012,0.11589783430099493
3,19,29,net_actual_interchange_mw,0.2355040311813354,0.060925960540771484,0.025075137615203802
3,19,29,gross_actual_interchange_mw,0.1736657619476318,-0.00021821260452270508,0.0054020285606384
3,19,29,total_gen,0.9738831520080566,0.01384747028350819,-0.0010604262351989746
3,19,29,metered_load_mw,0.9868128299713136,0.013570129871368408,-0.0018502473831175648
3,19,29,total_losses,0.4995438456535339,0.04114973545074457,0.018651545047759954
3,19,29,congestion_price_da,0.1776838302612304,0.017554402351379422,0.012780487537384005
3,19,29,congestion_price_rt,0.1571481227874755,0.023028850555419894,0.007327914237975991
3,19,29,marginal_loss_price_da,0.4762914776802063,0.031309247016906794,0.0075343251228333075
3,19,29,total_lmp_da,0.7754855155944824,0.03269636631011963,0.007853686809539795
3,19,29,da_as_total_mw_primary_reserve,0.2766067385673523,0.09436947107315069,0.0869662165641785
3,19,29,da_as_total_mw_synchronized_reserve,0.1856678128242492,0.07090932130813601,0.055139482021331815
3,19,29,da_as_total_mw_thirty_minutes_reserve,0.5445443391799927,0.15847808122634888,0.10854119062423706
3,20,29,net_actual_interchange_mw,0.235447347164154,0.05395627021789551,0.0232576131820679
3,20,29,gross_actual_interchange_mw,0.1629573702812194,0.01134419441223139,0.0035591721534729004
3,20,29,total_gen,0.9675573110580444,0.014787018299102783,-0.0005756020545959473
3,20,29,metered_load_mw,0.9789360761642456,0.015112459659576416,-0.0010821819305419922
3,20,29,total_losses,0.4868948459625244,0.03839480876922613,0.017615556716919
3,20,29,congestion_price_da,0.1729123592376709,0.013118863105774009,0.013270318508148193
3,20,29,congestion_price_rt,0.1524449586868286,0.0244867205619812,0.0026247501373291016
3,20,29,marginal_loss_price_da,0.4788982272148132,0.020806968212127686,0.010529458522796575
3,20,29,total_lmp_da,0.7780008316040039,0.020578503608703613,0.008658111095428467
3,20,29,da_as_total_mw_primary_reserve,0.2734729647636413,0.0962448716163635,0.083682656288147
3,20,29,da_as_total_mw_synchronized_reserve,0.1832460165023803,0.06167435646057129,0.0541009306907653
3,20,29,da_as_total_mw_thirty_minutes_reserve,0.5387837886810303,0.15683341026306158,0.104034423828125
4,10,29,net_actual_interchange_mw,0.366204559803009,0.06619787216186518,0.019174695014953558
4,10,29,gross_actual_interchange_mw,0.1949633955955505,0.024142384529113797,0.0261724591255188
4,10,29,total_gen,0.723736047744751,0.17280614376068115,0.1213688850402832
4,10,29,metered_load_mw,0.7006796598434448,0.16653990745544434,0.13503986597061157
4,10,29,total_losses,0.6018369197845459,0.025006532669067383,0.01092827320098877
4,10,29,congestion_price_da,0.1570867300033569,0.03256118297576911,0.010780155658721896
4,10,29,congestion_price_rt,0.099007248878479,0.023179829120636,0.011177003383636502
4,10,29,marginal_loss_price_da,0.459390640258789,0.04965513944625849,0.04163622856140131
4,10,29,total_lmp_da,0.7094146013259888,0.015063941478729248,0.00991147756576538
4,10,29,da_as_total_mw_primary_reserve,0.3189038038253784,0.06307476758956909,0.04278522729873663
4,10,29,da_as_total_mw_synchronized_reserve,0.2766061425209045,0.11059463024139399,0.07660567760467529
4,10,29,da_as_total_mw_thirty_minutes_reserve,0.6106827259063721,0.08812820911407471,0.05685997009277344
9,31,38,net_actual_interchange_mw,0.269719123840332,0.02407813072204587,0.008712649345397894
9,31,38,gross_actual_interchange_mw,0.1055383086204528,0.0110957026481628,0.011129915714263902
9,31,38,total_gen,0.5737383365631104,0.03420865535736084,0.007713437080383301
9,31,38,metered_load_mw,0.6083720922470093,0.035831332206726074,0.005813121795654297
9,31,38,total_losses,0.4161228537559509,0.15146028995513922,0.12765407562255865
9,31,38,congestion_price_da,0.1874769330024719,0.04214745759963989,0.014877498149871798
9,31,38,congestion_price_rt,0.1781235337257385,0.034857869148254395,0.00494831800460821
9,31,38,marginal_loss_price_da,0.6851028203964233,0.01849818229675293,0.021275758743286133
9,31,38,total_lmp_da,0.9800465106964112,0.020517170429229847,-0.0005127787590025745
9,31,38,da_as_total_mw_primary_reserve,0.474315345287323,0.017428457736968994,0.00046128034591680356
9,31,38,da_as_total_mw_synchronized_reserve,0.5627819299697876,0.015029549598693848,0.004864811897277832
9,31,38,da_as_total_mw_thirty_minutes_reserve,0.504719614982605,0.05842548608779907,0.055143117904663086
13,33,43,net_actual_interchange_mw,0.3770129084587097,0.07326149940490723,0.053837597370147705
13,33,43,gross_actual_interchange_mw,0.6509194374084473,0.02303779125213623,0.009883999824523926
13,33,43,total_gen,0.4788461327552795,0.14157825708389277,0.12799054384231567
13,33,43,metered_load_mw,0.4494250416755676,0.15840667486190801,0.14389026165008545
13,33,43,total_losses,0.3261607885360718,0.08185881376266488,0.06503617763519287
13,33,43,congestion_price_da,0.1482689976692199,0.044476270675659194,0.03707265853881829
13,33,43,congestion_price_rt,0.0986696481704711,0.0072522163391113,0.013666212558746296
13,33,43,marginal_loss_price_da,0.1401546001434326,0.05049693584442139,0.056815743446350084
13,33,43,total_lmp_da,0.2558435797691345,0.032202064990997314,0.02230310440063482
13,33,43,da_as_total_mw_primary_reserve,0.4757516980171203,0.008478343486785833,0.0010325908660888117
13,33,43,da_as_total_mw_synchronized_reserve,0.5359318256378174,0.013908863067626953,0.0027117133140563965
13,33,43,da_as_total_mw_thirty_minutes_reserve,0.3434172868728637,0.06371194124221802,0.04381698369979853
11,32,38,net_actual_interchange_mw,0.2941445112228393,0.05206012725830081,0.032030522823333685
11,32,38,gross_actual_interchange_mw,0.1385257840156555,0.020977318286895794,0.023654341697692885
11,32,38,total_gen,0.6004469394683838,0.0545048713684082,0.03554868698120117
11,32,38,metered_load_mw,0.6339112520217896,0.05365097522735596,0.031926751136779785
11,32,38,total_losses,0.4301827549934387,0.17465519905090332,0.16023379564285284
11,32,38,congestion_price_da,0.1905485987663269,0.04316389560699471,0.01646178960800171
11,32,38,congestion_price_rt,0.1850524544715881,0.024020373821258517,0.011306822299957303
11,32,38,marginal_loss_price_da,0.694977879524231,0.030568242073059082,0.026868224143981934
11,32,38,total_lmp_da,0.9795947074890136,0.01795041561126698,-0.0014249682426452637
11,32,38,da_as_total_mw_primary_reserve,0.4912540316581726,0.0261987447738648,0.019298076629638727
11,32,38,da_as_total_mw_synchronized_reserve,0.561313271522522,0.014393210411071777,0.004192948341369629
11,32,38,da_as_total_mw_thirty_minutes_reserve,0.5891369581222534,0.14325064420700073,0.13962399959564215
13,31,43,net_actual_interchange_mw,0.3576074838638305,0.06107908487319941,0.05835992097854609
13,31,43,gross_actual_interchange_mw,0.646155595779419,0.01827394962310791,0.012043952941894531
13,31,43,total_gen,0.4749561548233032,0.13455688953399664,0.12447476387023931
13,31,43,metered_load_mw,0.4471473693847656,0.15120470523834234,0.14182049036026
13,31,43,total_losses,0.3134179711341858,0.0723610520362854,0.0641513466835022
13,31,43,congestion_price_da,0.1484180092811584,0.04288721084594729,0.03497624397277829
13,31,43,congestion_price_rt,0.0983394980430603,0.006922066211700509,0.013336062431335505
13,31,43,marginal_loss_price_da,0.1386122703552246,0.04895460605621341,0.055273413658142104
13,31,43,total_lmp_da,0.2562217116355896,0.03258019685745239,0.0226812362670899
13,31,43,da_as_total_mw_primary_reserve,0.4856515526771545,0.010819494724273682,-0.0003651380538940985
13,31,43,da_as_total_mw_synchronized_reserve,0.5376396179199219,0.0076885223388671875,0.0020041465759277344
13,31,43,da_as_total_mw_thirty_minutes_reserve,0.3419687151908874,0.05236399173736572,0.04164671897888178
2,13,32,net_actual_interchange_mw,0.3131947517395019,0.02074301242828369,0.0071487426757811945
2,13,32,gross_actual_interchange_mw,0.0496858954429626,0.01592618227005,0.009226679801940897
2,13,32,total_gen,0.468564510345459,0.12624728679656988,0.092029869556427
2,13,32,metered_load_mw,0.4566488265991211,0.1355699896812439,0.1021567583084107
2,13,32,total_losses,0.1353720426559448,0.032486736774444594,0.019406497478485094
2,13,32,congestion_price_da,0.1280550956726074,0.0155255198478699,0.0059952139854430875
2,13,32,congestion_price_rt,0.1205073595046997,-0.003871679306030204,-0.0037790536880493025
2,13,32,marginal_loss_price_da,0.1849353313446045,0.0430669784545899,0.020355701446533203
2,13,32,total_lmp_da,0.3136414289474487,0.033917844295501653,0.006604909896850586
2,13,32,da_as_total_mw_primary_reserve,0.5632500648498535,0.04229879379272461,0.03937804698944092
2,13,32,da_as_total_mw_synchronized_reserve,0.5995053052902222,0.019031524658203125,0.0052242279052734375
2,13,32,da_as_total_mw_thirty_minutes_reserve,0.4377106428146362,0.14419674873352045,0.124294102191925
1,13,29,net_actual_interchange_mw,0.3790638446807861,0.055040717124938965,0.03079384565353388
1,13,29,gross_actual_interchange_mw,0.1835401058197021,0.013591825962066595,0.016969323158264105
1,13,29,total_gen,0.8790692687034607,0.02102726697921753,0.0029563307762145996
1,13,29,metered_load_mw,0.8498062491416931,0.022237718105316162,0.0025572776794433594
1,13,29,total_losses,0.3089831471443176,0.04926496744155884,0.019493520259857233
1,13,29,congestion_price_da,0.1506057381629943,0.030027508735656697,0.013248980045318604
1,13,29,congestion_price_rt,0.1517802476882934,0.030914664268493597,0.012841641902923612
1,13,29,marginal_loss_price_da,0.4033780694007873,0.028857052326202393,0.010494649410247803
1,13,29,total_lmp_da,0.7280501127243042,0.0464174747467041,0.014491081237792969
1,13,29,da_as_total_mw_primary_reserve,0.3591560125350952,0.1281167268753052,0.09257680177688604
1,13,29,da_as_total_mw_synchronized_reserve,0.2587711811065674,0.10316646099090579,0.0851113200187684
1,13,29,da_as_total_mw_thirty_minutes_reserve,0.632646918296814,0.1495385766029358,0.09873801469802856
2,13,31,net_actual_interchange_mw,0.3153722286224365,0.01884382963180542,0.0161246657371521
2,13,31,gross_actual_interchange_mw,0.047588050365448,0.019808411598205598,0.0069565176963806985
2,13,31,total_gen,0.4693276882171631,0.12562990188598638,0.0922272801399231
2,13,31,metered_load_mw,0.4576957821846008,0.13535445928573608,0.1029929518699646
2,13,31,total_losses,0.1349891424179077,0.03748083114624029,0.020833075046539293
2,13,31,congestion_price_da,0.12772136926651,0.013532936573028606,0.004455208778381403
2,13,31,congestion_price_rt,0.1196317076683044,-0.0047473311424254955,-0.004654705524444594
2,13,31,marginal_loss_price_da,0.1859903931617736,0.044122040271759005,0.02141076326370231
2,13,31,total_lmp_da,0.312510073184967,0.032786488533019964,0.0054735541343688965
2,13,31,da_as_total_mw_primary_reserve,0.5621062517166138,0.04107797145843506,0.038140952587127686
2,13,31,da_as_total_mw_synchronized_reserve,0.5995811223983765,0.02110469341278076,0.005368471145629883
2,13,31,da_as_total_mw_thirty_minutes_reserve,0.4353005290031433,0.14569580554962164,0.12188398838043213
10,12,21,net_actual_interchange_mw,0.232204794883728,0.03473478555679321,0.002093732357025202
10,12,21,gross_actual_interchange_mw,0.1543073654174804,0.012226104736328125,0.002204775810241727
