fi,fj,conf,vi,vj,vij,synergy
gen_fuel_nuclear_mw,total_lmp_rt,metered_load_mw,0.44651031494140625,0.3437003493309021,0.7549704909324646,0.30846017599105835
gen_fuel_multiple_fuels_mw,gen_fuel_multiple_fuels_pct,total_losses,0.037901878356933594,0.008991897106170654,0.34514135122299194,0.30723947286605835
gen_fuel_nuclear_mw,forecast_load_mw_day_ahead,da_as_total_mw_thirty_minutes_reserve,0.32609856128692627,0.2565186619758606,0.6331008672714233,0.30700230598449707
gen_fuel_nuclear_mw,gen_fuel_oil_mw,total_gen,0.49834293127059937,0.49987512826919556,0.8044701814651489,0.30459505319595337
gen_fuel_coal_mw,gen_fuel_coal_pct,da_as_total_mw_thirty_minutes_reserve,0.1012609601020813,0.10534495115280151,0.40966421365737915,0.30431926250457764
gen_fuel_gas_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.3128533959388733,0.33354824781417847,0.6346930861473083,0.3011448383331299
gen_fuel_gas_mw,gen_fuel_wind_mw,total_losses,0.24358218908309937,0.06751734018325806,0.538575291633606,0.2949931025505066
gen_fuel_gas_mw,gen_fuel_gas_pct,total_losses,0.24358218908309937,0.06562519073486328,0.5375759601593018,0.2939937710762024
gen_fuel_gas_mw,gen_fuel_nuclear_mw,da_as_total_mw_thirty_minutes_reserve,0.3128533959388733,0.32609856128692627,0.6200392246246338,0.2939406633377075
gen_fuel_nuclear_mw,marginal_loss_price_rt,metered_load_mw,0.44651031494140625,0.3985971212387085,0.7402018308639526,0.2936915159225464
