component,singular_value,train_cumulative_energy
218,1.2110233,0.97147816
219,1.2105894,0.97172767
220,1.208046,0.9719762
221,1.2053497,0.9722236
222,1.2029608,0.97247005
223,1.1974807,0.97271425
224,1.1972064,0.9729583
225,1.1956184,0.97320175
226,1.1920308,0.97344375
227,1.1903839,0.973685
228,1.188901,0.97392577
229,1.1838259,0.97416437
230,1.1818713,0.9744023
231,1.1786286,0.9746388
232,1.1772152,0.97487485
233,1.1735607,0.9751094
234,1.172559,0.9753435
235,1.1710877,0.9755771
236,1.1684666,0.9758096
237,1.1627619,0.9760398
238,1.1604431,0.9762692
239,1.158138,0.9764976
240,1.1563493,0.9767252
241,1.1513436,0.976951
242,1.1469394,0.977175
243,1.1459998,0.9773987
244,1.1445044,0.9776218
245,1.1415948,0.9778437
246,1.1397185,0.9780649
247,1.1359842,0.97828466
248,1.1352472,0.97850406
249,1.1334645,0.9787228
250,1.1300393,0.97894025
251,1.1281543,0.97915703
252,1.1252344,0.9793727
253,1.1216496,0.97958696
254,1.120556,0.9798008
255,1.120037,0.9800144
256,1.1168765,0.9802269
257,1.1114506,0.9804372
258,1.1103272,0.9806472
259,1.1074353,0.98085606
260,1.1042376,0.98106366
261,1.1030698,0.9812709
262,1.1010591,0.9814773
263,1.0987238,0.9816829
264,1.0976992,0.9818881
265,1.0955658,0.9820925
266,1.0946202,0.9822965
267,1.0898784,0.9824988
268,1.0869417,0.98270005
269,1.08338,0.98289996
270,1.0799096,0.9830985
271,1.0782694,0.9832965
272,1.0765569,0.9834939
273,1.073365,0.98369014
274,1.0700225,0.9838851
275,1.0676638,0.9840793
276,1.0654573,0.9842726
277,1.0630534,0.984465
278,1.0583403,0.98465574
279,1.0556364,0.9848455
280,1.0540879,0.98503476
281,1.0512165,0.98522294
282,1.0498598,0.9854106
283,1.0476781,0.9855975
284,1.0445433,0.98578334
285,1.0421726,0.9859683
286,1.0399714,0.98615247
287,1.0392691,0.9863364
288,1.0361232,0.9865192
289,1.0340337,0.9867013
290,1.0321971,0.98688275
291,1.0303562,0.9870635
292,1.0288187,0.9872438
293,1.0260504,0.98742306
294,1.0243565,0.98760176
295,1.0211507,0.9877794
296,1.0173287,0.98795563
297,1.0161563,0.9881315
298,1.013689,0.98830646
299,1.0110272,0.9884805
300,1.0093971,0.988654
301,1.0067208,0.98882663
302,1.002941,0.98899794
303,0.9995225,0.98916805
304,0.99820536,0.98933774
305,0.99619955,0.9895067
306,0.9944216,0.9896751
307,0.9924313,0.98984283
308,0.99102443,0.99001
309,0.9874794,0.9901761
310,0.9849259,0.9903413
311,0.98341113,0.990506
312,0.9793485,0.9906693
313,0.97718936,0.990832
314,0.97632325,0.9909943
315,0.9723122,0.99115527
316,0.9703384,0.99131554
317,0.9688601,0.9914754
318,0.96572685,0.9916342
319,0.96391606,0.99179244
320,0.9623404,0.99195015
321,0.9595118,0.992107
322,0.95834297,0.9922634
323,0.9532475,0.9924181
324,0.9524311,0.9925726
325,0.95067924,0.99272656
326,0.9494981,0.99288005
327,0.94658476,0.99303263
328,0.94202214,0.9931837
329,0.94006747,0.9933342
330,0.9364961,0.99348354
331,0.9346637,0.9936323
332,0.9339867,0.9937809
333,0.9315148,0.9939286
334,0.9305975,0.99407613
335,0.9251475,0.9942219
336,0.9191955,0.99436575
337,0.91643703,0.9945088
338,0.9141169,0.994651
339,0.91049105,0.9947922
340,0.9085029,0.9949328
341,0.9065789,0.9950727
342,0.903298,0.99521166
343,0.90166813,0.99535006
344,0.8975316,0.9954873
345,0.8958165,0.9956239
346,0.8930558,0.99575967
347,0.88741535,0.9958938
348,0.88271487,0.9960265
349,0.88025403,0.9961585
350,0.88013023,0.9962903
351,0.87616193,0.99642104
352,0.873749,0.9965511
353,0.8670501,0.9966791
354,0.86068887,0.9968053
355,0.8593504,0.996931
356,0.8523407,0.99705476
357,0.8472923,0.997177
358,0.8442565,0.99729836
359,0.8415967,0.997419
360,0.8363789,0.99753815
361,0.8343013,0.99765676
362,0.830349,0.9977742
363,0.82506514,0.99789006
364,0.82400113,0.99800575
365,0.81769913,0.9981196
366,0.81450075,0.99823254
367,0.802779,0.99834234
368,0.8008118,0.9984515
369,0.7952231,0.9985592
370,0.7855284,0.99866426
371,0.78336686,0.9987688
372,0.77909476,0.99887216
373,0.77524495,0.9989745
374,0.76936007,0.9990753
375,0.7675851,0.99917567
376,0.7629174,0.9992748
377,0.75746495,0.9993725
378,0.75045353,0.9994683
379,0.75031257,0.99956423
380,0.74381876,0.9996584
381,0.73001724,0.9997491
382,0.72782934,0.99983937
383,0.7181118,0.99992716
384,0.6561393,1.0000005
