split,order,method,rank,n_tasks,per_conf_mae,per_conf_bias,per_conf_spearman,maxconf_spearman,pool_fraction,truth_threshold,n_strong,strong_recall
audit,3,lora_lr0.02_K1,16,60,0.03226021544800864,-0.029522810876369477,0.4091629959064928,0.3639344262295083,0.3,0.2,1,0.0
audit,3,lora_lr0.05_K1,4,60,0.030465962489446004,-0.029275075925721063,0.39864571493661966,0.2752986940816894,0.3,0.05,46,0.391304347826087
audit,3,lora_lr0.05_K1,4,60,0.030465962489446004,-0.029275075925721063,0.39864571493661966,0.2752986940816894,0.3,0.1,32,0.4375
audit,3,lora_lr0.05_K1,4,60,0.030465962489446004,-0.029275075925721063,0.39864571493661966,0.2752986940816894,0.3,0.2,1,0.0
audit,3,lora_lr0.05_K1,16,60,0.033608327640427475,-0.03178245921929677,0.40848751548576445,0.4741872742428453,0.3,0.05,46,0.391304347826087
audit,3,lora_lr0.05_K1,16,60,0.033608327640427475,-0.03178245921929677,0.40848751548576445,0.4741872742428453,0.3,0.1,32,0.53125
audit,3,lora_lr0.05_K1,16,60,0.033608327640427475,-0.03178245921929677,0.40848751548576445,0.4741872742428453,0.3,0.2,1,0.0
audit,3,lora_lr0.1_K1,4,60,0.06428500620855225,-0.05578162562516001,0.10021266075453811,-0.09463229043417826,0.3,0.05,46,0.30434782608695654
audit,3,lora_lr0.1_K1,4,60,0.06428500620855225,-0.05578162562516001,0.10021266075453811,-0.09463229043417826,0.3,0.1,32,0.25
audit,3,lora_lr0.1_K1,4,60,0.06428500620855225,-0.05578162562516001,0.10021266075453811,-0.09463229043417826,0.3,0.2,1,0.0
audit,3,lora_lr0.1_K1,16,60,0.07277845516800881,-0.05921347050203218,0.09314341576136104,0.18268099704416252,0.3,0.05,46,0.34782608695652173
audit,3,lora_lr0.1_K1,16,60,0.07277845516800881,-0.05921347050203218,0.09314341576136104,0.18268099704416252,0.3,0.1,32,0.34375
audit,3,lora_lr0.1_K1,16,60,0.07277845516800881,-0.05921347050203218,0.09314341576136104,0.18268099704416252,0.3,0.2,1,0.0
audit,3,lora_lr0.2_K1,4,60,0.06855201563901371,-0.055050567537546155,0.08594679761195016,0.12624570321337544,0.3,0.05,46,0.32608695652173914
audit,3,lora_lr0.2_K1,4,60,0.06855201563901371,-0.055050567537546155,0.08594679761195016,0.12624570321337544,0.3,0.1,32,0.3125
audit,3,lora_lr0.2_K1,4,60,0.06855201563901371,-0.055050567537546155,0.08594679761195016,0.12624570321337544,0.3,0.2,1,1.0
audit,3,lora_lr0.2_K1,16,60,0.037456628349092275,-0.03591671784718831,0.048998963827251774,-0.14659133678251698,0.3,0.05,46,0.32608695652173914
audit,3,lora_lr0.2_K1,16,60,0.037456628349092275,-0.03591671784718831,0.048998963827251774,-0.14659133678251698,0.3,0.1,32,0.375
audit,3,lora_lr0.2_K1,16,60,0.037456628349092275,-0.03591671784718831,0.048998963827251774,-0.14659133678251698,0.3,0.2,1,1.0
audit,3,maskmap,4,60,0.030488899515734778,-0.0291443505220943,0.42634793555372674,0.31319811058627406,0.3,0.05,46,0.3695652173913043
audit,3,maskmap,4,60,0.030488899515734778,-0.0291443505220943,0.42634793555372674,0.31319811058627406,0.3,0.1,32,0.46875
audit,3,maskmap,4,60,0.030488899515734778,-0.0291443505220943,0.42634793555372674,0.31319811058627406,0.3,0.2,1,0.0
audit,3,maskmap,8,60,0.03102448110779126,-0.029678709722227522,0.4515040735313924,0.34648513475965553,0.3,0.05,46,0.391304347826087
audit,3,maskmap,8,60,0.03102448110779126,-0.029678709722227522,0.4515040735313924,0.34648513475965553,0.3,0.1,32,0.46875
audit,3,maskmap,8,60,0.03102448110779126,-0.029678709722227522,0.4515040735313924,0.34648513475965553,0.3,0.2,1,0.0
audit,3,maskmap,16,60,0.03234097030427721,-0.03119057516256968,0.41634743392916973,0.3478188385662685,0.3,0.05,46,0.391304347826087
audit,3,maskmap,16,60,0.03234097030427721,-0.03119057516256968,0.41634743392916973,0.3478188385662685,0.3,0.1,32,0.5
audit,3,maskmap,16,60,0.03234097030427721,-0.03119057516256968,0.41634743392916973,0.3478188385662685,0.3,0.2,1,0.0
audit,3,maskmap,32,60,0.036374678628312215,-0.03525601815846231,0.3650460228273815,0.26696304529035847,0.3,0.05,46,0.391304347826087
audit,3,maskmap,32,60,0.036374678628312215,-0.03525601815846231,0.3650460228273815,0.26696304529035847,0.3,0.1,32,0.46875
audit,3,maskmap,32,60,0.036374678628312215,-0.03525601815846231,0.3650460228273815,0.26696304529035847,0.3,0.2,1,0.0
audit,3,maskmap,64,60,0.036445360547966425,-0.0355480561653773,0.3627363154212643,0.24684634620727983,0.3,0.05,46,0.391304347826087
audit,3,maskmap,64,60,0.036445360547966425,-0.0355480561653773,0.3627363154212643,0.24684634620727983,0.3,0.1,32,0.46875
audit,3,maskmap,64,60,0.036445360547966425,-0.0355480561653773,0.3627363154212643,0.24684634620727983,0.3,0.2,1,0.0
audit,3,maskmap,128,60,0.036211620602342814,-0.035314263072278765,0.3695577342416888,0.262517365934982,0.3,0.05,46,0.391304347826087
audit,3,maskmap,128,60,0.036211620602342814,-0.035314263072278765,0.3695577342416888,0.262517365934982,0.3,0.1,32,0.46875
audit,3,maskmap,128,60,0.036211620602342814,-0.035314263072278765,0.3695577342416888,0.262517365934982,0.3,0.2,1,0.0
audit,3,maskmap,192,60,0.03618384823203087,-0.03527857156263458,0.37106180713861026,0.27330193531305635,0.3,0.05,46,0.391304347826087
audit,3,maskmap,192,60,0.03618384823203087,-0.03527857156263458,0.37106180713861026,0.27330193531305635,0.3,0.1,32,0.46875
audit,3,maskmap,192,60,0.03618384823203087,-0.03527857156263458,0.37106180713861026,0.27330193531305635,0.3,0.2,1,0.0
audit,3,maskmap,256,60,0.03618282344606188,-0.035275137093332076,0.3701470808050932,0.27224228952486806,0.3,0.05,46,0.391304347826087
audit,3,maskmap,256,60,0.03618282344606188,-0.035275137093332076,0.3701470808050932,0.27224228952486806,0.3,0.1,32,0.46875
audit,3,maskmap,256,60,0.03618282344606188,-0.035275137093332076,0.3701470808050932,0.27224228952486806,0.3,0.2,1,0.0
audit,3,maskmap,320,60,0.03618832147783703,-0.03527736448579365,0.3702269099206315,0.2698527368713532,0.3,0.05,46,0.391304347826087
audit,3,maskmap,320,60,0.03618832147783703,-0.03527736448579365,0.3702269099206315,0.2698527368713532,0.3,0.1,32,0.46875
audit,3,maskmap,320,60,0.03618832147783703,-0.03527736448579365,0.3702269099206315,0.2698527368713532,0.3,0.2,1,0.0
audit,3,projected_teacher,4,60,0.02806237522098753,-0.026072489221890767,0.409410994234171,0.2795776604612393,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,4,60,0.02806237522098753,-0.026072489221890767,0.409410994234171,0.2795776604612393,0.3,0.1,32,0.5
audit,3,projected_teacher,4,60,0.02806237522098753,-0.026072489221890767,0.409410994234171,0.2795776604612393,0.3,0.2,1,0.0
audit,3,projected_teacher,8,60,0.028471752173370786,-0.026947226458125643,0.4240389997540424,0.3036398999722146,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,8,60,0.028471752173370786,-0.026947226458125643,0.4240389997540424,0.3036398999722146,0.3,0.1,32,0.5
audit,3,projected_teacher,8,60,0.028471752173370786,-0.026947226458125643,0.4240389997540424,0.3036398999722146,0.3,0.2,1,0.0
audit,3,projected_teacher,16,60,0.030638200706905788,-0.029364096621672314,0.416772833550554,0.27985551542095033,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,16,60,0.030638200706905788,-0.029364096621672314,0.416772833550554,0.27985551542095033,0.3,0.1,32,0.5
audit,3,projected_teacher,16,60,0.030638200706905788,-0.029364096621672314,0.416772833550554,0.27985551542095033,0.3,0.2,1,0.0
audit,3,projected_teacher,32,60,0.030812454803122415,-0.029144731909036638,0.3834258488106799,0.3279799944429009,0.3,0.05,46,0.391304347826087
