model,size,n,mean_columns,median_ms,p95_ms
sparse_poly2_top100,22,1,76.0,1.4630425721406937,1.4630425721406937
sparse_poly2_top100,23,2,75.5,1.3459296897053719,1.4011605642735958
sparse_poly2_top100,24,6,116.16666666666667,2.483154647052288,3.063561860471964
sparse_poly2_top100,30,1,108.0,2.3139100521802902,2.3139100521802902
sparse_poly2_top100,31,1,103.0,2.057412639260292,2.057412639260292
sparse_poly2_top100,32,5,159.6,4.21430729329586,4.573408141732216
sparse_poly2_top100,33,2,127.0,3.0538784340023994,3.454903047531843
sparse_poly2_top100,36,1,147.0,4.050139337778091,4.050139337778091
sparse_poly2_top100,38,2,149.5,4.031251184642315,4.08614007756114
sparse_poly2_top100,41,3,171.66666666666666,5.223039537668228,5.421826429665089
sparse_poly2_top100,42,1,176.0,5.285812541842461,5.285812541842461
sparse_poly2_top100,43,1,186.0,5.704930052161217,5.704930052161217
sparse_poly2_top100,44,5,188.0,6.051596254110336,6.072302907705307
sparse_poly2_top200,1,10,2.0,0.35745836794376373,0.37203514948487276
sparse_poly2_top200,2,6,4.166666666666667,0.33707916736602783,0.36805449053645134
sparse_poly2_top200,3,7,6.714285714285714,0.36819279193878174,0.37449803203344345
sparse_poly2_top200,4,7,10.428571428571429,0.38875825703144073,0.4318684339523315
sparse_poly2_top200,5,1,16.0,0.43312832713127136,0.43312832713127136
sparse_poly2_top200,6,9,16.22222222222222,0.42766332626342773,0.45455917716026306
sparse_poly2_top200,7,3,20.0,0.47558918595314026,0.4784826189279556
sparse_poly2_top200,8,7,28.285714285714285,0.4844777286052704,0.5949184298515319
sparse_poly2_top200,11,2,32.0,0.574878416955471,0.6482376717031002
sparse_poly2_top200,12,6,57.166666666666664,1.0301144793629646,1.0685017332434654
sparse_poly2_top200,13,1,44.0,0.7061231881380081,0.7061231881380081
sparse_poly2_top200,14,4,46.25,0.7556835189461708,1.0252087377011776
sparse_poly2_top200,15,1,44.0,0.7238872349262238,0.7238872349262238
sparse_poly2_top200,16,6,88.83333333333333,1.8979031592607498,2.0817858166992664
sparse_poly2_top200,20,1,99.0,2.020183950662613,2.020183950662613
sparse_poly2_top200,21,3,82.66666666666667,1.4952607452869415,1.716155745089054
sparse_poly2_top200,22,1,91.0,1.7875153571367264,1.7875153571367264
sparse_poly2_top200,23,2,107.0,2.402246929705143,2.598478179425001
sparse_poly2_top200,24,6,170.5,5.5145928636193275,5.986042320728302
sparse_poly2_top200,30,1,143.0,3.873281180858612,3.873281180858612
sparse_poly2_top200,31,1,146.0,4.051007330417633,4.051007330417633
sparse_poly2_top200,32,5,248.2,10.71365736424923,11.303017288446426
sparse_poly2_top200,33,2,193.0,7.14610330760479,7.633953541517258
sparse_poly2_top200,36,1,213.0,8.30044411122799,8.30044411122799
sparse_poly2_top200,38,2,224.0,8.8276956230402,9.626304917037487
sparse_poly2_top200,41,3,257.0,12.066705152392387,12.201196141541004
sparse_poly2_top200,42,1,264.0,11.809499934315681,11.809499934315681
sparse_poly2_top200,43,1,286.0,14.14392702281475,14.14392702281475
sparse_poly2_top200,44,5,288.0,14.419177547097206,14.42670002579689
sparse_poly2_top50,1,10,2.0,0.3459835425019264,0.3701034002006054
sparse_poly2_top50,2,6,4.0,0.3340085968375206,0.34089386463165283
sparse_poly2_top50,3,7,6.0,0.35483017563819885,0.3633430227637291
sparse_poly2_top50,4,7,8.571428571428571,0.37034042179584503,0.38723330944776535
sparse_poly2_top50,5,1,13.0,0.4260260611772537,0.4260260611772537
sparse_poly2_top50,6,9,13.777777777777779,0.4121549427509308,0.4259582608938217
sparse_poly2_top50,7,3,15.0,0.421302393078804,0.42162761092185974
sparse_poly2_top50,8,7,22.0,0.43074972927570343,0.5265627056360244
sparse_poly2_top50,11,2,26.5,0.5162563174962997,0.5194246768951416
sparse_poly2_top50,12,6,37.166666666666664,0.6167963147163391,0.7438356988132
sparse_poly2_top50,13,1,31.0,0.6188433617353439,0.6188433617353439
sparse_poly2_top50,14,4,32.25,0.5930615589022636,0.6637798622250557
sparse_poly2_top50,15,1,35.0,0.6587151437997818,0.6587151437997818
sparse_poly2_top50,16,6,51.5,0.8446564897894859,0.9396304376423359
sparse_poly2_top50,20,1,54.0,0.927608460187912,0.927608460187912
sparse_poly2_top50,21,3,53.0,0.8972082287073135,0.9615125134587288
sparse_poly2_top50,22,1,57.0,1.0535474866628647,1.0535474866628647
sparse_poly2_top50,23,2,64.0,1.0508373379707336,1.0512497276067734
sparse_poly2_top50,24,6,82.33333333333333,1.4448761940002441,1.4726165682077408
sparse_poly2_top50,30,1,87.0,1.7240438610315323,1.7240438610315323
sparse_poly2_top50,31,1,80.0,1.3895779848098755,1.3895779848098755
sparse_poly2_top50,32,5,111.6,2.0924732089042664,2.3209646344184875
sparse_poly2_top50,33,2,98.5,1.86206866055727,1.958394329994917
sparse_poly2_top50,36,1,112.0,2.3873839527368546,2.3873839527368546
sparse_poly2_top50,38,2,111.5,2.2013429552316666,2.273009903728962
sparse_poly2_top50,41,3,127.33333333333333,2.9529593884944916,2.999054826796055
sparse_poly2_top50,42,1,127.0,2.9279328882694244,2.9279328882694244
sparse_poly2_top50,43,1,136.0,3.331640735268593,3.331640735268593
sparse_poly2_top50,44,5,138.0,3.3693071454763412,3.3886749297380447
