method,keep,threshold,source,test_recall,n_test_strong,tune_selected_lane
uniform_k25_s1,0.1,0.1,all,0.7285525262678499,130,
uniform_k25_s1,0.1,0.1,random,0.6956521739130431,46,
uniform_k25_s1,0.1,0.1,targeted,0.8571428571428571,84,
uniform_k25_s1,0.1,0.15,all,0.6718696604820391,43,
uniform_k25_s1,0.1,0.15,random,0.5,2,
uniform_k25_s1,0.1,0.15,targeted,0.7317073170731707,41,
uniform_k25_s1,0.1,0.2,all,0.2,5,
uniform_k25_s1,0.1,0.2,random,,0,
uniform_k25_s1,0.1,0.2,targeted,0.2,5,
uniform_k25_s1,0.2,0.1,all,0.8248050964614195,130,
uniform_k25_s1,0.2,0.1,random,0.8043478260869562,46,
uniform_k25_s1,0.2,0.1,targeted,0.9047619047619048,84,
uniform_k25_s1,0.2,0.15,all,0.7261442901079462,43,
uniform_k25_s1,0.2,0.15,random,0.5,2,
uniform_k25_s1,0.2,0.15,targeted,0.8048780487804879,41,
uniform_k25_s1,0.2,0.2,all,0.8,5,
uniform_k25_s1,0.2,0.2,random,,0,
uniform_k25_s1,0.2,0.2,targeted,0.8,5,
uniform_k25_s1,0.3,0.1,all,0.8988967368310425,130,
uniform_k25_s1,0.3,0.1,random,0.8913043478260866,46,
uniform_k25_s1,0.3,0.1,targeted,0.9285714285714286,84,
uniform_k25_s1,0.3,0.15,all,0.7623273765252176,43,
uniform_k25_s1,0.3,0.15,random,0.5,2,
uniform_k25_s1,0.3,0.15,targeted,0.8536585365853658,41,
uniform_k25_s1,0.3,0.2,all,1.0,5,
uniform_k25_s1,0.3,0.2,random,,0,
uniform_k25_s1,0.3,0.2,targeted,1.0,5,
uniform_k50_s1,0.05,0.1,all,0.4713243200271639,130,
uniform_k50_s1,0.05,0.1,random,0.36956521739130416,46,
uniform_k50_s1,0.05,0.1,targeted,0.8690476190476191,84,
uniform_k50_s1,0.05,0.15,all,0.7623273765252176,43,
uniform_k50_s1,0.05,0.15,random,0.5,2,
uniform_k50_s1,0.05,0.15,targeted,0.8536585365853658,41,
uniform_k50_s1,0.05,0.2,all,1.0,5,
uniform_k50_s1,0.05,0.2,random,,0,
uniform_k50_s1,0.05,0.2,targeted,1.0,5,
uniform_k50_s1,0.1,0.1,all,0.7628401885302669,130,
uniform_k50_s1,0.1,0.1,random,0.7173913043478257,46,
uniform_k50_s1,0.1,0.1,targeted,0.9404761904761905,84,
uniform_k50_s1,0.1,0.15,all,0.7985104629424891,43,
uniform_k50_s1,0.1,0.15,random,0.5,2,
uniform_k50_s1,0.1,0.15,targeted,0.9024390243902439,41,
uniform_k50_s1,0.1,0.2,all,1.0,5,
uniform_k50_s1,0.1,0.2,random,,0,
uniform_k50_s1,0.1,0.2,targeted,1.0,5,
uniform_k50_s1,0.2,0.1,all,0.9061727762941247,130,
uniform_k50_s1,0.2,0.1,random,0.8913043478260866,46,
uniform_k50_s1,0.2,0.1,targeted,0.9642857142857143,84,
uniform_k50_s1,0.2,0.15,all,0.8166020061511247,43,
uniform_k50_s1,0.2,0.15,random,0.5,2,
uniform_k50_s1,0.2,0.15,targeted,0.926829268292683,41,
uniform_k50_s1,0.2,0.2,all,1.0,5,
uniform_k50_s1,0.2,0.2,random,,0,
uniform_k50_s1,0.2,0.2,targeted,1.0,5,
uniform_k50_s1,0.3,0.1,all,0.9110234692695128,130,
uniform_k50_s1,0.3,0.1,random,0.8913043478260866,46,
uniform_k50_s1,0.3,0.1,targeted,0.9880952380952381,84,
uniform_k50_s1,0.3,0.15,all,0.8527850925683961,43,
uniform_k50_s1,0.3,0.15,random,0.5,2,
uniform_k50_s1,0.3,0.15,targeted,0.975609756097561,41,
uniform_k50_s1,0.3,0.2,all,1.0,5,
uniform_k50_s1,0.3,0.2,random,,0,
uniform_k50_s1,0.3,0.2,targeted,1.0,5,
cached_poly2_s1,0.05,0.1,all,0.4719899428965644,130,
cached_poly2_s1,0.05,0.1,random,0.41304347826086935,46,
cached_poly2_s1,0.05,0.1,targeted,0.7023809523809523,84,
cached_poly2_s1,0.05,0.15,all,0.6537781172734034,43,
cached_poly2_s1,0.05,0.15,random,0.5,2,
cached_poly2_s1,0.05,0.15,targeted,0.7073170731707317,41,
cached_poly2_s1,0.05,0.2,all,1.0,5,
cached_poly2_s1,0.05,0.2,random,,0,
cached_poly2_s1,0.05,0.2,targeted,1.0,5,
cached_poly2_s1,0.1,0.1,all,0.7188511403170739,130,
cached_poly2_s1,0.1,0.1,random,0.6956521739130431,46,
cached_poly2_s1,0.1,0.1,targeted,0.8095238095238095,84,
cached_poly2_s1,0.1,0.15,all,0.9095422839568215,43,
cached_poly2_s1,0.1,0.15,random,1.0,2,
cached_poly2_s1,0.1,0.15,targeted,0.8780487804878049,41,
cached_poly2_s1,0.1,0.2,all,1.0,5,
cached_poly2_s1,0.1,0.2,random,,0,
cached_poly2_s1,0.1,0.2,targeted,1.0,5,
cached_poly2_s1,0.2,0.1,all,0.8493913727730606,130,
cached_poly2_s1,0.2,0.1,random,0.8260869565217389,46,
cached_poly2_s1,0.2,0.1,targeted,0.9404761904761905,84,
cached_poly2_s1,0.2,0.15,all,0.9457253703740929,43,
cached_poly2_s1,0.2,0.15,random,1.0,2,
cached_poly2_s1,0.2,0.15,targeted,0.926829268292683,41,
cached_poly2_s1,0.2,0.2,all,1.0,5,
cached_poly2_s1,0.2,0.2,random,,0,
cached_poly2_s1,0.2,0.2,targeted,1.0,5,
cached_poly2_s1,0.3,0.1,all,0.962954179815189,130,
cached_poly2_s1,0.3,0.1,random,0.9565217391304346,46,
cached_poly2_s1,0.3,0.1,targeted,0.9880952380952381,84,
cached_poly2_s1,0.3,0.15,all,1.0,43,
cached_poly2_s1,0.3,0.15,random,1.0,2,
cached_poly2_s1,0.3,0.15,targeted,1.0,41,
cached_poly2_s1,0.3,0.2,all,1.0,5,
cached_poly2_s1,0.3,0.2,random,,0,
cached_poly2_s1,0.3,0.2,targeted,1.0,5,
standalone_arith_s1,0.05,0.1,all,0.5263459999299345,130,
standalone_arith_s1,0.05,0.1,random,0.47826086956521713,46,
standalone_arith_s1,0.05,0.1,targeted,0.7142857142857143,84,
standalone_arith_s1,0.05,0.15,all,0.8009930247050073,43,
standalone_arith_s1,0.05,0.15,random,1.0,2,
standalone_arith_s1,0.05,0.15,targeted,0.7317073170731707,41,
standalone_arith_s1,0.05,0.2,all,1.0,5,
standalone_arith_s1,0.05,0.2,random,,0,
standalone_arith_s1,0.05,0.2,targeted,1.0,5,
standalone_arith_s1,0.1,0.1,all,0.7309778727555439,130,
standalone_arith_s1,0.1,0.1,random,0.6956521739130431,46,
standalone_arith_s1,0.1,0.1,targeted,0.8690476190476191,84,
standalone_arith_s1,0.1,0.15,all,0.9276338271654572,43,
standalone_arith_s1,0.1,0.15,random,1.0,2,
standalone_arith_s1,0.1,0.15,targeted,0.9024390243902439,41,
standalone_arith_s1,0.1,0.2,all,1.0,5,
standalone_arith_s1,0.1,0.2,random,,0,
standalone_arith_s1,0.1,0.2,targeted,1.0,5,
standalone_arith_s1,0.2,0.1,all,0.8988967368310425,130,
standalone_arith_s1,0.2,0.1,random,0.8913043478260866,46,
standalone_arith_s1,0.2,0.1,targeted,0.9285714285714286,84,
standalone_arith_s1,0.2,0.15,all,0.9276338271654572,43,
standalone_arith_s1,0.2,0.15,random,1.0,2,
standalone_arith_s1,0.2,0.15,targeted,0.9024390243902439,41,
standalone_arith_s1,0.2,0.2,all,1.0,5,
standalone_arith_s1,0.2,0.2,random,,0,
standalone_arith_s1,0.2,0.2,targeted,1.0,5,
standalone_arith_s1,0.3,0.1,all,0.9383679035035479,130,
standalone_arith_s1,0.3,0.1,random,0.934782608695652,46,
standalone_arith_s1,0.3,0.1,targeted,0.9523809523809523,84,
standalone_arith_s1,0.3,0.15,all,0.9457253703740929,43,
standalone_arith_s1,0.3,0.15,random,1.0,2,
standalone_arith_s1,0.3,0.15,targeted,0.926829268292683,41,
standalone_arith_s1,0.3,0.2,all,1.0,5,
standalone_arith_s1,0.3,0.2,random,,0,
standalone_arith_s1,0.3,0.2,targeted,1.0,5,
residual_poly2_s1,0.05,0.1,all,0.5654843551677398,130,
residual_poly2_s1,0.05,0.1,random,0.4999999999999997,46,
residual_poly2_s1,0.05,0.1,targeted,0.8214285714285714,84,
residual_poly2_s1,0.05,0.15,all,0.7985104629424891,43,
residual_poly2_s1,0.05,0.15,random,0.5,2,
residual_poly2_s1,0.05,0.15,targeted,0.9024390243902439,41,
residual_poly2_s1,0.05,0.2,all,1.0,5,
residual_poly2_s1,0.05,0.2,random,,0,
residual_poly2_s1,0.05,0.2,targeted,1.0,5,
residual_poly2_s1,0.1,0.1,all,0.7431046051940146,130,
residual_poly2_s1,0.1,0.1,random,0.6956521739130431,46,
residual_poly2_s1,0.1,0.1,targeted,0.9285714285714286,84,
residual_poly2_s1,0.1,0.15,all,0.9457253703740929,43,
residual_poly2_s1,0.1,0.15,random,1.0,2,
residual_poly2_s1,0.1,0.15,targeted,0.926829268292683,41,
residual_poly2_s1,0.1,0.2,all,1.0,5,
residual_poly2_s1,0.1,0.2,random,,0,
residual_poly2_s1,0.1,0.2,targeted,1.0,5,
residual_poly2_s1,0.2,0.1,all,0.9234830131426834,130,
residual_poly2_s1,0.2,0.1,random,0.9130434782608693,46,
residual_poly2_s1,0.2,0.1,targeted,0.9642857142857143,84,
residual_poly2_s1,0.2,0.15,all,0.9457253703740929,43,
residual_poly2_s1,0.2,0.15,random,1.0,2,
residual_poly2_s1,0.2,0.15,targeted,0.926829268292683,41,
residual_poly2_s1,0.2,0.2,all,1.0,5,
residual_poly2_s1,0.2,0.2,random,,0,
residual_poly2_s1,0.2,0.2,targeted,1.0,5,
residual_poly2_s1,0.3,0.1,all,0.9581034868398007,130,
residual_poly2_s1,0.3,0.1,random,0.9565217391304346,46,
residual_poly2_s1,0.3,0.1,targeted,0.9642857142857143,84,
residual_poly2_s1,0.3,0.15,all,0.9457253703740929,43,
residual_poly2_s1,0.3,0.15,random,1.0,2,
residual_poly2_s1,0.3,0.15,targeted,0.926829268292683,41,
residual_poly2_s1,0.3,0.2,all,1.0,5,
residual_poly2_s1,0.3,0.2,random,,0,
residual_poly2_s1,0.3,0.2,targeted,1.0,5,
residual_arith_s1,0.05,0.1,all,0.5578755042699571,130,
residual_arith_s1,0.05,0.1,random,0.47826086956521713,46,
residual_arith_s1,0.05,0.1,targeted,0.8690476190476191,84,
residual_arith_s1,0.05,0.15,all,0.7985104629424891,43,
residual_arith_s1,0.05,0.15,random,0.5,2,
residual_arith_s1,0.05,0.15,targeted,0.9024390243902439,41,
residual_arith_s1,0.05,0.2,all,1.0,5,
residual_arith_s1,0.05,0.2,random,,0,
residual_arith_s1,0.05,0.2,targeted,1.0,5,
residual_arith_s1,0.1,0.1,all,0.7777250788911316,130,
residual_arith_s1,0.1,0.1,random,0.7391304347826083,46,
residual_arith_s1,0.1,0.1,targeted,0.9285714285714286,84,
residual_arith_s1,0.1,0.15,all,0.9457253703740929,43,
residual_arith_s1,0.1,0.15,random,1.0,2,
residual_arith_s1,0.1,0.15,targeted,0.926829268292683,41,
residual_arith_s1,0.1,0.2,all,1.0,5,
residual_arith_s1,0.1,0.2,random,,0,
residual_arith_s1,0.1,0.2,targeted,1.0,5,
residual_arith_s1,0.2,0.1,all,0.9061727762941247,130,
residual_arith_s1,0.2,0.1,random,0.8913043478260866,46,
residual_arith_s1,0.2,0.1,targeted,0.9642857142857143,84,
residual_arith_s1,0.2,0.15,all,0.9457253703740929,43,
residual_arith_s1,0.2,0.15,random,1.0,2,
residual_arith_s1,0.2,0.15,targeted,0.926829268292683,41,
residual_arith_s1,0.2,0.2,all,1.0,5,
residual_arith_s1,0.2,0.2,random,,0,
residual_arith_s1,0.2,0.2,targeted,1.0,5,
residual_arith_s1,0.3,0.1,all,0.9605288333274948,130,
residual_arith_s1,0.3,0.1,random,0.9565217391304346,46,
residual_arith_s1,0.3,0.1,targeted,0.9761904761904762,84,
residual_arith_s1,0.3,0.15,all,0.9638169135827286,43,
residual_arith_s1,0.3,0.15,random,1.0,2,
residual_arith_s1,0.3,0.15,targeted,0.9512195121951219,41,
residual_arith_s1,0.3,0.2,all,1.0,5,
residual_arith_s1,0.3,0.2,random,,0,
residual_arith_s1,0.3,0.2,targeted,1.0,5,
rankmax_residual_poly2,0.05,0.1,all,0.5010941007488932,130,
rankmax_residual_poly2,0.05,0.1,random,0.41304347826086935,46,
rankmax_residual_poly2,0.05,0.1,targeted,0.8452380952380952,84,
rankmax_residual_poly2,0.05,0.15,all,0.7985104629424891,43,
rankmax_residual_poly2,0.05,0.15,random,0.5,2,
rankmax_residual_poly2,0.05,0.15,targeted,0.9024390243902439,41,
rankmax_residual_poly2,0.05,0.2,all,1.0,5,
rankmax_residual_poly2,0.05,0.2,random,,0,
rankmax_residual_poly2,0.05,0.2,targeted,1.0,5,
rankmax_residual_poly2,0.1,0.1,all,0.7455299516817087,130,
rankmax_residual_poly2,0.1,0.1,random,0.6956521739130431,46,
rankmax_residual_poly2,0.1,0.1,targeted,0.9404761904761905,84,
rankmax_residual_poly2,0.1,0.15,all,0.9638169135827286,43,
rankmax_residual_poly2,0.1,0.15,random,1.0,2,
rankmax_residual_poly2,0.1,0.15,targeted,0.9512195121951219,41,
rankmax_residual_poly2,0.1,0.2,all,1.0,5,
rankmax_residual_poly2,0.1,0.2,random,,0,
rankmax_residual_poly2,0.1,0.2,targeted,1.0,5,
rankmax_residual_poly2,0.2,0.1,all,0.9259083596303774,130,
rankmax_residual_poly2,0.2,0.1,random,0.9130434782608693,46,
rankmax_residual_poly2,0.2,0.1,targeted,0.9761904761904762,84,
rankmax_residual_poly2,0.2,0.15,all,0.9638169135827286,43,
rankmax_residual_poly2,0.2,0.15,random,1.0,2,
rankmax_residual_poly2,0.2,0.15,targeted,0.9512195121951219,41,
rankmax_residual_poly2,0.2,0.2,all,1.0,5,
rankmax_residual_poly2,0.2,0.2,random,,0,
rankmax_residual_poly2,0.2,0.2,targeted,1.0,5,
rankmax_residual_poly2,0.3,0.1,all,0.9653795263028827,130,
rankmax_residual_poly2,0.3,0.1,random,0.9565217391304346,46,
rankmax_residual_poly2,0.3,0.1,targeted,1.0,84,
rankmax_residual_poly2,0.3,0.15,all,1.0,43,
rankmax_residual_poly2,0.3,0.15,random,1.0,2,
rankmax_residual_poly2,0.3,0.15,targeted,1.0,41,
rankmax_residual_poly2,0.3,0.2,all,1.0,5,
rankmax_residual_poly2,0.3,0.2,random,,0,
rankmax_residual_poly2,0.3,0.2,targeted,1.0,5,
rankmean_residual_poly2,0.05,0.1,all,0.5606336621923516,130,
rankmean_residual_poly2,0.05,0.1,random,0.4999999999999997,46,
rankmean_residual_poly2,0.05,0.1,targeted,0.7976190476190477,84,
rankmean_residual_poly2,0.05,0.15,all,0.9095422839568215,43,
rankmean_residual_poly2,0.05,0.15,random,1.0,2,
rankmean_residual_poly2,0.05,0.15,targeted,0.8780487804878049,41,
rankmean_residual_poly2,0.05,0.2,all,1.0,5,
rankmean_residual_poly2,0.05,0.2,random,,0,
rankmean_residual_poly2,0.05,0.2,targeted,1.0,5,
rankmean_residual_poly2,0.1,0.1,all,0.755564149067185,130,
rankmean_residual_poly2,0.1,0.1,random,0.7173913043478257,46,
rankmean_residual_poly2,0.1,0.1,targeted,0.9047619047619048,84,
rankmean_residual_poly2,0.1,0.15,all,0.9276338271654572,43,
rankmean_residual_poly2,0.1,0.15,random,1.0,2,
rankmean_residual_poly2,0.1,0.15,targeted,0.9024390243902439,41,
rankmean_residual_poly2,0.1,0.2,all,1.0,5,
rankmean_residual_poly2,0.1,0.2,random,,0,
rankmean_residual_poly2,0.1,0.2,targeted,1.0,5,
rankmean_residual_poly2,0.2,0.1,all,0.9085981227818187,130,
rankmean_residual_poly2,0.2,0.1,random,0.8913043478260866,46,
rankmean_residual_poly2,0.2,0.1,targeted,0.9761904761904762,84,
rankmean_residual_poly2,0.2,0.15,all,0.9819084567913643,43,
rankmean_residual_poly2,0.2,0.15,random,1.0,2,
rankmean_residual_poly2,0.2,0.15,targeted,0.975609756097561,41,
rankmean_residual_poly2,0.2,0.2,all,1.0,5,
rankmean_residual_poly2,0.2,0.2,random,,0,
rankmean_residual_poly2,0.2,0.2,targeted,1.0,5,
rankmean_residual_poly2,0.3,0.1,all,0.9653795263028827,130,
rankmean_residual_poly2,0.3,0.1,random,0.9565217391304346,46,
rankmean_residual_poly2,0.3,0.1,targeted,1.0,84,
rankmean_residual_poly2,0.3,0.15,all,1.0,43,
rankmean_residual_poly2,0.3,0.15,random,1.0,2,
rankmean_residual_poly2,0.3,0.15,targeted,1.0,41,
rankmean_residual_poly2,0.3,0.2,all,1.0,5,
rankmean_residual_poly2,0.3,0.2,random,,0,
rankmean_residual_poly2,0.3,0.2,targeted,1.0,5,
rankmax_residual_s2,0.05,0.1,all,0.28191014899711925,130,
rankmax_residual_s2,0.05,0.1,random,0.19565217391304338,46,
rankmax_residual_s2,0.05,0.1,targeted,0.6190476190476191,84,
rankmax_residual_s2,0.05,0.15,all,0.7080527468993105,43,
rankmax_residual_s2,0.05,0.15,random,0.5,2,
rankmax_residual_s2,0.05,0.15,targeted,0.7804878048780488,41,
rankmax_residual_s2,0.05,0.2,all,1.0,5,
rankmax_residual_s2,0.05,0.2,random,,0,
rankmax_residual_s2,0.05,0.2,targeted,1.0,5,
rankmax_residual_s2,0.1,0.1,all,0.5776110876062099,130,
rankmax_residual_s2,0.1,0.1,random,0.4999999999999997,46,
rankmax_residual_s2,0.1,0.1,targeted,0.8809523809523809,84,
rankmax_residual_s2,0.1,0.15,all,0.8166020061511247,43,
rankmax_residual_s2,0.1,0.15,random,0.5,2,
rankmax_residual_s2,0.1,0.15,targeted,0.926829268292683,41,
rankmax_residual_s2,0.1,0.2,all,1.0,5,
rankmax_residual_s2,0.1,0.2,random,,0,
rankmax_residual_s2,0.1,0.2,targeted,1.0,5,
rankmax_residual_s2,0.2,0.1,all,0.8023113552027725,130,
rankmax_residual_s2,0.2,0.1,random,0.7608695652173909,46,
rankmax_residual_s2,0.2,0.1,targeted,0.9642857142857143,84,
rankmax_residual_s2,0.2,0.15,all,0.9819084567913643,43,
rankmax_residual_s2,0.2,0.15,random,1.0,2,
rankmax_residual_s2,0.2,0.15,targeted,0.975609756097561,41,
rankmax_residual_s2,0.2,0.2,all,1.0,5,
rankmax_residual_s2,0.2,0.2,random,,0,
rankmax_residual_s2,0.2,0.2,targeted,1.0,5,
rankmax_residual_s2,0.3,0.1,all,0.9283337061180715,130,
rankmax_residual_s2,0.3,0.1,random,0.9130434782608693,46,
rankmax_residual_s2,0.3,0.1,targeted,0.9880952380952381,84,
rankmax_residual_s2,0.3,0.15,all,0.9819084567913643,43,
rankmax_residual_s2,0.3,0.15,random,1.0,2,
rankmax_residual_s2,0.3,0.15,targeted,0.975609756097561,41,
rankmax_residual_s2,0.3,0.2,all,1.0,5,
rankmax_residual_s2,0.3,0.2,random,,0,
rankmax_residual_s2,0.3,0.2,targeted,1.0,5,
k0_s1_plus_s2,0.05,0.1,all,0.37364483765000095,130,0.0
k0_s1_plus_s2,0.05,0.1,random,0.32608695652173897,46,0.0
k0_s1_plus_s2,0.05,0.1,targeted,0.5595238095238095,84,0.0
k0_s1_plus_s2,0.05,0.15,all,0.5452288580215893,43,0.0
k0_s1_plus_s2,0.05,0.15,random,0.5,2,0.0
k0_s1_plus_s2,0.05,0.15,targeted,0.5609756097560976,41,0.0
k0_s1_plus_s2,0.05,0.2,all,0.2,5,0.0
k0_s1_plus_s2,0.05,0.2,random,,0,0.0
k0_s1_plus_s2,0.05,0.2,targeted,0.2,5,0.0
k0_s1_plus_s2,0.1,0.1,all,0.6080464911973397,130,0.0
k0_s1_plus_s2,0.1,0.1,random,0.5869565217391302,46,0.0
k0_s1_plus_s2,0.1,0.1,targeted,0.6904761904761905,84,0.0
k0_s1_plus_s2,0.1,0.15,all,0.5995034876474964,43,0.0
k0_s1_plus_s2,0.1,0.15,random,0.5,2,0.0
k0_s1_plus_s2,0.1,0.15,targeted,0.6341463414634146,41,0.0
k0_s1_plus_s2,0.1,0.2,all,0.2,5,0.0
k0_s1_plus_s2,0.1,0.2,random,,0,0.0
k0_s1_plus_s2,0.1,0.2,targeted,0.2,5,0.0
k0_s1_plus_s2,0.2,0.1,all,0.7932755921213969,130,0.0
k0_s1_plus_s2,0.2,0.1,random,0.8043478260869562,46,0.0
k0_s1_plus_s2,0.2,0.1,targeted,0.75,84,0.0
k0_s1_plus_s2,0.2,0.15,all,0.617595030856132,43,0.0
k0_s1_plus_s2,0.2,0.15,random,0.5,2,0.0
k0_s1_plus_s2,0.2,0.15,targeted,0.6585365853658537,41,0.0
k0_s1_plus_s2,0.2,0.2,all,0.2,5,0.0
k0_s1_plus_s2,0.2,0.2,random,,0,0.0
k0_s1_plus_s2,0.2,0.2,targeted,0.2,5,0.0
k0_s1_plus_s2,0.3,0.1,all,0.8400227982569846,130,0.1
k0_s1_plus_s2,0.3,0.1,random,0.8478260869565216,46,0.1
k0_s1_plus_s2,0.3,0.1,targeted,0.8095238095238095,84,0.1
k0_s1_plus_s2,0.3,0.15,all,0.6356865740647677,43,0.1
k0_s1_plus_s2,0.3,0.15,random,0.5,2,0.1
k0_s1_plus_s2,0.3,0.15,targeted,0.6829268292682927,41,0.1
k0_s1_plus_s2,0.3,0.2,all,0.2,5,0.1
k0_s1_plus_s2,0.3,0.2,random,,0,0.1
k0_s1_plus_s2,0.3,0.2,targeted,0.2,5,0.1
residual_arith_plus_s2,0.05,0.1,all,0.5578755042699571,130,0.0
residual_arith_plus_s2,0.05,0.1,random,0.47826086956521713,46,0.0
residual_arith_plus_s2,0.05,0.1,targeted,0.8690476190476191,84,0.0
residual_arith_plus_s2,0.05,0.15,all,0.7985104629424891,43,0.0
residual_arith_plus_s2,0.05,0.15,random,0.5,2,0.0
residual_arith_plus_s2,0.05,0.15,targeted,0.9024390243902439,41,0.0
residual_arith_plus_s2,0.05,0.2,all,1.0,5,0.0
residual_arith_plus_s2,0.05,0.2,random,,0,0.0
residual_arith_plus_s2,0.05,0.2,targeted,1.0,5,0.0
residual_arith_plus_s2,0.1,0.1,all,0.7777250788911316,130,0.0
residual_arith_plus_s2,0.1,0.1,random,0.7391304347826083,46,0.0
residual_arith_plus_s2,0.1,0.1,targeted,0.9285714285714286,84,0.0
residual_arith_plus_s2,0.1,0.15,all,0.9457253703740929,43,0.0
residual_arith_plus_s2,0.1,0.15,random,1.0,2,0.0
residual_arith_plus_s2,0.1,0.15,targeted,0.926829268292683,41,0.0
residual_arith_plus_s2,0.1,0.2,all,1.0,5,0.0
residual_arith_plus_s2,0.1,0.2,random,,0,0.0
residual_arith_plus_s2,0.1,0.2,targeted,1.0,5,0.0
residual_arith_plus_s2,0.2,0.1,all,0.9061727762941247,130,0.0
