S,size,conf,v_audit,v_full
"(0, 9, 22)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.45341962575912476,0.4691210985183716
"(0, 9, 22)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.4253939390182495,0.4010937809944153
"(0, 9, 22)",3,dam_as_total_procured__mw__ru__as_caiso,0.413224995136261,0.40391021966934204
"(0, 9, 22)",3,dam_as_total_procured__mw__rd__as_caiso,0.7828143835067749,0.7811506986618042
"(0, 9, 22)",3,dam_as_total_procured__mw__sr__as_caiso,0.13113754987716675,0.16804933547973633
"(0, 9, 22)",3,dam_as_total_procured__mw__nr__as_caiso,0.262956440448761,0.26319044828414917
"(0, 11, 37)",3,actual_load__mw__ca_iso_tac,0.9334718585014343,0.9287765622138977
"(0, 11, 37)",3,dam_schedule__mw__generation__caiso_totals,0.8769243955612183,0.8780156373977661
"(0, 11, 37)",3,dam_schedule__mw__import__caiso_totals,0.4651722311973572,0.4510217308998108
"(0, 11, 37)",3,dam_schedule__mw__export__caiso_totals,0.5758999586105347,0.5713341236114502
"(0, 11, 37)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.769362211227417,0.7806674838066101
"(0, 11, 37)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.4662662744522095,0.45201951265335083
"(0, 11, 37)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.44082093238830566,0.42798346281051636
"(0, 11, 37)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3289642930030823,0.32117998600006104
"(0, 11, 37)",3,dam_as_total_procured__mw__ru__as_caiso,0.44637948274612427,0.4236029386520386
"(0, 11, 37)",3,dam_as_total_procured__mw__rd__as_caiso,0.7690977454185486,0.7659432888031006
"(0, 11, 37)",3,dam_as_total_procured__mw__sr__as_caiso,0.21969687938690186,0.23681819438934326
"(0, 11, 37)",3,dam_as_total_procured__mw__nr__as_caiso,0.48393964767456055,0.48227185010910034
"(0, 14, 25)",3,actual_load__mw__ca_iso_tac,0.6953455209732056,0.6907014846801758
"(0, 14, 25)",3,dam_schedule__mw__generation__caiso_totals,0.6642447113990784,0.668452262878418
"(0, 14, 25)",3,dam_schedule__mw__import__caiso_totals,0.33267784118652344,0.3196890354156494
