数据集,估计器,目标,k,背景总数,认证下界比,见证召回,M2偏差,M2误差
NEM 真实市场,三种子,机组出力_PPCCGT,1,436,0.4054364264011383,0.16666666666666666,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,2,436,0.4145180284976959,0.16666666666666666,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,3,436,0.4788716435432434,0.23333333333333334,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,5,436,0.6089497208595276,0.4,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,10,436,0.9692800641059875,0.9,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,20,436,0.998441755771637,1.0,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,30,436,0.998441755771637,1.0,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,50,436,0.998441755771637,1.0,0.12990225851535797,0.13019144535064697
NEM 真实市场,三种子,机组出力_PPCCGT,100,436,1.0,1.0,0.12990225851535797,0.13019144535064697
NEM 真实市场,单种子,机组出力_BW01,1,436,0.9000019431114197,0.5666666666666667,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,2,436,0.9304945468902588,0.7333333333333333,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,3,436,0.9372388124465942,0.7333333333333333,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,5,436,0.9497213959693909,0.7666666666666667,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,10,436,0.9609940052032471,0.8,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,20,436,0.9637632966041565,0.8,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,30,436,0.9755697250366211,0.8666666666666667,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,50,436,0.9763524532318115,0.8666666666666667,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_BW01,100,436,0.9763524532318115,0.8666666666666667,-0.01062929630279541,0.01351941842585802
NEM 真实市场,单种子,机组出力_TUMUT3,1,436,0.6199273467063904,0.26666666666666666,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,2,436,0.8032716512680054,0.4,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,3,436,0.8702355623245239,0.5333333333333333,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,5,436,0.9012330174446106,0.6666666666666666,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,10,436,0.9204588532447815,0.7,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,20,436,0.9426244497299194,0.8,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,30,436,0.9629421830177307,0.8666666666666667,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,50,436,0.9747823476791382,0.9,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_TUMUT3,100,436,0.9900822043418884,0.9666666666666667,-0.008923365734517574,0.02362115867435932
NEM 真实市场,单种子,机组出力_PPCCGT,1,436,0.9087647795677185,0.7666666666666667,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,2,436,0.9617898464202881,0.8666666666666667,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,3,436,0.9827509522438049,0.9333333333333333,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,5,436,0.9874698519706726,0.9666666666666667,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,10,436,0.9962671995162964,1.0,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,20,436,0.998441755771637,1.0,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,30,436,0.998441755771637,1.0,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,50,436,0.998441755771637,1.0,-0.001388669479638338,0.010765451937913895
NEM 真实市场,单种子,机组出力_PPCCGT,100,436,1.0,1.0,-0.001388669479638338,0.010765451937913895
RTS-GMLC,三种子,机组出力_223_STEAM_3,1,254,0.9905460476875305,0.8695652173913043,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,2,254,0.9921384453773499,0.9130434782608695,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,3,254,0.993199348449707,0.9130434782608695,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,5,254,0.993199348449707,0.9130434782608695,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,10,254,0.9937289357185364,0.9130434782608695,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,20,254,0.9937481880187988,0.9130434782608695,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,30,254,0.9954307079315186,0.9565217391304348,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,50,254,0.9996926188468933,1.0,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_223_STEAM_3,100,254,1.0,1.0,-0.011080119758844376,0.013680867850780487
RTS-GMLC,三种子,机组出力_221_CC_1,1,254,0.9961245656013489,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,2,254,0.9980409741401672,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,3,254,0.998338520526886,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,5,254,0.998338520526886,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,10,254,0.998338520526886,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,20,254,0.998338520526886,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,30,254,0.998338520526886,0.9565217391304348,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,50,254,1.0,1.0,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,机组出力_221_CC_1,100,254,1.0,1.0,-0.004023702349513769,0.009999052621424198
RTS-GMLC,三种子,线路潮流_C35,1,254,0.8571369647979736,0.5652173913043478,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,2,254,0.9796704053878784,0.8260869565217391,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,3,254,0.9933190941810608,0.9565217391304348,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,5,254,0.9977720379829407,1.0,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,10,254,0.9993666410446167,1.0,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,20,254,0.9995633959770203,1.0,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,30,254,0.9995633959770203,1.0,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,50,254,0.9995633959770203,1.0,0.04224313795566559,0.052256543189287186
RTS-GMLC,三种子,线路潮流_C35,100,254,1.0,1.0,0.04224313795566559,0.052256543189287186
RTS-GMLC,单种子,机组出力_223_STEAM_3,1,254,0.9851400256156921,0.8695652173913043,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,2,254,0.9890390634536743,0.9130434782608695,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,3,254,0.9915133714675903,0.9130434782608695,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,5,254,0.993199348449707,0.9130434782608695,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,10,254,0.9937289357185364,0.9130434782608695,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,20,254,0.9937289357185364,0.9130434782608695,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,30,254,0.9953709244728088,0.9565217391304348,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,50,254,0.9994664788246155,1.0,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_223_STEAM_3,100,254,1.0,1.0,-0.018327167257666588,0.018961532041430473
RTS-GMLC,单种子,机组出力_221_CC_1,1,254,0.9877744913101196,0.8260869565217391,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,2,254,0.9957684874534607,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,3,254,0.9978718161582947,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,5,254,0.9983305335044861,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,10,254,0.9983305335044861,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,20,254,0.998338520526886,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,30,254,0.998338520526886,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,50,254,0.998338520526886,0.9565217391304348,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,机组出力_221_CC_1,100,254,1.0,1.0,-0.010578758083283901,0.011788527481257915
RTS-GMLC,单种子,线路潮流_C35,1,254,0.9670881032943726,0.6956521739130435,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,2,254,0.9806919693946838,0.8695652173913043,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,3,254,0.9907225370407104,0.9565217391304348,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,5,254,0.9951986074447632,0.9565217391304348,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,10,254,0.9998033046722412,1.0,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,20,254,1.0,1.0,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,30,254,1.0,1.0,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,50,254,1.0,1.0,-0.0002898583479691297,0.018295805901288986
RTS-GMLC,单种子,线路潮流_C35,100,254,1.0,1.0,-0.0002898583479691297,0.018295805901288986
