node_type,target_field,pearson,spearman,kendall,nmi,distance_corr,dominant_metric,dominant_alpha
general,total_pjm_rmpcp_cr,0.20034757,0.20385413,0.1997889,0.19465144,0.201358,spearman,0.20385413
general,da_as_mcp_primary_reserve,0.20326568,0.21661815,0.19869553,0.16287856,0.21854214,distance_corr,0.21854214
general,da_as_mcp_synchronized_reserve,0.18273444,0.2349769,0.21089745,0.15799037,0.21340081,spearman,0.2349769
general,da_as_as_req_mw_primary_reserve,0.18550014,0.1856677,0.19095048,0.2552628,0.18261887,nmi,0.2552628
general,da_as_as_req_mw_synchronized_reserve,0.17878716,0.18300107,0.18415579,0.2809879,0.17306806,nmi,0.2809879
general,da_as_as_req_mw_thirty_minutes_reserve,0.20065904,0.19890575,0.19185042,0.21470755,0.19387725,nmi,0.21470755
general,da_as_ss_mw_primary_reserve,0.20129882,0.2023799,0.20013596,0.19630899,0.19987628,spearman,0.2023799
general,da_as_ss_mw_synchronized_reserve,0.19926018,0.20287406,0.19747008,0.19897,0.20142563,spearman,0.20287406
general,da_as_ss_mw_thirty_minutes_reserve,0.19994704,0.19998658,0.20019576,0.19927603,0.20059454,distance_corr,0.20059454
general,da_as_nsr_mw_primary_reserve,0.18757348,0.20282342,0.18215214,0.2655699,0.16188116,nmi,0.2655699
general,system_energy_price_da,0.5969511,0.08951947,0.09622143,0.11318485,0.104123116,pearson,0.5969511
general,total_lmp_rt,0.124191955,0.1159313,0.12697585,0.50297487,0.12992604,nmi,0.50297487
general,marginal_loss_price_rt,0.26881394,0.1458071,0.16489588,0.25372368,0.16675948,pearson,0.26881394
general,net_inadv_interchange_mw,0.20004079,0.19994049,0.19968253,0.20075053,0.19958566,nmi,0.20075053
general,gross_sched_interchange_mw,0.16314842,0.20148218,0.19995946,0.21111791,0.22429205,distance_corr,0.22429205
general,gross_inadv_interchange_mw,0.19598004,0.21308653,0.20279677,0.20027822,0.1878584,spearman,0.21308653
confidential,net_actual_interchange_mw,0.1756107,0.1790374,0.2799019,0.18835294,0.17709707,kendall,0.2799019
confidential,gross_actual_interchange_mw,0.031445105,0.03273431,0.036680788,0.8703793,0.028760493,nmi,0.8703793
confidential,total_gen,0.06344477,0.056461073,0.08776374,0.73951405,0.052816406,nmi,0.73951405
confidential,metered_load_mw,0.073111445,0.05337312,0.102889806,0.71265864,0.057967033,nmi,0.71265864
confidential,total_losses,0.18087818,0.14746499,0.100514635,0.4495598,0.12158239,nmi,0.4495598
confidential,congestion_price_da,0.116736874,0.12038619,0.111537956,0.4996162,0.15172271,nmi,0.4996162
confidential,congestion_price_rt,0.08804943,0.127087,0.124879554,0.1754555,0.48452854,distance_corr,0.48452854
confidential,marginal_loss_price_da,0.22750425,0.13533482,0.14329094,0.09680467,0.3970653,distance_corr,0.3970653
confidential,total_lmp_da,0.544045,0.050770316,0.11023391,0.23024972,0.064701125,pearson,0.544045
confidential,da_as_total_mw_primary_reserve,0.29835474,0.088951685,0.09020299,0.4235448,0.09894578,nmi,0.4235448
confidential,da_as_total_mw_synchronized_reserve,0.08990781,0.08667502,0.095772475,0.6370245,0.09062014,nmi,0.6370245
confidential,da_as_total_mw_thirty_minutes_reserve,0.24587968,0.21642148,0.20654896,0.14287408,0.18827581,pearson,0.24587968
