数据,目标,方法,k,剩余最大V,剩余危险组合
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,3,0.9934831857681274,57
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,4,0.9929665327072144,56
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,5,0.9899468421936035,55
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,6,0.9863810539245605,54
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,7,0.9863810539245605,53
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,8,0.9852306246757507,52
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,9,0.9773703813552856,51
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,10,0.9749926328659058,32
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,11,0.7483017444610596,31
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,12,0.6863796710968018,17
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,13,0.6863796710968018,9
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,15,0.5226079225540161,1
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,16,0.47886085510253906,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,17,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,18,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,19,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,20,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,21,0.29965388774871826,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,22,0.04330158233642578,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,4,0.9899468421936035,56
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,5,0.9883776903152466,55
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,6,0.9883776903152466,54
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,7,0.9883776903152466,53
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,8,0.9851452112197876,52
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,9,0.9636973738670349,51
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,11,0.7483017444610596,31
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,12,0.7483017444610596,20
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,13,0.6863796710968018,9
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,15,0.5226079225540161,1
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,16,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,17,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,18,0.23629844188690186,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,19,0.18933135271072388,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,20,0.13722145557403564,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,21,0.10183030366897583,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,22,0.03997194766998291,0
RTS-GMLC,Y_机组出力_223_STEAM_3,mi,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,4,0.9899468421936035,56
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,5,0.9883776903152466,55
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,6,0.9883037805557251,54
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,7,0.9863810539245605,53
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,8,0.9852306246757507,52
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,9,0.9773703813552856,51
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,11,0.7483017444610596,31
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,12,0.6863796710968018,17
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,13,0.6863796710968018,9
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,15,0.4860830307006836,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,16,0.47886085510253906,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,17,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,18,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,19,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,20,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,21,0.12510067224502563,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,22,0.04330158233642578,0
RTS-GMLC,Y_机组出力_223_STEAM_3,dcor,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,4,0.9929665327072144,56
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,5,0.9899468421936035,55
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,6,0.9887359142303467,54
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,7,0.9857602715492249,53
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,8,0.9852306246757507,52
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,9,0.9636973738670349,51
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,11,0.7483017444610596,31
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,12,0.6863796710968018,17
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,13,0.6863796710968018,9
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,15,0.4860830307006836,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,16,0.47886085510253906,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,17,0.47886085510253906,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,18,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,19,0.17271888256072998,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,20,0.1607191562652588,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,21,0.08335202932357788,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,22,0.03931093215942383,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M0,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,2,0.9934831857681274,51
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,3,0.9934831857681274,47
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,4,0.9934831857681274,46
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,5,0.9934831857681274,29
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,6,0.9934831857681274,23
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,7,0.9934831857681274,22
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,8,0.9934831857681274,20
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,9,0.9928076267242432,19
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,10,0.9926937818527222,18
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,11,0.9926937818527222,17
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,12,0.9926937818527222,12
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,13,0.9926937818527222,11
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,14,0.9907432794570923,10
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,15,0.9878270030021667,9
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,16,0.9878270030021667,7
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,17,0.9878270030021667,4
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,18,0.9691290855407715,3
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,19,0.9691290855407715,3
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,20,0.964335560798645,1
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,21,0.9600375890731812,1
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,22,0.28171128034591675,0
RTS-GMLC,Y_机组出力_223_STEAM_3,loco,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,3,0.9934831857681274,50
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,4,0.9934831857681274,32
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,5,0.9910746812820435,31
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,6,0.9909231662750244,20
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,7,0.9909231662750244,18
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,8,0.9909231662750244,14
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,9,0.9909231662750244,13
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,10,0.9909231662750244,12
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,11,0.9905619025230408,11
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,12,0.9905619025230408,10
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,13,0.9905619025230408,8
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,14,0.9905619025230408,8
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,15,0.9905619025230408,7
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,16,0.9902548789978027,6
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,17,0.9726232886314392,5
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,18,0.9726232886314392,3
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,19,0.9726232886314392,1
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,20,0.9726232886314392,1
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,21,0.3065676689147949,0
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,22,0.13392484188079834,0
RTS-GMLC,Y_机组出力_223_STEAM_3,perm,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,4,0.9929665327072144,52
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,5,0.9899468421936035,51
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,6,0.9894586801528931,50
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,7,0.9894586801528931,38
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,8,0.9894586801528931,22
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,9,0.9894586801528931,12
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,10,0.9894586801528931,8
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,11,0.9894586801528931,8
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,12,0.9894586801528931,6
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,13,0.9894586801528931,5
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,14,0.9885143041610718,5
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,15,0.9883716106414795,5
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,16,0.9883716106414795,5
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,17,0.9880855083465576,4
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,18,0.9880855083465576,4
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,19,0.9880855083465576,3
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,20,0.987721860408783,2
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,21,0.9457652568817139,1
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,22,0.24450898170471191,0
RTS-GMLC,Y_机组出力_223_STEAM_3,sage,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,1,0.9950751066207886,59
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,2,0.9950751066207886,58
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,3,0.9950751066207886,57
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,4,0.9950751066207886,56
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,5,0.9950751066207886,55
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,6,0.9950751066207886,54
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,7,0.9950751066207886,53
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,8,0.9864731431007385,52
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,9,0.9636973738670349,51
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,11,0.7483017444610596,31
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,12,0.7388440370559692,20
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,13,0.6771676540374756,9
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,15,0.5226079225540161,1
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,16,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,17,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,18,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,19,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,20,0.1607191562652588,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,21,0.08383756875991821,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,22,0.03997194766998291,0
RTS-GMLC,Y_机组出力_223_STEAM_3,graph,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,3,0.9934831857681274,57
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,4,0.9929665327072144,56
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,5,0.9899468421936035,55
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,6,0.9863810539245605,54
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,7,0.9863810539245605,53
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,8,0.9797824621200562,52
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,9,0.9785254001617432,51
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,11,0.6947812438011169,29
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,12,0.6863796710968018,17
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,13,0.6863796710968018,9
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,15,0.5363897085189819,1
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,16,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,17,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,18,0.23629844188690186,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,19,0.17271888256072998,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,20,0.13722145557403564,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,21,0.10183030366897583,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,22,0.0650564432144165,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_est,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,4,0.9929665327072144,56
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,5,0.9899468421936035,55
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,6,0.9887359142303467,54
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,7,0.9857602715492249,53
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,8,0.9852306246757507,52
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,9,0.9636973738670349,51
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,11,0.6947812438011169,29
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,12,0.6863796710968018,17
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,13,0.6817871332168579,10
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,15,0.5363897085189819,1
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,16,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,17,0.30478036403656006,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,18,0.23629844188690186,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,19,0.18933135271072388,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,20,0.13722145557403564,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,21,0.10183030366897583,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,22,0.0650564432144165,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2_cert,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,4,0.9929665327072144,56
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,5,0.9899468421936035,55
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,6,0.9887359142303467,54
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,7,0.9857602715492249,53
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,8,0.9852306246757507,52
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,9,0.9636973738670349,51
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,10,0.7507718205451965,50
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,11,0.6947812438011169,29
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,12,0.6863796710968018,17
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,13,0.6817871332168579,10
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,15,0.5363897085189819,1
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,16,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,17,0.30478036403656006,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,18,0.2631385922431946,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,19,0.18933135271072388,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,20,0.13722145557403564,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,21,0.10183030366897583,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,22,0.03997194766998291,0
RTS-GMLC,Y_机组出力_223_STEAM_3,M2,23,0.0,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,0,0.9901685118675232,52
RTS-GMLC,Y_机组出力_221_CC_1,pearson,1,0.9901685118675232,40
RTS-GMLC,Y_机组出力_221_CC_1,pearson,2,0.9901685118675232,28
RTS-GMLC,Y_机组出力_221_CC_1,pearson,3,0.9901685118675232,19
RTS-GMLC,Y_机组出力_221_CC_1,pearson,4,0.9901685118675232,18
RTS-GMLC,Y_机组出力_221_CC_1,pearson,5,0.989227294921875,17
RTS-GMLC,Y_机组出力_221_CC_1,pearson,6,0.9885836243629456,16
RTS-GMLC,Y_机组出力_221_CC_1,pearson,7,0.9880314469337463,15
RTS-GMLC,Y_机组出力_221_CC_1,pearson,8,0.9859381318092346,14
RTS-GMLC,Y_机组出力_221_CC_1,pearson,9,0.9859381318092346,13
RTS-GMLC,Y_机组出力_221_CC_1,pearson,10,0.9847939610481262,12
RTS-GMLC,Y_机组出力_221_CC_1,pearson,11,0.9832582473754883,11
RTS-GMLC,Y_机组出力_221_CC_1,pearson,12,0.9554634094238281,10
RTS-GMLC,Y_机组出力_221_CC_1,pearson,13,0.9554634094238281,3
RTS-GMLC,Y_机组出力_221_CC_1,pearson,14,0.9554634094238281,1
RTS-GMLC,Y_机组出力_221_CC_1,pearson,15,0.4660688042640686,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,16,0.4660688042640686,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,17,0.44509297609329224,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,18,0.44509297609329224,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,19,0.29829543828964233,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,20,0.2690604329109192,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,21,0.2655419111251831,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,22,0.015168905258178711,0
RTS-GMLC,Y_机组出力_221_CC_1,pearson,23,0.0,0
RTS-GMLC,Y_机组出力_221_CC_1,spearman,0,0.9901685118675232,52
RTS-GMLC,Y_机组出力_221_CC_1,spearman,1,0.9897912740707397,51
RTS-GMLC,Y_机组出力_221_CC_1,spearman,2,0.989227294921875,50
RTS-GMLC,Y_机组出力_221_CC_1,spearman,3,0.9885836243629456,49
RTS-GMLC,Y_机组出力_221_CC_1,spearman,4,0.9880314469337463,48
RTS-GMLC,Y_机组出力_221_CC_1,spearman,5,0.9880314469337463,47
RTS-GMLC,Y_机组出力_221_CC_1,spearman,6,0.9859381318092346,46
RTS-GMLC,Y_机组出力_221_CC_1,spearman,7,0.9847939610481262,45
RTS-GMLC,Y_机组出力_221_CC_1,spearman,8,0.9721265435218811,44
RTS-GMLC,Y_机组出力_221_CC_1,spearman,9,0.9685822129249573,43
RTS-GMLC,Y_机组出力_221_CC_1,spearman,10,0.9685822129249573,31
RTS-GMLC,Y_机组出力_221_CC_1,spearman,11,0.7892112731933594,30
RTS-GMLC,Y_机组出力_221_CC_1,spearman,12,0.7892112731933594,18
RTS-GMLC,Y_机组出力_221_CC_1,spearman,13,0.6728411912918091,9
RTS-GMLC,Y_机组出力_221_CC_1,spearman,14,0.5343897342681885,2
RTS-GMLC,Y_机组出力_221_CC_1,spearman,15,0.5202786922454834,1
RTS-GMLC,Y_机组出力_221_CC_1,spearman,16,0.4685465097427368,0
RTS-GMLC,Y_机组出力_221_CC_1,spearman,17,0.4457811713218689,0
