数据,目标,τ,方法,字段数,关键数,隐藏数,AP_关键,AP_隐藏,R精确率
RTS-GMLC,Y_线路潮流_C35,0.5,dcor,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,M0,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,loco,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,perm,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,sage,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,graph,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,M2_est,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,M2_cert,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,M2,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.7,pearson,23,21,21,0.9631527760770309,0.9631527760770309,0.9047619047619048
RTS-GMLC,Y_线路潮流_C35,0.7,spearman,23,21,21,0.9631527760770309,0.9631527760770309,0.9047619047619048
RTS-GMLC,Y_线路潮流_C35,0.7,mi,23,21,21,0.9750455741319253,0.9750455741319253,0.9047619047619048
RTS-GMLC,Y_线路潮流_C35,0.7,dcor,23,21,21,0.9631527760770309,0.9631527760770309,0.9047619047619048
RTS-GMLC,Y_线路潮流_C35,0.7,M0,23,21,21,0.9782201773065284,0.9782201773065284,0.9047619047619048
RTS-GMLC,Y_线路潮流_C35,0.7,loco,23,21,21,0.9457400912550138,0.9457400912550138,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,0.7,perm,23,21,21,0.9771070047647845,0.9771070047647845,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,0.7,sage,23,21,21,0.9738103431974463,0.9738103431974463,0.9047619047619048
RTS-GMLC,Y_线路潮流_C35,0.7,graph,23,21,21,0.9955679241393531,0.9955679241393531,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,0.7,M2_est,23,21,21,1.0000000000000004,1.0000000000000004,1.0
RTS-GMLC,Y_线路潮流_C35,0.7,M2_cert,23,21,21,0.9978354978354982,0.9978354978354982,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,0.7,M2,23,21,21,0.9978354978354982,0.9978354978354982,0.9523809523809523
NEM,Y_机组出力_BW01,0.5,pearson,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,spearman,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,mi,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,dcor,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,M0,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,loco,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,perm,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,sage,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,graph,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,M2_est,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,M2_cert,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.5,M2,30,30,30,,,1.0
NEM,Y_机组出力_BW01,0.7,pearson,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,spearman,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,mi,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,dcor,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,M0,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,loco,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,perm,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,sage,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,graph,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,M2_est,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,M2_cert,30,0,0,,,
NEM,Y_机组出力_BW01,0.7,M2,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.5,pearson,30,22,22,0.9076143213847385,0.9076143213847385,0.7727272727272727
NEM,Y_机组出力_TUMUT3,0.5,spearman,30,22,22,0.9044348227877117,0.9044348227877117,0.7727272727272727
NEM,Y_机组出力_TUMUT3,0.5,mi,30,22,22,0.9108182152226036,0.9108182152226036,0.7727272727272727
NEM,Y_机组出力_TUMUT3,0.5,dcor,30,22,22,0.9284749914436705,0.9284749914436705,0.8181818181818182
NEM,Y_机组出力_TUMUT3,0.5,M0,30,22,22,0.9171238743431256,0.9171238743431256,0.8181818181818182
NEM,Y_机组出力_TUMUT3,0.5,loco,30,22,22,0.8618472818719853,0.8618472818719853,0.7727272727272727
NEM,Y_机组出力_TUMUT3,0.5,perm,30,22,22,0.8253303548629112,0.8253303548629112,0.6818181818181818
NEM,Y_机组出力_TUMUT3,0.5,sage,30,22,22,0.8849093849955916,0.8849093849955916,0.6818181818181818
NEM,Y_机组出力_TUMUT3,0.5,graph,30,22,22,0.9202824635318914,0.9202824635318914,0.8181818181818182
NEM,Y_机组出力_TUMUT3,0.5,M2_est,30,22,22,0.8823624108663704,0.8823624108663704,0.8181818181818182
NEM,Y_机组出力_TUMUT3,0.5,M2_cert,30,22,22,0.8896371706010844,0.8896371706010844,0.8181818181818182
NEM,Y_机组出力_TUMUT3,0.5,M2,30,22,22,0.8889545578376203,0.8889545578376203,0.7727272727272727
NEM,Y_机组出力_TUMUT3,0.7,pearson,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,spearman,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,mi,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,dcor,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,M0,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,loco,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,perm,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,sage,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,graph,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,M2_est,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,M2_cert,30,0,0,,,
NEM,Y_机组出力_TUMUT3,0.7,M2,30,0,0,,,
NEM,Y_机组出力_PPCCGT,0.5,pearson,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,spearman,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,mi,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,dcor,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,M0,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,loco,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,perm,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,sage,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,graph,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,M2_est,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,M2_cert,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.5,M2,30,30,28,,,1.0
NEM,Y_机组出力_PPCCGT,0.7,pearson,30,10,10,0.5583349493643612,0.5583349493643612,0.6
NEM,Y_机组出力_PPCCGT,0.7,spearman,30,10,10,0.5881426416720534,0.5881426416720534,0.5
NEM,Y_机组出力_PPCCGT,0.7,mi,30,10,10,0.6491541353383459,0.6491541353383459,0.6
NEM,Y_机组出力_PPCCGT,0.7,dcor,30,10,10,0.6982327586206896,0.6982327586206896,0.7
NEM,Y_机组出力_PPCCGT,0.7,M0,30,10,10,0.6353413444792755,0.6353413444792755,0.6
NEM,Y_机组出力_PPCCGT,0.7,loco,30,10,10,0.7070454545454545,0.7070454545454545,0.6
NEM,Y_机组出力_PPCCGT,0.7,perm,30,10,10,0.7804033935413246,0.7804033935413246,0.7
NEM,Y_机组出力_PPCCGT,0.7,sage,30,10,10,0.7503918495297806,0.7503918495297806,0.6
NEM,Y_机组出力_PPCCGT,0.7,graph,30,10,10,0.7336382623224728,0.7336382623224728,0.7
NEM,Y_机组出力_PPCCGT,0.7,M2_est,30,10,10,0.8854365079365079,0.8854365079365079,0.9
NEM,Y_机组出力_PPCCGT,0.7,M2_cert,30,10,10,0.8608910533910533,0.8608910533910533,0.9
NEM,Y_机组出力_PPCCGT,0.7,M2,30,10,10,0.8608910533910533,0.8608910533910533,0.9
PJM-load,Y_metered_load_mw,0.5,pearson,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,spearman,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,mi,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,dcor,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,M0,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,loco,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,perm,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,sage,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,graph,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,M2_est,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,M2_cert,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.5,M2,22,22,22,,,1.0
PJM-load,Y_metered_load_mw,0.7,pearson,22,14,14,0.8133462144519198,0.8133462144519198,0.7142857142857143
PJM-load,Y_metered_load_mw,0.7,spearman,22,14,14,0.786038517971291,0.786038517971291,0.7142857142857143
PJM-load,Y_metered_load_mw,0.7,mi,22,14,14,0.8811028257456828,0.8811028257456828,0.8571428571428571
PJM-load,Y_metered_load_mw,0.7,dcor,22,14,14,0.8038660121145746,0.8038660121145746,0.7142857142857143
PJM-load,Y_metered_load_mw,0.7,M0,22,14,14,0.8914234691545615,0.8914234691545615,0.8571428571428571
PJM-load,Y_metered_load_mw,0.7,loco,22,14,14,0.7357661761797101,0.7357661761797101,0.7142857142857143
PJM-load,Y_metered_load_mw,0.7,perm,22,14,14,0.8863700025464731,0.8863700025464731,0.7142857142857143
PJM-load,Y_metered_load_mw,0.7,sage,22,14,14,0.8943713557684145,0.8943713557684145,0.7142857142857143
PJM-load,Y_metered_load_mw,0.7,graph,22,14,14,0.9190395913610199,0.9190395913610199,0.8571428571428571
PJM-load,Y_metered_load_mw,0.7,M2_est,22,14,14,0.8856753365681935,0.8856753365681935,0.8571428571428571
PJM-load,Y_metered_load_mw,0.7,M2_cert,22,14,14,0.9139088211041992,0.9139088211041992,0.7857142857142857
PJM-load,Y_metered_load_mw,0.7,M2,22,14,14,0.9182259325641677,0.9182259325641677,0.7857142857142857
PJM-gen/ic,Y_total_gen,0.5,pearson,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,spearman,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,mi,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,dcor,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,M0,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,loco,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,perm,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,sage,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,graph,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,M2_est,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,M2_cert,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.5,M2,24,24,22,,,1.0
PJM-gen/ic,Y_total_gen,0.7,pearson,24,20,18,0.9430969588098744,0.9295919723551302,0.8
PJM-gen/ic,Y_total_gen,0.7,spearman,24,20,18,0.9284073939887306,0.9098468978370939,0.85
PJM-gen/ic,Y_total_gen,0.7,mi,24,20,18,0.9909782608695652,0.9889770723104059,0.95
PJM-gen/ic,Y_total_gen,0.7,dcor,24,20,18,0.9368307250436407,0.9211911626385312,0.85
PJM-gen/ic,Y_total_gen,0.7,M0,24,20,18,0.9837163561076604,0.980042699340945,0.9
PJM-gen/ic,Y_total_gen,0.7,loco,24,20,18,0.8468335073490545,0.811687078353745,0.8
PJM-gen/ic,Y_total_gen,0.7,perm,24,20,18,0.8755736999050365,0.8167495711871356,0.85
PJM-gen/ic,Y_total_gen,0.7,sage,24,20,18,0.8620514765143921,0.7997667050298628,0.8
PJM-gen/ic,Y_total_gen,0.7,graph,24,20,18,0.9852832839674945,0.981856295149639,0.9
PJM-gen/ic,Y_total_gen,0.7,M2_est,24,20,18,0.9730503795721187,0.9670728272701958,0.85
PJM-gen/ic,Y_total_gen,0.7,M2_cert,24,20,18,0.9719866734572616,0.9656178008151695,0.85
PJM-gen/ic,Y_total_gen,0.7,M2,24,20,18,0.9791269841269841,0.9744059749542207,0.9
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,pearson,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,spearman,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,mi,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,dcor,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M0,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,loco,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,perm,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,sage,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,graph,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M2_est,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M2_cert,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M2,24,24,24,,,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,pearson,24,3,3,0.75,0.75,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,spearman,24,3,3,0.5666666666666667,0.5666666666666667,0.3333333333333333
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,mi,24,3,3,0.8666666666666667,0.8666666666666667,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,dcor,24,3,3,0.6055555555555555,0.6055555555555555,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M0,24,3,3,0.7,0.7,0.3333333333333333
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,loco,24,3,3,0.5535714285714286,0.5535714285714286,0.3333333333333333
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,perm,24,3,3,0.7166666666666667,0.7166666666666667,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,sage,24,3,3,0.7142857142857143,0.7142857142857143,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,graph,24,3,3,0.33040935672514615,0.33040935672514615,0.3333333333333333
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M2_est,24,3,3,0.626984126984127,0.626984126984127,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M2_cert,24,3,3,0.6324786324786326,0.6324786324786326,0.6666666666666666
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M2,24,3,3,0.6324786324786326,0.6324786324786326,0.6666666666666666
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,pearson,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,spearman,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,mi,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,dcor,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M0,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,loco,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,perm,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,sage,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,graph,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M2_est,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M2_cert,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M2,35,35,30,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,pearson,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,spearman,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,mi,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,dcor,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M0,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,loco,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,perm,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,sage,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,graph,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M2_est,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M2_cert,35,35,32,,,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M2,35,35,32,,,1.0
