node_type,target_field,pearson,spearman,kendall,nmi,distance_corr,dominant_metric,dominant_alpha
general,da_as_ss_mw_synchronized_reserve,0.19992642,0.20033695,0.19970219,0.20028347,0.19975094,spearman,0.20033695
general,da_as_ss_mw_thirty_minutes_reserve,0.19961046,0.19973733,0.1998555,0.20120798,0.1995887,nmi,0.20120798
general,da_as_nsr_mw_primary_reserve,0.17602433,0.19915855,0.18623964,0.276135,0.16244246,nmi,0.276135
general,system_energy_price_da,0.6693142,0.06883842,0.076014265,0.10567731,0.08015579,pearson,0.6693142
general,total_lmp_rt,0.181686,0.13884802,0.15317807,0.36049798,0.16578992,nmi,0.36049798
general,marginal_loss_price_rt,0.5753063,0.08959711,0.10755894,0.110632256,0.11690541,pearson,0.5753063
general,net_inadv_interchange_mw,0.20001343,0.20009209,0.19968167,0.2003874,0.19982536,nmi,0.2003874
general,gross_sched_interchange_mw,0.20061699,0.19996323,0.19989592,0.19962381,0.19990005,pearson,0.20061699
general,gross_inadv_interchange_mw,0.1928619,0.21322095,0.20147346,0.19852477,0.19391893,spearman,0.21322095
confidential,net_actual_interchange_mw,0.19914162,0.2008833,0.20184457,0.19791447,0.20021603,kendall,0.20184457
confidential,gross_actual_interchange_mw,0.20042741,0.20127098,0.19989668,0.19776998,0.20063493,spearman,0.20127098
confidential,total_gen,0.057425205,0.053317603,0.090795904,0.7457353,0.0527259,nmi,0.7457353
confidential,metered_load_mw,0.081746586,0.058749266,0.14051114,0.6562019,0.06279115,nmi,0.6562019
confidential,total_losses,0.2030862,0.117381506,0.097600915,0.46399134,0.117940076,nmi,0.46399134
confidential,congestion_price_da,0.1382592,0.15247458,0.14662078,0.40350622,0.15913913,nmi,0.40350622
confidential,congestion_price_rt,0.10342939,0.13483144,0.122576766,0.2593492,0.3798132,distance_corr,0.3798132
confidential,marginal_loss_price_da,0.20455189,0.14930156,0.15468113,0.21245503,0.2790104,distance_corr,0.2790104
confidential,total_lmp_da,0.41718715,0.06311478,0.12596829,0.31585196,0.07787789,pearson,0.41718715
confidential,da_as_total_mw_primary_reserve,0.58917904,0.082854524,0.08924232,0.14324899,0.09547522,pearson,0.58917904
confidential,da_as_total_mw_synchronized_reserve,0.05428718,0.051201966,0.05874782,0.7822717,0.053491358,nmi,0.7822717
confidential,da_as_total_mw_thirty_minutes_reserve,0.25193915,0.21556145,0.20752038,0.14454333,0.18043558,pearson,0.25193915
