数据,目标,方法,V误差,V偏差,M2误差,M2偏差,Γ2误差,M2排序,认证前1,认证前3,背景召回前3,关键召回05,关键召回07
NEM,机组出力_PPCCGT,poly,0.12739887833595276,-0.12738902866840363,0.08518564701080322,-0.08518564701080322,0.03894353657960892,0.7268075639599554,0.9763841032981873,0.9878432750701904,0.7333333333333333,0.6,0.4
NEM,机组出力_BW01,dropout,0.3455822765827179,-0.3455822765827179,0.14866536855697632,-0.14580588042736053,0.06165735423564911,0.08387096774193549,0.2853212356567383,0.39113640785217285,0.0,0.0,
NEM,机组出力_TUMUT3,dropout,0.15413706004619598,-0.15413706004619598,0.08294973522424698,-0.08191926032304764,0.04096929728984833,0.7312569521690767,0.3239372968673706,0.4257548153400421,0.03333333333333333,0.0,
NEM,机组出力_PPCCGT,dropout,0.31137534976005554,-0.31137534976005554,0.19216562807559967,-0.1824832409620285,0.07002989947795868,0.21967507184186083,0.3933708369731903,0.49904462695121765,0.06666666666666667,0.13333333333333333,0.0
NEM,机组出力_BW01,ws,0.02884562313556671,-0.028652282431721687,0.03245610371232033,-0.03194723278284073,0.025453409180045128,0.950166852057842,0.9267247319221497,0.9510584473609924,0.36666666666666664,0.9333333333333333,
NEM,机组出力_TUMUT3,ws,0.03306803107261658,-0.02997683733701706,0.038960449397563934,-0.03890116140246391,0.03288251906633377,0.9181312569521689,0.7658940553665161,0.8718014359474182,0.3333333333333333,0.0,
NEM,机组出力_PPCCGT,ws,0.03424867242574692,-0.03416823595762253,0.020321663469076157,-0.019450005143880844,0.015417692251503468,0.9853170189098998,0.9905523061752319,0.9934129118919373,0.8,0.8666666666666667,0.7
NEM,机组出力_BW01,tabpfn,0.00662999926134944,0.00417361268773675,0.012136531062424183,0.005539740435779095,0.015358354896306992,0.9848720800889877,0.9505191445350647,0.9599018692970276,0.5333333333333333,1.0,
NEM,机组出力_TUMUT3,tabpfn,0.05664573609828949,-0.056592948734760284,0.021718664094805717,-0.016728192567825317,0.036767665296792984,0.9550611790878754,0.7973629832267761,0.906051754951477,0.4,0.0,
NEM,机组出力_PPCCGT,tabpfn,0.0071549247950315475,-0.0020112297497689724,0.02456311322748661,0.02456311322748661,0.043975599110126495,0.9701890989988877,0.9921832084655762,0.9981913566589355,0.9333333333333333,1.0,1.0
PJM-load,metered_load_mw,ours,0.04134230688214302,-0.03764012083411217,0.020026354119181633,-0.018045473843812943,0.013695926405489445,0.953698475437606,0.9709677696228027,0.9896622896194458,0.8181818181818182,1.0,0.7857142857142857
PJM-load,metered_load_mw,surrogate,0.0958738848567009,-0.09566725790500641,0.053535498678684235,-0.045811329036951065,0.027087097987532616,0.8927159796725015,0.7268205285072327,0.9071861505508423,0.2727272727272727,1.0,0.42857142857142855
PJM-load,metered_load_mw,lin,0.22808779776096344,-0.2280873954296112,0.13604262471199036,-0.13604262471199036,0.049530256539583206,0.8306041784302655,0.7180483341217041,0.7992290258407593,0.09090909090909091,0.09090909090909091,0.0
PJM-load,metered_load_mw,poly,0.1629604697227478,-0.16294364631175995,0.10978725552558899,-0.10978725552558899,0.05050758272409439,0.8226990400903446,0.6978484392166138,0.8617143034934998,0.18181818181818182,0.09090909090909091,0.0
PJM-load,metered_load_mw,dropout,0.4326007664203644,-0.4326007664203644,0.12592296302318573,-0.08673710376024246,0.1343076080083847,0.45567476002258617,0.4093675911426544,0.5068262815475464,0.0,0.09090909090909091,0.0
PJM-load,metered_load_mw,ws,0.08671730756759644,-0.08649855852127075,0.043496549129486084,-0.041413627564907074,0.024344541132450104,0.8893280632411069,0.7886860966682434,0.9008033275604248,0.5909090909090909,1.0,0.42857142857142855
PJM-load,metered_load_mw,tabpfn,0.01796257309615612,0.015231505036354065,0.010684158653020859,0.008648190647363663,0.016162144020199776,0.9774138904573689,0.9686863422393799,0.982893168926239,0.6818181818181818,1.0,1.0
PJM-gen/ic,total_gen,ours,0.035479605197906494,-0.032264064997434616,0.0315513052046299,-0.03033655323088169,0.02619471587240696,0.9304347826086956,0.9395868182182312,0.950643002986908,0.5833333333333334,1.0,0.5
PJM-gen/ic,net_actual_interchange_mw,ours,0.0354030504822731,-0.032690394669771194,0.013597510755062103,-0.012003283016383648,0.013728276826441288,0.9521739130434782,0.9618397951126099,0.9776134490966797,0.625,0.9583333333333334,0.0
PJM-gen/ic,total_gen,surrogate,0.0992976501584053,-0.099244125187397,0.07315762341022491,-0.069361113011837,0.028541669249534607,0.8243478260869566,0.8086086511611938,0.8644413352012634,0.375,0.4583333333333333,0.1
PJM-gen/ic,net_actual_interchange_mw,surrogate,0.09507652372121811,-0.09500467777252197,0.058877985924482346,-0.058877985924482346,0.026925424113869667,0.8791304347826084,0.9186474680900574,0.9553648829460144,0.5416666666666666,0.4166666666666667,0.0
PJM-gen/ic,total_gen,lin,0.17226631939411163,-0.17224347591400146,0.1308717280626297,-0.13082891702651978,0.04960315302014351,0.8486956521739129,0.7181559801101685,0.7904883623123169,0.16666666666666666,0.25,0.1
PJM-gen/ic,net_actual_interchange_mw,lin,0.19337575137615204,-0.19337575137615204,0.13635662198066711,-0.13635662198066711,0.0664561539888382,0.8695652173913043,0.70223468542099,0.8030830025672913,0.16666666666666666,0.0,0.0
PJM-gen/ic,total_gen,poly,0.12676595151424408,-0.12670616805553436,0.11116909980773926,-0.11116909980773926,0.05453513190150261,0.8017391304347825,0.7060040235519409,0.8119861483573914,0.16666666666666666,0.2916666666666667,0.1
PJM-gen/ic,net_actual_interchange_mw,poly,0.14986179769039154,-0.14986179769039154,0.09879567474126816,-0.09879567474126816,0.04738403856754303,0.8660869565217391,0.8041162490844727,0.8632215857505798,0.375,0.0,0.0
PJM-gen/ic,total_gen,dropout,0.38790982961654663,-0.38790982961654663,0.2492566853761673,-0.2492566853761673,0.06385697424411774,0.24787997976719608,0.1987236887216568,0.2802920937538147,0.0,0.041666666666666664,0.0
PJM-gen/ic,net_actual_interchange_mw,dropout,0.2692437469959259,-0.2692437469959259,0.1302817016839981,-0.12415987253189087,0.05039164423942566,0.5709937077795236,0.5698813796043396,0.7514178156852722,0.125,0.0,0.0
PJM-gen/ic,total_gen,ws,0.08696119487285614,-0.08687921613454819,0.05901031568646431,-0.054380446672439575,0.02772008441388607,0.8434782608695651,0.8320320844650269,0.901426374912262,0.4166666666666667,0.6666666666666666,0.25
PJM-gen/ic,net_actual_interchange_mw,ws,0.08316143602132797,-0.08290541172027588,0.04053068533539772,-0.040008243173360825,0.016666477546095848,0.8817391304347826,0.9234638214111328,0.9566364884376526,0.625,0.5416666666666666,0.0
PJM-gen/ic,total_gen,tabpfn,0.014991525560617447,0.013295465148985386,0.019348258152604103,-0.00504246586933732,0.019404536113142967,0.9399999999999998,0.9368034601211548,0.9511647820472717,0.5833333333333334,1.0,1.0
PJM-gen/ic,net_actual_interchange_mw,tabpfn,0.018703868612647057,0.018062487244606018,0.012897134758532047,0.010665357112884521,0.014089054428040981,0.9730434782608696,0.9779967665672302,0.9931449890136719,0.8333333333333334,0.9583333333333334,1.0
CAISO-load,actual_load__mw__ca_iso_tac,ours,0.019617773592472076,-0.015946676954627037,0.015262787230312824,-0.011441592127084732,0.01406419463455677,0.9907563025210085,0.9880785942077637,0.9946433305740356,0.8,1.0,1.0
CAISO-load,actual_load__mw__ca_iso_tac,surrogate,0.07629447430372238,-0.0762680321931839,0.056922126561403275,-0.05302407220005989,0.03539048507809639,0.9770308123249302,0.9382177591323853,0.9777352213859558,0.45714285714285713,0.45714285714285713,0.8
CAISO-load,actual_load__mw__ca_iso_tac,lin,0.14022523164749146,-0.14022454619407654,0.06434278935194016,-0.041803933680057526,0.059393882751464844,0.9182072829131652,0.8523299694061279,0.8909061551094055,0.14285714285714285,0.3142857142857143,0.6
CAISO-load,actual_load__mw__ca_iso_tac,poly,0.10250430554151535,-0.1024947240948677,0.04765976965427399,-0.026983346790075302,0.04717063158750534,0.9593837535014007,0.9061356782913208,0.9465919733047485,0.2571428571428571,0.2857142857142857,0.7142857142857143
CAISO-load,actual_load__mw__ca_iso_tac,dropout,0.5008798241615295,-0.5008798241615295,0.2931818664073944,-0.2931818664073944,0.11631112545728683,0.6847818491476038,0.35180965065956116,0.4647592306137085,0.0,0.0,0.0
CAISO-load,actual_load__mw__ca_iso_tac,ws,0.051642995327711105,-0.05159686133265495,0.025066668167710304,-0.02006814442574978,0.015918858349323273,0.9778711484593837,0.9713187217712402,0.9885570406913757,0.6571428571428571,0.6285714285714286,0.8857142857142857
CAISO-load,actual_load__mw__ca_iso_tac,tabpfn,0.01184049528092146,0.008040359243750572,0.011114045977592468,0.005990221165120602,0.01455575693398714,0.9974789915966387,0.9860301613807678,0.9972689151763916,0.7714285714285715,0.9714285714285714,1.0
