g1,g2,confidential,single1,single2,pair,synergy
gen_fuel_multiple_fuels_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.295,0.094
gen_fuel_nuclear_mw,da_as_mcp_primary_reserve,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.28,0.092
da_as_nsr_mw_primary_reserve,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.29,0.089
gen_fuel_multiple_fuels_pct,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.045,0.061,0.145,0.084
gen_fuel_multiple_fuels_pct,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.045,0.065,0.148,0.083
gen_fuel_nuclear_mw,gen_fuel_wind_mw,total_losses,0.168,0.0,0.25,0.082
da_as_as_req_mw_thirty_minutes_reserve,gross_sched_interchange_mw,net_actual_interchange_mw,0.137,0.105,0.218,0.08
gen_fuel_coal_mw,gen_fuel_gas_mw,total_gen,0.029,0.036,0.116,0.08
gen_fuel_multiple_fuels_pct,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.279,0.078
gen_fuel_nuclear_pct,forecast_load_mw_latest_available,total_gen,0.024,0.253,0.329,0.076
gen_fuel_nuclear_pct,forecast_load_mw_day_ahead,total_gen,0.024,0.248,0.323,0.074
gen_fuel_nuclear_mw,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.261,0.073
gen_fuel_nuclear_mw,da_as_as_req_mw_primary_reserve,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.26,0.071
da_as_mcp_primary_reserve,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.269,0.068
gen_fuel_coal_mw,gen_fuel_nuclear_mw,da_as_total_mw_thirty_minutes_reserve,0.0,0.188,0.255,0.067
system_energy_price_da,marginal_loss_price_rt,congestion_price_rt,0.039,0.118,0.186,0.067
gen_fuel_multiple_fuels_pct,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.045,0.137,0.204,0.066
gen_fuel_nuclear_mw,da_as_nsr_mw_primary_reserve,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.25,0.062
gen_fuel_nuclear_mw,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.092,0.06
da_as_mcp_primary_reserve,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.254,0.059
gen_fuel_multiple_fuels_mw,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.035,0.061,0.12,0.059
gen_fuel_coal_pct,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.05,0.065,0.124,0.059
gen_fuel_coal_pct,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.05,0.061,0.118,0.058
gen_fuel_multiple_fuels_mw,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.035,0.065,0.123,0.058
da_as_mcp_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.258,0.058
gen_fuel_coal_pct,total_pjm_reg_purchases,gross_actual_interchange_mw,0.07,0.049,0.125,0.055
gen_fuel_gas_mw,gross_sched_interchange_mw,gross_actual_interchange_mw,0.004,0.003,0.057,0.053
gen_fuel_other_renewables_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.253,0.052
gen_fuel_multiple_fuels_pct,gross_sched_interchange_mw,net_actual_interchange_mw,0.045,0.105,0.157,0.052
gen_fuel_nuclear_mw,gen_fuel_multiple_fuels_pct,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.24,0.052
da_as_as_req_mw_primary_reserve,gross_sched_interchange_mw,net_actual_interchange_mw,0.065,0.105,0.156,0.051
gen_fuel_gas_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.004,0.049,0.099,0.05
da_as_as_req_mw_synchronized_reserve,gross_sched_interchange_mw,net_actual_interchange_mw,0.061,0.105,0.153,0.048
gen_fuel_gas_mw,gen_fuel_nuclear_pct,total_gen,0.036,0.024,0.084,0.048
gen_fuel_gas_mw,total_lmp_rt,total_gen,0.036,0.041,0.089,0.048
gen_fuel_gas_mw,gen_fuel_nuclear_mw,da_as_total_mw_thirty_minutes_reserve,0.0,0.188,0.234,0.046
gen_fuel_wind_mw,total_lmp_rt,congestion_price_rt,0.0,0.12,0.165,0.046
da_as_as_req_mw_synchronized_reserve,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.246,0.045
gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.233,0.045
gen_fuel_oil_mw,forecast_load_mw_latest_available,metered_load_mw,0.007,0.302,0.346,0.044
gen_fuel_nuclear_mw,total_lmp_rt,congestion_price_rt,0.0,0.12,0.163,0.043
gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_pct,net_actual_interchange_mw,0.035,0.036,0.078,0.043
gen_fuel_oil_mw,forecast_load_mw_day_ahead,metered_load_mw,0.007,0.261,0.302,0.041
gen_fuel_multiple_fuels_mw,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.035,0.137,0.178,0.041
gen_fuel_oil_pct,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.243,0.041
da_as_as_req_mw_primary_reserve,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.242,0.041
gen_fuel_nuclear_pct,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.036,0.137,0.178,0.04
gen_fuel_coal_pct,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.05,0.137,0.178,0.04
forecast_load_mw_latest_available,total_lmp_rt,metered_load_mw,0.302,0.024,0.342,0.04
da_as_mcp_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.072,0.04
gen_fuel_gas_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.004,0.001,0.042,0.039
gen_fuel_coal_pct,gen_fuel_multiple_fuels_pct,net_actual_interchange_mw,0.05,0.045,0.089,0.039
forecast_load_mw_day_ahead,total_lmp_rt,metered_load_mw,0.261,0.024,0.299,0.038
gen_fuel_coal_mw,gross_sched_interchange_mw,gross_actual_interchange_mw,0.011,0.003,0.049,0.038
rmccp,total_lmp_rt,congestion_price_rt,0.0,0.12,0.158,0.038
gen_fuel_oil_mw,system_energy_price_da,total_lmp_da,0.008,0.84,0.877,0.037
gen_fuel_multiple_fuels_mw,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.155,0.036
gen_fuel_multiple_fuels_mw,gross_sched_interchange_mw,net_actual_interchange_mw,0.035,0.105,0.14,0.035
total_pjm_reg_purchases,system_energy_price_da,gross_actual_interchange_mw,0.049,0.06,0.095,0.035
gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,net_actual_interchange_mw,0.045,0.036,0.08,0.035
total_pjm_reg_purchases,marginal_loss_price_rt,gross_actual_interchange_mw,0.049,0.031,0.084,0.035
total_pjm_rmccp_cr,total_lmp_rt,congestion_price_rt,0.0,0.12,0.154,0.034
gen_fuel_nuclear_pct,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.036,0.061,0.094,0.033
gen_fuel_gas_mw,da_as_as_req_mw_thirty_minutes_reserve,gross_actual_interchange_mw,0.004,0.0,0.036,0.032
marginal_loss_price_rt,gross_sched_interchange_mw,gross_actual_interchange_mw,0.031,0.003,0.063,0.032
gen_fuel_nuclear_pct,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.036,0.065,0.097,0.032
system_energy_price_da,gross_sched_interchange_mw,net_actual_interchange_mw,0.0,0.105,0.137,0.032
gen_fuel_coal_pct,gross_sched_interchange_mw,net_actual_interchange_mw,0.05,0.105,0.137,0.032
gen_fuel_coal_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.011,0.049,0.079,0.03
gen_fuel_nuclear_pct,gross_sched_interchange_mw,net_actual_interchange_mw,0.036,0.105,0.135,0.03
gen_fuel_coal_mw,gen_fuel_multiple_fuels_pct,net_actual_interchange_mw,0.044,0.045,0.076,0.03
gen_fuel_hydro_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.23,0.029
gen_fuel_gas_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.004,0.0,0.033,0.029
gen_fuel_nuclear_pct,total_lmp_rt,total_gen,0.024,0.041,0.07,0.029
gross_sched_interchange_mw,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.003,0.59,0.618,0.028
gen_fuel_multiple_fuels_mw,gen_fuel_coal_pct,net_actual_interchange_mw,0.035,0.05,0.079,0.028
forecast_load_mw_latest_available,system_energy_price_da,metered_load_mw,0.302,0.0,0.33,0.028
gen_fuel_wind_mw,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.146,0.028
da_as_as_req_mw_primary_reserve,marginal_loss_price_rt,net_actual_interchange_mw,0.065,0.023,0.092,0.027
gen_fuel_other_renewables_pct,forecast_load_mw_latest_available,metered_load_mw,0.001,0.302,0.329,0.027
gen_fuel_hydro_pct,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.228,0.027
gen_fuel_nuclear_mw,gen_fuel_other_renewables_mw,total_losses,0.168,0.0,0.194,0.026
gen_fuel_coal_mw,total_lmp_rt,total_gen,0.029,0.041,0.067,0.026
gen_fuel_nuclear_mw,da_as_mcp_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.214,0.026
da_as_as_req_mw_synchronized_reserve,marginal_loss_price_rt,net_actual_interchange_mw,0.061,0.023,0.086,0.026
gen_fuel_nuclear_pct,marginal_loss_price_rt,net_actual_interchange_mw,0.036,0.023,0.062,0.026
gen_fuel_gas_mw,marginal_loss_price_rt,gross_actual_interchange_mw,0.004,0.031,0.057,0.025
forecast_load_mw_day_ahead,system_energy_price_da,metered_load_mw,0.261,0.0,0.286,0.025
gen_fuel_wind_pct,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.225,0.024
gen_fuel_other_renewables_pct,forecast_load_mw_day_ahead,metered_load_mw,0.001,0.261,0.285,0.024
gen_fuel_coal_mw,gen_fuel_nuclear_pct,total_gen,0.029,0.024,0.053,0.024
da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,total_lmp_da,0.016,0.008,0.04,0.024
gen_fuel_solar_pct,marginal_loss_price_rt,gross_actual_interchange_mw,0.006,0.031,0.054,0.023
gen_fuel_gas_mw,da_as_as_req_mw_synchronized_reserve,gross_actual_interchange_mw,0.004,0.0,0.027,0.023
gen_fuel_gas_mw,da_as_as_req_mw_primary_reserve,gross_actual_interchange_mw,0.004,0.0,0.027,0.023
gen_fuel_oil_pct,forecast_load_mw_latest_available,metered_load_mw,0.001,0.302,0.324,0.022
gen_fuel_multiple_fuels_mw,gross_inadv_interchange_mw,net_actual_interchange_mw,0.035,0.024,0.057,0.022
gen_fuel_multiple_fuels_pct,gross_inadv_interchange_mw,net_actual_interchange_mw,0.045,0.024,0.067,0.022
gen_fuel_coal_pct,marginal_loss_price_rt,gross_actual_interchange_mw,0.07,0.031,0.092,0.022
gen_fuel_gas_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.004,0.006,0.028,0.022
da_as_as_req_mw_thirty_minutes_reserve,marginal_loss_price_rt,net_actual_interchange_mw,0.137,0.023,0.16,0.022
total_pjm_reg_purchases,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.049,0.59,0.612,0.022
gen_fuel_solar_pct,system_energy_price_da,gross_actual_interchange_mw,0.006,0.06,0.082,0.022
gen_fuel_coal_mw,gen_fuel_multiple_fuels_mw,net_actual_interchange_mw,0.044,0.035,0.065,0.021
gen_fuel_solar_pct,total_pjm_reg_purchases,gross_actual_interchange_mw,0.006,0.049,0.07,0.021
gen_fuel_multiple_fuels_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.013,0.001,0.034,0.021
gen_fuel_oil_pct,forecast_load_mw_day_ahead,metered_load_mw,0.001,0.261,0.282,0.021
gen_fuel_oil_mw,gen_fuel_oil_pct,total_lmp_da,0.008,0.007,0.029,0.02
gen_fuel_multiple_fuels_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.013,0.049,0.069,0.02
gen_fuel_gas_mw,gen_fuel_oil_mw,total_gen,0.036,0.004,0.055,0.02
gen_fuel_coal_pct,system_energy_price_da,gross_actual_interchange_mw,0.07,0.06,0.09,0.02
gen_fuel_coal_pct,gen_fuel_solar_pct,gross_actual_interchange_mw,0.07,0.006,0.09,0.02
da_as_mcp_synchronized_reserve,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.221,0.02
total_pjm_rmccp_cr,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.139,0.02
gen_fuel_wind_mw,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.051,0.02
gen_fuel_coal_mw,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.011,0.59,0.609,0.019
gen_fuel_multiple_fuels_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.013,0.006,0.033,0.019
da_as_mcp_primary_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.56,0.019
gen_fuel_oil_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.002,0.001,0.021,0.019
gen_fuel_coal_mw,marginal_loss_price_rt,gross_actual_interchange_mw,0.011,0.031,0.05,0.019
gen_fuel_coal_mw,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.044,0.137,0.156,0.019
marginal_loss_price_rt,gross_inadv_interchange_mw,net_actual_interchange_mw,0.023,0.024,0.042,0.018
gen_fuel_oil_pct,total_pjm_assigned_reg,gross_actual_interchange_mw,0.001,0.001,0.019,0.018
gen_fuel_gas_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.004,0.003,0.022,0.018
gen_fuel_coal_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.011,0.006,0.029,0.018
gen_fuel_oil_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.002,0.049,0.067,0.018
gen_fuel_oil_mw,gross_sched_interchange_mw,gross_actual_interchange_mw,0.002,0.003,0.022,0.018
gen_fuel_coal_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.011,0.001,0.028,0.017
gen_fuel_multiple_fuels_mw,gen_fuel_oil_mw,total_lmp_da,0.009,0.008,0.026,0.017
gen_fuel_multiple_fuels_mw,gen_fuel_multiple_fuels_pct,congestion_price_rt,0.0,0.0,0.017,0.017
gen_fuel_solar_mw,marginal_loss_price_rt,gross_actual_interchange_mw,0.003,0.031,0.048,0.017
gen_fuel_solar_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.003,0.049,0.066,0.017
gen_fuel_multiple_fuels_mw,gen_fuel_wind_pct,net_actual_interchange_mw,0.035,0.007,0.052,0.017
gen_fuel_hydro_mw,gen_fuel_nuclear_mw,da_as_total_mw_thirty_minutes_reserve,0.0,0.188,0.205,0.016
gen_fuel_oil_pct,total_pjm_reg_purchases,gross_actual_interchange_mw,0.001,0.049,0.065,0.016
gen_fuel_gas_mw,system_energy_price_da,marginal_loss_price_da,0.0,0.516,0.532,0.016
da_as_as_req_mw_synchronized_reserve,gross_inadv_interchange_mw,net_actual_interchange_mw,0.061,0.024,0.076,0.016
gen_fuel_multiple_fuels_mw,da_as_mcp_primary_reserve,total_lmp_da,0.009,0.016,0.032,0.016
gen_fuel_multiple_fuels_pct,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.134,0.016
gen_fuel_gas_mw,gen_fuel_wind_pct,gross_actual_interchange_mw,0.004,0.0,0.02,0.016
gen_fuel_solar_mw,gen_fuel_coal_pct,gross_actual_interchange_mw,0.003,0.07,0.086,0.016
gen_fuel_oil_mw,total_lmp_rt,congestion_price_da,0.001,0.0,0.016,0.016
gen_fuel_multiple_fuels_mw,gen_fuel_oil_pct,total_lmp_da,0.009,0.007,0.025,0.016
total_pjm_assigned_reg,marginal_loss_price_rt,gross_actual_interchange_mw,0.001,0.031,0.047,0.016
da_as_as_req_mw_primary_reserve,gross_inadv_interchange_mw,net_actual_interchange_mw,0.065,0.024,0.081,0.016
gen_fuel_oil_mw,da_as_mcp_primary_reserve,total_lmp_da,0.008,0.016,0.032,0.016
gen_fuel_coal_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.011,0.003,0.026,0.015
gen_fuel_gas_mw,gen_fuel_coal_pct,gross_actual_interchange_mw,0.004,0.07,0.085,0.015
gen_fuel_gas_pct,gen_fuel_solar_pct,gross_actual_interchange_mw,0.0,0.006,0.021,0.015
gen_fuel_solar_mw,system_energy_price_da,gross_actual_interchange_mw,0.003,0.06,0.075,0.015
gen_fuel_wind_pct,total_lmp_rt,congestion_price_rt,0.0,0.12,0.134,0.015
gen_fuel_wind_mw,forecast_load_mw_latest_available,metered_load_mw,0.0,0.302,0.317,0.015
gen_fuel_oil_pct,gross_sched_interchange_mw,gross_actual_interchange_mw,0.001,0.003,0.019,0.015
gen_fuel_nuclear_mw,gen_fuel_hydro_pct,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.203,0.015
da_as_mcp_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.215,0.015
da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.21,0.015
gen_fuel_coal_pct,gen_fuel_nuclear_pct,net_actual_interchange_mw,0.05,0.036,0.065,0.015
gen_fuel_wind_mw,system_energy_price_da,marginal_loss_price_da,0.0,0.516,0.531,0.015
gen_fuel_nuclear_mw,gen_fuel_other_renewables_pct,total_losses,0.168,0.0,0.184,0.015
da_as_as_req_mw_thirty_minutes_reserve,gross_inadv_interchange_mw,net_actual_interchange_mw,0.137,0.024,0.153,0.015
gen_fuel_coal_mw,gen_fuel_oil_mw,metered_load_mw,0.018,0.007,0.032,0.014
gen_fuel_oil_pct,da_as_mcp_synchronized_reserve,total_lmp_da,0.007,0.008,0.022,0.014
gen_fuel_other_renewables_mw,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.214,0.014
gen_fuel_other_renewables_mw,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.21,0.014
gen_fuel_oil_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.002,0.006,0.02,0.014
gen_fuel_oil_mw,da_as_mcp_synchronized_reserve,total_lmp_da,0.008,0.008,0.023,0.014
gen_fuel_oil_pct,da_as_mcp_primary_reserve,total_lmp_da,0.007,0.016,0.03,0.014
gen_fuel_gas_mw,da_as_nsr_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.0,0.309,0.322,0.014
gen_fuel_solar_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.003,0.0,0.017,0.014
gen_fuel_multiple_fuels_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.013,0.0,0.027,0.014
gen_fuel_multiple_fuels_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.013,0.003,0.027,0.014
gen_fuel_nuclear_mw,gen_fuel_coal_pct,total_losses,0.168,0.0,0.183,0.014
gen_fuel_multiple_fuels_mw,da_as_mcp_synchronized_reserve,total_lmp_da,0.009,0.008,0.023,0.014
gen_fuel_coal_pct,gross_inadv_interchange_mw,net_actual_interchange_mw,0.05,0.024,0.064,0.014
gen_fuel_wind_mw,forecast_load_mw_day_ahead,metered_load_mw,0.0,0.261,0.275,0.014
gen_fuel_wind_pct,marginal_loss_price_rt,net_actual_interchange_mw,0.007,0.023,0.037,0.014
gen_fuel_storage_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.216,0.014
gen_fuel_gas_pct,gross_sched_interchange_mw,gross_actual_interchange_mw,0.0,0.003,0.017,0.014
gen_fuel_coal_pct,total_pjm_assigned_reg,gross_actual_interchange_mw,0.07,0.001,0.084,0.014
gen_fuel_oil_pct,gen_fuel_solar_pct,gross_actual_interchange_mw,0.001,0.006,0.02,0.013
forecast_load_mw_day_ahead,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.553,0.013
gen_fuel_solar_mw,gen_fuel_oil_pct,gross_actual_interchange_mw,0.003,0.001,0.016,0.013
gen_fuel_coal_mw,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.044,0.065,0.078,0.013
gen_fuel_gas_mw,gross_inadv_interchange_mw,congestion_price_da,0.022,0.0,0.035,0.013
gen_fuel_nuclear_pct,gross_inadv_interchange_mw,net_actual_interchange_mw,0.036,0.024,0.049,0.013
gen_fuel_oil_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.002,0.003,0.016,0.013
gen_fuel_hydro_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.0,0.001,0.014,0.012
gen_fuel_hydro_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.0,0.049,0.061,0.012
gen_fuel_nuclear_mw,gen_fuel_oil_pct,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.2,0.012
gen_fuel_coal_mw,system_energy_price_da,metered_load_mw,0.018,0.0,0.031,0.012
gen_fuel_wind_mw,gen_fuel_wind_pct,gross_actual_interchange_mw,0.0,0.0,0.012,0.012
gen_fuel_oil_pct,total_lmp_rt,congestion_price_da,0.0,0.0,0.013,0.012
system_energy_price_da,total_lmp_rt,net_actual_interchange_mw,0.0,0.0,0.012,0.012
gen_fuel_coal_mw,gen_fuel_coal_pct,metered_load_mw,0.018,0.0,0.03,0.012
gen_fuel_nuclear_mw,gross_inadv_interchange_mw,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.2,0.012
gen_fuel_coal_mw,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.044,0.061,0.073,0.012
forecast_load_mw_latest_available,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.552,0.012
gen_fuel_wind_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.0,0.0,0.012,0.012
gen_fuel_oil_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.002,0.0,0.013,0.011
rmccp,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.129,0.011
gen_fuel_oil_mw,gen_fuel_coal_pct,congestion_price_da,0.001,0.0,0.012,0.011
gen_fuel_gas_pct,system_energy_price_da,marginal_loss_price_da,0.0,0.516,0.527,0.011
gen_fuel_gas_pct,marginal_loss_price_rt,gross_actual_interchange_mw,0.0,0.031,0.042,0.011
gen_fuel_hydro_mw,gross_sched_interchange_mw,gross_actual_interchange_mw,0.0,0.003,0.014,0.011
gen_fuel_gas_pct,gen_fuel_oil_pct,gross_actual_interchange_mw,0.0,0.001,0.012,0.011
da_as_nsr_mw_primary_reserve,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.13,0.011
gen_fuel_other_renewables_pct,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.212,0.011
gen_fuel_multiple_fuels_pct,gen_fuel_wind_pct,net_actual_interchange_mw,0.045,0.007,0.056,0.011
gen_fuel_hydro_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.0,0.006,0.016,0.01
total_pjm_reg_purchases,total_pjm_assigned_reg,gross_actual_interchange_mw,0.049,0.001,0.059,0.01
total_pjm_assigned_reg,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.0,0.061,0.071,0.01
gen_fuel_oil_mw,marginal_loss_price_rt,gross_actual_interchange_mw,0.002,0.031,0.041,0.01
total_pjm_assigned_reg,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.0,0.065,0.075,0.01
gen_fuel_nuclear_mw,gen_fuel_wind_pct,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.198,0.01
total_pjm_assigned_reg,system_energy_price_da,gross_actual_interchange_mw,0.001,0.06,0.07,0.01
gen_fuel_gas_pct,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.0,0.59,0.6,0.01
gen_fuel_hydro_mw,forecast_load_mw_latest_available,metered_load_mw,0.001,0.302,0.312,0.01
gen_fuel_wind_pct,gross_sched_interchange_mw,net_actual_interchange_mw,0.007,0.105,0.115,0.01
gen_fuel_hydro_mw,forecast_load_mw_day_ahead,metered_load_mw,0.001,0.261,0.27,0.009
gen_fuel_other_renewables_pct,total_lmp_rt,total_gen,0.007,0.041,0.051,0.009
forecast_load_mw_day_ahead,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.204,0.009
forecast_load_mw_day_ahead,da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da,0.0,0.005,0.014,0.009
total_pjm_rmccp_cr,gross_sched_interchange_mw,gross_actual_interchange_mw,0.0,0.003,0.012,0.009
gen_fuel_gas_mw,da_as_mcp_primary_reserve,total_lmp_da,0.0,0.016,0.025,0.009
gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,net_actual_interchange_mw,0.015,0.035,0.045,0.009
da_as_mcp_primary_reserve,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.127,0.009
gen_fuel_other_renewables_pct,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.0,0.59,0.599,0.009
