output_field,non_null_hours,missing_within_observed_hours,source_intervals,aggregation_rule
rtpd_eim_transfer__mw__export__ava__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__ladwp__eldorado500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__ladwp__lugo,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__ladwp__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__ladwp__sylmar,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__nevp__eldorado230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__nevp__summit120,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__pacw__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__pge__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__pge__nob,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__psei__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__scl__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__srp__marketplace,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__srp__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__srp__pvwest,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__tepc__pvwest,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__tidc__oakdale,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__tidc__westlyfink,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__walc__blythe161,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__walc__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__walc__parker230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__ava__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__azps__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__azps__nrthgila500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__azps__pvwest,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__azps__willowbeach,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__banc__ctw230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__banc__lake,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__banc__ranchoseco,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__banc__standiford,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__banc__tesla230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__banc__westlytsla,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__bcha__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__bcha__nob,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__bpat__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__bpat__nob,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__ladwp__eldorado500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__ladwp__lugo,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__ladwp__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__ladwp__sylmar,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__nevp__eldorado230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__nevp__summit120,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__pacw__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__pge__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__pge__nob,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__psei__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__scl__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__srp__marketplace,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__srp__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__srp__pvwest,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__tepc__pvwest,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__tidc__oakdale,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__tidc__westlyfink,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__walc__blythe161,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__walc__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__import__walc__parker230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
