sid,group,size,band,conf,truth
p00_17,pair,2,1-2,congestion_price_da,0.1106039881706237
p00_17,pair,2,1-2,congestion_price_rt,0.0459240078926086
p00_17,pair,2,1-2,da_as_total_mw_primary_reserve,0.1050558090209961
p00_17,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1143016815185546
p00_17,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.122419536113739
p00_17,pair,2,1-2,gross_actual_interchange_mw,0.2591865062713623
p00_17,pair,2,1-2,marginal_loss_price_da,0.3694550991058349
p00_17,pair,2,1-2,metered_load_mw,0.7793956398963928
p00_17,pair,2,1-2,net_actual_interchange_mw,0.2008773684501648
p00_17,pair,2,1-2,total_gen,0.7924337387084961
p00_17,pair,2,1-2,total_lmp_da,0.4135756492614746
p00_17,pair,2,1-2,total_losses,0.5532147884368896
p00_18,pair,2,1-2,congestion_price_da,0.1215735077857971
p00_18,pair,2,1-2,congestion_price_rt,0.0536506175994873
p00_18,pair,2,1-2,da_as_total_mw_primary_reserve,0.1298392415046692
p00_18,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1362984180450439
p00_18,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2118716239929199
p00_18,pair,2,1-2,gross_actual_interchange_mw,0.1621444821357727
p00_18,pair,2,1-2,marginal_loss_price_da,0.3973346352577209
p00_18,pair,2,1-2,metered_load_mw,0.7873396277427673
p00_18,pair,2,1-2,net_actual_interchange_mw,0.2217996716499328
p00_18,pair,2,1-2,total_gen,0.8043763041496277
p00_18,pair,2,1-2,total_lmp_da,0.4717664718627929
p00_18,pair,2,1-2,total_losses,0.6583939790725708
p00_19,pair,2,1-2,congestion_price_da,0.1567890644073486
p00_19,pair,2,1-2,congestion_price_rt,0.1212431788444519
p00_19,pair,2,1-2,da_as_total_mw_primary_reserve,0.1354235410690307
p00_19,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1462270617485046
p00_19,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.3467267155647278
p00_19,pair,2,1-2,gross_actual_interchange_mw,0.1935541629791259
p00_19,pair,2,1-2,marginal_loss_price_da,0.5314687490463257
p00_19,pair,2,1-2,metered_load_mw,0.9903573393821716
p00_19,pair,2,1-2,net_actual_interchange_mw,0.2328476309776306
p00_19,pair,2,1-2,total_gen,0.9783645272254944
p00_19,pair,2,1-2,total_lmp_da,0.648829460144043
p00_19,pair,2,1-2,total_losses,0.5526795983314514
p00_20,pair,2,1-2,congestion_price_da,0.154387891292572
p00_20,pair,2,1-2,congestion_price_rt,0.1134920716285705
p00_20,pair,2,1-2,da_as_total_mw_primary_reserve,0.1359031200408935
p00_20,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1502538919448852
p00_20,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.3510339260101318
p00_20,pair,2,1-2,gross_actual_interchange_mw,0.1876717209815979
p00_20,pair,2,1-2,marginal_loss_price_da,0.5369662046432495
p00_20,pair,2,1-2,metered_load_mw,0.9831295013427734
p00_20,pair,2,1-2,net_actual_interchange_mw,0.231159508228302
p00_20,pair,2,1-2,total_gen,0.973818063735962
p00_20,pair,2,1-2,total_lmp_da,0.6597819924354553
p00_20,pair,2,1-2,total_losses,0.5511351823806763
p00_21,pair,2,1-2,congestion_price_da,0.1394773721694946
p00_21,pair,2,1-2,congestion_price_rt,0.1875393390655517
p00_21,pair,2,1-2,da_as_total_mw_primary_reserve,0.1168179512023925
p00_21,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1058951020240783
p00_21,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1812650561332702
p00_21,pair,2,1-2,gross_actual_interchange_mw,0.1609185338020324
p00_21,pair,2,1-2,marginal_loss_price_da,0.4543978571891784
p00_21,pair,2,1-2,metered_load_mw,0.7638460397720337
p00_21,pair,2,1-2,net_actual_interchange_mw,0.2413241863250732
p00_21,pair,2,1-2,total_gen,0.7765287160873413
p00_21,pair,2,1-2,total_lmp_da,0.5192391872406006
p00_21,pair,2,1-2,total_losses,0.5127779841423035
p00_22,pair,2,1-2,congestion_price_da,0.1033611297607421
p00_22,pair,2,1-2,congestion_price_rt,0.0452715754508972
p00_22,pair,2,1-2,da_as_total_mw_primary_reserve,0.1430737376213073
p00_22,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.11350017786026
p00_22,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2219899296760559
p00_22,pair,2,1-2,gross_actual_interchange_mw,0.1455654501914978
p00_22,pair,2,1-2,marginal_loss_price_da,0.3536463379859924
p00_22,pair,2,1-2,metered_load_mw,0.7723642587661743
p00_22,pair,2,1-2,net_actual_interchange_mw,0.2279291749000549
p00_22,pair,2,1-2,total_gen,0.7851558327674866
p00_22,pair,2,1-2,total_lmp_da,0.3966371417045593
p00_22,pair,2,1-2,total_losses,0.5177359580993652
p00_23,pair,2,1-2,congestion_price_da,0.0818956494331359
p00_23,pair,2,1-2,congestion_price_rt,0.0567615628242492
p00_23,pair,2,1-2,da_as_total_mw_primary_reserve,0.1075842976570129
p00_23,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1085181832313537
p00_23,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1033836603164672
p00_23,pair,2,1-2,gross_actual_interchange_mw,0.1454630494117736
p00_23,pair,2,1-2,marginal_loss_price_da,0.345924437046051
p00_23,pair,2,1-2,metered_load_mw,0.7530498504638672
p00_23,pair,2,1-2,net_actual_interchange_mw,0.1911024451255798
p00_23,pair,2,1-2,total_gen,0.7673051357269287
p00_23,pair,2,1-2,total_lmp_da,0.3773266077041626
p00_23,pair,2,1-2,total_losses,0.503371000289917
p00_24,pair,2,1-2,congestion_price_da,0.151880145072937
p00_24,pair,2,1-2,congestion_price_rt,0.0804720520973205
p00_24,pair,2,1-2,da_as_total_mw_primary_reserve,0.1830161213874817
p00_24,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1701089739799499
p00_24,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2736901640892029
p00_24,pair,2,1-2,gross_actual_interchange_mw,0.2635663151741028
p00_24,pair,2,1-2,marginal_loss_price_da,0.4917604923248291
p00_24,pair,2,1-2,metered_load_mw,0.7889891266822815
p00_24,pair,2,1-2,net_actual_interchange_mw,0.3159220218658447
p00_24,pair,2,1-2,total_gen,0.7991880178451538
p00_24,pair,2,1-2,total_lmp_da,0.5351971387863159
p00_24,pair,2,1-2,total_losses,0.5436493158340454
p00_25,pair,2,1-2,congestion_price_da,0.0958288311958313
p00_25,pair,2,1-2,congestion_price_rt,0.0454314351081848
p00_25,pair,2,1-2,da_as_total_mw_primary_reserve,0.136590301990509
p00_25,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1156471967697143
p00_25,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1296916604042053
p00_25,pair,2,1-2,gross_actual_interchange_mw,0.1443711519241333
p00_25,pair,2,1-2,marginal_loss_price_da,0.3787200450897217
p00_25,pair,2,1-2,metered_load_mw,0.7569109201431274
p00_25,pair,2,1-2,net_actual_interchange_mw,0.2099788188934326
