scheme,seed,r2_full,epochs_run,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,mae_扫描|S|<=3,mae_中段4-12,mae_防护|S|>=13,band_1-2,band_3-4,band_5-8,band_9-16,band_17-32,band_33-44,syn_n,syn_rho,syn_top20,syn_top50,syn_top10_medrank,syn_fp_rate
none,1,0.8773670792579651,374,0.22951596795050222,0.732406732293045,0.07725965352366519,0.9605875824736806,0.03637455823924235,0.9868511143494255,0.019314994531259722,0.9953582150175296,0.21813860548852815,0.39287614214479627,0.2699995078560379,0.18553339803861046,0.299482407440073,0.3817192402978738,0.4234821643350887,0.31409630437309927,0.10168438988427321,11352,0.07682894111913419,0.2,0.16,5513.5,0.008697452888796852
none,2,0.8722448945045471,204,0.22665174642353997,0.7461534235215823,0.0820216803816218,0.9520594660769511,0.03731619415713345,0.986372217868044,0.019382713655681175,0.9950643933011328,0.21487211884641522,0.3905671185521937,0.2714815195235941,0.18192662073907628,0.29708237235038754,0.3791264961614753,0.42276699212538144,0.31513907454716855,0.10453465494016806,11352,0.03233256394053242,0.2,0.18,8528.5,0.005384137502588528
small50,0,0.7909266948699951,329,0.05998769715466173,0.9723392655780091,0.04669210727621254,0.9803994278849996,0.029404560056737233,0.9898520691280456,0.01833733399406504,0.9960128792996028,0.052896987953459526,0.11269901114613262,0.11263217251333925,0.040018337719167525,0.08476532355310118,0.10653485052964905,0.13724530645373728,0.11865439371038707,0.08372449291249116,11352,0.7339172960703798,0.35,0.56,10039.5,0.0
small50,1,0.7996490597724915,400,0.058873452558205815,0.971607781232423,0.0432986216477785,0.9810178881074811,0.028731973227208035,0.9901478363749491,0.017093586566812296,0.9961601980200295,0.05224313110449287,0.10966914506693978,0.1072584950675567,0.03993070581645677,0.0827188383066347,0.10387518155303868,0.13206387934636096,0.11362364028508846,0.07832102353374164,11352,0.7255305118303792,0.35,0.56,5091.5,0.0
small50,2,0.7653389573097229,161,0.06836383456329606,0.9681760703616177,0.052927279589593715,0.9777816986157617,0.034332651096552154,0.9879124585783856,0.020470107645552776,0.9946963582590008,0.05976822813523597,0.1301175691002044,0.13337881051831776,0.046083962179795664,0.09367141994653101,0.1207155603351015,0.1605512837366182,0.13718205250990698,0.10610192567110062,11352,0.6868204872823573,0.35,0.58,10331.5,0.0
small80,0,0.7461308836936951,329,0.0642028572936046,0.9721656458511876,0.0491218987612807,0.9798461171332401,0.03210990683706682,0.9888629652230044,0.020827021935163618,0.995295553499453,0.053932921367782126,0.1265866622254623,0.14824640788137913,0.04030839590612887,0.08769305315447766,0.11581832418839137,0.1632010161268468,0.153385796608069,0.12611398386458555,11352,0.7420492931441569,0.35,0.56,4395.0,0.0
small80,1,0.7439048886299133,248,0.0665229414849717,0.970768093966916,0.04896750573428149,0.9788794042113934,0.03290478569690245,0.988601634356313,0.02045265929032804,0.9950342563247825,0.05581158171075982,0.1313479350722251,0.1543129761185911,0.04207521193356626,0.08981286985172596,0.11959523007725224,0.17139382934083744,0.16047959975325143,0.1291327051818371,11352,0.7382925239792775,0.35,0.56,2193.0,0.0
small80,2,0.730084240436554,192,0.06739134230539076,0.9673278841102912,0.05500011497796489,0.9775360478718945,0.03538950433396749,0.9875847348245722,0.021399116383112222,0.9945830149042355,0.055900326128740636,0.1351387120449721,0.16257423977884983,0.04181728339456147,0.09080044159716799,0.12305232837344661,0.17554763375090904,0.16706483906660324,0.1423789924631516,11352,0.7101878993537741,0.25,0.58,9122.5,0.0
uniform,0,0.8310090899467468,318,0.06436920033960072,0.9647197420661389,0.0468385407887084,0.9786079380189976,0.028466322265451934,0.9893779220454654,0.01690312003789315,0.9960363778159718,0.0610317970483687,0.10631152905931521,0.0795818432337708,0.04918389991678373,0.09032680886988827,0.10359395588889267,0.11847436357112158,0.08396300931389515,0.04508235255877177,11352,0.6503012379043235,0.35,0.58,7351.0,0.0
uniform,1,0.8389371037483215,400,0.06419330635525652,0.9676369082064701,0.04407161407412208,0.9795536580628696,0.027869901788466673,0.9896248682594095,0.01608185138231909,0.9962824447484777,0.06148513782173145,0.09964020861618554,0.07574917003512383,0.05030165008623592,0.08910096116543609,0.09809713551040852,0.11198140670653103,0.0814623858493108,0.040028121198217075,11352,0.713559702155549,0.35,0.58,8217.5,0.0
uniform,2,0.8308025002479553,400,0.06158368092805601,0.9685558568810605,0.04642755893735111,0.9787069245307383,0.028499860017105003,0.989248746875399,0.015488219212633502,0.996012194914569,0.05842601972602385,0.09967299050359583,0.0768670781619019,0.046673594580756296,0.0874532700848401,0.09840927476232703,0.11011096997325923,0.08078639581799507,0.04634807507197062,11352,0.6811391876478868,0.35,0.58,7604.0,0.0
workload,0,0.8076205849647522,323,0.06438499046473838,0.9684020243087482,0.047341803265278516,0.9799307190807456,0.029473560917397643,0.98977697205225,0.018395479399767625,0.9957588423593627,0.058586992421738385,0.11845057898789496,0.10131019755370087,0.04455764661935042,0.09333087863123427,0.11334773017601533,0.1377389007279662,0.10634725770125023,0.06666072060664495,11352,0.698600963386938,0.3,0.56,9774.5,0.0
workload,1,0.816601574420929,400,0.06521738817609607,0.9708880832811358,0.04499551587046302,0.9799508360107985,0.028934468696439127,0.989918958932411,0.01711658896427671,0.9962549004835851,0.059764044252493584,0.12177256594842939,0.09676320316890875,0.04626595394478904,0.09319456869230008,0.11721828862121611,0.1399113312870467,0.10135460702272561,0.05811469542483489,11352,0.7046686439412126,0.3,0.58,10818.5,0.0
workload,2,0.7832774519920349,221,0.06505662758792112,0.969466773877806,0.051791734936727486,0.9789039168377595,0.032270444771385236,0.9886095901288698,0.018644137197692583,0.9954679148376893,0.05748245816294283,0.12324981762105552,0.12023644091354477,0.043496097242992734,0.09213743511825825,0.11624405115391269,0.14954999829230664,0.12536573763459158,0.08898227003713449,11352,0.7107832606458886,0.35,0.56,7180.0,0.0
workload_hard,0,0.6603042483329773,215,0.07606413749609199,0.964760980903494,0.05609921772858718,0.9772626067044701,0.03559269963459517,0.987559666682929,0.02319807475416995,0.9945143514015917,0.060681413947634766,0.1589044690576952,0.2078666441142559,0.04501669133953775,0.09952120264916249,0.14134317602623592,0.20968661016347456,0.20785629988098756,0.20250706921021144,11352,0.698566849592622,0.35,0.54,5527.0,0.0
workload_hard,1,0.7118897438049316,196,0.07677310799105115,0.9645472593642458,0.05428553660055102,0.9761477769698489,0.036616779375323386,0.986800207586464,0.022697073500445853,0.9942061793047209,0.0630668637089973,0.15964197853014836,0.18915443283816177,0.047069750284707106,0.10274070942292883,0.14283147115599026,0.209017551269661,0.19505075107400233,0.16318142836292585,11352,0.6668148503779208,0.3,0.54,8429.0,0.0
workload_hard,2,0.6941441893577576,226,0.07359577882120956,0.9660384273911704,0.05590113840190388,0.9765033609129908,0.03663225598040773,0.9870578115872168,0.022024717780740936,0.9944028561244911,0.06013296598549338,0.148447471323298,0.1876356424142917,0.04486619416712109,0.097958921060796,0.13407355569528812,0.19471442861621882,0.19048226787111697,0.17356416173279285,11352,0.699168844420089,0.3,0.54,8488.5,0.0
