S,syn4,best_parent_rank,best_parent_syn3
"(3, 9, 33, 40)",0.1214,163,0.1226
"(3, 18, 31, 40)",0.1027,162,0.1227
"(3, 18, 32, 40)",0.1027,161,0.1227
"(3, 11, 13, 17)",0.1479,160,0.1228
"(14, 31, 40, 42)",0.1013,156,0.1232
"(14, 32, 40, 42)",0.1013,156,0.1232
"(0, 10, 13, 42)",0.1029,151,0.1242
"(0, 14, 20, 38)",0.106,150,0.1243
"(0, 13, 14, 20)",0.1005,150,0.1243
"(0, 3, 14, 20)",0.1069,150,0.1243
"(11, 32, 39, 40)",0.1088,146,0.1247
"(11, 30, 32, 40)",0.1208,146,0.1247
"(3, 11, 32, 40)",0.138,146,0.1247
"(3, 11, 31, 40)",0.138,144,0.1247
"(11, 30, 31, 40)",0.1208,144,0.1247
"(11, 31, 39, 40)",0.1088,144,0.1247
"(5, 15, 38, 42)",0.1409,143,0.1247
"(0, 10, 11, 17)",0.1144,138,0.125
"(2, 10, 11, 17)",0.1412,138,0.125
"(10, 11, 12, 17)",0.1203,138,0.125
"(14, 15, 39, 40)",0.1345,137,0.1251
"(1, 15, 39, 40)",0.1204,137,0.1251
"(15, 19, 39, 40)",0.1224,137,0.1251
"(15, 20, 39, 40)",0.1271,137,0.1251
"(2, 6, 13, 16)",0.1025,133,0.126
"(3, 9, 31, 40)",0.1298,132,0.126
"(3, 9, 32, 40)",0.1298,131,0.126
"(3, 13, 19, 42)",0.1127,129,0.1261
"(1, 5, 15, 19)",0.1009,121,0.1273
"(7, 17, 32, 37)",0.115,120,0.1274
"(7, 17, 31, 37)",0.115,119,0.1274
"(2, 7, 11, 43)",0.1166,109,0.13
"(4, 7, 11, 43)",0.1037,109,0.13
"(7, 11, 17, 43)",0.1234,109,0.13
"(0, 3, 10, 42)",0.1465,106,0.1304
"(7, 17, 38, 43)",0.1113,105,0.1313
"(6, 11, 39, 40)",0.1008,104,0.1316
"(1, 7, 20, 42)",0.1035,101,0.1362
"(7, 12, 17, 31)",0.1005,99,0.1367
"(7, 12, 17, 32)",0.1005,99,0.1367
"(3, 7, 12, 17)",0.1031,99,0.1367
"(2, 13, 31, 43)",0.1083,98,0.1369
"(2, 13, 32, 43)",0.1083,97,0.1369
"(0, 3, 14, 19)",0.1015,95,0.1371
"(0, 14, 19, 38)",0.114,95,0.1371
"(9, 13, 32, 40)",0.1239,86,0.1422
"(11, 13, 32, 40)",0.1223,86,0.1422
"(11, 13, 31, 40)",0.1223,85,0.1422
"(9, 13, 31, 40)",0.1239,85,0.1422
"(2, 7, 11, 12)",0.1451,82,0.1443
"(1, 2, 7, 12)",0.109,82,0.1443
"(7, 10, 17, 38)",0.104,78,0.1453
"(9, 13, 33, 40)",0.1146,77,0.1457
"(11, 13, 33, 40)",0.1065,77,0.1457
"(2, 13, 33, 43)",0.1087,73,0.147
"(0, 1, 7, 19)",0.1115,67,0.1475
"(1, 7, 19, 42)",0.1111,67,0.1475
