scheme,seed,K,n,rho,top20,med_rank10,recall,fp
bern50,2,30,11352,0.879179035535961,0.55,180.0,0.8321678321678322,0.0
bern50,2,35,11352,0.8748064702351964,0.55,47.5,0.8741258741258742,0.0
bern50,2,40,11352,0.8752097552611954,0.55,24.0,0.8951048951048951,0.0
bern50,2,45,11352,0.889671982473372,0.65,7.0,0.9020979020979021,0.0
bern50,2,50,11352,0.8910428248197135,0.65,5.5,0.9020979020979021,0.0
bern50,2,55,11352,0.8983049895157548,0.8,5.5,0.916083916083916,0.0
bern50,2,60,11352,0.9000938753605114,0.8,5.5,0.9300699300699301,0.0
bern50,2,65,11352,0.9094289488678721,0.8,5.5,0.9370629370629371,0.0
bern50,2,70,11352,0.9055203667833508,0.8,5.5,0.951048951048951,0.0
bern50,2,75,11352,0.9079719613970916,0.8,5.5,0.965034965034965,0.0
bern50,2,80,11352,0.9118394702392969,0.8,5.5,0.972027972027972,0.0
none,0,0,11352,0.01419014089330892,0.2,5181.5,0.1258741258741259,0.004555808656036446
none,0,5,11352,0.4918238175665113,0.25,10804.0,0.6013986013986014,0.0
none,0,10,11352,0.6466901854305394,0.35,11175.5,0.6713286713286714,0.0
none,0,15,11352,0.7324044069027257,0.35,11119.0,0.7202797202797203,0.0
none,0,20,11352,0.7731937537369243,0.4,4486.0,0.7482517482517482,0.0
none,0,25,11352,0.8053373205479426,0.45,950.5,0.7762237762237763,0.0
none,0,30,11352,0.8242508426100713,0.45,188.0,0.8041958041958042,0.0
none,0,35,11352,0.8391653399974005,0.6,32.0,0.8321678321678322,0.0
none,0,40,11352,0.8595671684702837,0.7,8.5,0.8601398601398601,0.0
none,0,45,11352,0.8680984054967471,0.7,5.5,0.8811188811188811,0.0
none,0,50,11352,0.8652173727379208,0.75,5.5,0.8881118881118881,0.0
none,0,55,11352,0.8730270208033215,0.75,5.5,0.916083916083916,0.0
none,0,60,11352,0.8822510996569423,0.8,5.5,0.9230769230769231,0.0
none,0,65,11352,0.8866380910994088,0.8,5.5,0.9440559440559441,0.0
none,0,70,11352,0.893426645630706,0.8,5.5,0.951048951048951,0.0
none,0,75,11352,0.8907215984949544,0.8,5.5,0.972027972027972,0.0
none,0,80,11352,0.8926022852860528,0.8,5.5,0.965034965034965,0.0
none,1,0,11352,0.07682894111913419,0.2,5513.5,0.1048951048951049,0.008697452888796852
none,1,5,11352,0.5181985102033458,0.25,10896.5,0.6013986013986014,0.0
none,1,10,11352,0.6354692477780967,0.35,10915.5,0.6783216783216783,0.0
none,1,15,11352,0.7135860152056298,0.35,6620.5,0.7202797202797203,0.0
none,1,20,11352,0.7734083456754443,0.35,2070.5,0.7412587412587412,0.0
none,1,25,11352,0.7957851732603095,0.45,642.5,0.7762237762237763,0.0004141644232760406
none,1,30,11352,0.8188157999151547,0.5,139.0,0.8321678321678322,0.0
none,1,35,11352,0.8487269183749965,0.6,28.5,0.8391608391608392,0.0
none,1,40,11352,0.8611899035614132,0.7,8.5,0.8601398601398601,0.0
none,1,45,11352,0.8676987026505362,0.75,5.5,0.8811188811188811,0.0
none,1,50,11352,0.8740826703317451,0.75,5.5,0.9090909090909091,0.0
none,1,55,11352,0.8774866639770795,0.75,5.5,0.916083916083916,0.0
none,1,60,11352,0.8795208609546343,0.8,5.5,0.9440559440559441,0.0
none,1,65,11352,0.8829201164481422,0.8,5.5,0.951048951048951,0.0
none,1,70,11352,0.8920736272629597,0.75,5.5,0.951048951048951,0.0
none,1,75,11352,0.8861458749083728,0.8,5.5,0.965034965034965,0.0
none,1,80,11352,0.8896014308774747,0.8,5.5,0.972027972027972,0.0
none,2,0,11352,0.03233256394053242,0.2,8528.5,0.0979020979020979,0.005384137502588528
none,2,5,11352,0.47696677760028955,0.25,10921.5,0.5454545454545454,0.0
none,2,10,11352,0.6359250238250629,0.35,6502.5,0.6363636363636364,0.0
none,2,15,11352,0.7139030957852388,0.35,3782.5,0.7062937062937062,0.0
none,2,20,11352,0.7646314450513421,0.35,1609.0,0.7482517482517482,0.0
none,2,25,11352,0.8046774259425428,0.45,575.5,0.7902097902097902,0.0
none,2,30,11352,0.8172239408703245,0.55,141.0,0.8321678321678322,0.0
none,2,35,11352,0.8431332225613067,0.55,35.0,0.8391608391608392,0.0
none,2,40,11352,0.8431267034629084,0.65,14.0,0.8531468531468531,0.0
none,2,45,11352,0.8569498683144321,0.75,5.5,0.8671328671328671,0.0
none,2,50,11352,0.8592800066328232,0.75,5.5,0.9090909090909091,0.0
none,2,55,11352,0.8718798921982313,0.75,5.5,0.916083916083916,0.0
none,2,60,11352,0.8770900238281918,0.75,5.5,0.9230769230769231,0.0
none,2,65,11352,0.8807907486136763,0.75,5.5,0.9300699300699301,0.0
none,2,70,11352,0.8771132616581209,0.8,5.5,0.951048951048951,0.0
none,2,75,11352,0.8760067695415366,0.8,5.5,0.951048951048951,0.0
none,2,80,11352,0.8873791789603248,0.8,5.5,0.965034965034965,0.0
uniform,0,0,11352,0.6503012379043235,0.35,7351.0,0.6993006993006993,0.0
uniform,0,5,11352,0.7751171464135996,0.35,2741.5,0.7342657342657343,0.0
uniform,0,10,11352,0.7961273017832103,0.35,931.0,0.7552447552447552,0.0
uniform,0,15,11352,0.8251186972016411,0.45,358.0,0.8041958041958042,0.0
uniform,0,20,11352,0.8449587270927176,0.45,102.0,0.8531468531468531,0.0
uniform,0,25,11352,0.8554517527097705,0.55,41.5,0.8671328671328671,0.0
uniform,0,30,11352,0.8638599319292752,0.55,28.5,0.8881118881118881,0.0
uniform,0,35,11352,0.882011404037947,0.8,6.5,0.8951048951048951,0.0
uniform,0,40,11352,0.8927056137224825,0.8,5.5,0.9090909090909091,0.0
uniform,0,45,11352,0.8966276093897247,0.8,5.5,0.9230769230769231,0.0
uniform,0,50,11352,0.8927277488597108,0.8,5.5,0.9230769230769231,0.0
uniform,0,55,11352,0.8959745882402008,0.8,5.5,0.9440559440559441,0.0
uniform,0,60,11352,0.9001370843520091,0.8,5.5,0.9370629370629371,0.0
uniform,0,65,11352,0.9095556444871998,0.8,5.5,0.958041958041958,0.0
uniform,0,70,11352,0.9108918199375852,0.8,5.5,0.965034965034965,0.0
uniform,0,75,11352,0.910985626083353,0.8,5.5,0.965034965034965,0.0
uniform,0,80,11352,0.9098880831073249,0.8,5.5,0.965034965034965,0.0
uniform,1,0,11352,0.713559702155549,0.35,8217.5,0.6993006993006993,0.0
uniform,1,5,11352,0.8022612527147986,0.35,1639.5,0.7412587412587412,0.0
uniform,1,10,11352,0.8149520944942841,0.35,566.0,0.7832167832167832,0.0
uniform,1,15,11352,0.8462462643944023,0.45,349.0,0.8181818181818182,0.0
uniform,1,20,11352,0.8620222567891593,0.55,95.0,0.8531468531468531,0.0
uniform,1,25,11352,0.8740455350847652,0.55,37.0,0.8531468531468531,0.0
uniform,1,30,11352,0.8824402257363911,0.6,22.0,0.8811188811188811,0.0
uniform,1,35,11352,0.8951978149082942,0.75,12.0,0.9020979020979021,0.0
uniform,1,40,11352,0.9048749847639167,0.8,5.5,0.916083916083916,0.0
uniform,1,45,11352,0.9042020191447507,0.8,5.5,0.9230769230769231,0.0
uniform,1,50,11352,0.9040670621211763,0.8,5.5,0.9230769230769231,0.0
uniform,1,55,11352,0.9056680322725034,0.8,5.5,0.9370629370629371,0.0
uniform,1,60,11352,0.9042805089619502,0.8,5.5,0.951048951048951,0.0
uniform,1,65,11352,0.9148671450352029,0.8,5.5,0.958041958041958,0.0
uniform,1,70,11352,0.9207963418602505,0.8,5.5,0.951048951048951,0.0
uniform,1,75,11352,0.9126145727989197,0.8,5.5,0.972027972027972,0.0
uniform,1,80,11352,0.9125126254075326,0.8,5.5,0.965034965034965,0.0
uniform,2,0,11352,0.6811391876478868,0.35,7604.0,0.6993006993006993,0.0
uniform,2,5,11352,0.7593330936917415,0.35,3109.5,0.7412587412587412,0.0
uniform,2,10,11352,0.8042103191869018,0.35,594.5,0.7622377622377622,0.0
uniform,2,15,11352,0.8376740605944655,0.45,126.5,0.8041958041958042,0.0
uniform,2,20,11352,0.8502397401932429,0.45,41.5,0.8461538461538461,0.0
uniform,2,25,11352,0.870629123964811,0.6,21.5,0.8671328671328671,0.0
uniform,2,30,11352,0.884121594941586,0.65,6.5,0.8951048951048951,0.0
uniform,2,35,11352,0.8837723541698868,0.65,5.5,0.9090909090909091,0.0
uniform,2,40,11352,0.8725781603199921,0.8,5.5,0.9230769230769231,0.0
uniform,2,45,11352,0.8947041860289959,0.8,5.5,0.9230769230769231,0.0
uniform,2,50,11352,0.8975946931257606,0.8,5.5,0.9230769230769231,0.0
uniform,2,55,11352,0.9027944671506037,0.8,5.5,0.9300699300699301,0.0
uniform,2,60,11352,0.9025210561927821,0.8,5.5,0.9440559440559441,0.0
uniform,2,65,11352,0.9112202785169489,0.8,5.5,0.951048951048951,0.0
uniform,2,70,11352,0.9070642703708828,0.8,5.5,0.958041958041958,0.0
uniform,2,75,11352,0.908273427643258,0.8,5.5,0.972027972027972,0.0
uniform,2,80,11352,0.9165535695838422,0.8,5.5,0.972027972027972,0.0
