sid,size,K,conf,est
p00_01,2,70,da_as_total_mw_thirty_minutes_reserve,0.38041073083877563
p00_01,2,75,net_actual_interchange_mw,0.21882104873657227
p00_01,2,75,gross_actual_interchange_mw,0.18996566534042358
p00_01,2,75,total_gen,0.9342803955078125
p00_01,2,75,metered_load_mw,0.9141967296600342
p00_01,2,75,total_losses,0.5685973167419434
p00_01,2,75,congestion_price_da,0.12277829647064209
p00_01,2,75,congestion_price_rt,0.07886403799057007
p00_01,2,75,marginal_loss_price_da,0.37366747856140137
p00_01,2,75,total_lmp_da,0.5172816514968872
p00_01,2,75,da_as_total_mw_primary_reserve,0.1506367325782776
p00_01,2,75,da_as_total_mw_synchronized_reserve,0.14320993423461914
p00_01,2,75,da_as_total_mw_thirty_minutes_reserve,0.36466383934020996
p00_01,2,80,net_actual_interchange_mw,0.22945243120193481
p00_01,2,80,gross_actual_interchange_mw,0.1889055371284485
p00_01,2,80,total_gen,0.9281712770462036
p00_01,2,80,metered_load_mw,0.9052172303199768
p00_01,2,80,total_losses,0.5698297023773193
p00_01,2,80,congestion_price_da,0.11514890193939209
p00_01,2,80,congestion_price_rt,0.09130591154098511
p00_01,2,80,marginal_loss_price_da,0.37182003259658813
p00_01,2,80,total_lmp_da,0.5348026156425476
p00_01,2,80,da_as_total_mw_primary_reserve,0.17062264680862427
p00_01,2,80,da_as_total_mw_synchronized_reserve,0.1773015260696411
p00_01,2,80,da_as_total_mw_thirty_minutes_reserve,0.38006269931793213
p00_02,2,0,net_actual_interchange_mw,0.0895809531211853
p00_02,2,0,gross_actual_interchange_mw,0.13611763715744019
p00_02,2,0,total_gen,0.7979303598403931
p00_02,2,0,metered_load_mw,0.7941087484359741
p00_02,2,0,total_losses,0.4587339758872986
p00_02,2,0,congestion_price_da,0.09504425525665283
p00_02,2,0,congestion_price_rt,0.0
p00_02,2,0,marginal_loss_price_da,0.23339354991912842
p00_02,2,0,total_lmp_da,0.34384918212890625
p00_02,2,0,da_as_total_mw_primary_reserve,0.1273464560508728
p00_02,2,0,da_as_total_mw_synchronized_reserve,0.11997658014297485
p00_02,2,0,da_as_total_mw_thirty_minutes_reserve,0.13221091032028198
p00_02,2,5,net_actual_interchange_mw,0.08922338485717773
p00_02,2,5,gross_actual_interchange_mw,0.1370564103126526
p00_02,2,5,total_gen,0.8197988271713257
p00_02,2,5,metered_load_mw,0.8116341829299927
p00_02,2,5,total_losses,0.47213679552078247
p00_02,2,5,congestion_price_da,0.11910343170166016
p00_02,2,5,congestion_price_rt,0.005583584308624268
p00_02,2,5,marginal_loss_price_da,0.257283091545105
p00_02,2,5,total_lmp_da,0.4071692228317261
p00_02,2,5,da_as_total_mw_primary_reserve,0.1454654335975647
p00_02,2,5,da_as_total_mw_synchronized_reserve,0.15908998250961304
p00_02,2,5,da_as_total_mw_thirty_minutes_reserve,0.184642493724823
p00_02,2,10,net_actual_interchange_mw,0.14020013809204102
p00_02,2,10,gross_actual_interchange_mw,0.14670681953430176
p00_02,2,10,total_gen,0.8226714134216309
p00_02,2,10,metered_load_mw,0.8161513805389404
p00_02,2,10,total_losses,0.4921441078186035
p00_02,2,10,congestion_price_da,0.13288116455078125
p00_02,2,10,congestion_price_rt,0.05694097280502319
p00_02,2,10,marginal_loss_price_da,0.2912899851799011
p00_02,2,10,total_lmp_da,0.42678356170654297
p00_02,2,10,da_as_total_mw_primary_reserve,0.14691925048828125
p00_02,2,10,da_as_total_mw_synchronized_reserve,0.1816004514694214
p00_02,2,10,da_as_total_mw_thirty_minutes_reserve,0.2249389886856079
p00_02,2,15,net_actual_interchange_mw,0.14653819799423218
p00_02,2,15,gross_actual_interchange_mw,0.14922434091567993
p00_02,2,15,total_gen,0.822573721408844
p00_02,2,15,metered_load_mw,0.8150772452354431
p00_02,2,15,total_losses,0.4857408404350281
p00_02,2,15,congestion_price_da,0.12437677383422852
p00_02,2,15,congestion_price_rt,0.06581109762191772
p00_02,2,15,marginal_loss_price_da,0.30315935611724854
p00_02,2,15,total_lmp_da,0.4437139630317688
p00_02,2,15,da_as_total_mw_primary_reserve,0.14410167932510376
p00_02,2,15,da_as_total_mw_synchronized_reserve,0.1837306022644043
p00_02,2,15,da_as_total_mw_thirty_minutes_reserve,0.23263072967529297
p00_02,2,20,net_actual_interchange_mw,0.13200068473815918
p00_02,2,20,gross_actual_interchange_mw,0.13342797756195068
p00_02,2,20,total_gen,0.824211597442627
p00_02,2,20,metered_load_mw,0.817638635635376
p00_02,2,20,total_losses,0.4973801374435425
p00_02,2,20,congestion_price_da,0.12461137771606445
p00_02,2,20,congestion_price_rt,0.06321918964385986
p00_02,2,20,marginal_loss_price_da,0.32540303468704224
p00_02,2,20,total_lmp_da,0.4585021734237671
p00_02,2,20,da_as_total_mw_primary_reserve,0.1501089334487915
p00_02,2,20,da_as_total_mw_synchronized_reserve,0.18789225816726685
p00_02,2,20,da_as_total_mw_thirty_minutes_reserve,0.21194297075271606
p00_02,2,25,net_actual_interchange_mw,0.1599401831626892
p00_02,2,25,gross_actual_interchange_mw,0.15011650323867798
p00_02,2,25,total_gen,0.8279231190681458
p00_02,2,25,metered_load_mw,0.8217926025390625
p00_02,2,25,total_losses,0.5042011737823486
p00_02,2,25,congestion_price_da,0.14002478122711182
p00_02,2,25,congestion_price_rt,0.057388246059417725
p00_02,2,25,marginal_loss_price_da,0.33523333072662354
p00_02,2,25,total_lmp_da,0.46850138902664185
p00_02,2,25,da_as_total_mw_primary_reserve,0.16556215286254883
p00_02,2,25,da_as_total_mw_synchronized_reserve,0.19542908668518066
p00_02,2,25,da_as_total_mw_thirty_minutes_reserve,0.2502777576446533
p00_02,2,30,net_actual_interchange_mw,0.1640690565109253
p00_02,2,30,gross_actual_interchange_mw,0.15353727340698242
p00_02,2,30,total_gen,0.8270245790481567
p00_02,2,30,metered_load_mw,0.8194246292114258
p00_02,2,30,total_losses,0.505395770072937
p00_02,2,30,congestion_price_da,0.1288648247718811
p00_02,2,30,congestion_price_rt,0.06563538312911987
p00_02,2,30,marginal_loss_price_da,0.3397868871688843
p00_02,2,30,total_lmp_da,0.47850674390792847
p00_02,2,30,da_as_total_mw_primary_reserve,0.1660749316215515
p00_02,2,30,da_as_total_mw_synchronized_reserve,0.1820703148841858
p00_02,2,30,da_as_total_mw_thirty_minutes_reserve,0.2569093704223633
p00_02,2,35,net_actual_interchange_mw,0.1689927577972412
p00_02,2,35,gross_actual_interchange_mw,0.14848148822784424
p00_02,2,35,total_gen,0.8285717964172363
p00_02,2,35,metered_load_mw,0.8211129903793335
p00_02,2,35,total_losses,0.5065356492996216
p00_02,2,35,congestion_price_da,0.13566136360168457
p00_02,2,35,congestion_price_rt,0.06949508190155029
p00_02,2,35,marginal_loss_price_da,0.34942203760147095
p00_02,2,35,total_lmp_da,0.4832994341850281
p00_02,2,35,da_as_total_mw_primary_reserve,0.17365223169326782
p00_02,2,35,da_as_total_mw_synchronized_reserve,0.2022818922996521
p00_02,2,35,da_as_total_mw_thirty_minutes_reserve,0.26489150524139404
p00_02,2,40,net_actual_interchange_mw,0.17030036449432373
p00_02,2,40,gross_actual_interchange_mw,0.16106516122817993
p00_02,2,40,total_gen,0.8273963928222656
p00_02,2,40,metered_load_mw,0.8206061124801636
p00_02,2,40,total_losses,0.49746644496917725
