qid,indices,seed,selection_group,proxy_child_search_syn,proxy_child_audit_syn,proxy_any_rank_search,proxy_aligned_rank_search,proxy_child_search_conf,proxy_child_audit_conf,dnn_syn4,dnn_child_conf,dnn_child_conf_index,proxy_search_conf_matches_dnn,proxy_audit_conf_matches_dnn,dnn_parent_any,dnn_parent_aligned,dnn_best_parent_conf,dnn_parent_conf_match,dnn_any_parent_gt_005,dnn_aligned_parent_gt_005,dnn_any_parent_gt_010,dnn_aligned_parent_gt_010
s01_07_09_14,"1,7,9,14",1,cross_conf,0.1349265128374099,0.1076022610068321,388,388,11,11,0.1044238805770874,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.13174855709075928,0.06361377239227295,total_losses,False,True,True,True,False
s07_11_17_43,"7,11,17,43",1,cross_conf,0.1182344183325767,0.0960497185587883,140,200,4,4,0.07389712333679199,total_losses,4,True,True,0.1446315050125122,0.1446315050125122,total_losses,True,True,True,True,True
s01_04_07_14,"1,4,7,14",1,cross_conf,0.1090925484895706,0.1614058762788772,388,111,4,4,0.12252175807952881,total_losses,4,True,True,0.13174855709075928,0.13174855709075928,total_losses,True,True,True,True,True
s01_02_07_12,"1,2,7,12",1,cross_conf,0.1062272787094116,0.1122872158885002,41,49,4,4,0.11442077159881592,total_losses,4,True,True,0.13808226585388184,0.13808226585388184,total_losses,True,True,True,True,True
s07_12_13_42,"7,12,13,42",1,cross_conf,0.102674052119255,0.1038419529795646,682,155,2,2,0.11010652780532837,total_gen,2,True,True,0.10847842693328857,0.10847842693328857,total_gen,True,True,True,True,True
s04_07_17_38,"4,7,17,38",1,cross_conf,0.1013624742627143,0.1044728755950927,29,9,2,2,0.041668832302093506,total_gen,2,True,True,0.1796059012413025,0.12135481834411621,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,True
s00_01_11_14,"0,1,11,14",1,cross_conf,0.1001286432147026,0.0690745413303375,21,120,0,0,0.1066584587097168,net_actual_interchange_mw,0,True,True,0.17404049634933472,0.13208043575286865,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,True
s07_20_30_38,"7,20,30,38",1,blind,0.1545516401529312,0.0479141473770141,1418,140,5,4,0.043824970722198486,congestion_price_da,5,True,False,0.10003989934921265,0.10003989934921265,congestion_price_da,True,True,True,True,True
s07_19_30_38,"7,19,30,38",1,blind,0.1354874074459076,0.0441366620361804,1135,87,5,4,0.03106701374053955,total_losses,4,False,True,0.13669997453689575,0.08322840929031372,congestion_price_da,False,True,True,True,False
s04_24_30_38,"4,24,30,38",1,blind,0.1040833741426467,0.0301225706934928,1019,10,5,2,0.05454963445663452,da_as_total_mw_synchronized_reserve,10,False,False,0.09597921371459961,0.07050192356109619,total_gen,False,True,True,False,False
s07_11_15_31,"7,11,15,31",1,blind,0.1024428904056549,0.0961382240056991,1178,262,4,4,0.060813188552856445,total_losses,4,True,True,0.11756753921508789,0.11756753921508789,total_losses,True,True,True,True,True
s05_07_11_31,"5,7,11,31",1,blind,0.1006056517362594,0.0995836481451988,1824,404,4,4,0.08089017868041992,total_losses,4,True,True,0.10613399744033813,0.10613399744033813,total_losses,True,True,True,True,True
s05_07_11_32,"5,7,11,32",1,blind,0.1006019189953804,0.099580243229866,1827,405,4,4,0.0797644853591919,total_losses,4,True,True,0.10096275806427002,0.10096275806427002,total_losses,True,True,True,True,True
s11_15_17_31,"11,15,17,31",1,blind,0.1003311872482299,0.1024537086486816,1178,262,4,4,0.09184020757675171,total_losses,4,True,True,0.11756753921508789,0.11756753921508789,total_losses,True,True,True,True,True
s11_15_17_32,"11,15,17,32",1,blind,0.1003298610448837,0.1024471446871757,1179,263,4,4,0.09360533952713013,total_losses,4,True,True,0.1156090497970581,0.1156090497970581,total_losses,True,True,True,True,True
