indices,child_search_syn,child_audit_syn,child_search_conf,child_audit_conf,child_conf_stable,any_parent_score_search,aligned_parent_score_search_caudit,aligned_parent_score_search_csearch,any_parent_score_audit,aligned_parent_score_audit,any_rank_search,aligned_rank_search_caudit,aligned_rank_search_csearch,any_rank_audit,aligned_rank_audit,best_parent_conf_search,best_parent_conf_audit,best_parent_conf_matches_child_audit,best_parent_conf_matches_child_search,best_parent_pos_search,best_parent_pos_audit
"0,1,3,14,19",0.08099986612796783,0.07464847713708878,0,0,True,0.10839288681745529,0.10839288681745529,0.10839288681745529,0.09517786651849747,0.09517786651849747,76,28,28,430,76,0,0,True,True,3,3
"0,1,3,14,20",0.0816919356584549,0.07666278630495071,0,0,True,0.11194921284914017,0.11194921284914017,0.11194921284914017,0.09885451942682266,0.09885451942682266,63,24,24,349,61,0,0,True,True,3,3
"0,1,3,14,24",0.03223463147878647,0.052482087165117264,11,11,True,0.06521248817443848,0.05489477515220642,0.05489477515220642,0.07691366970539093,0.07691366970539093,2178,1759,1759,1328,314,0,11,False,False,2,2
"0,1,3,17,19",0.08295644074678421,0.07790961116552353,0,0,True,0.09545056521892548,0.09545056521892548,0.09545056521892548,0.10047104954719543,0.10047104954719543,266,73,73,310,58,0,0,True,True,2,2
"0,1,3,17,20",0.07023435831069946,0.0626320093870163,0,0,True,0.08462673425674438,0.08462673425674438,0.08462673425674438,0.08706922084093094,0.08706922084093094,553,146,146,690,127,0,0,True,True,2,2
"0,1,3,19,33",0.05257027596235275,0.04226791113615036,0,0,True,0.06613095104694366,0.06613095104694366,0.06613095104694366,0.06746210157871246,0.06746210157871246,2014,521,521,2480,412,0,0,True,True,2,2
"0,1,3,20,30",0.04957049340009689,0.05279633402824402,0,0,True,0.07543257623910904,0.07543257623910904,0.07543257623910904,0.07324402034282684,0.07324402034282684,1036,267,267,1709,309,0,0,True,True,2,2
"0,1,3,20,31",0.05240198224782944,0.04529355466365814,0,0,True,0.07172833383083344,0.07172833383083344,0.07172833383083344,0.07468615472316742,0.07468615472316742,1340,352,352,1551,277,0,0,True,True,2,2
"0,1,3,20,32",0.05240277200937271,0.04529508575797081,0,0,True,0.07172760367393494,0.07172760367393494,0.07172760367393494,0.074690081179142,0.074690081179142,1341,353,353,1549,276,0,0,True,True,2,2
"0,1,3,20,40",0.05180243402719498,0.03877690061926842,0,0,True,0.0683891698718071,0.0683891698718071,0.0683891698718071,0.06069276109337807,0.06069276109337807,1721,452,452,3852,661,0,0,True,True,2,2
"0,1,3,30,31",0.050332944840192795,0.037932828068733215,0,0,True,0.05701892450451851,0.05292489752173424,0.05292489752173424,0.042521294206380844,0.03697375953197479,4007,1474,1474,13328,4361,11,11,False,False,4,4
"0,1,3,30,32",0.050336338579654694,0.03793378546833992,0,0,True,0.0570196732878685,0.05292489752173424,0.05292489752173424,0.042520225048065186,0.03697696328163147,4006,1474,1474,13331,4360,11,11,False,False,4,4
"0,1,3,31,38",0.05247311666607857,0.03805805370211601,11,0,False,0.06755446642637253,0.061503760516643524,0.06223631277680397,0.061981506645679474,0.061981506645679474,1815,737,1016,3575,607,4,0,False,False,4,2
"0,1,3,31,42",0.05197032541036606,0.03246863931417465,0,0,True,0.0655674859881401,0.0655674859881401,0.0655674859881401,0.062717504799366,0.062717504799366,2113,551,551,3401,576,0,0,True,True,4,3
"0,1,3,32,38",0.05247342959046364,0.03805650398135185,11,0,False,0.06755411624908447,0.061503056436777115,0.06223631277680397,0.061977945268154144,0.061977945268154144,1816,738,1016,3576,608,4,0,False,False,4,2
"0,1,3,32,42",0.05197494104504585,0.0324685163795948,0,0,True,0.06555390357971191,0.06555390357971191,0.06555390357971191,0.06271687895059586,0.06271687895059586,2116,552,552,3402,577,0,0,True,True,4,3
"0,1,4,7,19",0.08082664012908936,0.09089003503322601,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,2,2
"0,1,4,7,20",0.07357920706272125,0.07940379530191422,0,0,True,0.0931357592344284,0.0931357592344284,0.0931357592344284,0.09587953239679337,0.09587953239679337,312,81,81,411,70,0,0,True,True,4,2
"0,1,4,9,10",0.051178477704524994,0.024815114215016365,1,1,True,0.04791999235749245,0.030609212815761566,0.030609212815761566,0.06055175140500069,0.025812750682234764,8003,385,385,3902,829,4,4,False,False,4,4
"0,1,4,9,19",0.03614698350429535,0.05225760117173195,0,0,True,0.07622077316045761,0.07622077316045761,0.07622077316045761,0.06433713436126709,0.06433713436126709,974,249,249,3048,516,0,0,True,True,1,1
"0,1,4,9,20",0.03831278532743454,0.05187775567173958,0,0,True,0.061807043850421906,0.061807043850421906,0.061807043850421906,0.06520745158195496,0.06520745158195496,2838,718,718,2892,483,0,0,True,True,1,1
"0,1,4,10,18",0.05132687836885452,0.023702960461378098,1,1,True,0.05283775553107262,0.030517753213644028,0.030517753213644028,0.07326521724462509,0.025812750682234764,5525,392,392,1707,829,4,4,False,False,4,4
"0,1,4,13,19",0.07530892640352249,0.06429748982191086,0,0,True,0.07622077316045761,0.07622077316045761,0.07622077316045761,0.06433713436126709,0.06433713436126709,974,249,249,3048,516,0,0,True,True,1,1
"0,1,4,13,20",0.06292068958282471,0.06568001210689545,0,0,True,0.061807043850421906,0.061807043850421906,0.061807043850421906,0.06520745158195496,0.06520745158195496,2838,718,718,2892,483,0,0,True,True,1,1
"0,1,4,13,40",0.04051320627331734,0.05061040818691254,0,0,True,0.05239161476492882,0.05239161476492882,0.05239161476492882,0.05497412383556366,0.05497412383556366,5717,1555,1555,5672,1011,0,0,True,True,2,1
"0,1,4,17,19",0.08129318803548813,0.09257179498672485,0,0,True,0.09545056521892548,0.09545056521892548,0.09545056521892548,0.10047104954719543,0.10047104954719543,266,73,73,310,58,0,0,True,True,2,2
"0,1,4,17,20",0.07264992594718933,0.08122605085372925,0,0,True,0.08462673425674438,0.08462673425674438,0.08462673425674438,0.08706922084093094,0.08706922084093094,553,146,146,690,127,0,0,True,True,2,2
"0,1,4,19,24",0.053803104907274246,0.06765585392713547,0,0,True,0.07622077316045761,0.07622077316045761,0.07622077316045761,0.07491669803857803,0.07491669803857803,974,249,249,1521,271,0,0,True,True,0,4
"0,1,4,19,26",0.051431804895401,0.07922481000423431,0,0,True,0.07622077316045761,0.07622077316045761,0.07622077316045761,0.07686355710029602,0.07686355710029602,974,249,249,1332,246,0,0,True,True,0,2
"0,1,4,19,31",0.0623980313539505,0.06807607412338257,0,0,True,0.07907407730817795,0.07907407730817795,0.07907407730817795,0.07892404496669769,0.07892404496669769,803,206,206,1157,218,0,0,True,True,2,2
"0,1,4,19,32",0.06239544600248337,0.06808051466941833,0,0,True,0.0790802612900734,0.0790802612900734,0.0790802612900734,0.07892810553312302,0.07892810553312302,802,205,205,1156,217,0,0,True,True,2,2
"0,1,4,19,33",0.06023261323571205,0.06713520735502243,0,0,True,0.09417816251516342,0.09417816251516342,0.09417816251516342,0.08425312489271164,0.08425312489271164,285,76,76,826,153,0,0,True,True,4,4
"0,1,4,19,40",0.05483422800898552,0.0631113201379776,0,0,True,0.08144304901361465,0.08144304901361465,0.08144304901361465,0.07125645130872726,0.06433713436126709,691,176,176,1970,516,0,7,True,True,2,4
"0,1,4,20,24",0.05946933478116989,0.06852536648511887,0,0,True,0.06541085988283157,0.06541085988283157,0.06541085988283157,0.07862051576375961,0.07862051576375961,2139,558,558,1185,221,0,0,True,True,2,4
"0,1,4,20,26",0.052881576120853424,0.07600495219230652,0,0,True,0.07189716398715973,0.07189716398715973,0.07189716398715973,0.0672377496957779,0.0672377496957779,1323,348,348,2522,414,0,0,True,True,2,4
"0,1,4,20,31",0.05260200798511505,0.06477832794189453,0,0,True,0.07498356699943542,0.07498356699943542,0.07498356699943542,0.07468615472316742,0.07468615472316742,1064,277,277,1551,277,0,0,True,True,4,2
"0,1,4,20,32",0.05259864404797554,0.06477159261703491,0,0,True,0.07497090846300125,0.07497090846300125,0.07497090846300125,0.074690081179142,0.074690081179142,1066,279,279,1549,276,0,0,True,True,4,2
"0,1,4,20,33",0.05286557599902153,0.06383398175239563,0,0,True,0.08159368485212326,0.08159368485212326,0.08159368485212326,0.0812421664595604,0.0812421664595604,686,174,174,988,185,0,0,True,True,4,4
"0,1,4,20,40",0.05884689465165138,0.06777853518724442,0,0,True,0.0683891698718071,0.0683891698718071,0.0683891698718071,0.06520745158195496,0.06520745158195496,1721,452,452,2892,483,0,0,True,True,2,0
"0,1,4,33,40",0.037620510905981064,0.05088320001959801,0,0,True,0.04922529682517052,0.04745044931769371,0.04745044931769371,0.05681360885500908,0.05681360885500908,7257,2329,2329,4962,864,11,0,False,False,2,3
"0,1,5,7,11",0.03553606942296028,0.05006225407123566,0,9,False,0.06611696630716324,0.03248583897948265,0.06611696630716324,0.05597468465566635,0.035611554980278015,2018,1196,522,5287,791,0,0,False,True,1,1
"0,1,5,7,20",0.053335096687078476,0.053995225578546524,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,2,2
"0,1,5,7,42",0.052250348031520844,0.033115871250629425,0,0,True,0.06872578710317612,0.06872578710317612,0.06872578710317612,0.0673573911190033,0.0673573911190033,1661,436,436,2498,413,0,0,True,True,1,4
"0,1,5,11,14",0.048367928713560104,0.0652858167886734,0,0,True,0.1001286432147026,0.1001286432147026,0.1001286432147026,0.06907454133033752,0.06907454133033752,181,52,52,2237,385,0,0,True,True,2,2
"0,1,5,11,17",0.036741264164447784,0.05174505338072777,9,9,True,0.06611696630716324,0.026674002408981323,0.026674002408981323,0.05597468465566635,0.03228522837162018,2018,2487,2487,5287,1195,0,0,False,False,0,0
"0,1,5,11,42",0.06340543925762177,0.056596044450998306,0,0,True,0.06872578710317612,0.06872578710317612,0.06872578710317612,0.059720467776060104,0.059720467776060104,1661,436,436,4112,704,0,0,True,True,1,3
"0,1,5,14,19",0.05226410925388336,0.06429879367351532,0,0,True,0.07223083823919296,0.07223083823919296,0.07223083823919296,0.07462287694215775,0.07462287694215775,1290,338,338,1559,279,0,0,True,True,2,2
"0,1,5,14,20",0.05339958518743515,0.061622124165296555,0,0,True,0.07108242809772491,0.07108242809772491,0.07108242809772491,0.07617403566837311,0.07617403566837311,1411,384,384,1382,255,0,0,True,True,2,1
"0,1,5,14,31",0.05582624301314354,0.04909874498844147,11,0,False,0.07044610381126404,0.06601496785879135,0.07044610381126404,0.07361534982919693,0.05847029387950897,1486,528,457,1664,759,11,11,False,True,0,2
"0,1,5,14,32",0.05582616850733757,0.049095816910266876,11,0,False,0.07044610381126404,0.06601370871067047,0.07044610381126404,0.07361301779747009,0.05846823751926422,1486,529,457,1665,760,11,11,False,True,0,2
"0,1,5,14,33",0.04883585870265961,0.05110401287674904,11,0,False,0.07431305944919586,0.06867355108261108,0.07431305944919586,0.08175916969776154,0.056403353810310364,1124,438,350,958,889,11,11,False,True,2,2
"0,1,5,14,37",0.06572840362787247,0.04991220682859421,11,11,True,0.07044610381126404,0.07044610381126404,0.07044610381126404,0.0598275288939476,0.0598275288939476,1486,457,457,4079,1246,11,11,True,True,0,0
"0,1,5,17,20",0.05676722899079323,0.05619382485747337,0,0,True,0.08462673425674438,0.08462673425674438,0.08462673425674438,0.08706922084093094,0.08706922084093094,553,146,146,690,127,0,0,True,True,2,2
"0,1,5,17,42",0.05092521756887436,0.0347970575094223,0,0,True,0.06872578710317612,0.06872578710317612,0.06872578710317612,0.06292954087257385,0.06292954087257385,1661,436,436,3352,566,0,0,True,True,1,4
"0,1,5,19,31",0.03900395333766937,0.050639864057302475,0,0,True,0.07907407730817795,0.07907407730817795,0.07907407730817795,0.07892404496669769,0.07892404496669769,803,206,206,1157,218,0,0,True,True,2,2
"0,1,5,19,32",0.039002031087875366,0.05063818767666817,0,0,True,0.0790802612900734,0.0790802612900734,0.0790802612900734,0.07892810553312302,0.07892810553312302,802,205,205,1156,217,0,0,True,True,2,2
"0,1,5,20,31",0.04279179871082306,0.05452781543135643,0,0,True,0.07172833383083344,0.07172833383083344,0.07172833383083344,0.07617403566837311,0.07617403566837311,1340,352,352,1382,255,0,0,True,True,2,0
"0,1,5,20,32",0.04278995096683502,0.05452611297369003,0,0,True,0.07172760367393494,0.07172760367393494,0.07172760367393494,0.07617403566837311,0.07617403566837311,1341,353,353,1382,255,0,0,True,True,2,0
"0,1,6,7,19",0.05776272714138031,0.049256205558776855,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,2,2
"0,1,6,7,20",0.06406228244304657,0.05361154302954674,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,2,2
"0,1,6,16,19",0.06510848551988602,0.04187709093093872,0,0,True,0.07610990107059479,0.07610990107059479,0.07610990107059479,0.08374226838350296,0.08374226838350296,987,252,252,847,159,0,0,True,True,4,4
"0,1,6,16,20",0.061573974788188934,0.038020070642232895,0,0,True,0.06858760118484497,0.06858760118484497,0.06858760118484497,0.0753168836236,0.0753168836236,1682,444,444,1467,261,0,0,True,True,3,4
"0,1,6,17,19",0.0595831573009491,0.05266928672790527,0,0,True,0.09545056521892548,0.09545056521892548,0.09545056521892548,0.10047104954719543,0.10047104954719543,266,73,73,310,58,0,0,True,True,2,2
"0,1,6,17,20",0.06585163623094559,0.05675491318106651,0,0,True,0.08462673425674438,0.08462673425674438,0.08462673425674438,0.08706922084093094,0.08706922084093094,553,146,146,690,127,0,0,True,True,2,2
"0,1,6,19,33",0.0542805939912796,0.0513792410492897,0,0,True,0.06613095104694366,0.06613095104694366,0.06613095104694366,0.06746210157871246,0.06746210157871246,2014,521,521,2480,412,0,0,True,True,2,2
"0,1,6,19,34",0.05533665418624878,0.048113610595464706,0,0,True,0.05402877926826477,0.05402877926826477,0.05402877926826477,0.05412975698709488,0.05412975698709488,5016,1348,1348,6030,1069,0,0,True,True,4,2
"0,1,6,19,35",0.05533665418624878,0.048113610595464706,0,0,True,0.05402877926826477,0.05402877926826477,0.05402877926826477,0.05412975698709488,0.05412975698709488,5017,1349,1349,6031,1070,0,0,True,True,4,2
"0,1,6,19,36",0.05533665418624878,0.048113610595464706,0,0,True,0.05402877926826477,0.05402877926826477,0.05402877926826477,0.05412975698709488,0.05412975698709488,5018,1350,1350,6032,1071,0,0,True,True,4,2
"0,1,6,20,31",0.05071190372109413,0.04718448966741562,0,0,True,0.07172833383083344,0.07172833383083344,0.07172833383083344,0.07468615472316742,0.07468615472316742,1340,352,352,1551,277,0,0,True,True,2,2
"0,1,6,20,32",0.05071213096380234,0.04718703404068947,0,0,True,0.07172760367393494,0.07172760367393494,0.07172760367393494,0.074690081179142,0.074690081179142,1341,353,353,1549,276,0,0,True,True,2,2
"0,1,6,20,33",0.05727484077215195,0.051976125687360764,0,0,True,0.06634940952062607,0.061318498104810715,0.061318498104810715,0.06289001554250717,0.06289001554250717,1987,745,745,3359,567,11,0,False,False,3,2
"0,1,6,20,34",0.05405924469232559,0.04940906539559364,0,0,True,0.056461840867996216,0.056461840867996216,0.056461840867996216,0.05156891420483589,0.05156891420483589,4176,1096,1096,7125,1305,0,0,True,True,4,2
"0,1,6,20,35",0.05405924469232559,0.04940906539559364,0,0,True,0.056461840867996216,0.056461840867996216,0.056461840867996216,0.05156891420483589,0.05156891420483589,4177,1097,1097,7126,1306,0,0,True,True,4,2
"0,1,6,20,36",0.05405924469232559,0.04940906539559364,0,0,True,0.056461840867996216,0.056461840867996216,0.056461840867996216,0.05156891420483589,0.05156891420483589,4178,1098,1098,7127,1307,0,0,True,True,4,2
"0,1,6,39,40",0.023526595905423164,0.06748870760202408,4,4,True,0.05494558811187744,0.02574012242257595,0.02574012242257595,0.03001011721789837,0.03001011721789837,4710,10005,10005,32068,5810,11,4,False,False,1,4
"0,1,7,9,10",0.04866247624158859,0.05696319416165352,0,0,True,0.1068163737654686,0.023277508094906807,0.023277508094906807,0.10853380709886551,0.025871234014630318,86,19717,19717,188,11400,4,4,False,False,1,1
"0,1,7,9,14",0.07811785489320755,0.0947653129696846,11,11,True,0.13492651283740997,0.13492651283740997,0.13492651283740997,0.10760226100683212,0.10760226100683212,21,4,4,202,17,11,11,True,True,4,4
"0,1,7,9,19",0.10229422897100449,0.14300578832626343,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,1,1
"0,1,7,9,20",0.08824928849935532,0.12257033586502075,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,1,1
"0,1,7,10,18",0.05886015295982361,0.05970524996519089,0,0,True,0.1068163737654686,0.0232519693672657,0.0232519693672657,0.10853380709886551,0.026334621012210846,86,19757,19757,188,10892,4,4,False,False,0,0
"0,1,7,10,20",0.03517523780465126,0.05525652691721916,7,7,True,0.1068163737654686,0.07700217515230179,0.07700217515230179,0.10853380709886551,0.09764065593481064,86,19,19,188,28,4,4,False,False,0,0
"0,1,7,10,29",0.06488929688930511,0.027266262099146843,7,8,False,0.1068163737654686,0.031248416751623154,0.07700217515230179,0.10853380709886551,0.06011435016989708,86,1491,19,188,216,4,4,False,False,0,0
"0,1,7,11,12",0.06028582155704498,0.038661349564790726,11,11,True,0.043986205011606216,0.043503791093826294,0.043503791093826294,0.05907890200614929,0.05907890200614929,10914,4360,4360,4301,1339,3,11,False,False,3,3
"0,1,7,12,19",0.06036324426531792,0.0552840381860733,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,1,1
"0,1,7,12,20",0.05442603677511215,0.048865143209695816,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,1,1
"0,1,7,13,14",0.06110251694917679,0.05240371450781822,11,11,True,0.09518261253833771,0.09518261253833771,0.09518261253833771,0.10525000840425491,0.10525000840425491,271,80,80,230,24,11,11,True,True,1,1
"0,1,7,13,19",0.0743517205119133,0.07325584441423416,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,1,1
"0,1,7,13,20",0.061848234385252,0.057006847113370895,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,1,1
"0,1,7,14,18",0.08834405988454819,0.09488190710544586,11,11,True,0.12864531576633453,0.12864531576633453,0.12864531576633453,0.10525000840425491,0.10525000840425491,29,5,5,230,24,11,11,True,True,4,0
"0,1,7,14,19",0.056101176887750626,0.05789022147655487,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,1,1
"0,1,7,14,20",0.06457874178886414,0.06468912214040756,0,0,True,0.09518261253833771,0.08890501409769058,0.08890501409769058,0.10525000840425491,0.09587953239679337,271,102,102,230,70,11,11,False,False,0,0
"0,1,7,14,31",0.06306886672973633,0.06613219529390335,11,11,True,0.09518261253833771,0.09518261253833771,0.09518261253833771,0.10525000840425491,0.10525000840425491,271,80,80,230,24,11,11,True,True,0,0
"0,1,7,14,32",0.06306744366884232,0.06613119691610336,11,11,True,0.09518261253833771,0.09518261253833771,0.09518261253833771,0.10525000840425491,0.10525000840425491,271,80,80,230,24,11,11,True,True,0,0
"0,1,7,14,33",0.059849392622709274,0.05858095735311508,11,11,True,0.09518261253833771,0.09518261253833771,0.09518261253833771,0.10525000840425491,0.10525000840425491,271,80,80,230,24,11,11,True,True,0,0
"0,1,7,14,40",0.053402625024318695,0.06373811513185501,0,0,True,0.09518261253833771,0.0704483762383461,0.0704483762383461,0.10525000840425491,0.05601081997156143,271,402,402,230,918,11,11,False,False,0,0
"0,1,7,15,19",0.057706303894519806,0.05374481528997421,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,1,1
"0,1,7,15,20",0.06316360831260681,0.060510456562042236,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,1,1
"0,1,7,15,42",0.05191788449883461,0.02875150926411152,0,0,True,0.07246069610118866,0.07246069610118866,0.07246069610118866,0.061976175755262375,0.061976175755262375,1266,332,332,3577,609,0,0,True,True,2,4
"0,1,7,17,19",0.05867459625005722,0.062227342277765274,0,0,True,0.14757917821407318,0.14757917821407318,0.14757917821407318,0.15410646796226501,0.15410646796226501,4,1,1,34,1,0,0,True,True,4,4
"0,1,7,17,20",0.05530048534274101,0.054689958691596985,0,0,True,0.14337997138500214,0.14337997138500214,0.14337997138500214,0.1405923068523407,0.1405923068523407,6,2,2,55,4,0,0,True,True,4,4
"0,1,7,18,19",0.09275330603122711,0.133674755692482,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,1,1
"0,1,7,18,20",0.08029162883758545,0.11465980857610703,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,1,1
"0,1,7,19,31",0.0790650025010109,0.08843181282281876,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,0,0
"0,1,7,19,32",0.07906407862901688,0.0884326919913292,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,0,0
"0,1,7,19,33",0.06983495503664017,0.08336746692657471,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,0,0
"0,1,7,19,40",0.06259550899267197,0.06402881443500519,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,0,0
"0,1,7,19,42",0.05658745393157005,0.05343248322606087,0,0,True,0.10873395949602127,0.10873395949602127,0.10873395949602127,0.11550533026456833,0.11550533026456833,74,27,27,136,24,0,0,True,True,4,0
"0,1,7,19,43",0.0438520610332489,0.061712902039289474,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,0,0
"0,1,7,20,31",0.06917370110750198,0.08217603713274002,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,0,0
"0,1,7,20,32",0.06917200237512589,0.0821743756532669,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,0,0
"0,1,7,20,33",0.06007278710603714,0.07066283375024796,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,0,0
"0,1,7,20,40",0.0599772110581398,0.06477884948253632,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,0,0
"0,1,7,20,43",0.049770306795835495,0.06714417040348053,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,0,0
"0,1,8,10,26",0.02437811903655529,0.05294841527938843,8,7,False,0.03383791074156761,0.023082206025719643,0.03383791074156761,0.06472611427307129,0.06472611427307129,24719,3124,1083,2981,219,8,7,False,True,3,2
