数据,目标,估计器,τ,δ,规则,关键数,标记数,召回,精确,R精确率
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.5,0.0,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,recon+random@2_cy,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,0.9523809523809523
NEM,Y_机组出力_BW01,random,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,random,0.5,0.0,扫描—认证标记,30,29,0.9666666666666667,1.0,1.0
NEM,Y_机组出力_BW01,random,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,random,0.5,0.05,扫描—认证标记,30,17,0.5666666666666667,1.0,1.0
NEM,Y_机组出力_BW01,random,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,random,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,random,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,random,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,random,0.5,0.0,扫描标记（估计）,22,20,0.9090909090909091,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random,0.5,0.0,扫描—认证标记,22,20,0.9090909090909091,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random,0.5,0.05,扫描标记（估计）,22,29,0.9545454545454546,0.7241379310344828,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random,0.5,0.05,扫描—认证标记,22,6,0.2727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,random,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,random,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,random,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,random,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,random,0.5,0.0,扫描—认证标记,30,29,0.9666666666666667,1.0,1.0
NEM,Y_机组出力_PPCCGT,random,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,random,0.5,0.05,扫描—认证标记,30,27,0.9,1.0,1.0
NEM,Y_机组出力_PPCCGT,random,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,random,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,random,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,random,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,reconE,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,reconE,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,reconE,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,reconE,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,reconE,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,reconE,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,reconE,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,reconE,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE,0.5,0.0,扫描标记（估计）,22,7,0.2727272727272727,0.8571428571428571,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE,0.5,0.0,扫描—认证标记,22,6,0.2727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,reconE,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE,0.5,0.05,扫描—认证标记,30,24,0.8,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,reconE,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,reconE,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,reconE,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,uniformE,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,uniformE,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,uniformE,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,uniformE,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,uniformE,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,uniformE,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,uniformE,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,uniformE,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE,0.5,0.0,扫描标记（估计）,22,5,0.22727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE,0.5,0.0,扫描—认证标记,22,5,0.22727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,uniformE,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE,0.5,0.05,扫描—认证标记,30,27,0.9,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,uniformE,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,uniformE,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,uniformE,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,uniformE_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,uniformE_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,uniformE_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,uniformE_cy,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,uniformE_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,uniformE_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,uniformE_cy,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,uniformE_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.5,0.0,扫描标记（估计）,22,5,0.22727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.5,0.0,扫描—认证标记,22,5,0.22727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,uniformE_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.5,0.05,扫描—认证标记,30,24,0.8,1.0,1.0
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,uniformE_cy,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,random_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,random_cy,0.5,0.0,扫描—认证标记,30,29,0.9666666666666667,1.0,1.0
NEM,Y_机组出力_BW01,random_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,random_cy,0.5,0.05,扫描—认证标记,30,17,0.5666666666666667,1.0,1.0
NEM,Y_机组出力_BW01,random_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,random_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,random_cy,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,random_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,random_cy,0.5,0.0,扫描标记（估计）,22,21,0.9090909090909091,0.9523809523809523,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random_cy,0.5,0.0,扫描—认证标记,22,20,0.9090909090909091,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random_cy,0.5,0.05,扫描标记（估计）,22,15,0.5454545454545454,0.8,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random_cy,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,random_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,random_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,random_cy,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,random_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,random_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,random_cy,0.5,0.0,扫描—认证标记,30,29,0.9666666666666667,1.0,1.0
NEM,Y_机组出力_PPCCGT,random_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,random_cy,0.5,0.05,扫描—认证标记,30,26,0.8666666666666667,1.0,1.0
NEM,Y_机组出力_PPCCGT,random_cy,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,random_cy,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,random_cy,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,random_cy,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,reconE_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,reconE_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,reconE_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,reconE_cy,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,reconE_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,reconE_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,reconE_cy,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,reconE_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE_cy,0.5,0.0,扫描标记（估计）,22,9,0.3181818181818182,0.7777777777777778,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE_cy,0.5,0.0,扫描—认证标记,22,6,0.2727272727272727,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE_cy,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE_cy,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,reconE_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE_cy,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,reconE_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,reconE_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE_cy,0.5,0.05,扫描—认证标记,30,24,0.8,1.0,1.0
NEM,Y_机组出力_PPCCGT,reconE_cy,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,reconE_cy,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,reconE_cy,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,reconE_cy,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,recon+random_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random_cy,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,recon+random_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,recon+random_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,recon+random_cy,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,recon+random_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.5,0.0,扫描标记（估计）,22,27,0.9545454545454546,0.7777777777777778,0.8181818181818182
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.5,0.0,扫描—认证标记,22,21,0.9545454545454546,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.5,0.05,扫描标记（估计）,22,16,0.5909090909090909,0.8125,0.8181818181818182
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.8181818181818182
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.5,0.05,扫描—认证标记,30,26,0.8666666666666667,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,recon+random_cy,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,recon+random@1_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@1_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@1_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@1_cy,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@1_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,recon+random@1_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,recon+random@1_cy,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,recon+random@1_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.5,0.0,扫描标记（估计）,22,6,0.2727272727272727,1.0,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.5,0.0,扫描—认证标记,22,6,0.2727272727272727,1.0,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@1_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.5,0.05,扫描—认证标记,30,24,0.8,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,recon+random@1_cy,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_BW01,recon+random@2_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@2_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@2_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@2_cy,0.5,0.05,扫描—认证标记,30,18,0.6,1.0,1.0
NEM,Y_机组出力_BW01,recon+random@2_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_BW01,recon+random@2_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_BW01,recon+random@2_cy,0.7,0.05,扫描标记（估计）,0,3,,0.0,
NEM,Y_机组出力_BW01,recon+random@2_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.5,0.0,扫描标记（估计）,22,7,0.2727272727272727,0.8571428571428571,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.5,0.0,扫描—认证标记,22,6,0.2727272727272727,1.0,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.5,0.05,扫描标记（估计）,22,16,0.6363636363636364,0.875,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0,0.7727272727272727
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.7,0.0,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.7,0.0,扫描—认证标记,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.7,0.05,扫描标记（估计）,0,0,,,
NEM,Y_机组出力_TUMUT3,recon+random@2_cy,0.7,0.05,扫描—认证标记,0,0,,,
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.5,0.0,扫描—认证标记,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.5,0.05,扫描—认证标记,30,24,0.8,1.0,1.0
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.7,0.0,扫描—认证标记,10,10,1.0,1.0,0.9
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334,0.9
NEM,Y_机组出力_PPCCGT,recon+random@2_cy,0.7,0.05,扫描—认证标记,10,10,1.0,1.0,0.9
PJM-load,Y_metered_load_mw,random,0.5,0.0,扫描标记（估计）,22,22,1.0,1.0,1.0
PJM-load,Y_metered_load_mw,random,0.5,0.0,扫描—认证标记,22,22,1.0,1.0,1.0
PJM-load,Y_metered_load_mw,random,0.5,0.05,扫描标记（估计）,22,22,1.0,1.0,1.0
PJM-load,Y_metered_load_mw,random,0.5,0.05,扫描—认证标记,22,19,0.8636363636363636,1.0,1.0
PJM-load,Y_metered_load_mw,random,0.7,0.0,扫描标记（估计）,14,10,0.7142857142857143,1.0,0.7857142857142857
PJM-load,Y_metered_load_mw,random,0.7,0.0,扫描—认证标记,14,10,0.7142857142857143,1.0,0.7857142857142857
PJM-load,Y_metered_load_mw,random,0.7,0.05,扫描标记（估计）,14,16,1.0,0.875,0.7857142857142857
PJM-load,Y_metered_load_mw,random,0.7,0.05,扫描—认证标记,14,12,0.8571428571428571,1.0,0.7857142857142857
PJM-load,Y_metered_load_mw,reconE,0.5,0.0,扫描标记（估计）,22,22,1.0,1.0,1.0
PJM-load,Y_metered_load_mw,reconE,0.5,0.0,扫描—认证标记,22,22,1.0,1.0,1.0
PJM-load,Y_metered_load_mw,reconE,0.5,0.05,扫描标记（估计）,22,22,1.0,1.0,1.0
PJM-load,Y_metered_load_mw,reconE,0.5,0.05,扫描—认证标记,22,15,0.6818181818181818,1.0,1.0
PJM-load,Y_metered_load_mw,reconE,0.7,0.0,扫描标记（估计）,14,11,0.7857142857142857,1.0,0.8571428571428571
PJM-load,Y_metered_load_mw,reconE,0.7,0.0,扫描—认证标记,14,11,0.7857142857142857,1.0,0.8571428571428571
PJM-load,Y_metered_load_mw,reconE,0.7,0.05,扫描标记（估计）,14,20,1.0,0.7,0.8571428571428571
PJM-load,Y_metered_load_mw,reconE,0.7,0.05,扫描—认证标记,14,12,0.8571428571428571,1.0,0.8571428571428571
