数据,目标,变体,V误差_3,V误差_4,M2误差,Γ2误差,M2排序,认证前1,认证前3,背景召回前1,背景召回前3,失效单元,有效维度
RTS-GMLC,机组出力_221_CC_1,reconE_cy,0.007184767164289951,0.026941534131765366,0.006434133742004633,0.004842949099838734,0.9980237154150198,0.9954875707626343,0.998338520526886,0.6521739130434783,0.9565217391304348,,
RTS-GMLC,线路潮流_C35,reconE_cy,0.007640643045306206,0.007970718666911125,0.010339931584894657,0.010550674982368946,0.9822134387351777,0.9945434927940369,0.9991927146911621,0.5652173913043478,0.8695652173913043,,
RTS-GMLC,机组出力_223_STEAM_3,recon+random@1_cy,0.004906882531940937,0.013241375796496868,0.010564220137894154,0.009790383279323578,0.9891304347826088,0.9891573786735535,0.9931074380874634,0.6086956521739131,0.8260869565217391,,
RTS-GMLC,机组出力_221_CC_1,recon+random@1_cy,0.006949564907699823,0.02852565050125122,0.0073237367905676365,0.005650737322866917,0.9950592885375494,0.9966816306114197,0.9980772733688354,0.782608695652174,0.9130434782608695,,
RTS-GMLC,线路潮流_C35,recon+random@1_cy,0.007363487500697374,0.007281218655407429,0.009472883306443691,0.00947759859263897,0.9841897233201581,0.9957312345504761,0.9993124008178711,0.6086956521739131,0.8695652173913043,,
RTS-GMLC,机组出力_223_STEAM_3,recon+random@2_cy,0.005339417140930891,0.012923001311719418,0.011580701917409897,0.010321724228560925,0.9901185770750988,0.9901595115661621,0.9918123483657837,0.7391304347826086,0.7391304347826086,,
RTS-GMLC,机组出力_221_CC_1,recon+random@2_cy,0.008027360774576664,0.029179707169532776,0.008736101910471916,0.006637152284383774,0.9950592885375494,0.995844841003418,0.998338520526886,0.6956521739130435,0.9565217391304348,,
RTS-GMLC,线路潮流_C35,recon+random@2_cy,0.007315555587410927,0.0071826656349003315,0.00823761522769928,0.007273132912814617,0.9901185770750988,0.9943312406539917,0.9988394379615784,0.5652173913043478,0.782608695652174,,
NEM,机组出力_BW01,random,0.010308930650353432,0.026506979018449783,0.021476805210113525,0.02259468473494053,0.9675194660734149,0.9281019568443298,0.9460155963897705,0.3333333333333333,0.43333333333333335,0.16865234375,3.694708479898863
NEM,机组出力_TUMUT3,random,0.016521267592906952,0.024013757705688477,0.030676165595650673,0.03306357190012932,0.921690767519466,0.827275276184082,0.9130226373672485,0.16666666666666666,0.26666666666666666,0.16865234375,3.694708479898863
NEM,机组出力_PPCCGT,random,0.012771792709827423,0.029653653502464294,0.022132953628897667,0.026713354513049126,0.8985539488320357,0.7724435925483704,0.9949877262115479,0.4,0.8333333333333334,0.16865234375,3.694708479898863
NEM,机组出力_BW01,uniform,0.010934287682175636,0.024391597136855125,0.018482012674212456,0.019467221572995186,0.9755283648498332,0.9324637055397034,0.9543946981430054,0.3333333333333333,0.4666666666666667,0.13756510416666667,1.684746933219441
NEM,机组出力_TUMUT3,uniform,0.01686694286763668,0.025178540498018265,0.03070063702762127,0.032700665295124054,0.9159065628476083,0.8438992500305176,0.9057445526123047,0.23333333333333334,0.36666666666666664,0.13756510416666667,1.684746933219441
NEM,机组出力_PPCCGT,uniform,0.01455375924706459,0.031609635800123215,0.009560784325003624,0.008908110670745373,0.9937708565072303,0.9921563267707825,0.9977205395698547,0.8,0.9333333333333333,0.13756510416666667,1.684746933219441
NEM,机组出力_BW01,small,0.012492166832089424,0.02900044247508049,0.02380296029150486,0.02491200901567936,0.9724137931034482,0.9217560887336731,0.950053870677948,0.3,0.4666666666666667,0.17161458333333332,1.7112735001640098
NEM,机组出力_TUMUT3,small,0.017406146973371506,0.02707107551395893,0.03355494514107704,0.03492312505841255,0.9172413793103448,0.7866231799125671,0.8961808681488037,0.23333333333333334,0.43333333333333335,0.17161458333333332,1.7112735001640098
NEM,机组出力_PPCCGT,small,0.016139401122927666,0.0361664853990078,0.009998014196753502,0.009181426838040352,0.9924360400444937,0.9894346594810486,0.9970864653587341,0.7,0.9333333333333333,0.17161458333333332,1.7112735001640098
NEM,机组出力_BW01,recon,0.006803290452808142,0.014921730384230614,0.01937599666416645,0.020456360653042793,0.9706340378197997,0.9388339519500732,0.9557546973228455,0.3333333333333333,0.5333333333333333,0.11565755208333334,3.125894581963111
NEM,机组出力_TUMUT3,recon,0.016021687537431717,0.020447220653295517,0.027347587049007416,0.02910604700446129,0.8954393770856508,0.8407122492790222,0.91178959608078,0.3,0.36666666666666664,0.11565755208333334,3.125894581963111
NEM,机组出力_PPCCGT,recon,0.009231625124812126,0.019972102716565132,0.007720145862549543,0.006870864890515804,0.992880978865406,0.9941873550415039,0.9956826567649841,0.8,0.8666666666666667,0.11565755208333334,3.125894581963111
NEM,机组出力_BW01,small_recon,0.007865209132432938,0.01778308115899563,0.016927845776081085,0.01842111349105835,0.9764182424916574,0.92554771900177,0.9544272422790527,0.3333333333333333,0.5,0.109375,2.894816291940795
NEM,机组出力_TUMUT3,small_recon,0.01586596667766571,0.022013362497091293,0.031209377571940422,0.03353281319141388,0.8941045606229142,0.8455755114555359,0.9023193120956421,0.26666666666666666,0.43333333333333335,0.109375,2.894816291940795
NEM,机组出力_PPCCGT,small_recon,0.01074499636888504,0.023843582719564438,0.00960259698331356,0.009282724000513554,0.9964404894327029,0.9941543340682983,0.9962903261184692,0.8,0.9,0.109375,2.894816291940795
NEM,机组出力_BW01,uniform+random,0.007302232552319765,0.015354312025010586,0.01612589880824089,0.01728184148669243,0.9808676307007785,0.93088299036026,0.9473784565925598,0.4,0.5,,
NEM,机组出力_TUMUT3,uniform+random,0.016146499663591385,0.02015155740082264,0.026698101311922073,0.02864949032664299,0.9203559510567296,0.8471925854682922,0.9114279747009277,0.2,0.36666666666666664,,
NEM,机组出力_PPCCGT,uniform+random,0.009989985264837742,0.021210918202996254,0.006542899180203676,0.005384643562138081,0.9933259176863181,0.9945468902587891,0.996351957321167,0.7666666666666667,0.9,,
NEM,机组出力_BW01,recon+random,0.006071652751415968,0.010925873182713985,0.01664060540497303,0.01755588874220848,0.9759733036707454,0.936170756816864,0.9559773206710815,0.3333333333333333,0.6,,
NEM,机组出力_TUMUT3,recon+random,0.016117487102746964,0.019552553072571754,0.025054067373275757,0.027198171243071556,0.8949944382647386,0.830528736114502,0.9060790538787842,0.23333333333333334,0.36666666666666664,,
NEM,机组出力_PPCCGT,recon+random,0.008235505782067776,0.015801208093762398,0.005295447073876858,0.0054702917113900185,0.9951056729699665,0.9945231080055237,0.996351957321167,0.7666666666666667,0.9,,
NEM,机组出力_BW01,uniformE,0.007900865748524666,0.01788388006389141,0.017725590616464615,0.01921944133937359,0.9773081201334817,0.9341974258422852,0.9579046964645386,0.36666666666666664,0.5333333333333333,,
NEM,机组出力_TUMUT3,uniformE,0.01624581217765808,0.02198215201497078,0.027080588042736053,0.02980159781873226,0.9136818687430479,0.8320433497428894,0.9052654504776001,0.16666666666666666,0.36666666666666664,,
NEM,机组出力_PPCCGT,uniformE,0.011253071948885918,0.024531209841370583,0.007569251116365194,0.007340786978602409,0.9942157953281423,0.9945789575576782,0.9960123896598816,0.7666666666666667,0.9,,
NEM,机组出力_BW01,reconE,0.005717036314308643,0.010488130152225494,0.0171318668872118,0.018569111824035645,0.9764182424916574,0.9380728602409363,0.9578655958175659,0.3333333333333333,0.5666666666666667,,
NEM,机组出力_TUMUT3,reconE,0.01613660901784897,0.01951490342617035,0.025812050327658653,0.027948113158345222,0.8981090100111234,0.841565728187561,0.9202784299850464,0.23333333333333334,0.36666666666666664,,
NEM,机组出力_PPCCGT,reconE,0.007725319359451532,0.01502673327922821,0.005553530063480139,0.004812377039343119,0.9942157953281423,0.9962049126625061,0.9970864653587341,0.8666666666666667,0.9333333333333333,,
NEM,机组出力_BW01,random_cy,0.009803499095141888,0.0241667740046978,0.021235935389995575,0.02235601469874382,0.9675194660734149,0.932543158531189,0.9493306875228882,0.36666666666666664,0.4666666666666667,0.16865234375,3.694708479898863
NEM,机组出力_TUMUT3,random_cy,0.016411082819104195,0.022227872163057327,0.029977865517139435,0.03239990398287773,0.9176863181312569,0.836685061454773,0.9147667288780212,0.16666666666666666,0.3333333333333333,0.16865234375,3.694708479898863
NEM,机组出力_PPCCGT,random_cy,0.011332239024341106,0.02542606182396412,0.007466140203177929,0.006563875358551741,0.9955506117908787,0.994840681552887,0.9963430166244507,0.8,0.8666666666666667,0.16865234375,3.694708479898863
NEM,机组出力_BW01,uniform_cy,0.010193049907684326,0.02331751585006714,0.022147374227643013,0.023252571001648903,0.9741935483870968,0.9383811354637146,0.9580206871032715,0.3,0.5,0.13756510416666667,1.684746933219441
NEM,机组出力_TUMUT3,uniform_cy,0.016580568626523018,0.02425878681242466,0.0302725862711668,0.03243763744831085,0.9092324805339266,0.8438992500305176,0.9076618552207947,0.23333333333333334,0.4,0.13756510416666667,1.684746933219441
NEM,机组出力_PPCCGT,uniform_cy,0.013548990711569786,0.029639242216944695,0.008731048554182053,0.00810111965984106,0.9933259176863181,0.9945027828216553,0.9977205395698547,0.8333333333333334,0.9333333333333333,0.13756510416666667,1.684746933219441
NEM,机组出力_BW01,recon_cy,0.006725684739649296,0.01473516970872879,0.018954940140247345,0.020242776721715927,0.9706340378197997,0.9388339519500732,0.9557546973228455,0.3333333333333333,0.5333333333333333,0.11565755208333334,3.125894581963111
NEM,机组出力_TUMUT3,recon_cy,0.015980752184987068,0.02015380747616291,0.027071643620729446,0.028870247304439545,0.8949944382647386,0.8400541543960571,0.9131185412406921,0.26666666666666666,0.36666666666666664,0.11565755208333334,3.125894581963111
NEM,机组出力_PPCCGT,recon_cy,0.008842911571264267,0.01892681047320366,0.007545365020632744,0.0069368015974760056,0.9937708565072303,0.9941873550415039,0.9956826567649841,0.8,0.8666666666666667,0.11565755208333334,3.125894581963111
NEM,机组出力_BW01,recon+random_cy,0.005957266315817833,0.01052167546004057,0.016491645947098732,0.017424527555704117,0.9759733036707454,0.9372683763504028,0.9578129053115845,0.3333333333333333,0.6,,
NEM,机组出力_TUMUT3,recon+random_cy,0.016199905425310135,0.019195901229977608,0.024664895609021187,0.02685229294002056,0.8989988876529477,0.8384855389595032,0.9159056544303894,0.23333333333333334,0.4,,
NEM,机组出力_PPCCGT,recon+random_cy,0.007840869948267937,0.014444205909967422,0.00520305847749114,0.004981034900993109,0.9951056729699665,0.9945231080055237,0.996351957321167,0.7666666666666667,0.9,,
NEM,机组出力_BW01,uniformE_cy,0.007606316823512316,0.017545728012919426,0.019124848768115044,0.02068481221795082,0.9719688542825362,0.9402211308479309,0.9528394341468811,0.36666666666666664,0.5333333333333333,,
NEM,机组出力_TUMUT3,uniformE_cy,0.01611790806055069,0.021519983187317848,0.028475172817707062,0.030986569821834564,0.9136818687430479,0.8466331362724304,0.919812798500061,0.2,0.4,,
NEM,机组出力_PPCCGT,uniformE_cy,0.010670008137822151,0.023635778576135635,0.00743652880191803,0.00700768269598484,0.9942157953281423,0.9945789575576782,0.9960123896598816,0.7666666666666667,0.9,,
