数据,目标,变体,集合误差,偏差,字段最大高估,边际99分位,M2偏差,M2误差,边际误差,共模相关,共模占比,严重低估,严重高估
RTS-GMLC,线路潮流_C35,recon+random_cy,0.007520418614149094,-0.005622275173664093,0.02715012989938259,0.02350461855530739,-0.005680789118227752,0.01028461948685024,0.007633944042026997,0.2869068488528076,0.28579920530319214,0,0
RTS-GMLC,机组出力_223_STEAM_3,uniformE_cy,0.009923453442752361,-0.009129086509346962,0.05120420083403587,0.0639507994055748,-0.018054544925689697,0.01873268510984338,0.008098368532955647,0.4732560331092178,0.47318291664123535,2,0
RTS-GMLC,机组出力_221_CC_1,uniformE_cy,0.008885609917342663,-0.008203132078051567,0.06833868473768234,0.021324891597032547,-0.009101146589154783,0.009393113462821297,0.0067449999041855335,0.37978023081271006,0.36119550466537476,4,0
RTS-GMLC,线路潮流_C35,uniformE_cy,0.012399152852594852,-0.01149681769311428,0.022944405674934387,0.01977178268134594,-0.008741534922433935,0.01048166142857593,0.009882061742246151,0.3551046670987276,0.3230588436126709,0,0
RTS-GMLC,机组出力_223_STEAM_3,reconE_cy,0.00543461786583066,-0.003858317621052265,0.06101240962743759,0.031447529792785645,-0.010079116924949314,0.011708920416624649,0.0056311567313969135,0.38761326414864083,0.3866909146308899,2,0
RTS-GMLC,机组出力_221_CC_1,reconE_cy,0.007184767164289951,-0.0057508195750415325,0.07240205258131027,0.014677281491458416,-0.003992952730344689,0.006434133519297061,0.005874245893210173,0.3475287003236379,0.3347325325012207,4,0
RTS-GMLC,线路潮流_C35,reconE_cy,0.007640643045306206,-0.005774796474725008,0.025220515206456184,0.02126515842974186,-0.007546634777732517,0.010339931301448656,0.007635942194610834,0.27437483172951466,0.2617783546447754,0,0
RTS-GMLC,机组出力_223_STEAM_3,recon+random@1_cy,0.004906882531940937,-0.003155925078317523,0.03062446229159832,0.027978580445051193,-0.00806072807830313,0.010564219044602436,0.005254998337477446,0.3879526153469345,0.3874305486679077,1,0
RTS-GMLC,机组出力_221_CC_1,recon+random@1_cy,0.006949564907699823,-0.005404605995863676,0.0334002748131752,0.014543282799422741,-0.002871714208437049,0.007323741912841797,0.005857038777321577,0.3313606813304273,0.3203986883163452,0,0
RTS-GMLC,线路潮流_C35,recon+random@1_cy,0.007363487500697374,-0.005500634200870991,0.02670176699757576,0.022955982014536858,-0.006672196090221405,0.009472882942013119,0.00747108506038785,0.297752725350305,0.29711800813674927,0,0
RTS-GMLC,机组出力_223_STEAM_3,recon+random@2_cy,0.005339417140930891,-0.003372825914993882,0.028105640783905983,0.02815347909927368,-0.009182622899179873,0.011580700459687607,0.005661288276314735,0.3925653002153301,0.39249223470687866,0,0
RTS-GMLC,机组出力_221_CC_1,recon+random@2_cy,0.008027360774576664,-0.006375997327268124,0.028533099219202995,0.01509859785437584,-0.0051199644804000854,0.008736101829487345,0.006115038879215717,0.3543382024884484,0.3467148542404175,2,0
