general_field,mask_norm,mask_rank,single_norm,single_rank,attn_norm,attn_rank,ig_norm,ig_rank,gate_norm,gate_rank,shapley_norm,shapley_rank,lrp_norm,lrp_rank,avg_rank
gross_sched_interchange_mw,0.1205149215966656,12,0.0,38,0.37347436721694754,15,0.17774046608087224,12,0.2888942433855821,5,0.09355455371590488,14,0.2397518070759008,12,15.428571428571429
gen_fuel_coal_pct,0.02585119004362969,19,0.034893677131433196,14,0.22913782204130623,21,0.0698766023551124,25,0.2717836876077621,9,0.06466119592072482,15,0.11359731277964032,21,17.714285714285715
gen_fuel_multiple_fuels_mw,0.04119990743172449,17,0.011025650459265922,22,0.24661776109440006,19,0.08056258492754215,22,0.15918839644271082,17,0.06060218374842452,16,0.13484475090820783,17,18.571428571428573
gen_fuel_oil_mw,0.042521819603340234,16,0.0076156372586863,23,0.29695276614768623,17,0.10056952047867372,20,0.08671874573239573,26,0.05074790688877225,17,0.15969813494881815,15,19.142857142857142
da_as_mcp_synchronized_reserve,0.011101199666395417,24,0.012938978078915548,20,0.3193832577108351,16,0.040056982166827744,30,0.2870642181989328,6,0.029922323696351782,21,0.07079254530650912,27,20.571428571428573
gen_fuel_wind_mw,0.029689981868668332,18,0.0004975953416941572,34,0.054593180861527556,30,0.12043499599153618,16,0.27345178145233906,8,0.03768373590527892,20,0.12716451372410045,19,20.714285714285715
gen_fuel_other_renewables_pct,0.01753686891904447,22,0.018796897391327404,17,0.14359061086498048,25,0.11596962233360011,17,0.07825400387315473,27,0.020682289337690073,24,0.13164712421244187,18,21.428571428571427
gen_fuel_multiple_fuels_pct,0.019038685128042146,21,0.03350036107586132,15,0.24977754471474223,18,0.0763123570802489,24,0.03865656418444048,33,0.0402227731831597,19,0.10406054488277793,22,21.714285714285715
gen_fuel_other_renewables_mw,0.02154760749441404,20,0.020398662632106292,16,0.08457324866811239,27,0.10968580983754986,19,0.004046950038139409,36,0.026776024714493567,22,0.1015411477691246,23,23.285714285714285
gen_fuel_hydro_mw,0.010482137466217524,26,0.005349767487048672,25,0.14419861559634464,24,0.1540030000598151,14,0.06727325187457761,28,0.011291010409145551,28,0.11970258002924948,20,23.571428571428573
gen_fuel_oil_pct,0.010238552674516562,27,0.013726461713895976,19,0.2303578286273355,20,0.07706819107003468,23,0.05539477947861648,30,0.020161115831185877,25,0.09050925580457563,24,24.0
gen_fuel_gas_pct,0.013289140991297512,23,0.002242493169262928,30,0.060004075144073146,29,0.06306309245844477,26,0.14697513301815243,20,0.01232744544749039,27,0.08336062126949038,26,25.857142857142858
da_as_mcp_primary_reserve,0.005557504742535869,29,0.0117268533485162,21,0.20982902612550536,22,0.03227884981608409,34,0.12782546812273046,22,0.022674146881473723,23,0.04811551439393512,31,26.0
gen_fuel_hydro_pct,0.003044990907025368,32,0.005560029213771385,24,0.039678530205492064,33,0.06123902613036451,27,0.2863687393630817,7,0.004370639639164089,32,0.06668687534646409,29,26.285714285714285
gen_fuel_wind_pct,0.010929602361160792,25,0.004940594878512805,26,0.03227958353587978,34,0.09316162346691846,21,0.03328834463604342,34,0.007933754565176011,29,0.09005328634053217,25,27.714285714285715
total_pjm_reg_purchases,0.0050093318369728666,30,0.0031764887443245025,29,0.06375577891788026,28,0.05784948720620531,28,0.04091890956469945,31,0.014247566263611398,26,0.05441716211706775,30,28.857142857142858
gen_fuel_solar_pct,0.0023244524110899137,35,0.0015386941362767526,32,0.043157218927670174,32,0.036816287710259396,32,0.22646342910319842,10,0.0023429976797258883,35,0.0695923211601338,28,29.142857142857142
rmccp,0.007997871191253232,28,0.00376952594116956,27,0.17514992671428153,23,0.033928893282499525,33,0.03982886975157054,32,0.003920783303107372,33,0.02930629237860377,35,30.142857142857142
total_pjm_rmccp_cr,0.004487171480646239,31,0.0020319868907950353,31,0.11456613417297519,26,0.026262290253145075,36,0.09527688598884201,25,0.0015437553413144207,39,0.024085819388685786,37,32.142857142857146
gen_fuel_storage_mw,0.002953619997512885,33,0.003547263116341976,28,0.024523706246488957,37,0.041213289346617166,29,0.06626011579259941,29,-0.0004896256969069563,41,0.031345035297762336,33,32.857142857142854
total_pjm_assigned_reg,0.0026786978858603853,34,0.0013191289198141772,33,0.030867467613308434,36,0.027565412503468896,35,0.0052658686050940096,35,0.007186188146608016,30,0.034483650917113605,32,33.57142857142857
gen_fuel_solar_mw,0.002005758932441843,36,0.0,38,0.0471623220626754,31,0.03717371918856769,31,0.0015326120895479665,37,0.006865221967104388,31,0.02961528740902922,34,34.0
total_pjm_loc_credit,0.001260239715994293,37,3.314661430136062e-06,37,0.007228254010997838,38,0.015645434327561904,39,0.2170433338409848,12,-0.0011754802114587652,43,0.019901980099461675,38,34.857142857142854
da_as_ss_mw_synchronized_reserve,0.0008162804448245947,38,3.378513049530075e-06,36,0.0,42,0.011846720079560499,41,0.0005013208405921298,42,0.0018070257688155972,37,0.01967447241860269,39,39.285714285714285
total_pjm_rmpcp_cr,0.00026721966574735077,43,0.0,38,0.03160439398383737,35,0.007987515268199245,43,0.001294855101929782,38,0.003148580627073811,34,0.007601577848701967,44,39.285714285714285
total_pjm_self_sched_reg,0.00039929997451511914,42,0.0,38,0.0017558910463168719,41,0.020349018578959904,37,0.0008445576014321452,41,-0.00208006237335617,44,0.025631788270391587,36,39.857142857142854
da_as_ss_mw_thirty_minutes_reserve,0.0007758195985000838,39,0.0,38,0.0,42,0.012464160418655616,40,0.00024376424492164651,44,0.0020123460553714023,36,0.01944234816275371,40,39.857142857142854
da_as_ss_mw_primary_reserve,0.0005724495705630472,41,0.0,38,0.0037508888554898395,40,0.018436050128729443,38,0.00044810156204421993,43,0.0016974923167463326,38,0.018866184667584166,41,39.857142857142854
rmpcp,0.00023704678848489473,44,6.470846344836948e-05,35,0.005157813201898578,39,0.011440670588613236,42,0.0008781555690200937,40,-0.0008752867371194492,42,0.009410419448499803,43,40.714285714285715
net_inadv_interchange_mw,0.0005797423280254052,40,0.0,38,0.0,42,0.006975404262498605,44,0.0011650070106154506,39,-1.8320865307504375e-05,40,0.010667086520461853,42,40.714285714285715
