S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,retained,sub_exceeds
"(7, 15, 23, 39, 40)",strong,False,0.3441467588284597,7,0.5457279214502927,0.0325965881347656,11,0.7611628770828247,0.7772371172904968,0.0263538360595703,11,0.7551859021186829,-0.077499508857727,0.09471711500561712,True
"(37, 38, 39, 40, 41)",strong,False,0.3404982349200218,6,0.9810227672231154,0.0260850191116333,0,0.9789062142372132,0.981773316860199,0.0142561197280883,11,0.9826605319976808,0.0082412362098693,0.07660838276521552,True
"(1, 8, 10, 11, 43)",control,False,0.0456879124122819,0,0.9972545160635602,0.0352704524993896,0,0.994292974472046,0.9948962926864624,0.0342220664024353,0,0.9941715002059937,0.0352704524993896,0.7719865197847853,True
"(5, 10, 12, 21, 25)",control,False,0.0174667301717427,8,0.7591008232396993,0.0310491323471069,0,0.7730181813240051,0.7683930993080139,0.026194155216217,0,0.770392656326294,0.0073043704032897,1.777615617909843,False
"(5, 20, 23, 31, 36)",control,False,0.0275153358561422,5,0.9823911371391092,0.0083665251731872,0,0.9793723821640016,0.9816428422927856,0.0104874968528747,0,0.9795556664466858,-0.0140043497085571,0.30406771034632146,True
"(18, 23, 26, 42, 43)",control,False,0.0233493459356253,8,0.6565486804007324,0.0333548188209533,4,0.6910945177078247,0.6782797574996948,0.0259321331977844,4,0.7075741291046143,0.0039935111999511,1.428511912621164,False
"(8, 13, 20, 29, 35)",control,False,0.0149540479224732,10,0.9827427608250712,0.0118485689163208,10,0.9802867770195008,0.9802892208099364,0.0095177292823791,10,0.9805659651756288,0.0118485689163208,0.7923318808223536,True
"(11, 15, 23, 39, 40)",strong,True,0.4419602945317757,2,0.4419602945317757,0.0240867733955383,10,0.7153980731964111,0.7812290787696838,0.024523913860321,11,0.7369211316108704,0.0088143944740295,0.05449985823060521,True
"(10, 11, 23, 26, 40)",strong,False,0.4251270781094892,7,0.564063546801435,0.0212992429733276,0,0.7455407977104187,0.7429314255714417,0.0165669322013854,0,0.7489199638366699,-0.1259575486183166,0.05010088528833276,False
"(17, 25, 29, 39, 40)",strong,False,0.4069665924937787,6,0.5424250364529588,0.0219041109085083,9,0.7763345241546631,0.8014436960220337,0.029741883277893,9,0.7984998226165771,0.0073581933975219,0.053822872227142694,True
"(4, 7, 29, 39, 40)",strong,False,0.395530348699515,6,0.5459876681679767,0.0256653428077697,6,0.8353412747383118,0.8344775438308716,0.0171070098876953,10,0.8370007276535034,0.0256653428077697,0.06488842864310192,False
"(5, 17, 19, 39, 40)",strong,False,0.3761908521931544,6,0.9494588387514348,0.036750316619873,11,0.9885236620903016,0.9890172481536864,0.0282720327377319,0,0.9884688258171082,-0.0100656747817993,0.09769061742363588,True
"(10, 23, 27, 29, 39)",strong,False,0.3716723065319443,6,0.4667430849668826,0.0294445753097534,0,0.7878103256225586,0.8157211542129517,0.0266426801681518,0,0.8266044855117798,-0.3931018710136413,0.07922187042801027,True
"(23, 27, 33, 39, 40)",strong,False,0.3574527907678601,3,0.5170714935035079,0.0208007097244262,2,0.6119226813316345,0.5923861265182495,0.0222561359405517,2,0.6340131759643555,0.0204037427902221,0.05819148783184286,False
"(14, 15, 17, 39, 40)",strong,False,0.3526897946507022,6,0.8882057357251202,0.0383574962615966,9,0.9160223603248596,0.9105224609375,0.0434302687644958,0,0.914636492729187,-0.0131675601005554,0.10875703477495059,False
"(7, 21, 23, 39, 43)",strong,False,0.3431128927121664,7,0.6014897376065815,0.0269995927810668,0,0.6555607318878174,0.6672888994216919,0.0313134789466857,0,0.6693630814552307,-0.1735415458679199,0.0786901144041721,True
"(0, 17, 23, 34, 40)",strong,False,0.3400060645060582,7,0.5453079296181871,0.0198820233345031,9,0.8427379131317139,0.8416562080383301,0.0176246166229248,9,0.840786337852478,-0.153394341468811,0.05847549620441798,False
"(12, 16, 24, 37, 39)",control,False,0.0153830913516693,11,0.6547267079777381,0.0349074006080627,4,0.7317506074905396,0.7288103103637695,0.0279745459556579,4,0.7423989772796631,0.0284805297851562,2.269205831913279,False
"(0, 6, 10, 16, 20)",control,False,0.0227370621913151,7,0.9972969396523372,0.0115398168563842,0,0.9943050146102904,0.9951475262641908,0.0106605291366577,0,0.9944091439247132,-0.0136334300041198,0.5075333285929998,True
"(1, 9, 21, 29, 42)",control,False,0.0017696700340918,4,0.9057466256762098,0.0364020466804504,7,0.9131815433502196,0.9099574089050292,0.038219928741455,7,0.9157811403274536,0.0290929079055786,20.56996274965578,False
"(12, 19, 23, 25, 33)",control,False,0.0210658676565903,4,0.9912011645072843,0.0098742842674255,11,0.988625943660736,0.9891271591186525,0.0094055533409118,5,0.9883723258972168,-0.0009392499923706,0.4687338033445019,True
"(6, 9, 20, 22, 27)",control,False,0.0291777411516257,5,0.9822854889003266,0.0406299233436584,0,0.9771442413330078,0.9806997179985046,0.0446648597717285,0,0.978681743144989,0.0104779005050659,1.3924972167146192,True
"(17, 30, 39, 40, 42)",strong,False,0.4067426185712733,3,0.6160670040076426,0.0665869712829589,2,0.8478964567184448,0.8502005338668823,0.0626779198646545,2,0.8635806441307068,0.0415256023406982,0.16370787874861187,True
"(10, 23, 27, 30, 39)",strong,False,0.3930769916283296,6,0.4463048287394254,0.0358946919441223,0,0.8333307504653931,0.832374632358551,0.0376357436180114,0,0.8534083962440491,-0.2421169281005859,0.09131720428465628,False
"(29, 30, 31, 39, 40)",strong,False,0.3752343799366038,4,0.7447287440825455,0.009778618812561,11,0.8389109373092651,0.8326881527900696,0.0108287930488586,8,0.8619880080223083,-0.0011652112007141,0.02606002897232686,False
"(5, 17, 20, 39, 40)",strong,False,0.366722287982659,6,0.8830362554146102,0.0352345705032348,9,0.9824541807174684,0.9839348196983336,0.0312640070915222,0,0.9826619625091552,-0.0082535147666931,0.09607970842748702,True
"(9, 10, 23, 26, 40)",strong,False,0.3572046242650801,8,0.5374272537091012,0.0300484895706176,0,0.6861695647239685,0.6806818842887878,0.0213897228240966,9,0.7007849216461182,-0.1150345802307128,0.08412122220545146,False
"(7, 8, 23, 40, 42)",strong,False,0.349370869107969,8,0.5911360679919327,0.025300920009613,11,0.5595579743385315,0.6752759218215942,0.0414372682571411,11,0.5714716911315918,-0.1157179474830627,0.0724185163869345,True
"(4, 23, 30, 39, 40)",strong,True,0.3420164861851319,6,0.3420164861851319,0.0491338372230529,5,0.8373990058898926,0.8635619282722473,0.0280035138130188,5,0.8557388782501221,-0.3982282876968384,0.14365926558422387,True
"(0, 17, 23, 35, 40)",strong,False,0.3400060645060582,7,0.5453079296181871,0.0198820233345031,9,0.8427379131317139,0.8416562080383301,0.0176246166229248,9,0.840786337852478,-0.153394341468811,0.05847549620441798,False
"(10, 25, 29, 33, 40)",control,False,0.0476051886519359,6,0.6926603733257528,0.0179667472839355,7,0.8236424326896667,0.8218629360198975,0.0232066512107849,11,0.8329176902770996,-0.0007746815681457,0.3774115341774802,False
"(6, 9, 24, 30, 43)",control,False,0.0187126655630411,11,0.6699092927048313,0.0563642978668212,2,0.7550886869430542,0.7524158954620361,0.043272852897644,2,0.7866837978363037,0.0251939296722412,3.0120934763107647,False
"(0, 18, 28, 34, 41)",control,False,0.0051409079399965,1,0.7958893660788344,0.0063821673393249,1,0.8216071128845215,0.8196195363998413,0.0050703883171081,10,0.824435830116272,0.0063821673393249,1.2414475057355812,False
"(15, 20, 21, 23, 34)",control,False,0.0100441484061294,5,0.9824775397401396,0.0275733470916748,0,0.9780839681625366,0.9804514050483704,0.0355898737907409,0,0.9794718623161316,0.0141441226005554,2.745215022395356,True
"(1, 13, 20, 26, 37)",control,False,0.0180618133608018,4,0.985879856483638,0.0241051316261291,7,0.980976939201355,0.9850172996520996,0.0235522985458374,7,0.9808472394943236,0.0173080563545227,1.3345908932069168,True
"(7, 29, 37, 39, 40)",strong,False,0.4379643716974878,6,0.5354075483787062,0.0566247701644897,2,0.7778584957122803,0.795772135257721,0.058290958404541,2,0.814687967300415,0.002173900604248,0.12929081410211546,True
"(23, 25, 26, 40, 41)",strong,False,0.409972661232497,7,0.4335828986320474,0.0170204639434814,2,0.5471432209014893,0.6326566934585571,0.0181808471679687,2,0.5614157915115356,-0.198660135269165,0.041516094981340804,True
"(7, 15, 20, 39, 40)",strong,False,0.4067154231168365,6,0.9222716317303532,0.0500925779342651,9,0.9820802211761476,0.9817031025886536,0.0429915189743042,0,0.9818272590637208,0.001774251461029,0.12316370387526486,False
"(17, 29, 39, 40, 42)",strong,True,0.3915181191903337,3,0.3915181191903337,0.0533228516578674,2,0.8368942737579346,0.8296557664871216,0.0510789155960083,3,0.8419514894485474,0.0513316392898559,0.1361951057798806,False
"(29, 30, 32, 39, 40)",strong,False,0.3752192688287662,4,0.7447236249066916,0.0106628537178039,6,0.834570586681366,0.8406336307525635,0.0179044008255004,6,0.8598091006278992,-0.0023830533027648,0.028417660295239164,True
"(29, 30, 33, 39, 40)",strong,False,0.3612092341569243,4,0.747034619439463,0.0141604542732238,0,0.8296929597854614,0.8407050967216492,0.0103116631507873,11,0.8542525172233582,0.0032625198364257,0.039202913254072325,True
"(1, 21, 25, 27, 41)",strong,False,0.3562696274748836,8,0.8591377277018507,0.0100868940353393,6,0.8735786080360413,0.8772074580192566,0.0034292936325073,10,0.8747849464416504,-0.0206415057182312,0.028312528650931403,True
"(5, 14, 17, 39, 40)",strong,False,0.3459459743849452,6,0.6992321352201121,0.0352925658226013,0,0.8645951151847839,0.9093202352523804,0.0397669672966003,0,0.8837103843688965,-0.0123757123947143,0.10201756469445177,True
"(11, 23, 27, 39, 43)",strong,False,0.3410809026263331,6,0.4803645767887121,0.0276541113853454,0,0.6712400913238525,0.6691542863845825,0.0299452543258667,0,0.6779748797416687,-0.0504502058029174,0.08107786502383428,False
"(0, 17, 23, 36, 40)",strong,False,0.3400060645060582,7,0.5453079296181871,0.0198820233345031,9,0.8427379131317139,0.8416562080383301,0.0176246166229248,9,0.840786337852478,-0.153394341468811,0.05847549620441798,False
"(1, 11, 27, 31, 35)",control,False,0.0146409520237547,7,0.996229618866785,0.0246258974075317,11,0.992074728012085,0.9932920932769777,0.0250434279441833,11,0.992310643196106,0.0080226063728332,1.681987439585663,True
"(24, 26, 28, 29, 40)",control,False,-0.0004664869741221,0,0.5711029730805499,0.0149710774421691,4,0.8037227988243103,0.8004456758499146,0.0145111083984375,0,0.8069136738777161,0.0119659304618835,14971077.442169098,False
"(1, 11, 12, 20, 43)",control,False,0.015439945953709,8,0.997895351767307,0.0269339680671691,8,0.994600772857666,0.9955176115036012,0.0215842723846435,7,0.9942532777786256,0.0269339680671691,1.7444340898550226,True
"(17, 20, 27, 29, 38)",control,False,0.0071457325972515,1,0.9700298411889664,0.0093713998794555,0,0.9824033975601196,0.982973337173462,0.0203977227210998,5,0.9821180701255798,0.0044006705284118,1.3114680338108469,True
"(0, 2, 17, 37, 43)",control,False,0.0373636596894616,0,0.8937050126771737,0.0415012240409851,0,0.9078813791275024,0.901873767375946,0.0419354438781738,0,0.9067914485931396,0.0415012240409851,1.1107376629032542,False
