variant,family,max_k,retention,tune_recall,test_recall,all_recall,weights
single_K50,single,50,0.3,0.8911037423862258,0.9110234692695128,0.8990092254119137,
single_K50,single,50,0.4,0.9382608233072374,0.9307590526057654,0.9352836177817515,
single_K50,single,50,0.5,0.9610414136130297,0.9480692894543241,0.9558932051087348,
single_K50,single,50,0.6,0.9724317087659257,0.9826897631514415,0.9765027924357184,
mean_rank_0_5,mean_rank,5,0.1,0.6368245130287528,0.6128971841727279,0.6273285448746878,
mean_rank_0_5,mean_rank,5,0.2,0.7926588585766343,0.8178618684330375,0.8026611024720167,
mean_rank_0_5,mean_rank,5,0.3,0.8364051458918867,0.8472988377200666,0.8407284931114215,
mean_rank_0_5,mean_rank,5,0.4,0.875363732278857,0.8694597675440134,0.8730206432762299,
mean_rank_0_5,mean_rank,5,0.5,0.9159182189752546,0.9065055877288248,0.9121826558833659,
mean_rank_0_5,mean_rank,5,0.6,0.9289044144375783,0.9262411710650775,0.9278474609262203,
best_rank_0_5,rescue_any,5,0.1,0.6463999148853168,0.6004376402995573,0.6281590030651554,
best_rank_0_5,rescue_any,5,0.2,0.7600838734273733,0.7880920877113085,0.7711994104976759,
best_rank_0_5,rescue_any,5,0.3,0.8282066513578452,0.8646090745686253,0.8426535732696203,
best_rank_0_5,rescue_any,5,0.4,0.8899458280506076,0.8867700043925721,0.8886854483190842,
best_rank_0_5,rescue_any,5,0.5,0.8931376286694623,0.9065055877288248,0.8984429309987103,
best_rank_0_5,rescue_any,5,0.6,0.9289044144375783,0.9310918640404656,0.9297725410844191,
mean_plus_uncertainty_0_5,uncertainty_rescue,5,0.1,0.6448040145758895,0.6302074210212865,0.6390111077125128,
mean_plus_uncertainty_0_5,uncertainty_rescue,5,0.2,0.7698782682708419,0.805402324559867,0.7839765953032322,
mean_plus_uncertainty_0_5,uncertainty_rescue,5,0.3,0.8266107510484179,0.8646090745686253,0.8416910331905209,
mean_plus_uncertainty_0_5,uncertainty_rescue,5,0.4,0.8785555328977117,0.8867700043925721,0.8818155858767563,
mean_plus_uncertainty_0_5,uncertainty_rescue,5,0.5,0.8931376286694623,0.9065055877288248,0.8984429309987103,
mean_plus_uncertainty_0_5,uncertainty_rescue,5,0.6,0.927308514128151,0.9286665175527715,0.9278474609262203,
mean_rank_0_10,mean_rank,10,0.1,0.6545984094193582,0.6350581139966747,0.6468435102339399,
mean_rank_0_10,mean_rank,10,0.2,0.7844603640425928,0.8251379078961197,0.800603940425186,
mean_rank_0_10,mean_rank,10,0.3,0.8395969465107413,0.8670344210563194,0.8504859757910476,
mean_rank_0_10,mean_rank,10,0.4,0.8785555328977117,0.8891953508802662,0.8827781259558558,
mean_rank_0_10,mean_rank,10,0.5,0.9191100195941093,0.9089309342165189,0.9150702761206642,
mean_rank_0_10,mean_rank,10,0.6,0.948274211137611,0.9335172105281597,0.9424176440013433,
best_rank_0_10,rescue_any,10,0.1,0.6803518073571003,0.642334153459757,0.6652638536254606,
best_rank_0_10,rescue_any,10,0.2,0.7956316662085842,0.8175290569983376,0.8043220188529516,
best_rank_0_10,rescue_any,10,0.3,0.8459805477484508,0.8891953508802662,0.8631310787079718,
best_rank_0_10,rescue_any,10,0.4,0.8881309347542757,0.9089309342165189,0.8963857689518795,
best_rank_0_10,rescue_any,10,0.5,0.9254936208318186,0.9162069736796011,0.9218080566743598,
best_rank_0_10,rescue_any,10,0.6,0.9628563069093616,0.9335172105281597,0.9512125866018699,
mean_plus_uncertainty_0_10,uncertainty_rescue,10,0.1,0.6657697115853496,0.6374834604843689,0.6545438308667352,
mean_plus_uncertainty_0_10,uncertainty_rescue,10,0.2,0.7892480649708749,0.8448734912323725,0.8113239631839113,
mean_plus_uncertainty_0_10,uncertainty_rescue,10,0.3,0.8329943522861273,0.8891953508802662,0.8552986761865444,
mean_plus_uncertainty_0_10,uncertainty_rescue,10,0.4,0.8735488389825251,0.9089309342165189,0.8875908263513528,
mean_plus_uncertainty_0_10,uncertainty_rescue,10,0.5,0.936883915984715,0.913781627191907,0.9277153790375883,
mean_plus_uncertainty_0_10,uncertainty_rescue,10,0.6,0.9612604065999343,0.9335172105281597,0.9502500465227705,
mean_rank_0_5_10,mean_rank,10,0.1,0.6545984094193582,0.6326327675089806,0.6458809701548406,
mean_rank_0_5_10,mean_rank,10,0.2,0.7942547588860617,0.8251379078961197,0.8065112627884143,
mean_rank_0_5_10,mean_rank,10,0.3,0.8395969465107413,0.8670344210563194,0.8504859757910476,
mean_rank_0_5_10,mean_rank,10,0.4,0.8817473335165663,0.8891953508802662,0.8847032061140546,
mean_rank_0_5_10,mean_rank,10,0.5,0.906123824131786,0.9089309342165189,0.9072378735992368,
mean_rank_0_5_10,mean_rank,10,0.6,0.9434865102093289,0.9335172105281597,0.9395300237640452,
best_rank_0_5_10,rescue_any,10,0.1,0.6803518073571004,0.6225985701235042,0.6574314511040334,
best_rank_0_5_10,rescue_any,10,0.2,0.779453670127406,0.8175290569983376,0.7945645361733256,
best_rank_0_5_10,rescue_any,10,0.3,0.8345902525955545,0.8891953508802662,0.8562612162656439,
best_rank_0_5_10,rescue_any,10,0.4,0.8865350344448484,0.9089309342165189,0.89542322887278,
best_rank_0_5_10,rescue_any,10,0.5,0.9352880156752876,0.9162069736796011,0.9277153790375883,
best_rank_0_5_10,rescue_any,10,0.6,0.9498701114470384,0.9335172105281597,0.9433801840804428,
mean_plus_uncertainty_0_5_10,uncertainty_rescue,10,0.1,0.6853585012722871,0.6547936973329275,0.6732283380355198,
mean_plus_uncertainty_0_5_10,uncertainty_rescue,10,0.2,0.7730700688896966,0.827563254383814,0.7946966180619575,
mean_plus_uncertainty_0_5_10,uncertainty_rescue,10,0.3,0.8443846474390234,0.8694597675440134,0.8543361361074452,
mean_plus_uncertainty_0_5_10,uncertainty_rescue,10,0.4,0.8931376286694623,0.9089309342165189,0.8994054710778097,
mean_plus_uncertainty_0_5_10,uncertainty_rescue,10,0.5,0.9207059199035367,0.913781627191907,0.9179578963579622,
mean_plus_uncertainty_0_5_10,uncertainty_rescue,10,0.6,0.9580686059810797,0.9335172105281597,0.9483249663645716,
mean_rank_0_10_25,mean_rank,25,0.1,0.6463999148853168,0.6572190438206214,0.6506936705503376,
mean_rank_0_10_25,mean_rank,25,0.2,0.7924398655897295,0.8275632543838138,0.8063791808997824,
mean_rank_0_10_25,mean_rank,25,0.3,0.858966743210774,0.8694597675440134,0.8631310787079718,
mean_rank_0_10_25,mean_rank,25,0.4,0.9077197244412134,0.8743104605194015,0.8944606887936807,
mean_rank_0_10_25,mean_rank,25,0.5,0.9238977205223914,0.9162069736796011,0.9208455165952606,
mean_rank_0_10_25,mean_rank,25,0.6,0.9546578123753203,0.9383679035035478,0.9481928844759395,
best_rank_0_10_25,rescue_any,25,0.1,0.7140847068419792,0.652035539410533,0.6894594374915778,
best_rank_0_10_25,rescue_any,25,0.2,0.824576864765181,0.8469660262853664,0.8334623850031977,
best_rank_0_10_25,rescue_any,25,0.3,0.8831242408390891,0.9186323201672951,0.8972162271423468,
best_rank_0_10_25,rescue_any,25,0.4,0.9106925320731633,0.9383679035035478,0.9216759747857278,
best_rank_0_10_25,rescue_any,25,0.5,0.946459317841279,0.9407932499912419,0.94421064227091,
best_rank_0_10_25,rescue_any,25,0.6,0.9708358084564983,0.9581034868398006,0.9657827696769928,
mean_plus_uncertainty_0_10_25,uncertainty_rescue,25,0.1,0.6737492131324864,0.6991155569808211,0.6838162789056133,
mean_plus_uncertainty_0_10_25,uncertainty_rescue,25,0.2,0.7988234668274389,0.8521495306954547,0.819986823895806,
mean_plus_uncertainty_0_10_25,uncertainty_rescue,25,0.3,0.8653503444484834,0.8767358070070956,0.8698688592616677,
mean_plus_uncertainty_0_10_25,uncertainty_rescue,25,0.4,0.9075007314543085,0.9037474298064306,0.9060111697428735,
mean_plus_uncertainty_0_10_25,uncertainty_rescue,25,0.5,0.931877222069528,0.9383679035035478,0.9344531595912842,
mean_plus_uncertainty_0_10_25,uncertainty_rescue,25,0.6,0.957849612994175,0.9581034868398006,0.9579503671555657,
mean_rank_0_5_10_25,mean_rank,25,0.1,0.6723723058099637,0.6547936973329275,0.6653959355140926,
mean_rank_0_5_10_25,mean_rank,25,0.2,0.779453670127406,0.8448734912323725,0.8054166408206831,
mean_rank_0_5_10_25,mean_rank,25,0.3,0.8459805477484508,0.8694597675440134,0.8552986761865445,
mean_rank_0_5_10_25,mean_rank,25,0.4,0.8931376286694626,0.8940460438556543,0.8934981487145812,
mean_rank_0_5_10_25,mean_rank,25,0.5,0.9238977205223914,0.9162069736796011,0.9208455165952606,
mean_rank_0_5_10_25,mean_rank,25,0.6,0.9514660117564657,0.9383679035035478,0.9462678043177409,
best_rank_0_5_10_25,rescue_any,25,0.1,0.7010985113796557,0.6866560131076506,0.6953667598548061,
best_rank_0_5_10_25,rescue_any,25,0.2,0.8131865696122849,0.8469660262853664,0.8265925225608699,
best_rank_0_5_10_25,rescue_any,25,0.3,0.8831242408390891,0.9013220833187365,0.8903463647000192,
best_rank_0_5_10_25,rescue_any,25,0.4,0.9090966317637359,0.9383679035035478,0.9207134347066285,
best_rank_0_5_10_25,rescue_any,25,0.5,0.946459317841279,0.9407932499912419,0.94421064227091,
best_rank_0_5_10_25,rescue_any,25,0.6,0.9708358084564983,0.9581034868398006,0.9657827696769928,
mean_plus_uncertainty_0_5_10_25,uncertainty_rescue,25,0.1,0.6869544015817145,0.6769546271568742,0.6829858207151459,
mean_plus_uncertainty_0_5_10_25,uncertainty_rescue,25,0.2,0.7858372713651154,0.8472988377200666,0.8102293412161801,
mean_plus_uncertainty_0_5_10_25,uncertainty_rescue,25,0.3,0.858966743210774,0.8767358070070956,0.8660186989452701,
mean_plus_uncertainty_0_5_10_25,uncertainty_rescue,25,0.4,0.910911525060068,0.8964713903433484,0.9051807115524061,
mean_plus_uncertainty_0_5_10_25,uncertainty_rescue,25,0.5,0.9302813217601007,0.9210576666549892,0.9266207570698569,
mean_plus_uncertainty_0_5_10_25,uncertainty_rescue,25,0.6,0.9546578123753203,0.9556781403521065,0.9550627469182675,
tune_weighted_rank_0_5_10,tune_weighted_rank,10,0.1,0.6885503018911419,0.67452928066918,0.6829858207151459,"[0.2, 0.1, 0.7]"
tune_weighted_rank_0_5_10,tune_weighted_rank,10,0.2,0.8086178616709077,0.8175290569983376,0.8121544213743789,"[0.0, 0.0, 1.0]"
tune_weighted_rank_0_5_10,tune_weighted_rank,10,0.3,0.858966743210774,0.8916206973679603,0.8719260213084983,"[0.0, 0.0, 1.0]"
tune_weighted_rank_0_5_10,tune_weighted_rank,10,0.4,0.922301820212964,0.9089309342165189,0.916995356278863,"[0.0, 0.2, 0.8]"
tune_weighted_rank_0_5_10,tune_weighted_rank,10,0.5,0.936883915984715,0.9162069736796011,0.9286779191166877,"[0.0, 0.0, 1.0]"
tune_weighted_rank_0_5_10,tune_weighted_rank,10,0.6,0.9628563069093616,0.9335172105281597,0.9512125866018699,"[0.0, 0.2, 0.8]"
