schedule,stages_json,n_stages,final_fraction,final_k,avg_updates_restart,avg_updates_continuation,tune_recall,test_recall,all_recall
K0@40% -> K1@20% -> K10@5%,"[[0, 0.4], [1, 0.2], [10, 0.05]]",3,0.05,10,2.4,2.2,0.5017368715034268,0.40793249991241815,0.4645090083056513
K0@40% -> K1@20% -> K25@5%,"[[0, 0.4], [1, 0.2], [25, 0.05]]",3,0.05,25,5.4,5.200000000000001,0.48214808181648916,0.40793249991241815,0.4526943635791945
K0@40% -> K1@20% -> K5@5%,"[[0, 0.4], [1, 0.2], [5, 0.05]]",3,0.05,5,1.4,1.2000000000000002,0.47917527418453926,0.455012517482706,0.4695858724784123
K0@40% -> K1@20% -> K50@5%,"[[0, 0.4], [1, 0.2], [50, 0.05]]",3,0.05,50,10.4,10.200000000000001,0.49353837696938535,0.4474036665849236,0.4752290310643768
K0@40% -> K1@30% -> K10@5%,"[[0, 0.4], [1, 0.3], [10, 0.05]]",3,0.05,10,3.4,3.0999999999999996,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@40% -> K1@30% -> K25@5%,"[[0, 0.4], [1, 0.3], [25, 0.05]]",3,0.05,25,7.9,7.6,0.4657510927484063,0.41520853937550034,0.4456924192482348
K0@40% -> K1@30% -> K5@5%,"[[0, 0.4], [1, 0.3], [5, 0.05]]",3,0.05,5,1.9,1.6,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@40% -> K1@30% -> K50@5%,"[[0, 0.4], [1, 0.3], [50, 0.05]]",3,0.05,50,15.4,15.1,0.49012758336362583,0.4595303990233939,0.477984569413043
K0@40% -> K10@5%,"[[0, 0.4], [10, 0.05]]",2,0.05,10,4.0,4.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@40% -> K10@20% -> K25@5%,"[[0, 0.4], [10, 0.2], [25, 0.05]]",3,0.05,25,9.0,7.0,0.46894289336726097,0.4397948156871411,0.4573749820860596
K0@40% -> K10@20% -> K50@5%,"[[0, 0.4], [10, 0.2], [50, 0.05]]",3,0.05,50,14.0,12.0,0.4835249891390117,0.48169132884734067,0.48279726980854004
K0@40% -> K10@30% -> K25@5%,"[[0, 0.4], [10, 0.3], [25, 0.05]]",3,0.05,25,11.5,8.5,0.4705387936766883,0.4422201621748352,0.4593000622442584
K0@40% -> K10@30% -> K50@5%,"[[0, 0.4], [10, 0.3], [50, 0.05]]",3,0.05,50,19.0,16.0,0.48671678975786636,0.4841166753350348,0.48568489004583826
K0@40% -> K25@5%,"[[0, 0.4], [25, 0.05]]",2,0.05,25,10.0,10.0,0.4705387936766883,0.4422201621748352,0.4593000622442584
K0@40% -> K25@20% -> K50@5%,"[[0, 0.4], [25, 0.2], [50, 0.05]]",3,0.05,50,20.0,15.0,0.47692239491439764,0.4841166753350348,0.4797775676826098
K0@40% -> K25@30% -> K50@5%,"[[0, 0.4], [25, 0.3], [50, 0.05]]",3,0.05,50,25.0,17.5,0.47692239491439764,0.4841166753350348,0.4797775676826098
K0@40% -> K5@5%,"[[0, 0.4], [5, 0.05]]",2,0.05,5,2.0,2.0,0.46118238480702906,0.4474036665849236,0.45571406570512474
K0@40% -> K5@20% -> K10@5%,"[[0, 0.4], [5, 0.2], [10, 0.05]]",3,0.05,10,4.0,3.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@40% -> K5@20% -> K25@5%,"[[0, 0.4], [5, 0.2], [25, 0.05]]",3,0.05,25,7.0,6.0,0.46415519243897896,0.42005923235088843,0.4466549593273342
K0@40% -> K5@20% -> K50@5%,"[[0, 0.4], [5, 0.2], [50, 0.05]]",3,0.05,50,12.0,11.0,0.47714138790130234,0.464381091998782,0.4720772470498146
K0@40% -> K5@30% -> K10@5%,"[[0, 0.4], [5, 0.3], [10, 0.05]]",3,0.05,10,5.0,3.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@40% -> K5@30% -> K25@5%,"[[0, 0.4], [5, 0.3], [25, 0.05]]",3,0.05,25,9.5,8.0,0.46894289336726097,0.4397948156871411,0.4573749820860596
K0@40% -> K5@30% -> K50@5%,"[[0, 0.4], [5, 0.3], [50, 0.05]]",3,0.05,50,17.0,15.5,0.48671678975786636,0.48169132884734067,0.48472234996673885
K0@40% -> K50@5%,"[[0, 0.4], [50, 0.05]]",2,0.05,50,20.0,20.0,0.47692239491439764,0.4841166753350348,0.4797775676826098
K0@50% -> K1@5%,"[[0, 0.5], [1, 0.05]]",2,0.05,1,0.5,0.5,0.3964704004823165,0.3639434516992247,0.38356152663134496
K0@50% -> K1@20% -> K10@5%,"[[0, 0.5], [1, 0.2], [10, 0.05]]",3,0.05,10,2.5,2.3,0.5017368715034268,0.40793249991241815,0.4645090083056513
K0@50% -> K1@20% -> K25@5%,"[[0, 0.5], [1, 0.2], [25, 0.05]]",3,0.05,25,5.5,5.300000000000001,0.4837439821259165,0.40793249991241815,0.4536569036582939
K0@50% -> K1@20% -> K5@5%,"[[0, 0.5], [1, 0.2], [5, 0.05]]",3,0.05,5,1.5,1.3,0.47917527418453926,0.455012517482706,0.4695858724784123
K0@50% -> K1@20% -> K50@5%,"[[0, 0.5], [1, 0.2], [50, 0.05]]",3,0.05,50,10.5,10.3,0.49353837696938535,0.4474036665849236,0.4752290310643768
K0@50% -> K1@30% -> K10@5%,"[[0, 0.5], [1, 0.3], [10, 0.05]]",3,0.05,10,3.5,3.1999999999999997,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@50% -> K1@30% -> K25@5%,"[[0, 0.5], [1, 0.3], [25, 0.05]]",3,0.05,25,8.0,7.699999999999999,0.4657510927484063,0.41520853937550034,0.4456924192482348
K0@50% -> K1@30% -> K5@5%,"[[0, 0.5], [1, 0.3], [5, 0.05]]",3,0.05,5,2.0,1.7,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@50% -> K1@30% -> K50@5%,"[[0, 0.5], [1, 0.3], [50, 0.05]]",3,0.05,50,15.5,15.2,0.49012758336362583,0.461955745511088,0.4789471094921424
K0@50% -> K1@40% -> K10@5%,"[[0, 0.5], [1, 0.4], [10, 0.05]]",3,0.05,10,4.5,4.1,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@50% -> K1@40% -> K25@5%,"[[0, 0.5], [1, 0.4], [25, 0.05]]",3,0.05,25,10.5,10.100000000000001,0.4673469930578336,0.41520853937550034,0.4466549593273342
K0@50% -> K1@40% -> K5@5%,"[[0, 0.5], [1, 0.4], [5, 0.05]]",3,0.05,5,2.5,2.1,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@50% -> K1@40% -> K50@5%,"[[0, 0.5], [1, 0.4], [50, 0.05]]",3,0.05,50,20.5,20.1,0.48033318852015705,0.461955745511088,0.473039787128914
K0@50% -> K10@5%,"[[0, 0.5], [10, 0.05]]",2,0.05,10,5.0,5.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@50% -> K10@20% -> K25@5%,"[[0, 0.5], [10, 0.2], [25, 0.05]]",3,0.05,25,10.0,8.0,0.4705387936766883,0.45710505253569983,0.4652073846074868
K0@50% -> K10@20% -> K50@5%,"[[0, 0.5], [10, 0.2], [50, 0.05]]",3,0.05,50,15.0,13.0,0.48512088944843906,0.5038522586712875,0.4925547524881661
K0@50% -> K10@30% -> K25@5%,"[[0, 0.5], [10, 0.3], [25, 0.05]]",3,0.05,25,12.5,9.5,0.47213469398611563,0.4595303990233939,0.4671324647656856
K0@50% -> K10@30% -> K50@5%,"[[0, 0.5], [10, 0.3], [50, 0.05]]",3,0.05,50,20.0,17.0,0.4655320997615016,0.5062776051589816,0.4817026478408087
K0@50% -> K10@40% -> K25@5%,"[[0, 0.5], [10, 0.4], [25, 0.05]]",3,0.05,25,15.0,11.0,0.47213469398611563,0.4595303990233939,0.4671324647656856
K0@50% -> K10@40% -> K50@5%,"[[0, 0.5], [10, 0.4], [50, 0.05]]",3,0.05,50,25.0,21.0,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@50% -> K25@5%,"[[0, 0.5], [25, 0.05]]",2,0.05,25,12.5,12.5,0.47213469398611563,0.4595303990233939,0.4671324647656856
K0@50% -> K25@20% -> K50@5%,"[[0, 0.5], [25, 0.2], [50, 0.05]]",3,0.05,50,22.5,17.5,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@50% -> K25@30% -> K50@5%,"[[0, 0.5], [25, 0.3], [50, 0.05]]",3,0.05,50,27.5,20.0,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@50% -> K25@40% -> K50@5%,"[[0, 0.5], [25, 0.4], [50, 0.05]]",3,0.05,50,32.5,22.5,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@50% -> K5@5%,"[[0, 0.5], [5, 0.05]]",2,0.05,5,2.5,2.5,0.46118238480702906,0.4474036665849236,0.45571406570512474
K0@50% -> K5@20% -> K10@5%,"[[0, 0.5], [5, 0.2], [10, 0.05]]",3,0.05,10,4.5,3.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@50% -> K5@20% -> K25@5%,"[[0, 0.5], [5, 0.2], [25, 0.05]]",3,0.05,25,7.5,6.5,0.46415519243897896,0.42005923235088843,0.4466549593273342
K0@50% -> K5@20% -> K50@5%,"[[0, 0.5], [5, 0.2], [50, 0.05]]",3,0.05,50,12.5,11.5,0.47714138790130234,0.46680643848647607,0.473039787128914
K0@50% -> K5@30% -> K10@5%,"[[0, 0.5], [5, 0.3], [10, 0.05]]",3,0.05,10,5.5,4.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@50% -> K5@30% -> K25@5%,"[[0, 0.5], [5, 0.3], [25, 0.05]]",3,0.05,25,10.0,8.5,0.4705387936766883,0.45710505253569983,0.4652073846074868
K0@50% -> K5@30% -> K50@5%,"[[0, 0.5], [5, 0.3], [50, 0.05]]",3,0.05,50,17.5,16.0,0.47692239491439764,0.4990015656958994,0.48568489004583826
K0@50% -> K5@40% -> K10@5%,"[[0, 0.5], [5, 0.4], [10, 0.05]]",3,0.05,10,6.5,4.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@50% -> K5@40% -> K25@5%,"[[0, 0.5], [5, 0.4], [25, 0.05]]",3,0.05,25,12.5,10.5,0.47213469398611563,0.4595303990233939,0.4671324647656856
K0@50% -> K5@40% -> K50@5%,"[[0, 0.5], [5, 0.4], [50, 0.05]]",3,0.05,50,22.5,20.5,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@50% -> K50@5%,"[[0, 0.5], [50, 0.05]]",2,0.05,50,25.0,25.0,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@60% -> K1@5%,"[[0, 0.6], [1, 0.05]]",2,0.05,1,0.6,0.6,0.3964704004823165,0.3639434516992247,0.38356152663134496
K0@60% -> K1@20% -> K10@5%,"[[0, 0.6], [1, 0.2], [10, 0.05]]",3,0.05,10,2.6,2.4,0.5017368715034268,0.40793249991241815,0.4645090083056513
K0@60% -> K1@20% -> K25@5%,"[[0, 0.6], [1, 0.2], [25, 0.05]]",3,0.05,25,5.6,5.4,0.4837439821259165,0.40793249991241815,0.4536569036582939
K0@60% -> K1@20% -> K5@5%,"[[0, 0.6], [1, 0.2], [5, 0.05]]",3,0.05,5,1.6,1.4,0.47917527418453926,0.455012517482706,0.4695858724784123
K0@60% -> K1@20% -> K50@5%,"[[0, 0.6], [1, 0.2], [50, 0.05]]",3,0.05,50,10.6,10.4,0.49353837696938535,0.4474036665849236,0.4752290310643768
K0@60% -> K1@30% -> K10@5%,"[[0, 0.6], [1, 0.3], [10, 0.05]]",3,0.05,10,3.6,3.3,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@60% -> K1@30% -> K25@5%,"[[0, 0.6], [1, 0.3], [25, 0.05]]",3,0.05,25,8.1,7.799999999999999,0.47714138790130234,0.43251877622405893,0.45943214413289035
K0@60% -> K1@30% -> K5@5%,"[[0, 0.6], [1, 0.3], [5, 0.05]]",3,0.05,5,2.1,1.7999999999999998,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@60% -> K1@30% -> K50@5%,"[[0, 0.6], [1, 0.3], [50, 0.05]]",3,0.05,50,15.6,15.299999999999999,0.49012758336362583,0.461955745511088,0.4789471094921424
K0@60% -> K1@40% -> K10@5%,"[[0, 0.6], [1, 0.4], [10, 0.05]]",3,0.05,10,4.6,4.2,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@60% -> K1@40% -> K25@5%,"[[0, 0.6], [1, 0.4], [25, 0.05]]",3,0.05,25,10.6,10.200000000000001,0.4673469930578336,0.41520853937550034,0.4466549593273342
K0@60% -> K1@40% -> K5@5%,"[[0, 0.6], [1, 0.4], [5, 0.05]]",3,0.05,5,2.6,2.2,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@60% -> K1@40% -> K50@5%,"[[0, 0.6], [1, 0.4], [50, 0.05]]",3,0.05,50,20.6,20.200000000000003,0.48033318852015705,0.461955745511088,0.473039787128914
K0@60% -> K1@50% -> K10@5%,"[[0, 0.6], [1, 0.5], [10, 0.05]]",3,0.05,10,5.6,5.1,0.4625592921295516,0.4176338858631944,0.44472987916913537
K0@60% -> K1@50% -> K25@5%,"[[0, 0.6], [1, 0.5], [25, 0.05]]",3,0.05,25,13.1,12.6,0.4673469930578336,0.4546797060480058,0.4623197643701886
K0@60% -> K1@50% -> K5@5%,"[[0, 0.6], [1, 0.5], [5, 0.05]]",3,0.05,5,3.1,2.6,0.46118238480702906,0.44497832009722954,0.45475152562602533
K0@60% -> K1@50% -> K50@5%,"[[0, 0.6], [1, 0.5], [50, 0.05]]",3,0.05,50,25.6,25.1,0.4705387936766883,0.49657621920820527,0.48087218965034123
K0@60% -> K10@5%,"[[0, 0.6], [10, 0.05]]",2,0.05,10,6.0,6.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@60% -> K10@20% -> K25@5%,"[[0, 0.6], [10, 0.2], [25, 0.05]]",3,0.05,25,11.0,9.0,0.47213469398611563,0.45710505253569983,0.4661699246865862
K0@60% -> K10@20% -> K50@5%,"[[0, 0.6], [10, 0.2], [50, 0.05]]",3,0.05,50,16.0,14.0,0.47532649460497034,0.5014269121835934,0.48568489004583826
K0@60% -> K10@30% -> K25@5%,"[[0, 0.6], [10, 0.3], [25, 0.05]]",3,0.05,25,13.5,10.5,0.473730594295543,0.4595303990233939,0.468095004844785
K0@60% -> K10@30% -> K50@5%,"[[0, 0.6], [10, 0.3], [50, 0.05]]",3,0.05,50,21.0,18.0,0.4671280000709289,0.48896736831042287,0.47579532547758024
K0@60% -> K10@40% -> K25@5%,"[[0, 0.6], [10, 0.4], [25, 0.05]]",3,0.05,25,16.0,12.0,0.47532649460497034,0.461955745511088,0.4700200850029838
K0@60% -> K10@40% -> K50@5%,"[[0, 0.6], [10, 0.4], [50, 0.05]]",3,0.05,50,26.0,22.0,0.47191570099921093,0.47408247794955827,0.4727756233516501
K0@60% -> K10@50% -> K25@5%,"[[0, 0.6], [10, 0.5], [25, 0.05]]",3,0.05,25,18.5,13.5,0.47532649460497034,0.461955745511088,0.4700200850029838
K0@60% -> K10@50% -> K50@5%,"[[0, 0.6], [10, 0.5], [50, 0.05]]",3,0.05,50,31.0,26.0,0.47191570099921093,0.47408247794955827,0.4727756233516501
K0@60% -> K25@5%,"[[0, 0.6], [25, 0.05]]",2,0.05,25,15.0,15.0,0.47532649460497034,0.461955745511088,0.4700200850029838
K0@60% -> K25@20% -> K50@5%,"[[0, 0.6], [25, 0.2], [50, 0.05]]",3,0.05,50,25.0,20.0,0.47031980068978363,0.4765078244372523,0.4727756233516501
K0@60% -> K25@30% -> K50@5%,"[[0, 0.6], [25, 0.3], [50, 0.05]]",3,0.05,50,30.0,22.5,0.47031980068978363,0.4765078244372523,0.4727756233516501
K0@60% -> K25@40% -> K50@5%,"[[0, 0.6], [25, 0.4], [50, 0.05]]",3,0.05,50,35.0,25.0,0.47191570099921093,0.4765078244372523,0.4737381634307495
K0@60% -> K25@50% -> K50@5%,"[[0, 0.6], [25, 0.5], [50, 0.05]]",3,0.05,50,40.0,27.5,0.47191570099921093,0.4765078244372523,0.4737381634307495
K0@60% -> K5@5%,"[[0, 0.6], [5, 0.05]]",2,0.05,5,3.0,3.0,0.46118238480702906,0.4474036665849236,0.45571406570512474
K0@60% -> K5@20% -> K10@5%,"[[0, 0.6], [5, 0.2], [10, 0.05]]",3,0.05,10,5.0,4.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@60% -> K5@20% -> K25@5%,"[[0, 0.6], [5, 0.2], [25, 0.05]]",3,0.05,25,8.0,7.0,0.46415519243897896,0.42005923235088843,0.4466549593273342
K0@60% -> K5@20% -> K50@5%,"[[0, 0.6], [5, 0.2], [50, 0.05]]",3,0.05,50,13.0,12.0,0.47714138790130234,0.46680643848647607,0.473039787128914
K0@60% -> K5@30% -> K10@5%,"[[0, 0.6], [5, 0.3], [10, 0.05]]",3,0.05,10,6.0,4.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@60% -> K5@30% -> K25@5%,"[[0, 0.6], [5, 0.3], [25, 0.05]]",3,0.05,25,10.5,9.0,0.4705387936766883,0.45710505253569983,0.4652073846074868
K0@60% -> K5@30% -> K50@5%,"[[0, 0.6], [5, 0.3], [50, 0.05]]",3,0.05,50,18.0,16.5,0.47692239491439764,0.4990015656958994,0.48568489004583826
K0@60% -> K5@40% -> K10@5%,"[[0, 0.6], [5, 0.4], [10, 0.05]]",3,0.05,10,7.0,5.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@60% -> K5@40% -> K25@5%,"[[0, 0.6], [5, 0.4], [25, 0.05]]",3,0.05,25,13.0,11.0,0.47213469398611563,0.4595303990233939,0.4671324647656856
K0@60% -> K5@40% -> K50@5%,"[[0, 0.6], [5, 0.4], [50, 0.05]]",3,0.05,50,23.0,21.0,0.4655320997615016,0.48896736831042287,0.47483278539848084
K0@60% -> K5@50% -> K10@5%,"[[0, 0.6], [5, 0.5], [10, 0.05]]",3,0.05,10,8.0,5.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@60% -> K5@50% -> K25@5%,"[[0, 0.6], [5, 0.5], [25, 0.05]]",3,0.05,25,15.5,13.0,0.47532649460497034,0.461955745511088,0.4700200850029838
K0@60% -> K5@50% -> K50@5%,"[[0, 0.6], [5, 0.5], [50, 0.05]]",3,0.05,50,28.0,25.5,0.4687239003803563,0.47408247794955827,0.47085054319345127
K0@60% -> K50@5%,"[[0, 0.6], [50, 0.05]]",2,0.05,50,30.0,30.0,0.47191570099921093,0.4765078244372523,0.4737381634307495
K0@80% -> K1@5%,"[[0, 0.8], [1, 0.05]]",2,0.05,1,0.8,0.8,0.3964704004823165,0.3639434516992247,0.38356152663134496
K0@80% -> K1@20% -> K10@5%,"[[0, 0.8], [1, 0.2], [10, 0.05]]",3,0.05,10,2.8,2.6,0.49034657635053064,0.4055071534247241,0.45667660578422414
K0@80% -> K1@20% -> K25@5%,"[[0, 0.8], [1, 0.2], [25, 0.05]]",3,0.05,25,5.8,5.6000000000000005,0.4723536869730203,0.42281739027328274,0.45269436357919457
K0@80% -> K1@20% -> K5@5%,"[[0, 0.8], [1, 0.2], [5, 0.05]]",3,0.05,5,1.8,1.6,0.47917527418453926,0.455012517482706,0.4695858724784123
K0@80% -> K1@20% -> K50@5%,"[[0, 0.8], [1, 0.2], [50, 0.05]]",3,0.05,50,10.8,10.600000000000001,0.49353837696938535,0.44497832009722954,0.4742664909852774
K0@80% -> K1@30% -> K10@5%,"[[0, 0.8], [1, 0.3], [10, 0.05]]",3,0.05,10,3.8,3.5,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@80% -> K1@30% -> K25@5%,"[[0, 0.8], [1, 0.3], [25, 0.05]]",3,0.05,25,8.3,7.999999999999999,0.47554548759187504,0.4300934297363649,0.45750706397469154
K0@80% -> K1@30% -> K5@5%,"[[0, 0.8], [1, 0.3], [5, 0.05]]",3,0.05,5,2.3,2.0,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@80% -> K1@30% -> K50@5%,"[[0, 0.8], [1, 0.3], [50, 0.05]]",3,0.05,50,15.8,15.5,0.48853168305419853,0.4595303990233939,0.4770220293339436
K0@80% -> K1@40% -> K10@5%,"[[0, 0.8], [1, 0.4], [10, 0.05]]",3,0.05,10,4.8,4.4,0.4625592921295516,0.41278319288780624,0.44280479901093656
K0@80% -> K1@40% -> K25@5%,"[[0, 0.8], [1, 0.4], [25, 0.05]]",3,0.05,25,10.8,10.400000000000002,0.4673469930578336,0.41520853937550034,0.4466549593273342
K0@80% -> K1@40% -> K5@5%,"[[0, 0.8], [1, 0.4], [5, 0.05]]",3,0.05,5,2.8,2.4000000000000004,0.46118238480702906,0.4401276271218414,0.4528264454678265
K0@80% -> K1@40% -> K50@5%,"[[0, 0.8], [1, 0.4], [50, 0.05]]",3,0.05,50,20.8,20.400000000000002,0.48033318852015705,0.461955745511088,0.473039787128914
K0@80% -> K1@50% -> K10@5%,"[[0, 0.8], [1, 0.5], [10, 0.05]]",3,0.05,10,5.8,5.3,0.4625592921295516,0.41520853937550034,0.44376733909003596
K0@80% -> K1@50% -> K25@5%,"[[0, 0.8], [1, 0.5], [25, 0.05]]",3,0.05,25,13.3,12.8,0.4657510927484063,0.434944122711753,0.45352482176966197
K0@80% -> K1@50% -> K5@5%,"[[0, 0.8], [1, 0.5], [5, 0.05]]",3,0.05,5,3.3,2.8,0.46118238480702906,0.4425529736095355,0.4537889855469259
K0@80% -> K1@50% -> K50@5%,"[[0, 0.8], [1, 0.5], [50, 0.05]]",3,0.05,50,25.8,25.3,0.48033318852015705,0.4792659823596466,0.4799096495712418
K0@80% -> K1@60% -> K10@5%,"[[0, 0.8], [1, 0.6], [10, 0.05]]",3,0.05,10,6.8,6.199999999999999,0.4625592921295516,0.4176338858631944,0.44472987916913537
K0@80% -> K1@60% -> K25@5%,"[[0, 0.8], [1, 0.6], [25, 0.05]]",3,0.05,25,15.8,15.2,0.46894289336726097,0.45710505253569983,0.4642448445283874
K0@80% -> K1@60% -> K5@5%,"[[0, 0.8], [1, 0.6], [5, 0.05]]",3,0.05,5,3.8,3.2,0.46118238480702906,0.44497832009722954,0.45475152562602533
K0@80% -> K1@60% -> K50@5%,"[[0, 0.8], [1, 0.6], [50, 0.05]]",3,0.05,50,30.8,30.2,0.46074439883321955,0.4841166753350348,0.47002008500298387
K0@80% -> K10@5%,"[[0, 0.8], [10, 0.05]]",2,0.05,10,8.0,8.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@80% -> K10@20% -> K25@5%,"[[0, 0.8], [10, 0.2], [25, 0.05]]",3,0.05,25,13.0,11.0,0.47532649460497034,0.45710505253569983,0.468095004844785
K0@80% -> K10@20% -> K50@5%,"[[0, 0.8], [10, 0.2], [50, 0.05]]",3,0.05,50,18.0,16.0,0.478518295223825,0.5014269121835934,0.48760997020403707
K0@80% -> K10@30% -> K25@5%,"[[0, 0.8], [10, 0.3], [25, 0.05]]",3,0.05,25,15.5,12.5,0.4769223949143976,0.4595303990233939,0.4700200850029838
K0@80% -> K10@30% -> K50@5%,"[[0, 0.8], [10, 0.3], [50, 0.05]]",3,0.05,50,23.0,20.0,0.47031980068978363,0.48896736831042287,0.47772040563577906
K0@80% -> K10@40% -> K25@5%,"[[0, 0.8], [10, 0.4], [25, 0.05]]",3,0.05,25,18.0,14.0,0.4785182952238249,0.461955745511088,0.4719451651611826
K0@80% -> K10@40% -> K50@5%,"[[0, 0.8], [10, 0.4], [50, 0.05]]",3,0.05,50,28.0,24.0,0.4735116013086383,0.4765078244372523,0.4747007035098489
K0@80% -> K10@50% -> K25@5%,"[[0, 0.8], [10, 0.5], [25, 0.05]]",3,0.05,25,20.5,15.5,0.4785182952238249,0.464381091998782,0.47290770524028203
K0@80% -> K10@50% -> K50@5%,"[[0, 0.8], [10, 0.5], [50, 0.05]]",3,0.05,50,33.0,28.0,0.47670340192749294,0.4789331709249464,0.4775883237471471
