General字段,聚合推断能力q_i,q_to_total_gen,q_to_total_losses,q_to_metered_load_mw,q_to_da_as_total_mw_primary_reserve,q_to_da_as_total_mw_synchronized_reserve,q_to_da_as_total_mw_thirty_minutes_reserve,q_to_total_lmp_da,q_to_congestion_price_da,q_to_marginal_loss_price_da,q_to_congestion_price_rt,q_to_net_actual_interchange_mw,q_to_gross_actual_interchange_mw
da_as_mcp_thirty_minutes_reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da_as_as_req_mw_primary_reserve,0.49309059977531433,0.0,0.0,0.0,0.5483619570732117,0.49228811264038086,0.0,0.0,0.05172218009829521,0.0,0.0,0.0,0.0
da_as_as_req_mw_synchronized_reserve,0.4945293366909027,0.0,0.0,0.0,0.5510669946670532,0.4912402629852295,0.0,0.0,0.045517224818468094,0.0,0.0,0.0,0.0
da_as_as_req_mw_thirty_minutes_reserve,0.49370983242988586,0.05044976994395256,0.0,0.15167707204818726,0.5417234897613525,0.4516332745552063,0.0,0.0,0.04463043436408043,0.008225882425904274,0.0,0.0,0.0
da_as_ss_mw_primary_reserve,0.03932463005185127,0.0,0.04472091421484947,0.0,0.0,0.0,0.0,0.0,0.0,0.03547898307442665,0.0,0.0,0.0
da_as_ss_mw_synchronized_reserve,0.047194793820381165,0.0,0.05475977435708046,0.0,0.0,0.0,0.0,0.0,0.0,0.033869724720716476,0.0,0.0,0.0
da_as_ss_mw_thirty_minutes_reserve,0.041469816118478775,0.0,0.047404881566762924,0.0,0.0,0.0,0.0,0.0,0.0,0.03545910120010376,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da_as_nsr_mw_primary_reserve,0.48547014594078064,0.0,0.1267768144607544,0.0,0.5800477862358093,0.0875423401594162,0.0,0.017194990068674088,0.0,0.0,0.0,0.0,0.0
system_energy_price_da,0.8192704319953918,0.0,0.0892864465713501,0.0,0.0,0.0941976010799408,0.0,0.954805850982666,0.09517381340265274,0.43758919835090637,0.11666818708181381,0.0,0.0
total_lmp_rt,0.34965500235557556,0.0,0.01795107312500477,0.0,0.0,0.016988418996334076,0.0,0.25456729531288147,0.051997508853673935,0.03461063280701637,0.39874815940856934,0.0,0.0
marginal_loss_price_rt,0.32510361075401306,0.0,0.0412483736872673,0.0,0.0,0.0,0.0,0.31598222255706787,0.0804574117064476,0.0077640600502491,0.3568245470523834,0.0,0.0
net_inadv_interchange_mw,0.002756336936727166,0.0,0.0,0.0,0.0,0.0,0.0,0.00331116677261889,0.0010740343714132905,0.0,0.0,0.0,0.0
gross_sched_interchange_mw,0.051369525492191315,0.0,0.06150246039032936,0.0,0.013332012109458447,0.0,0.0,0.0,0.00834355317056179,0.0,0.0,0.0,0.0
gross_inadv_interchange_mw,0.06615367531776428,0.0,0.025684470310807228,0.0,0.0,0.0,0.0,0.03558765724301338,0.04096808284521103,0.011001191101968288,0.0,0.0,0.07312262803316116
