tau,k,greedy_cov,degree_cov,single_cov,random_cov,greedy_worst_pair,n_dpair_remaining
0.7,10,0.9684827082812335,0.9684827082812335,0.9679155999810515,0.36596634473297307,0.9572354555130004,10
0.7,11,0.9786929102592069,0.9786929102592069,0.9679155999810515,0.39195565250888603,0.9572354555130004,7
0.7,12,0.984525219086552,0.9814935989900705,0.9734079259616107,0.4207447384672595,0.9572354555130004,5
0.7,13,0.9900175450671113,0.9841852362397662,0.9760678032128455,0.4501718396105597,0.9572354555130004,3
0.7,14,0.9934527152790703,0.9841852362397662,0.9788118267812153,0.48424492331966534,0.9277228713035583,2
0.7,15,0.9967819755505123,0.9900175450671113,0.9788118267812153,0.5079646990294059,0.8967261910438538,1
0.7,16,1.0,0.9934527152790703,0.9788118267812153,0.5412906689075967,0.6954154968261719,0
0.7,17,1.0,0.9934527152790703,0.9788118267812153,0.5656582680848955,0.6954154968261719,0
0.7,18,1.0,0.9934527152790703,0.9841852362397662,0.6024643597993781,0.6954154968261719,0
0.7,19,1.0,0.996670739728558,0.9900175450671113,0.6349223417279302,0.6954154968261719,0
0.7,20,1.0,0.996670739728558,0.9900175450671113,0.6577794386318402,0.6954154968261719,0
0.7,21,1.0,0.996670739728558,0.9934527152790703,0.6805107952161188,0.6954154968261719,0
0.7,22,1.0,0.996670739728558,0.996670739728558,0.7245254705680897,0.6954154968261719,0
0.7,23,1.0,0.996670739728558,0.996670739728558,0.7534994798720317,0.6954154968261719,0
0.7,24,1.0,0.996670739728558,0.996670739728558,0.7721557380179563,0.6954154968261719,0
0.7,25,1.0,0.996670739728558,0.996670739728558,0.7954676168018616,0.6954154968261719,0
0.7,26,1.0,0.996670739728558,0.996670739728558,0.813702115596831,0.6954154968261719,0
0.7,27,1.0,0.996670739728558,0.996670739728558,0.8380231897912886,0.6954154968261719,0
0.7,28,1.0,0.996670739728558,0.996670739728558,0.8513313686608254,0.6954154968261719,0
0.7,29,1.0,0.996670739728558,0.996670739728558,0.8659654035648692,0.6954154968261719,0
0.7,30,1.0,0.996670739728558,1.0,0.8837556593786934,0.6954154968261719,0
0.7,31,1.0,0.996670739728558,1.0,0.901582200821244,0.6954154968261719,0
0.7,32,1.0,0.996670739728558,1.0,0.9182629636516122,0.6954154968261719,0
0.7,33,1.0,1.0,1.0,0.9317108536059521,0.6954154968261719,0
0.7,34,1.0,1.0,1.0,0.945865320180141,0.6954154968261719,0
0.7,35,1.0,1.0,1.0,0.9557884177162926,0.6954154968261719,0
0.7,36,1.0,1.0,1.0,0.9646477405088107,0.6954154968261719,0
0.7,37,1.0,1.0,1.0,0.9755096806878897,0.6954154968261719,0
0.7,38,1.0,1.0,1.0,0.9815650846759268,0.6443350315093994,0
0.7,39,1.0,1.0,1.0,0.9869468381473004,0.6443350315093994,0
0.7,40,1.0,1.0,1.0,0.9927628554757283,0.6443350315093994,0
0.7,41,1.0,1.0,1.0,0.9959651669600356,0.6443350315093994,0
0.7,42,1.0,1.0,1.0,0.9976957997375834,0.6443350315093994,0
0.7,43,1.0,1.0,1.0,0.9995087494682474,0.0,0
0.7,44,1.0,1.0,1.0,1.0,0.0,0
