dam_load_forecast__mw__pge_tac,dam_load_forecast__mw__sce_tac,dam_load_forecast__mw__sdge_tac,dam_load_forecast__mw__ca_iso_tac,actual_load__mw__pace,actual_load__mw__nevp,actual_load__mw__azps,actual_renewable_generation__mw__np15__solar,actual_renewable_generation__mw__np15__wind,actual_renewable_generation__mw__sp15__solar,actual_renewable_generation__mw__sp15__wind,actual_renewable_generation__mw__zp26__solar,actual_renewable_generation__mw__zp26__wind,dam_renewable_forecast__mw__np15__solar,dam_renewable_forecast__mw__np15__wind,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__wind,dam_renewable_forecast__mw__zp26__solar,dam_renewable_forecast__mw__zp26__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat,dam_schedule__mw__load__tac_north,dam_schedule__mw__load__tac_ecntr,dam_schedule__mw__load__tac_south,dam_as_clearing_price__usd_per_mw__ru__as_caiso,dam_as_clearing_price__usd_per_mw__rd__as_caiso,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_up__minimum,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_down__minimum,dam_as_requirement__mw__as_caiso__regulation_up__minimum,dam_as_requirement__mw__as_caiso__regulation_down__minimum,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,dam_as_requirement__mw__as_caiso__non_spinning_reserve__minimum,rtpd_eim_transfer__mw__export__bcha__malin500,rtpd_eim_transfer__mw__export__banc__ranchoseco,rtpd_eim_transfer__mw__import__nevp__eldorado230,rtpd_eim_transfer__mw__export__srp__pvwest,rtpd_eim_transfer__mw__import__ladwp__sylmar,rtpd_eim_transfer__mw__export__pge__malin500,actual_load__mw__ca_iso_tac,dam_schedule__mw__generation__caiso_totals,dam_schedule__mw__import__caiso_totals,dam_schedule__mw__export__caiso_totals,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,dam_as_total_procured__mw__ru__as_caiso,dam_as_total_procured__mw__rd__as_caiso,dam_as_total_procured__mw__sr__as_caiso,dam_as_total_procured__mw__nr__as_caiso
8688.34,8262.64,1666.0,18874.63,6050,3627,2805,931.77239,27.89985,7411.77457,98.22033,1401.71196,32.63622,1139.83,65.43,7847.43,284.32,1644.86,15.73,24.36038,28.06569,20.19823,40.481685,-8.288605,-0.9839975,0.616875,7535,9080.41,8545.94,1652.85,0.0,0.0,192.17,4480.99,432.0,768.0,143.64,574.56,100.57,242.2575,0.0,191.8025,0.0,169.0975,22675,14136.54,6166.79,890.18,21.23309,-1.47566,-1.65163,-26.65813,720.0,1280.0,239.4,957.6
9271.03,8767.07,1941.0,20239.27,6168,3793,3100,761.57097,25.85574,4910.81241,84.95663,1168.16916,32.10444,727.65,60.19,4853.99,360.63,1039.27,17.58,32.48794,32.39461,29.71476,37.4112375,12.8434925,17.983615,0.62345,7591,9482.8,9118.59,2064.57,0.0,0.0,1757.29,3407.8,426.0,678.0,146.77,587.08,61.19,319.24,0.0,92.5975,0.0,75.0,21565,15034.81,6558.04,847.0,31.87551,1.34335,-1.95577,-12.4619225,700.0,1130.0,244.62,978.47
10362.25,9525.26,2189.0,22344.74,6435,4049,3427,187.9794,31.96436,750.62548,75.10822,223.06031,20.36198,100.44,55.44,511.25,399.48,136.66,18.2,46.67188,46.95426,43.83167,38.76316,36.474055,36.794645,0.2791,7876,10159.56,9780.6,2494.05,0.0,0.0,799.83,2658.0,372.0,564.0,163.13,652.52,32.2225,237.5325,0.0,0.0,0.0,0.0,22937,13875.91,8347.2,992.0,44.57175,0.71419,-2.81431,0.0180975,620.0,821.0,606.39,753.02
11560.51,10260.05,2547.0,24649.91,6464,4263,3610,200.26308,30.48584,-12.89466,150.98249,-8.87247,20.03943,0.0,51.83,0.0,398.79,0.0,18.22,47.50605,47.02741,44.16419,45.720815,44.69486,42.765735,0.6523625,8073,11269.09,10494.86,2770.37,0.0,0.0,187.94,1908.81,228.0,570.0,182.87,731.49,1.905,155.46,0.88,0.0,0.0,0.0,24686,16908.04,8371.8,1014.0,45.86494,0.96698,-2.60808,2.64429,380.0,950.0,578.11,945.82
11698.39,10425.16,2549.0,24953.6,6370,4251,3617,1.01118,21.91466,-24.07065,167.19634,-7.87988,24.1167,0.0,52.11,0.0,372.74,0.0,19.18,47.15731,46.31712,43.97594,43.154895,43.6872575,40.247225,0.5937675,7990,11426.09,10694.17,2727.58,0.0,0.0,93.48,956.09,180.0,432.0,185.95,743.8,5.095,153.96,0.0,0.0,0.0,0.0,24870,16203.33,8248.8,905.0,45.62168,0.86939,-2.40502,3.9323625,300.0,720.0,422.16,1127.43
11400.93,10460.38,2475.0,24619.61,6248,4208,3587,101.19115,30.35436,-22.91475,178.10944,-7.95909,27.67536,0.0,56.23,0.0,314.9,0.0,14.47,46.85941,46.10823,43.7106,42.821295,41.798695,40.59901,0.3563475,7830,11315.89,10754.31,2649.64,0.0,0.0,44.03,748.23,180.0,354.0,183.44,733.77,11.2875,165.4475,0.0,0.0,0.0,0.0,24633,15101.74,8308.0,889.0,45.49087,1.0166,-2.38514,1.74659,355.5,590.0,250.24,1222.96
11126.28,10341.3,2409.0,24160.85,6067,4153,3507,-7.16053,48.28753,-22.56094,234.26248,-7.98938,19.87582,0.0,64.28,0.0,275.82,0.0,12.42,46.83042,46.10606,43.84641,43.5072075,40.3007075,41.4729225,0.2432975,7600,11160.71,10443.96,2576.69,0.0,0.0,316.19,528.91,180.0,330.0,179.98,719.91,20.555,119.3375,0.0,0.0,0.0,0.0,24186,14308.59,8450.0,888.0,45.42899,0.9916,-2.39303,-0.66055,339.73,550.0,692.05,768.02
10708.14,10291.74,2331.0,23613.06,5817,4068,3377,-6.36729,62.66372,-21.41505,163.02421,-7.98363,12.99485,0.0,70.08,0.0,236.01,0.0,10.68,46.54366,45.56278,43.67585,42.95436,40.428475,41.0114825,0.2789725,7333,10514.05,10471.33,2458.61,0.0,0.0,227.02,1135.66,180.0,312.0,175.83,703.33,19.28,61.0175,0.0,0.0,13.335,0.0,23815,13480.42,8660.45,952.0,45.3783,1.00357,-2.16893,0.0,415.16,414.55,164.35,1172.22
10224.9,9923.69,2192.0,22622.04,5587,3955,3237,-5.90643,58.51599,-21.47684,116.92452,-7.94499,9.66462,0.0,76.19,0.0,185.5,0.0,7.85,46.4611,46.09088,43.96296,41.40133,38.6030075,39.745375,0.0860125,6973,9972.1,10015.48,2383.85,0.0,0.0,122.49,822.68,180.0,300.0,167.76,671.05,20.6225,57.725,0.0,0.0,144.725,0.0,22716,13655.27,8213.0,967.0,44.71941,0.43734,-2.17903,-0.7711025,325.89,500.0,298.84,1073.28
9685.14,9450.42,2074.0,21490.22,5423,3807,3152,-5.84401,92.87603,-21.62071,129.60777,-7.91818,8.65511,0.0,81.14,0.0,150.56,0.0,5.32,45.17896,45.09415,43.26337,41.7071575,40.27673,40.4035175,-0.1976125,6692,9377.54,9470.25,2286.72,0.0,0.0,222.21,1462.42,180.0,390.0,159.14,636.58,13.55,88.15,0.0,0.0,23.1825,0.0,21495,12423.68,8217.02,967.0,42.05664,-1.0486,-2.07371,0.0,300.0,650.0,516.79,809.42
9350.74,9436.42,2161.76,21235.09,5325,3703,3112,-5.87511,100.97956,-22.07918,138.91525,-7.91981,1.32733,0.0,108.98,0.0,108.13,0.0,0.22,43.56846,43.05436,41.76037,42.82729,41.904455,41.83514,-0.549355,6519,9006.48,9117.83,2271.74,0.0,0.0,600.74,1067.55,294.0,354.0,156.14,624.58,14.59,57.545,0.0,0.0,21.1375,0.0,20826,12926.18,7811.62,965.0,41.56954,-0.38253,-1.61639,0.0,490.0,590.0,260.24,1040.96
9031.67,9051.14,2090.5,20462.03,5255,3639,3109,-5.87351,89.27588,-21.85212,95.47938,-7.92749,-0.23626,0.0,113.17,0.0,83.19,0.0,0.09,42.56156,42.04656,40.77397,41.3034375,38.1184275,40.2297775,-0.366505,6452,8672.21,9027.81,2240.87,0.0,0.0,82.55,1020.89,180.0,306.0,150.69,602.78,20.9225,67.5975,45.8225,0.0,116.8175,0.0,20247,12598.15,7631.02,953.0,40.65756,-0.38029,-1.5237,-2.0116325,300.0,510.0,251.16,1004.63
8769.75,8802.59,2000.56,19863.74,5234,3604,3155,-5.85141,89.1872,-22.08072,60.16578,-8.83978,-0.48564,0.0,109.73,0.0,76.23,0.0,0.08,41.44163,40.86144,39.87513,40.0837825,39.0516725,39.1589925,-0.40764,6412,8479.02,8630.15,2200.35,0.0,0.0,176.8,382.34,180.0,330.0,146.43,585.72,9.0125,92.7275,0.0,0.0,1.8025,0.0,19707,12261.78,7454.85,863.0,39.94135,-0.24873,-1.25154,0.0,428.2,550.0,131.47,960.59
8712.24,8739.27,1953.55,19698.28,5306,3608,3282,-5.8584,77.97833,-22.79738,55.35039,-7.99673,-0.48189,0.0,101.8,0.0,66.01,0.0,0.06,41.29647,40.54074,39.77263,39.8514325,39.00484,39.027065,-0.504365,6452,8388.7,8626.86,2151.45,0.0,0.0,103.2,1227.45,180.0,270.0,145.19,580.75,10.6275,111.055,0.0,0.0,23.435,0.0,19906,12577.8,7293.42,864.0,39.98044,-0.19276,-1.12326,0.0,504.46,450.0,98.17,907.27
8936.44,8978.02,1986.39,20200.57,5483,3680,3520,-5.86616,50.60487,-22.53019,12.31193,-7.92169,-0.4669,0.0,95.0,0.0,56.98,0.0,0.08,43.72738,43.04523,41.97391,38.64932,37.898595,37.8972575,-0.547695,6662,8641.46,8866.8,2170.03,0.0,0.0,246.41,632.24,180.0,222.0,148.97,595.89,4.385,136.2325,8.305,0.0,45.2,0.0,20248,13397.54,7739.02,864.0,42.25891,-0.22661,-1.24186,0.0,514.17,370.0,67.25,960.02
9502.68,9615.69,2111.53,21537.29,5769,3838,3799,-5.81608,58.72528,-22.79875,-13.56559,-7.8984,-0.45718,0.0,89.62,0.0,52.86,0.0,0.09,48.03712,47.30216,46.09162,41.5061875,40.7744925,40.7212975,-0.70504,7124,9179.76,9456.37,2281.86,0.0,0.0,335.24,756.96,180.0,228.0,159.08,636.32,22.6575,170.5175,0.0,0.0,56.7525,0.0,21564,14019.71,8288.22,905.0,46.55781,-0.06222,-1.4171,0.0,535.64,380.0,111.16,978.87
10476.79,10581.01,2367.88,23741.83,6042,4023,3976,-5.91937,93.65133,-4.92085,21.95036,-8.08272,-0.33917,0.0,80.16,48.8,54.1,0.01,0.14,53.80872,52.78097,51.73708,45.92665,45.0965225,45.0324975,-0.893945,7607,10155.6,10316.85,2504.99,0.0,0.0,566.19,550.66,210.0,336.0,175.75,702.98,28.905,169.595,0.0,20.06,0.0,0.0,23359,16391.2,7891.13,963.0,52.05364,-0.07624,-1.67883,0.0,350.0,441.0,319.62,1144.93
11246.15,11107.02,2477.24,25147.27,6189,4047,3829,70.30003,117.79616,1996.56953,95.90694,150.47741,4.18221,82.54,68.55,2205.85,69.73,128.18,0.46,50.20359,50.66561,48.06982,42.7441975,40.247905,40.9613025,0.075635,7928,10866.3,10632.4,2515.88,0.0,0.0,462.23,2245.16,258.0,576.0,185.81,743.22,0.0,179.0675,0.0,0.0,0.0,0.0,24862,17158.59,8524.51,1081.0,47.42807,-0.06955,-2.70597,0.2909425,420.0,882.56,268.12,1238.71
10982.38,11016.35,2308.6,24611.98,6244,3972,3444,684.76468,91.66179,6974.07776,96.40113,1134.66779,16.88588,599.43,60.45,6575.05,90.46,843.88,0.7,36.24868,38.92342,32.98877,38.05071,29.82534,29.6069875,0.842165,8051,10797.56,10516.91,2245.88,0.0,0.0,613.19,3769.79,288.0,786.0,180.05,720.19,89.13,214.87,2.0475,0.0,0.0,0.0,26654,17708.02,7095.82,1018.0,31.5135,-2.04191,-2.69328,-2.601395,480.0,1310.0,520.94,974.45
10302.86,10552.93,2022.53,23167.4,6197,3842,3120,1037.43123,47.81436,8981.37495,99.58515,1883.64542,25.57214,992.79,51.63,8239.24,107.27,1403.51,0.7,31.37498,34.61322,26.74527,40.4836725,22.9986475,21.9182675,0.7191975,8086,10473.62,10105.44,1924.44,0.0,0.0,979.42,4111.77,270.0,822.0,168.24,672.98,23.0875,40.67,0.0,0.0,0.0,234.1675,27346,16529.55,6580.63,938.0,27.13704,-1.93501,-2.30292,-9.631895,450.0,1370.0,829.29,572.75
9457.9,9908.93,1765.29,21409.59,6060,3701,2892,970.03375,73.14155,9191.13749,132.66564,1989.77948,10.42741,1080.26,42.88,8474.89,118.85,1663.36,0.92,30.4148,32.46675,26.48,35.5722975,19.3493725,15.2874575,0.5874675,8103,10002.32,9815.01,1660.19,0.0,0.0,653.31,3954.19,282.0,912.0,155.06,620.24,68.905,0.0,0.0,0.0,0.0,316.0,26553,15619.88,6619.53,956.0,27.24743,-0.87714,-2.29023,-10.6971075,470.0,1520.0,498.44,793.73
